"model","pirt_accuracy","theta","n_subset_items","n_all_items","avg_observed","avg_predicted"
"YeungNLP/firefly-zephyr-6x7b",0.6427324858602,-0.431043414637361,30,839,0.566666666666667,0.645553220811752
"HanNayeoniee/LHK",0.639386421062178,-0.453369137775896,30,839,0.6,0.640846980557685
"Weyaxi/Einstein-bagel-7B",0.724762498658887,0.368124567210177,30,839,0.533333333333333,0.731861231612863
"ibivibiv/orthorus-125b-v2",0.682714399125975,-0.0861764173589991,30,839,0.566666666666667,0.687017776102216
"yeontaek/llama-2-13B-ensemble-v3",0.619028869749843,-0.59830018518924,30,839,0.566666666666667,0.620970607812259
"AGI-0/ThetaWave-7B-v0.1",0.696656980171133,0.0519276242979552,30,839,0.6,0.700241293403685
"Inv/Dykh-Tau-7B",0.666401788901406,-0.224023129408129,30,839,0.5,0.672572436203065
"LeroyDyer/Mixtral_AI_SwahiliTron_7b",0.612477264200984,-0.639119970074658,30,839,0.6,0.612939956322158
"ResplendentAI/Paradigm_Shift_7B",0.737625852307428,0.534886324682662,30,839,0.566666666666667,0.743965500724267
"AA051610/C0322-reft",0.608853989175046,-0.675656722345328,30,839,0.633333333333333,0.607946226103663
"allknowingroger/ROGERphi-7B-slerp",0.738039046465672,0.535396985379186,30,839,0.533333333333333,0.745630111229541
"nisten/BigCodeLlama-92b",0.535292189797029,-1.07383748604906,30,839,0.533333333333333,0.535364829715336
"macadeliccc/Monarch-7B-SFT",0.669803547021802,-0.200563671999305,30,839,0.533333333333333,0.674864247158581
"yleo/EmertonMonarch-7B",0.81998121233272,2.70158757295163,41,839,0.658536585365854,0.82827598639994
"MSL7/INEX8-7B",0.820397230743964,2.97965179184633,91,839,0.692307692307692,0.835980316302387
"kyujinpy/Sakura-SOLAR-Instruct",0.707063479639714,0.163239345984627,30,839,0.566666666666667,0.712269789144277
"azarafrooz/Mistral-7B-Instruct-v0.2-Selfplay-v0",0.634313336786137,-0.492123534004032,30,839,0.566666666666667,0.636821865962385
"dillfrescott/amadeus-v0.1",0.753365993809413,0.74123405841837,30,839,0.6,0.759053237090356
"lodrick-the-lafted/Grafted-Hermetic-Platypus-D-2x7B",0.608774762855299,-0.660512060795611,30,839,0.5,0.612808437621255
"Josephgflowers/Cinder-Phi-2-V1-F16-gguf",0.563106190708343,-0.937056520630388,30,839,0.666666666666667,0.559265876395921
"ewqr2130/alignment-handbook-zephyr-7b_ppo_5e7step_102",0.612092709185796,-0.644015262035472,30,839,0.566666666666667,0.613777234866357
"kekmodel/StopCarbon-10.7B-v3",0.710298050518072,0.203543715105625,30,839,0.5,0.718096494913056
"nextai-team/Moe-2x7b-QA-Code",0.711205648595242,0.198001703785979,30,839,0.6,0.715329467455387
"freeCS-dot-org/ThetaWave-7B-v0.1",0.721963265241006,0.316104185650261,30,839,0.533333333333333,0.728958194730783
"MaziyarPanahi/Llama-3-8B-Instruct-DPO-v0.1",0.597981584212868,-0.735302821677743,30,839,0.533333333333333,0.600378923553271
"Kukedlc/NeuralSynthesis-7b-v0.4-slerp",0.820352087885748,2.97722840316596,91,839,0.692307692307692,0.835929681465432
"Muhammad2003/TriMistral-7B-SLERP",0.679618401998903,-0.105977288780225,30,839,0.533333333333333,0.685043064619381
"FelixChao/ShadowNeural-7B-ORPO",0.722997187004605,0.338425467473828,30,839,0.566666666666667,0.728794363284133
"LTC-AI-Labs/L2-7b-Hermes-Synthia",0.487831981046746,-1.28153170597679,30,839,0.466666666666667,0.488616850554042
"Yuma42/KangalKhan-RawEmerald-7B",0.731010315967561,0.450427010619891,30,839,0.533333333333333,0.73834073559553
"Alsebay/Kilo-2x8B",0.581709813123542,-0.823724218245475,30,839,0.6,0.581031561447035
"Radu1999/MisterUkrainianDPO",0.729658602937149,0.404621193451509,30,839,0.6,0.734466709350146
"core-3/kuno-royale-v3-7b",0.786767199118887,1.33483371255231,30,839,0.7,0.789984771397709
