"model","pirt_accuracy","theta","n_subset_items","n_all_items","avg_observed","avg_predicted","actual_accuracy","n_items","error","abs_error","squared_error"
"0-hero/Matter-0.1-Slim-7B-B",0.637123709356273,-0.466076660179953,48,839,0.541666666666667,0.642916298546034,0.537914691943128,844,0.099209017413145,0.099209017413145,0.00984242913608171
"01-ai/Yi-34B-Chat",0.635065323510134,-0.481595739546396,46,839,0.565217391304348,0.639117032061793,0.604265402843602,844,0.030799920666532,0.030799920666532,0.000948635113064667
"01-ai/Yi-9B",0.577272088662145,-0.850708027777618,30,839,0.566666666666667,0.577665367598936,0.542654028436019,844,0.034618060226126,0.034618060226126,0.00119841009381969
"01-ai/Yi-9B-200K",0.553220232142505,-0.984543009013044,30,839,0.566666666666667,0.552721600454341,0.496445497630332,844,0.056774734512173,0.056774734512173,0.00322337047892773
"922CA/Silicon-Monika-7b",0.684323994172439,-0.0532349114017492,67,839,0.582089552238806,0.693196672423156,0.566350710900474,844,0.117973283271965,0.117973283271965,0.0139176955659673
"AA051610/C0322-reft",0.604465289978683,-0.703605599818327,36,839,0.638888888888889,0.60292201530774,0.588862559241706,844,0.0156027307369769,0.0156027307369769,0.000243445206450605
"AA051610/FT",0.611420708264083,-0.643117922935252,39,839,0.538461538461538,0.614977467791957,0.561611374407583,844,0.0498093338565,0.0498093338565,0.00248096973922828
"AA051611/A0118",0.60174176267701,-0.712303571615141,35,839,0.6,0.601817585679118,0.528436018957346,844,0.0733057437196639,0.0733057437196639,0.00537373206229305
"AA051612/A0123",0.665074358312218,-0.247982632450447,57,839,0.56140350877193,0.672630929186638,0.624407582938389,844,0.0406667753738289,0.0406667753738289,0.00165378661930546
"AA051615/A0305a",0.614607515607817,-0.622062626774741,41,839,0.536585365853659,0.61861617242476,0.537914691943128,844,0.076692823664689,0.076692823664689,0.00588178920166308
"AA051615/A0306",0.634392112075761,-0.493861503677553,45,839,0.6,0.636341287193405,0.601895734597156,844,0.032496377478605,0.032496377478605,0.00105601454923199
"abacusai/Llama-3-Giraffe-70B-Instruct",0.658859891516824,-0.30005958163097,54,839,0.574074074074074,0.664692291697599,0.643364928909953,844,0.015494962606871,0.015494962606871,0.000240093866188331
"abacusai/Llama-3-Smaug-8B",0.582258685475395,-0.820362522367321,30,839,0.566666666666667,0.582836881475718,0.516587677725118,844,0.065671007750277,0.065671007750277,0.00431268125893694
"abacusai/MetaMath-Bagel-DPO-34B",0.65644401172884,-0.317100153015716,54,839,0.555555555555556,0.663384109350952,0.633886255924171,844,0.022557755804669,0.022557755804669,0.000508852346943079
"abacusai/Smaug-34B-v0.1",0.69901359579586,0.0408201450892836,75,839,0.626666666666667,0.706115715801998,0.707345971563981,844,-0.00833237576812107,0.00833237576812107,6.94284859411712e-05
"abhishekchohan/Yi-9B-Forest-DPO-v1.0",0.550936675633147,-0.997418920748358,30,839,0.633333333333333,0.547881175347602,0.527251184834123,844,0.0236854907990239,0.0236854907990239,0.000561002474390647
"abideen/AlphaMonarch-laser",0.756745386781373,2.77513947221512,500,839,0.672,0.881738582624107,0.716824644549763,844,0.03992074223161,0.03992074223161,0.00159366566032265
"abideen/Mistral-v2-orpo",0.631087135728981,-0.496170897453973,46,839,0.521739130434783,0.637430147385391,0.537914691943128,844,0.093172443785853,0.093172443785853,0.00868110428102794
"abideen/PhigRange-2.7B-slerp",0.574198505792299,-0.876788086878055,31,839,0.451612903225806,0.578901666286806,0.550947867298578,844,0.023250638493721,0.023250638493721,0.000540592190365701
"aboros98/lilo2",0.506349348460565,-1.21649955073563,30,839,0.566666666666667,0.504112612309535,0.41824644549763,844,0.088102902962935,0.088102902962935,0.00776212151049634
"ABX-AI/Silver-Sun-11B",0.680965623188706,-0.095238578682302,66,839,0.590909090909091,0.688654796708053,0.649289099526066,844,0.0316765236626401,0.0316765236626401,0.0010034021513498
"adamo1139/LWM-7B-1M-1000000ctx-AEZAKMI-3_1-1702",0.469836489130357,-1.3657377272774,30,839,0.433333333333333,0.471190129023942,0.399289099526066,844,0.070547389604291,0.070547389604291,0.00497693417997963
