"model","pirt_accuracy","theta","n_subset_items","n_all_items","avg_observed","avg_predicted"
"222gate/Blur-4x7b-MOE-v0.1",0.675517206116679,1.00033783368654,30,840,0.633333333333333,0.677079571775321
"abacusai/Smaug-Mixtral-v0.1",0.619116144104435,0.493758694567891,30,840,0.566666666666667,0.621058717342871
"abhishek/autotrain-xva0j-mixtral8x7b",0.524119846023012,-0.430905349707304,36,840,0.638888888888889,0.518980933655883
"abideen/MonarchCoder-MoE-2x7B",0.677432401626264,1.0053464554598,30,840,0.666666666666667,0.677831132550693
"abideen/NexoNimbus-MoE-2x7B",0.593453967788592,0.251793654210938,30,840,0.766666666666667,0.58703868264496
"AetherResearch/Cerebrum-1.0-8x7b",0.530549126313996,-0.389226908511633,41,840,0.780487804878049,0.517723737301322
"AIGeekLabs/radiantloom-mixtral-8x7b-fusion",0.552637355747092,-0.141129621657306,41,840,0.682926829268293,0.545951663113339
"alykassem/ds_diasum_md_mixtral",0.527787842114721,-0.424416617670686,48,840,0.583333333333333,0.524421448707532
"amu/zen_moe",0.580211507373542,0.133991992901224,30,840,0.733333333333333,0.57454032863429
"andysalerno/cloudymixtral7Bx2-nectar-0.2",0.618881752394169,0.480776422830779,30,840,0.633333333333333,0.618346508655682
"Aratako/Mixtral-8x7B-Instruct-v0.1-upscaled",0.56663181354323,-0.0217365578248715,34,840,0.676470588235294,0.561998416099644
"argilla/notus-8x7b-experiment",0.567934292151415,0.00645113820954592,30,840,0.666666666666667,0.564277537539739
"argilla/notux-8x7b-v1",0.569719690741799,0.0162092014050447,30,840,0.666666666666667,0.566129062003841
"argilla/notux-8x7b-v1-epoch-2",0.568448477198045,0.00894776959665293,30,840,0.7,0.56357619857575
"arlineka/Brunhilde-2x7b-MOE-DPO-v.01.5",0.64814955670998,0.749750398483258,30,840,0.566666666666667,0.651167441526399
"Brillibits/Instruct_Mixtral-8x7B-v0.1_Dolly15K",0.569024794479022,0.0148504688552125,30,840,0.733333333333333,0.562939293039974
"Cartinoe5930/MoE-Merging",0.568310867096336,0.00915007978282859,30,840,0.666666666666667,0.564668059704842
"ChaoticNeutrals/RPMix-4x7B-MoE",0.664247513952942,0.92992700021634,30,840,0.6,0.666627051506754
"chargoddard/average-dolphin-8x7B",0.530226269614074,-0.36197125971686,39,840,0.641025641025641,0.524831543665196
"chargoddard/mixtralmerge-8x7B-rebalanced-test",0.564841660739891,-0.012964169069742,30,840,0.666666666666667,0.561070364224084
"chargoddard/MixtralRPChat-ZLoss",0.561385687991641,-0.0615620223385115,34,840,0.676470588235294,0.556530989966474
"cloudyu/19B_MATH_DPO",0.607892132968478,0.379969002599932,30,840,0.733333333333333,0.603246162584595
"cloudyu/19B_TRUTH_DPO",0.599788843259084,0.297159847398698,30,840,0.6,0.59978102263905
"cloudyu/4bit_quant_TomGrc_FusionNet_34Bx2_MoE_v0.1_DPO",0.590410312619092,0.232849189616479,30,840,0.633333333333333,0.588820571111158
"cloudyu/60B_MoE_Coder_v3",0.551996842041705,-0.149000347843994,35,840,0.714285714285714,0.544940804118052
"cloudyu/Mixtral-8x7B-Instruct-v0.1-DPO",0.564918812153932,-0.0184605545446576,30,840,0.7,0.559915805196671
"cloudyu/Mixtral_11Bx2_MoE_19B",0.599847812269481,0.294007767788257,30,840,0.733333333333333,0.594903904081931
"cloudyu/Mixtral_13B_Chat",0.619349904315312,0.493693994090304,30,840,0.7,0.616362863734398
"cloudyu/Mixtral_34Bx2_MoE_60B",0.567566831709818,-0.00152131530557921,30,840,0.7,0.562661899550922
"cloudyu/Mixtral_7Bx2_MoE",0.667169529967494,0.96227835603137,30,840,0.666666666666667,0.667188154534192
"cloudyu/Mixtral_7Bx2_MoE_13B",0.566416007922563,-0.00145117792295607,30,840,0.633333333333333,0.563937588462905
"cloudyu/Mixtral_7Bx2_MoE_DPO",0.719079961847886,1.5522259571173,42,840,0.785714285714286,0.715572892170707
"cloudyu/mixtral_7bx4_moe",0.617929875098088,0.493710922963775,30,840,0.566666666666667,0.6198285124474
"cloudyu/Mixtral_7Bx4_MOE_24B",0.614649514107664,0.477162073700907,30,840,0.5,0.618895792407948
"cloudyu/Mixtral_7Bx5_MoE_30B",0.637361465610922,0.633260711132651,30,840,0.7,0.635041519892808
"cloudyu/Mixtral_7Bx6_MoE_35B",0.647259098556691,0.739859728745775,30,840,0.733333333333333,0.644071163935334
"cloudyu/Phoenix_DPO_60B",0.545183982901931,-0.235819629551829,51,840,0.764705882352941,0.530994354420307
"cloudyu/Pluto_24B_DPO_200",0.619306771326299,0.498165357392223,30,840,0.633333333333333,0.618787269029743
"cloudyu/TomGrc_FusionNet_34Bx2_MoE_v0.1_DPO_f16",0.563151345464679,-0.039932803749419,30,840,0.733333333333333,0.556848308876951
"cloudyu/TomGrc_FusionNet_34Bx2_MoE_v0.1_full_linear_DPO",0.567230495342586,-0.0100686779122701,30,840,0.866666666666667,0.556140266775027
"cloudyu/Truthful_DPO_cloudyu_Mixtral_34Bx2_MoE_60B",0.571136255137296,0.0193624609991636,30,840,0.733333333333333,0.56512895594485
