"model","pirt_accuracy","theta","n_subset_items","n_all_items","avg_observed","avg_predicted","actual_accuracy","n_items","error","abs_error","squared_error"
"222gate/Blur-4x7b-MOE-v0.1",0.675517206116679,1.00033783368654,30,840,0.633333333333333,0.677079571775321,0.695497630331754,844,-0.0199804242150751,0.0199804242150751,0.000399217351814358
"abacusai/Smaug-Mixtral-v0.1",0.619116144104435,0.493758694567891,30,840,0.566666666666667,0.621058717342871,0.713270142180095,844,-0.0941539980756599,0.0941539980756599,0.00886497535363137
"abhishek/autotrain-mixtral-8x7b-orpo-v1",0.557035857486588,-0.0811023282584514,30,840,0.7,0.55174088924535,0.657582938388626,844,-0.100547080902038,0.100547080902038,0.010109715477921
"abhishek/autotrain-mixtral-8x7b-orpo-v2",0.54687699163465,-0.211853432058978,46,840,0.652173913043478,0.54077666621298,0.643364928909953,844,-0.096487937275303,0.096487937275303,0.00930992203964281
"abhishek/autotrain-mixtral7x8b-math",0.489446058363224,-0.798872436916806,75,840,0.653333333333333,0.473378678464194,0.548578199052133,844,-0.059132140688909,0.059132140688909,0.00349661006245293
"abhishek/autotrain-xva0j-mixtral8x7b",0.524119846023012,-0.430905349707304,36,840,0.638888888888889,0.518980933655883,0.562796208530806,844,-0.038676362507794,0.038676362507794,0.0014958610168343
"abideen/MonarchCoder-MoE-2x7B",0.677432401626264,1.0053464554598,30,840,0.666666666666667,0.677831132550693,0.686018957345972,844,-0.00858655571970801,0.00858655571970801,7.37289391276504e-05
"abideen/NexoNimbus-MoE-2x7B",0.593453967788592,0.251793654210938,30,840,0.766666666666667,0.58703868264496,0.625592417061611,844,-0.0321384492730189,0.0321384492730189,0.00103287992167441
"AetherResearch/Cerebrum-1.0-8x7b",0.530549126313996,-0.389226908511633,41,840,0.780487804878049,0.517723737301322,0.630331753554502,844,-0.099782627240506,0.099782627240506,0.00995657269901777
"AIGeekLabs/radiantloom-mixtral-8x7b-fusion",0.552637355747092,-0.141129621657306,41,840,0.682926829268293,0.545951663113339,0.578199052132701,844,-0.0255616963856089,0.0255616963856089,0.000653400322110051
"alykassem/ds_diasum_md_mixtral",0.527787842114721,-0.424416617670686,48,840,0.583333333333333,0.524421448707532,0.610189573459716,844,-0.0824017313449951,0.0824017313449951,0.00679004532865274
"amu/zen_moe",0.580211507373542,0.133991992901224,30,840,0.733333333333333,0.57454032863429,0.587677725118483,844,-0.00746621774494105,0.00746621774494105,5.57444074148726e-05
"andysalerno/cloudymixtral7Bx2-nectar-0.2",0.618881752394169,0.480776422830779,30,840,0.633333333333333,0.618346508655682,0.637440758293839,844,-0.01855900589967,0.01855900589967,0.000344436699983985
"Aratako/Mixtral-8x7B-Instruct-v0.1-upscaled",0.56663181354323,-0.0217365578248715,34,840,0.676470588235294,0.561998416099644,0.656398104265403,844,-0.089766290722173,0.089766290722173,0.00805798695001769
"argilla/notus-8x7b-experiment",0.567934292151415,0.00645113820954592,30,840,0.666666666666667,0.564277537539739,0.675355450236967,844,-0.107421158085552,0.107421158085552,0.0115393052044411
"argilla/notux-8x7b-v1",0.569719690741799,0.0162092014050447,30,840,0.666666666666667,0.566129062003841,0.66824644549763,844,-0.0985267547558311,0.0985267547558311,0.00970752140271568
"argilla/notux-8x7b-v1-epoch-2",0.568448477198045,0.00894776959665293,30,840,0.7,0.56357619857575,0.670616113744076,844,-0.102167636546031,0.102167636546031,0.0104382259574019
"arlineka/Brunhilde-2x7b-MOE-DPO-v.01.5",0.64814955670998,0.749750398483258,30,840,0.566666666666667,0.651167441526399,0.659952606635071,844,-0.0118030499250911,0.0118030499250911,0.000139311987534192
"Brillibits/Instruct_Mixtral-8x7B-v0.1_Dolly15K",0.569024794479022,0.0148504688552125,30,840,0.733333333333333,0.562939293039974,0.652843601895735,844,-0.083818807416713,0.083818807416713,0.00702559247676002
"bunnycore/CreativeSmart-2x7B",0.583866049978164,0.169998475675416,30,840,0.733333333333333,0.578330224668713,0.606635071090047,844,-0.0227690211118829,0.0227690211118829,0.000518428322393371
"Cartinoe5930/MoE-Merging",0.568310867096336,0.00915007978282859,30,840,0.666666666666667,0.564668059704842,0.603080568720379,844,-0.0347697016240429,0.0347697016240429,0.00120893215102497
"ChaoticNeutrals/RPMix-4x7B-MoE",0.664247513952942,0.92992700021634,30,840,0.6,0.666627051506754,0.682464454976303,844,-0.018216941023361,0.018216941023361,0.000331856940248614
"chargoddard/average-dolphin-8x7B",0.530226269614074,-0.36197125971686,39,840,0.641025641025641,0.524831543665196,0.636255924170616,844,-0.106029654556542,0.106029654556542,0.0112422876453796
"chargoddard/mixtralmerge-8x7B-rebalanced-test",0.564841660739891,-0.012964169069742,30,840,0.666666666666667,0.561070364224084,0.632701421800948,844,-0.0678597610610571,0.0678597610610571,0.00460494717126376
"chargoddard/MixtralRPChat-ZLoss",0.561385687991641,-0.0615620223385115,34,840,0.676470588235294,0.556530989966474,0.638625592417062,844,-0.0772399044254209,0.0772399044254209,0.00596600283564816
"Chickaboo/Chicka-Mixtral-3x7b",0.561222542804928,-0.0448629775678458,30,840,0.633333333333333,0.558551772785358,0.582938388625592,844,-0.021715845820664,0.021715845820664,0.00047157795970685
"cloudyu/19B_MATH_DPO",0.607892132968478,0.379969002599932,30,840,0.733333333333333,0.603246162584595,0.674170616113744,844,-0.066278483145266,0.066278483145266,0.0043928373280373
"cloudyu/19B_TRUTH_DPO",0.599788843259084,0.297159847398698,30,840,0.6,0.59978102263905,0.681279620853081,844,-0.081490777593997,0.081490777593997,0.00664074683287429
