"model","pirt_accuracy","theta","n_subset_items","n_all_items","avg_observed","avg_predicted"
"YeungNLP/firefly-zephyr-6x7b",0.519386273415792,-0.507547915244084,100,844,0.64,0.503174751025442
"HanNayeoniee/LHK",0.554448569142958,-0.154393502773901,100,844,0.72,0.532197032737442
"Weyaxi/Einstein-bagel-7B",0.589685730987092,0.228777913515365,100,844,0.77,0.565449942141271
"ibivibiv/orthorus-125b-v2",0.60213314250704,0.336153138302404,100,844,0.8,0.575538134779492
"yeontaek/llama-2-13B-ensemble-v3",0.492311961105086,-0.844053650392138,100,844,0.62,0.475149590285877
"AGI-0/ThetaWave-7B-v0.1",0.561135400655097,-0.0787976502175702,100,844,0.73,0.538438545904438
"Inv/Dykh-Tau-7B",0.544515244925355,-0.226215115070843,100,844,0.68,0.526304928383064
"LeroyDyer/Mixtral_AI_SwahiliTron_7b",0.477055075890204,-0.991608527144082,100,844,0.58,0.463218392542113
"ResplendentAI/Paradigm_Shift_7B",0.647219901511008,0.819669904942456,100,844,0.84,0.621308597950659
"AA051610/C0322-reft",0.516055428711315,-0.584435561749495,100,844,0.66,0.496708040097244
"allknowingroger/ROGERphi-7B-slerp",0.627541738355353,0.584074032982961,100,844,0.84,0.598985520392363
"nisten/BigCodeLlama-92b",0.45792749065427,-1.20111580502675,100,844,0.54,0.446896239398123
"macadeliccc/Monarch-7B-SFT",0.560143350840599,-0.0438657447168753,100,844,0.7,0.541345414125626
"yleo/EmertonMonarch-7B",0.722585500963503,1.97097762067916,100,844,0.98,0.687986777974727
"MSL7/INEX8-7B",0.722585500963503,1.97097762067916,100,844,0.98,0.687986777974727
"kyujinpy/Sakura-SOLAR-Instruct",0.617910998678959,0.467572113539917,100,844,0.84,0.588060326458389
"azarafrooz/Mistral-7B-Instruct-v0.2-Selfplay-v0",0.533897761364731,-0.357207853873421,100,844,0.67,0.515604449720205
"dillfrescott/amadeus-v0.1",0.642615723348453,0.735338821820798,100,844,0.86,0.613397406594212
