"model","pirt_accuracy","theta","n_subset_items","n_all_items","avg_observed","avg_predicted"
"namespace-Pt/Llama-3-8B-Instruct-80K-QLoRA",0.604590389381506,0.38236896236182,237,1306,0.641350210970464,0.596440644090034
"mlabonne/Beyonder-4x7B-v3",0.721883224448651,1.05316347031617,237,1306,0.751054852320675,0.715415800869915
"Evillain/StarDust_20B_v0.2",0.259339021230163,-1.05988150441329,237,1306,0.261603375527426,0.258837008163324
"leveldevai/BeagleMist-7B",0.723034218626937,1.08329322446707,237,1306,0.738396624472574,0.719628334449747
"cookinai/DonutLM-v1",0.677381698377338,0.761201133034694,237,1306,0.713080168776371,0.669467257325355
"kwchoi/DPO_mistral_7b_ultra_0124_v1",0.312149222127032,-0.817520178158338,237,1306,0.312236286919831,0.312129919642567
"EmbeddedLLM/Mistral-7B-Merge-14-v0.2",0.718813701248656,1.03339834323201,237,1306,0.746835443037975,0.712601210318751
"soniox/Soniox-7B-v1.0",0.570415274138363,0.242016270566717,237,1306,0.590717299578059,0.56591426382105
"ibivibiv/multimaster-7b-v6",0.723634784233566,1.07509352989177,237,1306,0.746835443037975,0.718491139578146
"Isaak-Carter/J.O.S.I.E.3-Beta10-7B-slerp",0.65044643617132,0.620732202250003,237,1306,0.679324894514768,0.644044009017534
"JaeyeonKang/CCK_Asura_v1",0.648211757108972,0.586621967828247,237,1306,0.69620253164557,0.637572081182711
"giraffe176/WestLake_Noromaid_OpenHermes_neural-chat",0.689471355403603,0.83731128342692,237,1306,0.721518987341772,0.682366314459407
"xDAN-AI/xDAN-L1-Chat-RL-v1",0.591850172173982,0.314113773974031,237,1306,0.637130801687764,0.58181134224436
"Nhoodie/Meta-Llama-3-8B-Uninstruct-function-calling-json-mode-model_stock-v0.1",0.678072529281108,0.755299219534384,237,1306,0.721518987341772,0.668440339795254
"abacusai/MM-OV-bagel-DPO-34b-c1000-250",0.694580144355288,0.82418946161463,237,1306,0.759493670886076,0.680188651569696
"Changgil/K2S3-Mistral-7b-v1.46",0.415642396590413,-0.402399408063632,237,1306,0.434599156118143,0.411439635123555
"Test157t/Echidna-7b-128k",0.58591678142684,0.310893025291274,237,1306,0.607594936708861,0.581110679647758
"netcat420/MFANNv0.2",0.408353960077844,-0.423427018813394,237,1306,0.417721518987342,0.406277148607731
"CohereForAI/c4ai-command-r-plus",0.448021137806753,-0.279672227006001,237,1306,0.476793248945148,0.441642288096931
"ZhangShenao/0.001_idpo_declr_4iters_iter_4",0.292438454894029,-0.907516527832471,237,1306,0.29535864978903,0.291791040310198
"Ppoyaa/Lumina-5.5-Instruct",0.547933084516645,0.141765086639487,237,1306,0.569620253164557,0.54312498445158
"ajibawa-2023/General-Stories-Mistral-7B",0.644387205656947,0.572039953825666,237,1306,0.687763713080169,0.634770524404091
"BTAgent/BTAgent-v0.1",0.332439870753051,-0.746769419239282,237,1306,0.350210970464135,0.328499973062193
"flammenai/flammen23-mistral-7B",0.672573385728735,0.754323459442234,237,1306,0.691983122362869,0.668270198093291
"perlthoughts/Chupacabra-7B",0.628485864218341,0.515762528217927,237,1306,0.649789029535865,0.623762898661509
"jingyeom/freeze_KoSoLAR-10.7B-v0.2_1.4_dedup",0.357011868827726,-0.63170879667752,237,1306,0.362869198312236,0.355713284087006
"Eric111/Snorkel-Mistral-PairRM-DPO-openchat-3.5-0106-laser",0.515387133077992,0.00448664689015914,237,1306,0.535864978902954,0.510847142937191
"indischepartij/MiniCPM-3B-Bacchus",0.401936489327924,-0.455417471804808,237,1306,0.417721518987342,0.398436908383787
"abhishek/autotrain-mixtral-8x7b-orpo-v1",0.598106606846819,0.345166255696671,237,1306,0.641350210970464,0.588519390591156
"CultriX/MergeTrix-7B-v2",0.729878159358123,1.11020067869362,237,1306,0.759493670886076,0.723312325651738
"openthaigpt/openthaigpt-1.0.0-70b-chat",0.389704212796026,-0.508955815397159,237,1306,0.409282700421941,0.385363612639486
"LeroyDyer/SpydazWeb_AI_BASE_128k",0.484259654467072,-0.137363551366161,237,1306,0.518987341772152,0.476560438478948
"bn22/Nous-Hermes-2-SOLAR-10.7B-MISALIGNED",0.673978058057673,0.716333710856793,237,1306,0.729957805907173,0.661567206569992
"Danielbrdz/Barcenas-13b",0.134302941311558,-1.80242791603084,237,1306,0.130801687763713,0.135079178066318
"chatty123/mistral_rank8_packing",0.3708508925853,-0.584687944024585,237,1306,0.388185654008439,0.367007732194951
"StrangeSX/Saraa-8B-ORPO-AUNQA-16bit",0.403846369987623,-0.453528607650782,237,1306,0.426160337552743,0.39889930701949
"migtissera/Synthia-70B",0.305964046830669,-0.875494334444606,237,1306,0.337552742616034,0.298960753190695
"vikash06/doctorLLM",0.173420192465985,-1.50651142613246,237,1306,0.160337552742616,0.176320646735806
"jeonsworld/CarbonVillain-en-10.7B-v3",0.665297816520405,0.673167492801707,237,1306,0.717299578059072,0.653768894645135
"mlabonne/NeuralBeagle14-7B",0.719589730373898,1.05319454960353,237,1306,0.738396624472574,0.715420194451179
"InferenceIllusionist/Excalibur-7b",0.692792405736643,0.867851533417505,237,1306,0.717299578059072,0.687359103734383
"ibivibiv/dolphin-ultrafeedback-dpo",0.508755980928345,-0.0215321620316444,237,1306,0.527426160337553,0.504616754997585
"dillfrescott/trinity-medium",0.656392041617345,0.64962761007422,237,1306,0.687763713080169,0.649436862817822
"TeeZee/Xwin-LM-70B-V0.1_Jannie",0.393765068715015,-0.492439570425672,237,1306,0.413502109704641,0.389389316877278
"LeroyDyer/Mixtral_AI_base_128k",0.485407249192362,-0.135451593944503,237,1306,0.523206751054852,0.477027004158302
"jondurbin/airoboros-34b-3.2",0.524232186835266,0.0262772820794318,237,1306,0.561181434599156,0.516040445282374
"robinsmits/Qwen1.5-7B-Dutch-Chat-Dpo",0.25570429720902,-1.07218723016734,237,1306,0.253164556962025,0.256267364036464
"NurtureAI/neural-chat-11b-v3-2",0.403056284740304,-0.446010616303879,237,1306,0.413502109704641,0.400740418962429
"allknowingroger/Lamma3merge2-15B-MoE",0.643416519728329,0.561069923918527,237,1306,0.691983122362869,0.63264918125837
"NousResearch/Yarn-Mistral-7b-64k",0.360372548043004,-0.634098152793584,237,1306,0.383966244725738,0.355141765897253
"BlouseJury/Mistral-7B-Discord-0.1-DPO",0.322023869570833,-0.789478224017201,237,1306,0.337552742616034,0.318581079195049
"cookinai/NeuralLlama-3-ORPO",0.38156614362182,-0.542164215754694,237,1306,0.40084388185654,0.377292220364918
"Eric111/UltraCatunaMayo-DPO",0.719976198904382,1.06987095167319,237,1306,0.729957805907173,0.717763251421068
"Kukedlc/NeuralKrishnaMath-7B-slerp",0.745340800094009,1.24181754975449,237,1306,0.767932489451477,0.740332165503064
"GritLM/GritLM-8x7B",0.580299290618801,0.262638830050995,237,1306,0.624472573839662,0.570505962159171
"Minirecord/Mini_DPO_test02",0.347447065307419,-0.67683101888739,237,1306,0.358649789029536,0.344963393163227
"MaziyarPanahi/Llama-3-8B-Instruct-v0.8",0.650759792683911,0.593121676306083,237,1306,0.704641350210971,0.638814115290166
"Inv/Elbrus-7B",0.391646447140383,-0.503055339484264,237,1306,0.413502109704641,0.386800991548494
"PocketDoc/Dans-AdventurousWinds-7b",0.172181991100241,-1.52211961827523,237,1306,0.164556962025316,0.173872479304878
"sail/Sailor-1.8B",0.0419411947437755,-3.17124908662136,237,1306,0.0126582278481013,0.0484333024652674
"cloudyu/mistral_11B_instruct_v0.1",0.278605571465833,-0.971545481558048,237,1306,0.282700421940928,0.277697732773038
"v1olet/v1olet_marcoroni-go-bruins-merge-7B",0.762850047350135,1.37529696508879,237,1306,0.793248945147679,0.756110534929164
"Alsebay/L3-test-2",0.693378151596521,0.837890487584738,237,1306,0.742616033755274,0.682461988760577
"paulml/NeuralOmniBeagleMBX-v3-7B",0.750341454344308,1.28436540452362,237,1306,0.772151898734177,0.74550602373589
"robinsmits/Qwen1.5-7B-Dutch-Chat-Sft",0.297089217410615,-0.882111399430864,237,1306,0.29535864978903,0.297472888623259
"MayaPH/GodziLLa2-70B",0.418218668181598,-0.393397030480807,237,1306,0.438818565400844,0.413651618938416
"Steelskull/Umbra-v2.1-MoE-4x10.7",0.674015140310182,0.721838837301319,237,1306,0.725738396624473,0.662547963746583
"TeeZee/GALAXY-XB-v.03",0.42182005402351,-0.379305214662368,237,1306,0.443037974683544,0.417115987422549
"cookinai/OpenCM-14",0.729207269300978,1.09049715037514,237,1306,0.767932489451477,0.720621790184357
"PracticeLLM/SOLAR-tail-10.7B-Merge-v1.0",0.644629775032713,0.544661385714459,237,1306,0.713080168776371,0.629454149852875
"EleutherAI/pythia-2.7b",0.0465307704672005,-2.97924126170483,237,1306,0.0126582278481013,0.0540403987185818
"Weyaxi/Bagel-Hermes-2x34b",0.673285381550299,0.70637765684479,237,1306,0.734177215189873,0.65978550823638
"TheBloke/robin-33B-v2-GPTQ",0.274897779884316,-0.99246378548327,237,1306,0.282700421940928,0.273167914433038
"SC99/Mistral-7B-summ-lora-tuned-8h",0.398708858234493,-0.463886286853335,237,1306,0.409282700421941,0.396364610714918
"alykassem/ds_diasum_md_mixtral",0.53276692378858,0.0743194115193534,237,1306,0.556962025316456,0.527402808669678
"yleo/EmertonBeagle-7B-dpo",0.734332699008946,1.14385413907724,237,1306,0.763713080168776,0.727818994299049
"ResplendentAI/Paradigm_Shift_7B",0.423652383179356,-0.35879781774211,237,1306,0.430379746835443,0.422160909665331
"quantumaikr/quantum-v0.01",0.719560504894293,1.03323743698867,237,1306,0.751054852320675,0.712578128523804
"stabilityai/stablelm-2-1_6b-chat",0.421936653011368,-0.382530126887235,237,1306,0.447257383966245,0.416322983005469
"kimou605/shadow-clown-BioMistral-7B-DARE",0.61377724350626,0.436158304981132,237,1306,0.641350210970464,0.607664246977714
"Aspik101/StableBeluga-13B-instruct-PL-lora_unload",0.127477311839521,-1.84906827599955,237,1306,0.118143459915612,0.129546650385795
"vanillaOVO/supermario_v1",0.733205980736295,1.14052383048373,237,1306,0.759493670886076,0.727377933434613
