"model","pirt_accuracy","theta","n_subset_items","n_all_items","avg_observed","avg_predicted"
"dzakwan/dzakwan-MoE-4x7b-Beta",0.820781063997078,0.869235337992426,93,5711,0.924731182795699,0.819060280613619
"CultriX/SevereNeuralBeagleTrix-7B",0.810895048634195,0.6992941401056,93,5711,0.913978494623656,0.809188612095032
"mahiatlinux/MasherAI-v6.1-7B-checkpoint6",0.716862397934452,-0.689845038413407,93,5711,0.752688172043011,0.716269340442089
"Qwen/Qwen1.5-MoE-A2.7B",0.645051043374516,-1.88788791451007,93,5711,0.612903225806452,0.645583216217847
"bongchoi/MoMo-70B-LoRA-V1.1",0.741281722135275,-0.337174632960588,93,5711,0.806451612903226,0.740202904078774
"liminerity/Blur-7b-v1.22",0.669280378491604,-1.45235093904211,93,5711,0.741935483870968,0.668077650688065
"Mr-Bhaskar/fbt-mistral-7b",0.710889295644868,-0.774998203396267,93,5711,0.741935483870968,0.710375359100719
"Kquant03/Ryu-4x7B-MoE-bf16",0.724390874493258,-0.594455698280111,93,5711,0.817204301075269,0.722854447175329
"Eurdem/Defne_llama3_2x8B",0.72924368657597,-0.525054889604086,93,5711,0.827956989247312,0.727609593099923
"nbeerbower/llama-3-wissenschaft-8B-v2",0.74272903594624,-0.325655661113932,93,5711,0.849462365591398,0.74096217947472
"openaccess-ai-collective/DPOpenHermes-11B",0.729065341096891,-0.514651775868029,93,5711,0.774193548387097,0.728318291741606
"jisukim8873/falcon-7B-case-6",0.635980129669973,-2.07471676859954,93,5711,0.623655913978495,0.636184143920473
"elinas/chronos-mistral-7b",0.628538592511957,-2.20001158685771,93,5711,0.559139784946237,0.629687415777107
"silvercoder45/Mistral-7b-instruct-v0.2-summ-dpo-e2",0.758621807858516,-0.0820304716531795,93,5711,0.860215053763441,0.756940039992877
"BarraHome/zephyr-dpo-v2",0.678352055094293,-1.28799179159825,93,5711,0.741935483870968,0.677299499224548
"FelixChao/Scorpio-7B",0.811556306882619,0.71011231782904,93,5711,0.913978494623656,0.809860816768714
"euclaise/Ferret_7B",0.68015030050978,-1.26273852207507,93,5711,0.763440860215054,0.678771514099565
"NickyNicky/Mistral-7B-OpenOrca-oasst_top1_2023-08-25-v2",0.695409473891797,-1.00447526179828,93,5711,0.731182795698925,0.694817284691358
"h2m/mhm-8x7B-FrankenMoE-v1.0",0.791056844148081,0.407691785611946,93,5711,0.881720430107527,0.789556005149464
"mistral-community/Mistral-7B-v0.2",0.72972658884368,-0.504767589332769,93,5711,0.774193548387097,0.72899048573981
"MaziyarPanahi/Calme-7B-Instruct-v0.9",0.829927804187788,1.05617375009369,93,5711,0.935483870967742,0.828180436047786
"DiscoResearch/DiscoLM-70b",0.730015307853873,-0.500446522957953,93,5711,0.774193548387097,0.729283984185381
