"model","pirt_accuracy","theta","n_subset_items","n_all_items","avg_observed","avg_predicted","actual_accuracy","n_items","error","abs_error","squared_error"
"0-hero/Matter-0.1-Slim-7B-preview",0.557253724259278,-3.20439291173729,58,5711,0.689655172413793,0.555895280248494,0.712484678690247,5711,-0.155230954430969,0.155230954430969,0.0240966492135496
"0-hero/Matter-0.2-32B",0.565323925252206,-3.12462874182395,58,5711,0.741379310344828,0.56351759014954,0.76921729994747,5711,-0.203893374695264,0.203893374695264,0.0415725082446233
"222gate/Blurdus-7b-v0.1",0.834263322874397,1.17345068454886,58,5711,0.948275862068966,0.83309354978519,0.85011381544388,5711,-0.015850492569483,0.015850492569483,0.000251238114695236
"AA051610/A0121",0.638879047605752,-2.03274801573325,58,5711,0.793103448275862,0.637296699252866,0.788478375065663,5711,-0.149599327459911,0.149599327459911,0.0223799587764577
"AA051610/A0127",0.682249543981603,-1.21466472129489,58,5711,0.775862068965517,0.681289075832113,0.772194011556645,5711,-0.089944467575042,0.089944467575042,0.00809000724735779
"AA051610/A12P",0.639719510996634,-2.00575820599615,58,5711,0.741379310344828,0.638676477498988,0.735597968832078,5711,-0.0958784578354439,0.0958784578354439,0.00919267867690299
"AA051611/O0201",0.58271187568537,-2.92786922353434,58,5711,0.758620689655172,0.580907044408128,0.77254421292243,5711,-0.18983233723706,0.18983233723706,0.0360363162608849
"abhishek/autotrain-llama3-70b-orpo-v1",0.578357601098951,-2.97789150837351,58,5711,0.741379310344828,0.576684992017709,0.798634214673437,5711,-0.220276613574486,0.220276613574486,0.0485217864878434
"abhishek/autotrain-llama3-8b-open-hermes-sft",0.544749503264021,-3.32321830676727,58,5711,0.620689655172414,0.543970354350048,0.673962528453861,5711,-0.12921302518984,0.12921302518984,0.0166960058787102
"abhishek/autotrain-mixtral7x8b-math",0.789589315429933,0.388517211044825,58,5711,0.862068965517241,0.788845671399318,0.780073542286815,5711,0.00951577314311802,0.00951577314311802,9.05499385112863e-05
"abideen/NexoNimbus-MoE-2x7B",0.700550799782461,-0.933405367322622,58,5711,0.810344827586207,0.699424308784298,0.800560322185257,5711,-0.100009522402796,0.100009522402796,0.0100019045712353
"acrastt/kalomaze-stuff",0.583578714566505,-2.90866322497018,58,5711,0.689655172413793,0.582490365980773,0.761687970583085,5711,-0.17810925601658,0.17810925601658,0.0317229070787796
"adamo1139/Yi-34B-200K-AEZAKMI-RAW-2301",0.565942736691776,-3.12172592791063,58,5711,0.775862068965517,0.563788956173135,0.775871125897391,5711,-0.209928389205615,0.209928389205615,0.0440699285944642
"adamo1139/yi-34b-200k-rawrr-dpo-2",0.585771074842745,-2.89232298476147,58,5711,0.775862068965517,0.5838207338452,0.77709683067764,5711,-0.191325755834895,0.191325755834895,0.0366055448457938
