"model","pirt_accuracy","theta","n_subset_items","n_all_items","avg_observed","avg_predicted","actual_accuracy","n_items","error","abs_error","squared_error"
"0-hero/Matter-0.1-7B",0.720457076747673,0.169928071318346,133,1045,0.789473684210526,0.710392154826007,0.750239234449761,1045,-0.029782157702088,0.029782157702088,0.000886976917392041
"01-ai/Yi-1.5-9B-Chat",0.649763974638591,-0.867233195669358,133,1045,0.75187969924812,0.634872098133034,0.739712918660287,1045,-0.089948944021696,0.089948944021696,0.00809081253061819
"01-ai/Yi-34B-200K",0.707680007348864,-0.199146966311203,133,1045,0.87218045112782,0.683690359297767,0.805741626794258,1045,-0.0980616194453939,0.0980616194453939,0.00961608120825326
"01-ai/Yi-34B-Chat",0.694777737795549,-0.286496539367031,133,1045,0.819548872180451,0.676581947364417,0.77799043062201,1045,-0.083212692826461,0.083212692826461,0.00692435224743096
"222gate/Blurdus-7b-v0.1",0.802562408359725,1.52733189890602,133,1045,0.954887218045113,0.780348373613939,0.817224880382775,1045,-0.0146624720230499,0.0146624720230499,0.000214988085826722
"222gate/Blurred-Beagle-7b-slerp",0.803480720342103,1.5261432212475,133,1045,0.962406015037594,0.780304114865677,0.822966507177033,1045,-0.01948578683493,0.01948578683493,0.00037969588857633
"64bits/LexPodLM-13B",0.660052460363026,-0.766271535445663,133,1045,0.789473684210526,0.641178531885266,0.726315789473684,1045,-0.066263329110658,0.066263329110658,0.00439082878482738
"8xqmff94/slm",0.644819308632172,-0.799555930000932,133,1045,0.684210526315789,0.639074756053312,0.674641148325359,1045,-0.0298218396931871,0.0298218396931871,0.000889342122686148
"AA051610/A11P",0.686232310891832,-0.448680176866394,133,1045,0.842105263157895,0.663500838686364,0.774162679425837,1045,-0.087930368534005,0.087930368534005,0.00773174971052594
"AA051615/L0223",0.674965419068015,-0.623882952521256,133,1045,0.842105263157895,0.650590858471575,0.770334928229665,1045,-0.09536950916165,0.09536950916165,0.00909534327773404
"AA051615/L0225",0.668041350346777,-0.643646466863307,133,1045,0.796992481203007,0.64923597709691,0.759808612440191,1045,-0.091767262093414,0.091767262093414,0.00842123039212134
"aaditya/Llama3-OpenBioLLM-8B",0.619701844257451,-1.27753352136434,133,1045,0.684210526315789,0.610294328123944,0.667942583732057,1045,-0.0482407394746059,0.0482407394746059,0.0023271689450568
"aari1995/germeo-7b-laser",0.684806771996349,-0.318818440694854,133,1045,0.759398496240602,0.673928812210729,0.733014354066986,1045,-0.048207582070637,0.048207582070637,0.0023239709690972
"abacusai/Fewshot-Metamath-Mistral",0.698069822422304,-0.158119928725151,133,1045,0.774436090225564,0.686933075034329,0.722488038277512,1045,-0.024418215855208,0.024418215855208,0.00059624926555153
"abacusai/MetaMath-bagel-34b-v0.2-c1500",0.73740225575734,0.251110543457236,133,1045,0.887218045112782,0.715554119809672,0.785645933014354,1045,-0.0482436772570141,0.0482436772570141,0.00232745239527894
"abacusai/Smaug-2-72B",0.697794600014276,-0.257734279131652,133,1045,0.827067669172932,0.678942277428639,0.794258373205742,1045,-0.096463773191466,0.096463773191466,0.0093052595383346
"abacusai/Smaug-70B-v0.1",0.701043580456626,-0.292531197415746,133,1045,0.87218045112782,0.676086120150411,0.831578947368421,1045,-0.130535366911795,0.130535366911795,0.017039482014797
"abhishek/autotrain-llama3-orpo-v2",0.664356003733856,-0.625263293005805,133,1045,0.759398496240602,0.650495640243289,0.725358851674641,1045,-0.061002847940785,0.061002847940785,0.00372134745688654
"abhishekchohan/Yi-9B-Forest-DPO-v1.0",0.663224717991284,-0.693249399262759,133,1045,0.781954887218045,0.645909901645715,0.734928229665072,1045,-0.071703511673788,0.071703511673788,0.00514139358635305
"aboros98/merlin1",0.559148159150065,-2.26723356638286,133,1045,0.669172932330827,0.543102879727871,0.717703349282297,1045,-0.158555190132232,0.158555190132232,0.0251397483178682
"adamo1139/Yi-34B-200K-HESOYAM-0905",0.7074619602235,-0.188528293752218,133,1045,0.864661654135338,0.684537004861357,0.808612440191388,1045,-0.101150479967888,0.101150479967888,0.0102314195977341
"Aeala/VicUnlocked-alpaca-30b",0.703603941350039,-0.202701763756848,133,1045,0.842105263157895,0.683405831919727,0.75311004784689,1045,-0.0495061064968509,0.0495061064968509,0.00245085458047755
"AGI-0/ThetaWave-7B-v0.1",0.751273762372033,0.575496593727485,133,1045,0.864661654135338,0.734738028156551,0.792344497607655,1045,-0.041070735235622,0.041070735235622,0.00168680529279456
"AIDC-ai-business/Marcoroni-7B-v2",0.765734419430962,0.83587583914024,133,1045,0.879699248120301,0.749114548580434,0.781818181818182,1045,-0.01608376238722,0.01608376238722,0.000258687412528552
"aihub-app/ZySec-8B-v2",0.600881919024834,-1.62230134196885,133,1045,0.676691729323308,0.58982632168964,0.647846889952153,1045,-0.046964970927319,0.046964970927319,0.00220570849420392
"aiplanet/effi-7b",0.626625602930334,-1.19827371322228,133,1045,0.706766917293233,0.614938327919078,0.685167464114833,1045,-0.058541861184499,0.058541861184499,0.00342714951094515
"ajibawa-2023/Code-290k-13B",0.634215186271812,-1.07063342635538,133,1045,0.714285714285714,0.622538234269785,0.689952153110048,1045,-0.055736966838236,0.055736966838236,0.00310660947232662
"ajibawa-2023/Code-Mistral-7B",0.774738648987053,0.909813189186458,133,1045,0.924812030075188,0.752852947578367,0.802870813397129,1045,-0.0281321644100759,0.0281321644100759,0.000791418674395543
"ajibawa-2023/Python-Code-33B",0.635266975752829,-1.05058995120264,133,1045,0.714285714285714,0.623743409716784,0.720574162679426,1045,-0.085307186926597,0.085307186926597,0.00727731614132936
"ajibawa-2023/SlimOrca-Llama-3-8B",0.607731994568508,-1.51159395827324,133,1045,0.684210526315789,0.596578875355363,0.642105263157895,1045,-0.0343732685893869,0.0343732685893869,0.00118152159351813
"ajibawa-2023/Uncensored-Frank-Llama-3-8B",0.643389909874193,-0.914904217652187,133,1045,0.721804511278195,0.631954447169443,0.699521531100478,1045,-0.056131621226285,0.056131621226285,0.00315075890149113
"allenai/OLMo-1.7-7B-hf",0.625128247092041,-1.28372830392742,133,1045,0.729323308270677,0.60993313400349,0.687081339712919,1045,-0.061953092620878,0.061953092620878,0.00383818568529109
"allenai/OLMo-7B-hf",0.58610469794987,-1.66471164512541,133,1045,0.578947368421053,0.587148475172823,0.650717703349282,1045,-0.0646130053994121,0.0646130053994121,0.00417484046674445
"allknowingroger/Calmesmol-7B-slerp",0.781571894330603,1.07756021363259,133,1045,0.924812030075188,0.760682707867851,0.804784688995215,1045,-0.023212794664612,0.023212794664612,0.00053883383614144
"allknowingroger/CalmExperiment-7B-slerp",0.823341490539582,2.26631830667517,133,1045,0.992481203007519,0.798675282471341,0.840191387559809,1045,-0.016849897020227,0.016849897020227,0.000283919029592254
"allknowingroger/CeptrixBeagle-12B-MoE",0.816811897417463,1.92316854206864,133,1045,0.984962406015038,0.792289948246983,0.838277511961723,1045,-0.02146561454426,0.02146561454426,0.000460772607762746
"allknowingroger/Meme-7B-slerp",0.743291844598237,0.416530415807248,133,1045,0.864661654135338,0.72559208070741,0.784688995215311,1045,-0.0413971506170739,0.0413971506170739,0.00171372407921271
"allknowingroger/MistralMerge-7B-stock",0.70096979588555,-0.253472570909637,133,1045,0.849624060150376,0.679291049013596,0.769377990430622,1045,-0.0684081945450721,0.0684081945450721,0.00467968108091643
"allknowingroger/Neuraljack-12B-MoE",0.813588427555889,1.77788967059826,133,1045,0.984962406015038,0.788596389030597,0.828708133971292,1045,-0.0151197064154029,0.0151197064154029,0.000228605522087977
"allknowingroger/ROGERphi-7B-slerp",0.762802760045283,0.773281635204911,133,1045,0.879699248120301,0.745755355534343,0.78755980861244,1045,-0.024757048567157,0.024757048567157,0.00061291145375657
"alnrg2arg/blockchainlabs_joe_bez_seminar",0.813588427555889,1.77788967059826,133,1045,0.984962406015038,0.788596389030597,0.839234449760766,1045,-0.025646022204877,0.025646022204877,0.000657718454933044
"alvarobartt/mistral-7b-orpo-airoboros-pref-10k",0.696998235741498,-0.173770595786601,133,1045,0.774436090225564,0.685705215295905,0.71866028708134,1045,-0.021662051339842,0.021662051339842,0.000469244468249951
"alvarobartt/mistral-7b-orpo-alignment-handbook",0.720428636767112,0.152599762645433,133,1045,0.796992481203007,0.70926307612021,0.750239234449761,1045,-0.029810597682649,0.029810597682649,0.000888671734196761
"AmberYifan/test-spin-lora-iter0",0.705484310344604,-0.0607122117234017,133,1045,0.781954887218045,0.694332351217227,0.731100478468899,1045,-0.025616168124295,0.025616168124295,0.000656188069372148
"amu/spin-phi2-1.5",0.562914775139344,-2.29661349642009,133,1045,0.714285714285714,0.540839846513832,0.698564593301435,1045,-0.135649818162091,0.135649818162091,0.0184008731674084
"antiven0m/finch",0.801810983234879,1.44773762402712,133,1045,0.969924812030075,0.777294383202246,0.831578947368421,1045,-0.029767964133542,0.029767964133542,0.000886131688655842
"Aratako/Mixtral-8x7B-Instruct-v0.1-upscaled",0.700781008133274,-0.282847560688681,133,1045,0.864661654135338,0.676881747257973,0.779904306220096,1045,-0.0791232980868219,0.0791232980868219,0.00626049630013608
"Artples/L-MChat-7b",0.756632558779654,0.665687537319672,133,1045,0.87218045112782,0.73978182447888,0.793301435406699,1045,-0.036668876627045,0.036668876627045,0.00134460651308945
"Aspik101/StableBeluga-13B-instruct-PL-lora_unload",0.658001800739567,-0.734512911224855,133,1045,0.759398496240602,0.643214782645666,0.734928229665072,1045,-0.0769264289255049,0.0769264289255049,0.00591767546723076
