"model","pirt_accuracy","theta","n_subset_items","n_all_items","avg_observed","avg_predicted"
"01-ai/Yi-1.5-9B-Chat",0.649763974638591,-0.867233195669358,133,1045,0.75187969924812,0.634872098133034
"jeiku/Garbage_9B",0.745196522676621,0.435031512773378,133,1045,0.87218045112782,0.726678033110821
"danyoung/billie",0.778351371964178,1.02077534556697,133,1045,0.917293233082707,0.758089017217726
"Locutusque/Hercules-4.0-Mistral-v0.2-7B",0.720798255029179,0.0932377737376549,133,1045,0.827067669172932,0.705300632133215
"jondurbin/bagel-7b-v0.1",0.73831313825304,0.357506685199517,133,1045,0.849624060150376,0.722080295476345
"jjaaaww/posi_13b",0.654314615664334,-0.749043225095111,133,1045,0.736842105263158,0.642279356764506
"zorobin/mistral-class-shishya-all-hal-7b-ep3",0.639700486513898,-1.05727803217617,133,1045,0.75187969924812,0.623341017990157
"tricktreat/Llama-2-7b-chat-hf-guanaco-freeze-embed-tokens-q-v-proj-lora",0.610476219389284,-1.55046637396828,133,1045,0.721804511278195,0.594240843488818
"saishf/West-Maid-7B",0.774058447921969,0.962130007704513,133,1045,0.902255639097744,0.755363024208834
"shadowml/Marcoro14-7B-ties",0.776788863608528,1.02954931116202,133,1045,0.902255639097744,0.75849162551635
"beberik/Nyxene-v3-11B",0.759582843552679,0.667321947846234,133,1045,0.894736842105263,0.739872885430427
"01-ai/Yi-34B-200K",0.707680007348864,-0.199146966311203,133,1045,0.87218045112782,0.683690359297767
"eren23/dpo-binarized-NeutrixOmnibe-7B",0.823341490539582,2.26631830667517,133,1045,0.992481203007519,0.798675282471341
"OpenBuddy/openbuddy-mistral-7b-v13.1",0.65813355605888,-0.682003488153988,133,1045,0.736842105263158,0.64665522596659
"lemon-mint/gemma-ko-7b-instruct-v0.71",0.628264148158121,-1.1850348894971,133,1045,0.714285714285714,0.61571933643118
"icefog72/IceCoffeeTest2",0.759856244353701,0.692625397540272,133,1045,0.887218045112782,0.741282648409669
"shahzebnaveed/NeuralHermes-2.5-Mistral-7B",0.749175788997151,0.552352590771091,133,1045,0.857142857142857,0.733430591559235
"ChaoticNeutrals/Eris_Remix_DPO_7B",0.80449920504184,1.49887170050722,133,1045,0.977443609022556,0.779278146127986
"Ritvik19/zephyr-phi-1_5-sft-qlora",0.586503070708186,-1.91328429295695,133,1045,0.699248120300752,0.57006108430927
"h2oai/h2o-danube2-1.8b-sft",0.589930761298594,-1.64749094830999,133,1045,0.601503759398496,0.588243032409025
"v1olet/v1olet_merged_dpo_7B",0.754478527755054,0.582294375729498,133,1045,0.887218045112782,0.735120681473718
"ChavyvAkvar/llama-3-lumimaid-habib-v5",0.654930933002311,-0.755135881258104,133,1045,0.744360902255639,0.641889062486201
"jondurbin/airoboros-l2-7b-2.2.1",0.615255836084822,-1.34619951309076,133,1045,0.676691729323308,0.606296434987543
"Locutusque/Hyperion-2.1-Mistral-7B",0.735359213700727,0.337767650100041,133,1045,0.834586466165414,0.720888572716293
"FredrikBL/test-dare",0.762748971157987,0.752250354415126,133,1045,0.887218045112782,0.744597231206246
"dddsaty/Merge_Sakura_Solar",0.759230534337191,0.562181382849759,133,1045,0.932330827067669,0.73398674164733
"ericpolewski/ASTS-PFAF",0.664318880827661,-0.658042188471969,133,1045,0.774436090225564,0.6482601211238
"chujiezheng/zephyr_0.1",0.720207990191574,0.132126702652133,133,1045,0.804511278195489,0.707913760691003
"prince-canuma/Llama-3-6B-v0.1",0.648817215801798,-0.849256908697125,133,1045,0.736842105263158,0.635980252755349
"Ppoyaa/Lumina-2",0.768668875434799,0.85846600882403,133,1045,0.894736842105263,0.75028396362869
"jerryjalapeno/nart-100k-7b",0.612867886849807,-1.37435966009106,133,1045,0.669172932330827,0.604656734383825
"vicgalle/zephyr-7b-truthy",0.745226995386111,0.473320353322524,133,1045,0.857142857142857,0.728905932213253
"MaziyarPanahi/YamshadowInex12_Multi_verse_modelExperiment28",0.823341490539582,2.26631830667517,133,1045,0.992481203007519,0.798675282471341
"NeuralNovel/Neural-Llama-3",0.650542250728559,-0.835041842573088,133,1045,0.744360902255639,0.636860364047526
"Gille/StrangeMerges_46-7B-dare_ties",0.746410224331323,0.45888177221704,133,1045,0.87218045112782,0.728068732923501
"uukuguy/speechless-code-mistral-7b-v1.0",0.721157743931249,0.115562984310223,133,1045,0.819548872180451,0.706809037728241
"xxx777xxxASD/L3-ChaoticSoliloquy-v1.5-4x8B",0.664330612284315,-0.625685323354258,133,1045,0.759398496240602,0.650466545874024
"LLMNewbie/vic_critT_20pr",0.654892115296989,-0.773044379002752,133,1045,0.75187969924812,0.640748092637449
"paulml/DPOB-NMTOB-7B",0.813588427555889,1.77788967059826,133,1045,0.984962406015038,0.788596389030597
"grimjim/llama-3-merge-virt-req-8B",0.658354696624456,-0.694730163966994,133,1045,0.744360902255639,0.645812124969908
"mistral-community/Mixtral-8x22B-v0.1",0.704926854389323,-0.211135366621535,133,1045,0.857142857142857,0.682728687321099
"lmsys/vicuna-13b-v1.1",0.642972090017392,-1.03144126685949,133,1045,0.766917293233083,0.62489674788177
"cloudyu/Mixtral_7Bx4_MOE_24B",0.718838772177265,-0.0315586048319219,133,1045,0.87218045112782,0.696476443996976
"totally-not-an-llm/PuddleJumper-13b-V2",0.612743917462034,-1.43307022551059,133,1045,0.691729323308271,0.601225212442792
"jisukim8873/falcon-7B-case-c",0.608632750411751,-1.47580071952519,133,1045,0.676691729323308,0.598707482653816
"Yuma42/KangalKhan-ShatteredRuby-7B",0.758336607658128,0.68105289862324,133,1045,0.879699248120301,0.740637889257394
"lodrick-the-lafted/Grafted-Wind-Elementals-2x70B",0.689583660650157,-0.455669914718662,133,1045,0.87218045112782,0.662954962038832
"inswave/AISquare-Instruct-llama2-koen-13b-v0.9.24",0.674902041350163,-0.517971947421107,133,1045,0.789473684210526,0.65819367676636
"mychen76/openmixtral-4x7b-merged",0.77643256192975,0.973349598335848,133,1045,0.917293233082707,0.755890380719944
"CultriX/MonaTrix-v4",0.816811897417463,1.92316854206864,133,1045,0.984962406015038,0.792289948246983
"jordiclive/gpt4all-alpaca-oa-codealpaca-lora-13b",0.683251376555416,-0.422433002327549,133,1045,0.804511278195489,0.665567640899572
"liminerity/Blur-7b-v1.21",0.811555390730095,1.73495679982828,133,1045,0.977443609022556,0.787363358895778
"DeepMount00/Mistral-RAG",0.630052673228787,-1.33748096030539,133,1045,0.789473684210526,0.60680377579395
"Lazycuber/L2-7b-Orca-WVG-Test",0.611915136876597,-1.37427731296154,133,1045,0.661654135338346,0.604661532934259
"tuantran1632001/Psyfighter2-Orca2-ties",0.672483140879832,-0.570791367117839,133,1045,0.796992481203007,0.654325528749369
"flammenai/flammen24-mistral-7B",0.774107082285008,0.96331227443541,133,1045,0.902255639097744,0.75541875108315
"Locutusque/Mistral-7B-SFT",0.626421717523962,-1.20223944649655,133,1045,0.706766917293233,0.614704709224276
"macadeliccc/Laser-WestLake-2x7b",0.823341490539582,2.26631830667517,133,1045,0.992481203007519,0.798675282471341
"refine-ai/Power-Llama-3-13b-Instruct",0.66404033777392,-0.746252567300117,133,1045,0.81203007518797,0.642458501067704
"ajibawa-2023/Code-Mistral-7B",0.774738648987053,0.909813189186458,133,1045,0.924812030075188,0.752852947578367
"bigcode/starcoderplus",0.607747570991116,-1.41850039967636,133,1045,0.646616541353383,0.602079179479952
"BAAI/Aquila2-34B",0.641797913171327,-1.05378186359231,133,1045,0.766917293233083,0.623551336912321
"elinas/Llama-3-15B-Instruct-ft-v2",0.65732816762767,-0.712640685730547,133,1045,0.744360902255639,0.644635893827758
"voidful/phi-1_5_chat",0.589903334169747,-1.85952813352811,133,1045,0.699248120300752,0.573957219525643
"grimjim/kukulemon-7B",0.758963997156357,0.713641053424914,133,1045,0.87218045112782,0.742453264285519
"BFauber/lora_llama2-13b_10e5_r128_a4",0.65942609100378,-0.743214517380602,133,1045,0.774436090225564,0.642653799450604
"ruslanmv/Medical-Mixtral-7B-v2k",0.707500476427946,-0.117546389385764,133,1045,0.827067669172932,0.690063594152635
"mahiatlinux/MasherAI-v6.1-7B-checkpoint3",0.75217903715975,0.555032005715976,133,1045,0.879699248120301,0.733582339728003
"G-reen/EXPERIMENT-DPO-m7b2-2-merged",0.719730357885897,0.123898375950982,133,1045,0.804511278195489,0.707366473674082
"ChaoticNeutrals/Prodigy_7B",0.788408418008582,1.15297231208138,133,1045,0.954887218045113,0.764130259669921
"augtoma/qCammel-70x",0.709678040586799,-0.184166983763378,133,1045,0.879699248120301,0.68488328115483
"osanseviero/mistral-instruct-moe-experimental",0.685096983837657,-0.395878083298466,133,1045,0.804511278195489,0.667682399243806
"lyogavin/Anima-7B-100K",0.58710605264102,-1.69793873577811,133,1045,0.601503759398496,0.585006387072222
"G-reen/EXPERIMENT-SFT-m7b2-2-merged",0.720687304916722,0.12389853456263,133,1045,0.81203007518797,0.707366484252164
"ewqr2130/llama_ppo_1e6_new_tokenizerstep_8000",0.625838592453418,-1.21359575656077,133,1045,0.706766917293233,0.614036545080944
"ibivibiv/orthorus-125b-moe",0.709681761889186,-0.184113211401296,133,1045,0.879699248120301,0.684887545147149
"Locutusque/Hercules-2.0-Mistral-7B",0.735962914447284,0.331096677778824,133,1045,0.842105263157895,0.720483821926987
"kaitchup/Mayonnaise-4in1-03",0.806059907919241,1.57699081924864,133,1045,0.969924812030075,0.782162942736411
"rombodawg/Open_Gpt4_8x7B",0.706381711945309,-0.190304767875858,133,1045,0.857142857142857,0.684395711604
"Undi95/MLewd-v2.4-13B",0.669109458154905,-0.578847861161863,133,1045,0.774436090225564,0.653749324311267
