"model","pirt_accuracy","theta","n_subset_items","n_all_items","avg_observed","avg_predicted"
"dzakwan/dzakwan-MoE-4x7b-Beta",0.852230734659759,1.9784972783224,100,5711,0.85,0.852270491114219
"CultriX/SevereNeuralBeagleTrix-7B",0.842536289848688,1.43480288345496,100,5711,0.83,0.842759713299921
"mahiatlinux/MasherAI-v6.1-7B-checkpoint6",0.74143065610263,-0.32265041113289,100,5711,0.74,0.741456153448961
"Qwen/Qwen1.5-MoE-A2.7B",0.698651455140733,-0.941133625965041,100,5711,0.72,0.698270978490239
"bongchoi/MoMo-70B-LoRA-V1.1",0.775994731368659,0.184323907288814,100,5711,0.82,0.775210463526361
"liminerity/Blur-7b-v1.22",0.722363786908337,-0.604070077127845,100,5711,0.74,0.72204947193611
"Mr-Bhaskar/fbt-mistral-7b",0.753847603849143,-0.138562252811215,100,5711,0.76,0.753737955013804
"Kquant03/Ryu-4x7B-MoE-bf16",0.703421353935085,-0.878553996299391,100,5711,0.75,0.702591223012523
"Eurdem/Defne_llama3_2x8B",0.698550692170825,-0.958348942902479,100,5711,0.78,0.697099091603561
"nbeerbower/llama-3-wissenschaft-8B-v2",0.721217256018457,-0.648157008488009,100,5711,0.85,0.718922072557727
"openaccess-ai-collective/DPOpenHermes-11B",0.738870624568732,-0.358732058397759,100,5711,0.73,0.739028718038145
"jisukim8873/falcon-7B-case-6",0.673384342801925,-1.35028234845136,100,5711,0.72,0.672553552261948
"elinas/chronos-mistral-7b",0.651133307861044,-1.72332540161181,100,5711,0.58,0.652401055283269
"silvercoder45/Mistral-7b-instruct-v0.2-summ-dpo-e2",0.803611054875023,0.605795649963225,100,5711,0.77,0.804210075635583
"BarraHome/zephyr-dpo-v2",0.689981067903866,-1.06810289022423,100,5711,0.7,0.689802509142574
"FelixChao/Scorpio-7B",0.844239784386911,1.4960300232903,100,5711,0.84,0.844315346397014
"euclaise/Ferret_7B",0.745266283606532,-0.266953105400578,100,5711,0.75,0.745181918673481
"NickyNicky/Mistral-7B-OpenOrca-oasst_top1_2023-08-25-v2",0.7249213103684,-0.562143859233472,100,5711,0.72,0.725009018626614
"h2m/mhm-8x7B-FrankenMoE-v1.0",0.833313449899803,1.15541357387022,100,5711,0.82,0.833550724002455
"mistral-community/Mistral-7B-v0.2",0.748177014011638,-0.225186153990286,100,5711,0.76,0.747966303158166
"MaziyarPanahi/Calme-7B-Instruct-v0.9",0.842536289848688,1.43480288345496,100,5711,0.83,0.842759713299921
"DiscoResearch/DiscoLM-70b",0.769444847444946,0.0816070575680358,100,5711,0.83,0.768365625335606
"wenge-research/yayi-70b-llama2",0.740810135996307,-0.33736036013786,100,5711,0.76,0.740468131647641
"fhai50032/xLakeChat",0.739252290712712,-0.352971610743496,100,5711,0.73,0.739417186287702
"MaziyarPanahi/TheTop-5x7B-Instruct-S5-v0.1",0.843104119922265,1.44997426850005,100,5711,0.84,0.84315944196686
"statking/Meta-Llama-3-8B-Instruct-ORPO-QLoRA",0.674783271647718,-1.3163828869706,100,5711,0.69,0.674512077059369
"Noodlz/WizardLaker-7B",0.77634967665616,0.202919027192525,100,5711,0.77,0.776462841451316
"jan-hq/supermario-slerp-v3",0.787758896492447,0.366911832266173,100,5711,0.79,0.787718955242981
"nlpguy/Hermes-low-tune-2",0.747086467678731,-0.231146359148552,100,5711,0.72,0.747569206364861
"liminerity/e.star.7b",0.783770586993339,0.308334989312619,100,5711,0.79,0.783659565553192
"AA051611/O0201",0.732267839037323,-0.470280223687617,100,5711,0.78,0.731417150016423
"fhai50032/RolePlayLake-7B-Toxic",0.775055868887972,0.180711808082454,100,5711,0.78,0.774967753915382
"Gille/StrangeMerges_3-7B-slerp",0.833955051334609,1.17198772244679,100,5711,0.82,0.834203760144707
"Kquant03/Medusa-7B-bf16",0.702705629330503,-0.868573132896989,100,5711,0.67,0.703288513474693
"NeuralNovel/Confinus-2x7B",0.843106826132264,1.45696380892202,100,5711,0.83,0.843340417758218
"amazingvince/where-llambo-7b",0.725819867506653,-0.554207373463193,100,5711,0.74,0.725567147269737
"AA051610/A12P",0.698825509968429,-0.941149215143607,100,5711,0.73,0.698269913995669
"adamo1139/Yi-34B-200K-AEZAKMI-RAW-2301",0.723059095638833,-0.601625180290973,100,5711,0.77,0.722222508499978
"vicgalle/test-merge-2",0.702120238343613,-0.88477004776056,100,5711,0.7,0.7021580255178
"DAMO-NLP-SG/CLEX-Mixtral-8x7B-Chat-32K",0.773894481614395,0.155088511741752,100,5711,0.81,0.773251004188168
"ResplendentAI/Flora_7B",0.839052453872386,1.31911108160308,100,5711,0.82,0.839392009279129
"CausalLM/72B-preview",0.677076337327846,-1.30082535254603,100,5711,0.77,0.67542023925848
