"model","pirt_accuracy","theta","n_subset_items","n_all_items","avg_observed","avg_predicted","actual_accuracy","n_items","error","abs_error","squared_error"
"01-ai/Yi-34B-Chat",0.299333649647097,-0.887512757787462,100,1306,0.33,0.296790834526624,0.322358346094946,1306,-0.023024696447849,0.023024696447849,0.00053013664651559
"01-ai/Yi-9B",0.528256499719444,0.0485250922599326,100,1306,0.57,0.524795181288221,0.493874425727412,1306,0.034382073992032,0.034382073992032,0.00118212701199356
"01-ai/Yi-9B-200K",0.508562995057006,-0.0324042071529927,100,1306,0.55,0.505127090832877,0.480091883614089,1306,0.028471111442917,0.028471111442917,0.000810604186794998
"8xqmff94/slm",0.486856479386924,-0.117727588880151,100,1306,0.52,0.484108260430616,0.497702909647779,1306,-0.010846430260855,0.010846430260855,0.000117645049403592
"922CA/Llama-3-monika-ddlc-11.5b-v1",0.623846198612902,0.466489621516085,100,1306,0.68,0.619189996176161,0.664624808575804,1306,-0.0407786099629019,0.0407786099629019,0.00166289503050649
"AA051611/A0119",0.511943438435021,-0.0208275507835011,100,1306,0.56,0.507958648918853,0.579632465543645,1306,-0.067689027108624,0.067689027108624,0.00458180439091204
"AA051612/A0124",0.59938088111586,0.353674571127981,100,1306,0.65,0.595183607576544,0.638591117917305,1306,-0.0392102368014451,0.0392102368014451,0.0015374426700254
"aari1995/germeo-7b-laser",0.417515694047948,-0.392364997120423,100,1306,0.44,0.415651323736832,0.437978560490046,1306,-0.020462866442098,0.020462866442098,0.00041872890302714
"abacusai/MM-OV-bagel-DPO-34b-c1000-250",0.691163857921304,0.826600832146021,100,1306,0.74,0.687114426571495,0.729709035222052,1306,-0.038545177300748,0.038545177300748,0.0014857306931461
"abacusai/Slerp-CM-mist-dpo",0.765648939123614,1.39138993085531,100,1306,0.77,0.765288154639668,0.735068912710567,1306,0.030580026413047,0.030580026413047,0.000935138015422654
"abacusai/Smaug-2-72B",0.263206262945733,-1.05426629569126,100,1306,0.3,0.260155372642726,0.388208269525268,1306,-0.125002006579535,0.125002006579535,0.0156255016489101
"abacusai/Smaug-Mixtral-v0.1",0.620074233176684,0.450839759023993,100,1306,0.67,0.615934451516376,0.726646248085758,1306,-0.106572014909074,0.106572014909074,0.0113575943617799
"Abhaykoul/EMO-1B",0.244460069913048,-1.12360797048645,100,1306,0.23,0.245659080685274,0.274119448698315,1306,-0.029659378785267,0.029659378785267,0.000879678749927946
"abhishek/autotrain-mixtral-8x7b-orpo-v1",0.587678091480171,0.311177688898621,100,1306,0.61,0.585827186959455,0.614088820826952,1306,-0.026410729346781,0.026410729346781,0.00069752662462892
"abhishek/zephyr-beta-math",0.526976638481139,0.0462158250125236,100,1306,0.56,0.524238382965479,0.569678407350689,1306,-0.04270176886955,0.04270176886955,0.00182344106458847
"abhishekchohan/mistral-7B-forest-merge-v0.1",0.540264593999942,0.0993291684551356,100,1306,0.58,0.536969784215526,0.504594180704441,1306,0.035670413295501,0.035670413295501,0.00127237838467186
"abhishekchohan/mistral-7B-forest-v0.1",0.379618062486879,-0.551715752157282,100,1306,0.42,0.376269643124266,0.357580398162328,1306,0.022037664324551,0.022037664324551,0.000485658648881588
"abideen/AlphaMonarch-daser",0.617926932563089,0.46756795118376,100,1306,0.6,0.619413411216745,0.669218989280245,1306,-0.0512920567171561,0.0512920567171561,0.00263087508227596
"abideen/Mistral-v2-orpo",0.41048257983091,-0.419654432573524,100,1306,0.43,0.408864219949559,0.399693721286371,1306,0.010788858544539,0.010788858544539,0.000116399468694073
"aboros98/merlin1.4",0.476036213200062,-0.161599356962453,100,1306,0.51,0.473219978805374,0.489280245022971,1306,-0.013244031822909,0.013244031822909,0.000175404378926227
"aboros98/merlin1.5",0.4313480810954,-0.338929662122422,100,1306,0.46,0.428972300091702,0.507656967840735,1306,-0.076308886745335,0.076308886745335,0.00582304619631236
"adamo1139/Yi-34B-200K-AEZAKMI-RAW-2301-LoRA",0.528038452974123,0.0509860455422688,100,1306,0.56,0.525388241777948,0.559724349157734,1306,-0.031685896183611,0.031685896183611,0.00100399601695857
"adowu/autocodit",0.576142833276498,0.25553838872672,100,1306,0.61,0.573335439684167,0.612557427258805,1306,-0.0364145939823071,0.0364145939823071,0.00132602265489627
"aerdincdal/CBDDO-LLM-8B-Instruct-v0.1",0.570660787457817,0.225874884016079,100,1306,0.62,0.566569642139228,0.588820826952527,1306,-0.01816003949471,0.01816003949471,0.000329787034449427
