"model","pirt_accuracy","theta","n_subset_items","n_all_items","avg_observed","avg_predicted","actual_accuracy","n_items","error","abs_error","squared_error"
"0-hero/Matter-0.1-Slim-7B-preview",0.715058187662178,-0.749405301015293,97,5624,0.575342465753425,0.717510227652254,0.712484678690247,5711,0.00257350897193098,0.00257350897193098,6.62294842860926e-06
"0-hero/Matter-0.2-32B",0.750064051019769,-0.280167326228197,97,5624,0.73972602739726,0.750245485485371,0.76921729994747,5711,-0.019153248927701,0.019153248927701,0.000366846944486479
"222gate/Blurdus-7b-v0.1",0.846458045177325,1.3313435592024,97,5624,0.849315068493151,0.846407903823673,0.85011381544388,5711,-0.00365577026655495,0.00365577026655495,1.33646562418272e-05
"AA051610/A0121",0.739241478763375,-0.435801122461027,97,5624,0.712328767123288,0.739713802452372,0.788478375065663,5711,-0.049236896302288,0.049236896302288,0.00242427195748226
"AA051610/A0127",0.739205570034009,-0.439827554145543,97,5624,0.726027397260274,0.739436849708164,0.772194011556645,5711,-0.032988441522636,0.032988441522636,0.00108823727409238
"AA051610/A12P",0.677787706054228,-1.32793650001278,97,5624,0.602739726027397,0.679104813718893,0.735597968832078,5711,-0.05781026277785,0.05781026277785,0.00334202648244406
"AA051611/O0201",0.736115436785325,-0.481808903803828,97,5624,0.712328767123288,0.736532897787174,0.77254421292243,5711,-0.036428776137105,0.036428776137105,0.00132705573084731
"abhishek/autotrain-llama3-70b-orpo-v1",0.744733283974752,-0.357316292277131,97,5624,0.726027397260274,0.745061576178716,0.798634214673437,5711,-0.053900930698685,0.053900930698685,0.00290531033018444
"abhishek/autotrain-llama3-8b-open-hermes-sft",0.663373020048565,-1.57541226762039,97,5624,0.561643835616438,0.665158388402087,0.673962528453861,5711,-0.0105895084052959,0.0105895084052959,0.000112137688265833
"abhishek/autotrain-mixtral7x8b-math",0.740997715868165,-0.409726356382999,97,5624,0.712328767123288,0.74150086188377,0.780073542286815,5711,-0.03907582641865,0.03907582641865,0.00152692021030047
"abideen/NexoNimbus-MoE-2x7B",0.770198388278688,0.0371917818714048,97,5624,0.698630136986301,0.771454425980038,0.800560322185257,5711,-0.0303619339065689,0.0303619339065689,0.000921847030546861
"acrastt/kalomaze-stuff",0.752773207901893,-0.220898308254841,97,5624,0.671232876712329,0.754204257680324,0.761687970583085,5711,-0.00891476268119207,0.00891476268119207,7.94729936619748e-05
"adamo1139/Yi-34B-200K-AEZAKMI-RAW-2301",0.742038563215666,-0.390665837089206,97,5624,0.698630136986301,0.74280039012796,0.775871125897391,5711,-0.0338325626817251,0.0338325626817251,0.00114464229761286
"adamo1139/yi-34b-200k-rawrr-dpo-2",0.745693573062773,-0.335702728072132,97,5624,0.698630136986301,0.74651954615838,0.77709683067764,5711,-0.0314032576148671,0.0314032576148671,0.000986164588825706
"aihub-app/ZySec-7B-v1",0.771859354567314,0.0553300134769351,97,5624,0.726027397260274,0.772663714954284,0.786902468919629,5711,-0.015043114352315,0.015043114352315,0.000226295289416825
"allknowingroger/JaskierMistral-7B-slerp",0.855688139494928,1.73857540332853,97,5624,0.849315068493151,0.855799988217051,0.859394151637191,5711,-0.00370601214226307,0.00370601214226307,1.37345259986013e-05
"allknowingroger/LimmyAutomerge-7B-slerp",0.853668396884091,1.61025589050268,97,5624,0.863013698630137,0.853504384893976,0.856592540710909,5711,-0.00292414382681794,0.00292414382681794,8.55061711991745e-06
"allknowingroger/M7merge-7B-slerp",0.861605502240812,2.24712857818769,97,5624,0.863013698630137,0.861580788101177,0.857292943442479,5711,0.00431255879833303,0.00431255879833303,1.85981633890797e-05
"allknowingroger/Multimerge-12B-MoE",0.853668396884091,1.61025589050268,97,5624,0.863013698630137,0.853504384893976,0.85799334617405,5711,-0.00432494928995897,0.00432494928995897,1.87051863607166e-05
"allknowingroger/StarlingDolphin-7B-slerp",0.748966102096573,-0.28608528024267,97,5624,0.698630136986301,0.749849508757636,0.776221327263176,5711,-0.0272552251666031,0.0272552251666031,0.000742847298882233
"alnrg2arg/blockchainlabs_test3_seminar",0.84506351326782,1.30201267542997,97,5624,0.821917808219178,0.845469725207338,0.856417440028016,5711,-0.011353926760196,0.011353926760196,0.000128911652875894
"aloobun/Cypher-7B",0.8113388650772,0.62745845448902,97,5624,0.767123287671233,0.812114857660587,0.810365960427246,5711,0.000972904649954032,0.000972904649954032,9.46543457902177e-07
"Alsebay/L3-krai-test-2",0.668346327537411,-1.47037543397687,97,5624,0.520547945205479,0.670940219899668,0.689546489231308,5711,-0.021200161693897,0.021200161693897,0.00044944685584738
"amazingvince/where-llambo-7b",0.726992832126038,-0.593210758861542,97,5624,0.63013698630137,0.728692672373006,0.734722465417615,5711,-0.00772963329157694,0.00772963329157694,5.97472308222546e-05
"andysalerno/openchat-nectar-0.11",0.739555077959612,-0.417130078141062,97,5624,0.657534246575342,0.740994560616438,0.756610050779198,5711,-0.017054972819586,0.017054972819586,0.000290872097876818
