"model","pirt_accuracy","theta","n_subset_items","n_all_items","avg_observed","avg_predicted"
"namespace-Pt/Llama-3-8B-Instruct-80K-QLoRA",0.614217623946516,0.401441706312543,30,1306,0.5,0.616902991280682
"mlabonne/Beyonder-4x7B-v3",0.748946262002437,1.26439595246417,30,1306,0.7,0.750097036187447
"Evillain/StarDust_20B_v0.2",0.253713442958622,-1.1200234979236,30,1306,0.4,0.250274103843229
"leveldevai/BeagleMist-7B",0.77407893598786,1.50225720382074,30,1306,0.7,0.775820603761869
"cookinai/DonutLM-v1",0.677717541867796,0.753360791338941,30,1306,0.6,0.679544756801992
"kwchoi/DPO_mistral_7b_ultra_0124_v1",0.317188794270029,-0.850950152650364,30,1306,0.466666666666667,0.313674424229356
"EmbeddedLLM/Mistral-7B-Merge-14-v0.2",0.69265526866792,0.849164111259337,30,1306,0.633333333333333,0.694049985015912
"soniox/Soniox-7B-v1.0",0.562708538136235,0.153466790832488,30,1306,0.6,0.561831779628466
"ibivibiv/multimaster-7b-v6",0.764500807861768,1.40730915652887,30,1306,0.733333333333333,0.765233585476073
"Isaak-Carter/J.O.S.I.E.3-Beta10-7B-slerp",0.578961530776145,0.229756339752092,30,1306,0.6,0.578466895919785
"JaeyeonKang/CCK_Asura_v1",0.624907148735311,0.454715319387892,30,1306,0.6,0.625492740006517
"giraffe176/WestLake_Noromaid_OpenHermes_neural-chat",0.657276857741293,0.631975828413519,30,1306,0.566666666666667,0.659407191387249
"xDAN-AI/xDAN-L1-Chat-RL-v1",0.523615321142858,-0.0197737042984409,30,1306,0.533333333333333,0.523386841232424
"Nhoodie/Meta-Llama-3-8B-Uninstruct-function-calling-json-mode-model_stock-v0.1",0.652884001465907,0.605402640770095,30,1306,0.6,0.654127355732346
"abacusai/MM-OV-bagel-DPO-34b-c1000-250",0.688086834004705,0.817182583250232,30,1306,0.666666666666667,0.688590442954659
"Changgil/K2S3-Mistral-7b-v1.46",0.39094525011157,-0.557383168664589,30,1306,0.466666666666667,0.389164966023285
"Test157t/Echidna-7b-128k",0.514504541467984,-0.0591895134712128,30,1306,0.533333333333333,0.514061858273658
"netcat420/MFANNv0.2",0.367500317663394,-0.649298137894295,30,1306,0.433333333333333,0.365952519489336
"CohereForAI/c4ai-command-r-plus",0.478319100821244,-0.20924011177285,30,1306,0.533333333333333,0.477025662752778
"ZhangShenao/0.001_idpo_declr_4iters_iter_4",0.236489281011175,-1.19902032421797,30,1306,0.433333333333333,0.231861286050623
"Ppoyaa/Lumina-5.5-Instruct",0.569956789385852,0.185797940487639,30,1306,0.566666666666667,0.570034143368278
