"model","pirt_accuracy","theta","n_subset_items","n_all_items","avg_observed","avg_predicted","actual_accuracy","n_items","error","abs_error","squared_error"
"01-ai/Yi-34B-Chat",0.439871380163347,-0.361713296198762,30,1306,0.4,0.440808795057469,0.322358346094946,1306,0.117513034068401,0.117513034068401,0.0138093131759612
"01-ai/Yi-9B",0.461552361378285,-0.276679977318103,30,1306,0.5,0.46064842003138,0.493874425727412,1306,-0.032322064349127,0.032322064349127,0.00104471584378911
"01-ai/Yi-9B-200K",0.413562686878969,-0.466598652442022,30,1306,0.5,0.41153046164885,0.480091883614089,1306,-0.06652919673512,0.06652919673512,0.0044261340182203
"8xqmff94/slm",0.57390526332143,0.206962811774998,30,1306,0.633333333333333,0.572508051644034,0.497702909647779,1306,0.076202353673651,0.076202353673651,0.00580679870540419
"922CA/Llama-3-monika-ddlc-11.5b-v1",0.606870420039547,0.361383224809339,30,1306,0.6,0.60703195029126,0.664624808575804,1306,-0.0577543885362569,0.0577543885362569,0.00333556939519692
"AA051611/A0119",0.550062605126439,0.0967191027144131,30,1306,0.566666666666667,0.549672227504019,0.579632465543645,1306,-0.029569860417206,0.029569860417206,0.000874376645093046
"AA051612/A0124",0.613353688447487,0.393788019370062,30,1306,0.533333333333333,0.615235044758948,0.638591117917305,1306,-0.025237429469818,0.025237429469818,0.000636927846244038
"aari1995/germeo-7b-laser",0.413796533157332,-0.465725878465186,30,1306,0.5,0.411769805880466,0.437978560490046,1306,-0.024182027332714,0.024182027332714,0.000584770445920128
"abacusai/MM-OV-bagel-DPO-34b-c1000-250",0.662961684774262,0.664755546997475,30,1306,0.6,0.664441975168641,0.729709035222052,1306,-0.06674735044779,0.06674735044779,0.00445520879180009
"abacusai/Slerp-CM-mist-dpo",0.772068335756918,1.47806738483265,30,1306,0.733333333333333,0.772979033306062,0.735068912710567,1306,0.0369994230463511,0.0369994230463511,0.00136895730576285
"abacusai/Smaug-2-72B",0.223781464924888,-1.25656549118012,30,1306,0.433333333333333,0.218854696858858,0.388208269525268,1306,-0.16442680460038,0.16442680460038,0.0270361740710915
"abacusai/Smaug-Mixtral-v0.1",0.597770159592531,0.317054907192748,30,1306,0.6,0.597717733877621,0.726646248085758,1306,-0.128876088493227,0.128876088493227,0.0166090461853141
"Abhaykoul/EMO-1B",0.466337120871991,-0.256229895186948,30,1306,0.5,0.465545673870548,0.274119448698315,1306,0.192217672173676,0.192217672173676,0.0369476334958668
"abhishek/autotrain-mixtral-8x7b-orpo-v1",0.576812365760875,0.216961313825504,30,1306,0.6,0.576267201946476,0.614088820826952,1306,-0.037276455066077,0.037276455066077,0.00138953410229326
"abhishek/zephyr-beta-math",0.547269116760549,0.0851338979706587,30,1306,0.566666666666667,0.546813061511972,0.569678407350689,1306,-0.02240929059014,0.02240929059014,0.000502176304753336
"abhishekchohan/mistral-7B-forest-merge-v0.1",0.543066747189035,0.0652426089231132,30,1306,0.533333333333333,0.543295589207586,0.504594180704441,1306,0.0384725664845941,0.0384725664845941,0.00148013837191151
"abhishekchohan/mistral-7B-forest-v0.1",0.306356126758083,-0.895756466869611,30,1306,0.533333333333333,0.301019672058038,0.357580398162328,1306,-0.051224271404245,0.051224271404245,0.00262392598089575
"abideen/AlphaMonarch-daser",0.744371342314833,1.22622305259993,30,1306,0.7,0.745414555692141,0.669218989280245,1306,0.075152353034588,0.075152353034588,0.00564787616663535
"abideen/Mistral-v2-orpo",0.376222605647169,-0.614787152353982,30,1306,0.4,0.375663575999375,0.399693721286371,1306,-0.023471115639202,0.023471115639202,0.000550893269348793
"aboros98/merlin1.4",0.515107863871475,-0.0542163065153957,30,1306,0.5,0.515463064432716,0.489280245022971,1306,0.025827618848504,0.025827618848504,0.000667065895383598
"aboros98/merlin1.5",0.548965522218907,0.091638405169803,30,1306,0.566666666666667,0.548549351111201,0.507656967840735,1306,0.041308554378172,0.041308554378172,0.0017063966648144
"adamo1139/Yi-34B-200K-AEZAKMI-RAW-2301-LoRA",0.532764342848634,0.021751932358282,30,1306,0.5,0.533534664388962,0.559724349157734,1306,-0.0269600063090999,0.0269600063090999,0.000726841940186706
"adowu/autocodit",0.584225901425153,0.252710289749811,30,1306,0.566666666666667,0.584638736098159,0.612557427258805,1306,-0.0283315258336521,0.0283315258336521,0.000802675356062894
"aerdincdal/CBDDO-LLM-8B-Instruct-v0.1",0.530997404551485,0.0134536502055737,30,1306,0.533333333333333,0.530942484595799,0.588820826952527,1306,-0.057823422401042,0.057823422401042,0.00334354817816932
"AIGeekLabs/radiantloom-mixtral-8x7b-fusion",0.508613409413487,-0.0831481427323372,30,1306,0.533333333333333,0.508032219979635,0.539050535987749,1306,-0.030437126574262,0.030437126574262,0.000926418674097647
"aiplanet/buddhi-128k-chat-7b",0.40657952249783,-0.495280490293012,30,1306,0.566666666666667,0.402815718167841,0.386676875957121,1306,0.019902646540709,0.019902646540709,0.000396115339324396
"aivince/alpaca_mistral-7b-v0.2",0.359551405812556,-0.680952327223931,30,1306,0.5,0.356249322877115,0.349923430321593,1306,0.009627975490963,0.009627975490963,9.26979120545843e-05
"ajibawa-2023/Code-Mistral-7B",0.616749394523186,0.414068584544014,30,1306,0.566666666666667,0.617926888124828,0.687595712098009,1306,-0.070846317574823,0.070846317574823,0.00501920071391267
"ajibawa-2023/General-Stories-Mistral-7B",0.629051768593203,0.475573739489007,30,1306,0.7,0.627383706726272,0.619448698315467,1306,0.00960307027773599,0.00960307027773599,9.22189587591364e-05
"allenai/digital-socrates-13b",0.307657699599219,-0.890300818241481,30,1306,0.533333333333333,0.30235184614152,0.297856049004594,1306,0.00980165059462501,0.00980165059462501,9.60723543791128e-05
"allknowingroger/Lamma3merge2-15B-MoE",0.603849493287741,0.346545757684091,30,1306,0.533333333333333,0.605507396734945,0.685298621745789,1306,-0.0814491284580481,0.0814491284580481,0.00663396052657562
"allknowingroger/Neuralmaath-12B-MoE",0.753218261563841,1.30257018302877,30,1306,0.733333333333333,0.753685775550452,0.732006125574273,1306,0.0212121359895679,0.0212121359895679,0.000449954713239924
"allknowingroger/StarlingMaxLimmy2-7B-slerp",0.685161057020598,0.800855110411494,30,1306,0.6,0.687163276229547,0.696784073506891,1306,-0.0116230164862929,0.0116230164862929,0.000135094512240637
"aloobun/CosmicBun-8B",0.661575984153956,0.656732360398403,30,1306,0.6,0.663023695380146,0.689127105666156,1306,-0.0275511215122,0.0275511215122,0.000759064296580007
"aloobun/Cypher-7B",0.663763818315995,0.669098469788254,30,1306,0.566666666666667,0.666046666709004,0.669218989280245,1306,-0.00545517096425008,0.00545517096425008,2.97588902491971e-05
"Alsebay/L3-test-2",0.657849066058432,0.632731907693834,30,1306,0.633333333333333,0.658425454758865,0.713629402756508,1306,-0.055780336698076,0.055780336698076,0.00311144596215073
"Alsebay/Lorge-2x7B-UAMM",0.375646470823263,-0.617665323496325,30,1306,0.4,0.375073895685879,0.27947932618683,1306,0.096167144636433,0.096167144636433,0.00924811970752462
"alykassem/ds_diasum_md_mixtral",0.482460374953838,-0.191146094620763,30,1306,0.466666666666667,0.482831700383787,0.536753445635528,1306,-0.05429307068169,0.05429307068169,0.00294773752404698
"amazingvince/Not-WizardLM-2-7B",0.473903827263426,-0.226056302903376,30,1306,0.633333333333333,0.470155484644227,0.441807044410413,1306,0.032096782853013,0.032096782853013,0.00103020346951347
"ammarali32/multi_verse_model",0.780584107895338,1.56375721019543,34,1306,0.705882352941177,0.782580852917698,0.719754977029097,1306,0.0608291308662411,0.0608291308662411,0.00370018316194228
"amu/dpo-Qwen1.5-0.5B-Chat",0.0540150919423533,-2.62404393864226,50,1306,0.14,0.0505921258572559,0.0283307810107198,1306,0.0256843109316335,0.0256843109316335,0.000659683828032828
"andysalerno/openchat-nectar-0.4",0.688495491288068,0.822457422845028,30,1306,0.633333333333333,0.689792407227442,0.692955589586524,1306,-0.00446009829845606,0.00446009829845606,1.98924768318907e-05
"antiven0m/reverie-7b",0.678721414943251,0.757967732802724,30,1306,0.6,0.680572231909002,0.666156202143951,1306,0.0125652127993,0.0125652127993,0.000157884572691693
"argilla/DistilabelBeagle14-7B",0.472341412225198,-0.23179016942889,30,1306,0.5,0.471691131948361,0.364471669218989,1306,0.107869743006209,0.107869743006209,0.0116358814562256
"arlineka/Brunhilde-13b-v1",0.232584826314034,-1.21736656886877,30,1306,0.4,0.228648732888816,0.202909647779479,1306,0.029675178534555,0.029675178534555,0.000880616221057713
"Aryanne/Westest-7B",0.693225670006538,0.85138520793612,30,1306,0.633333333333333,0.69463379704431,0.663859111791731,1306,0.029366558214807,0.029366558214807,0.000862394741383651
"Aspik101/StableBeluga-13B-instruct-PL-lora_unload",0.127051675880534,-1.82041072985037,30,1306,0.333333333333333,0.12220179365202,0.123277182235835,1306,0.00377449364469901,0.00377449364469901,1.42468022738732e-05
"athirdpath/Iambe-20b-DARE-v2",0.334668035032236,-0.781032289729934,30,1306,0.466666666666667,0.331564618927978,0.33614088820827,1306,-0.00147285317603396,0.00147285317603396,2.16929647815333e-06
"AurelPx/NeuralPipe-7B-slerp",0.717679500137908,1.01874693854328,30,1306,0.633333333333333,0.719662560485978,0.69218989280245,1306,0.025489607335458,0.025489607335458,0.000649720082115835
"automerger/Experiment29Pastiche-7B",0.775235256319124,1.51279748578781,31,1306,0.709677419354839,0.776829211570804,0.699846860643185,1306,0.075388395675939,0.075388395675939,0.00568341020259194
"automerger/Inex12Yamshadow-7B",0.777721188500102,1.53838821036922,33,1306,0.666666666666667,0.780600056701597,0.70750382848392,1306,0.070217360016182,0.070217360016182,0.00493047764764211
"automerger/ShadowYam-7B",0.766507378941413,1.42939689401649,30,1306,0.733333333333333,0.76728733299176,0.697549770290965,1306,0.068957608650448,0.068957608650448,0.00475515179078834
"automerger/YamShadow-7B",0.754217275237953,1.31336448543456,30,1306,0.7,0.755491976066432,0.709035222052067,1306,0.045182053185886,0.045182053185886,0.00204141793009223
"AwanLLM/Awanllm-Llama-3-8B-Cumulus-v0.2",0.537264387561284,0.039460186070935,30,1306,0.566666666666667,0.536573111406769,0.6156202143951,1306,-0.0783558268338159,0.0783558268338159,0.00613963559881095
"AwanLLM/Llama-3-8B-Cumulus-v0.1",0.536194371347351,0.0357148301624433,30,1306,0.533333333333333,0.536261637131379,0.614088820826952,1306,-0.077894449479601,0.077894449479601,0.00606754525973011
"Azazelle/Sina-Loki-7b-Merge",0.519457481550384,-0.0359839105580724,30,1306,0.5,0.519914945850158,0.529096477794793,1306,-0.009638996244409,0.009638996244409,9.29102485997309e-05
"Azazelle/xDAN-SlimOrca",0.581656560631303,0.2411934988311,30,1306,0.6,0.581225288545832,0.584992343032159,1306,-0.00333578240085597,0.00333578240085597,1.11274442258604e-05
"Azure99/blossom-v3-mistral-7b",0.504624738944487,-0.100588149109791,30,1306,0.5,0.504733471051333,0.47166921898928,1306,0.032955519955207,0.032955519955207,0.00108606629551805
"bababababooey/mergekit-slerp-mntqhzv",0.577351471167512,0.220306798485712,30,1306,0.533333333333333,0.578386380364241,0.521439509954058,1306,0.055911961213454,0.055911961213454,0.00312614740673478
"bardsai/jaskier-7b-dpo-v7.1",0.782539861883948,1.58755388549153,32,1306,0.71875,0.784142119011331,0.705972434915773,1306,0.076567426968175,0.076567426968175,0.00586257087252681
"BarraHome/Lucie-7b",0.412763029458945,-0.4700095673941,30,1306,0.466666666666667,0.411495702565347,0.399693721286371,1306,0.013069308172574,0.013069308172574,0.00017080681610971
"BFauber/lora_llama2-13b_10e5_r128_a64",0.263062772799558,-1.08019873427837,30,1306,0.466666666666667,0.258275847395159,0.235068912710567,1306,0.027993860088991,0.027993860088991,0.000783656202682001
"bhavinjawade/SOLAR-10B-OrcaDPO-Jawade",0.575300780125028,0.211604569463274,30,1306,0.633333333333333,0.573936378403829,0.654670750382848,1306,-0.07936997025782,0.07936997025782,0.00629959217872723
"bigscience/bloomz-7b1",0.00912214894090452,-3.95963877065491,500,1306,0,0.0147810502690091,0.000765696784073507,1306,0.00835645215683101,0.00835645215683101,6.98302926494057e-05
"binbi/MoMo-70B-V1.2_1",0.527232678254564,-0.00234324915812752,30,1306,0.5,0.527872944984687,0.568912710566616,1306,-0.041680032312052,0.041680032312052,0.0017372250935337
"BlouseJury/Mistral-7B-Discord-0.1-DPO",0.331177116149643,-0.79487172247761,30,1306,0.5,0.327207926090465,0.307044410413476,1306,0.024132705736167,0.024132705736167,0.000582387486148427
"BlueNipples/TimeCrystal-l2-13B",0.290336772770796,-0.962478106853123,30,1306,0.5,0.285407386550674,0.277947932618683,1306,0.012388840152113,0.012388840152113,0.000153483360314607
"bn22/Nous-Hermes-2-SOLAR-10.7B-MISALIGNED",0.630337508145095,0.483026759010156,30,1306,0.533333333333333,0.632618170562299,0.697549770290965,1306,-0.0672122621458699,0.0672122621458699,0.00451748818276514
"BramVanroy/llama2-13b-ft-mc4_nl_cleaned_tiny",0.0971011695416863,-2.06901981545705,30,1306,0.266666666666667,0.0931145199227604,0.104134762633997,1306,-0.00703359309231071,0.00703359309231071,4.94714317882009e-05
"Brillibits/Instruct_Mixtral-8x7B-v0.1_Dolly15K",0.526615508957335,-0.005576646181038,30,1306,0.566666666666667,0.525673867318401,0.600306278713629,1306,-0.073690769756294,0.073690769756294,0.00543032954727513
"BTAgent/BTAgent-v0.1",0.349998616044878,-0.719100306823138,30,1306,0.433333333333333,0.348039335857845,0.345329249617152,1306,0.00466936642772597,0.00466936642772597,2.18029828363744e-05
"camel-ai/CAMEL-13B-Role-Playing-Data",0.124355312543533,-1.83925674483984,30,1306,0.333333333333333,0.119442036192675,0.0742725880551302,1306,0.0500827244884028,0.0500827244884028,0.00250827929218126
"CausalLM/7B-DPO-alpha",0.230457831843071,-1.22702746796157,30,1306,0.333333333333333,0.228039128829977,0.228943338437979,1306,0.00151449340509199,0.00151449340509199,2.29369027406714e-06
"Changgil/K2S3-Mistral-7b-v1.46",0.382707546741547,-0.590340057963238,30,1306,0.433333333333333,0.381517285301301,0.427258805513017,1306,-0.04455125877147,0.04455125877147,0.00198481465812248
"Changgil/K2S3-Mistral-7bx2-48layers_v1.2",0.51435483509019,-0.0583711555254381,30,1306,0.566666666666667,0.513124933093878,0.503062787136294,1306,0.0112920479538959,0.0112920479538959,0.000127510346993085
