"item_id","frequency","percentage"
"X3292",199,51.5544041450777
"X3301",185,47.9274611398964
"X8868",179,46.3730569948187
"X2785",173,44.8186528497409
"X1591",170,44.0414507772021
"X3057",170,44.0414507772021
"X4950",165,42.7461139896373
"X9576",163,42.2279792746114
"X8429",157,40.6735751295337
"X9467",157,40.6735751295337
"X1442",150,38.860103626943
"X3018",147,38.0829015544041
"X8393",146,37.8238341968912
"X8295",143,37.0466321243523
"X4781",135,34.9740932642487
"X2269",131,33.9378238341969
"X5666",131,33.9378238341969
"X8272",131,33.9378238341969
"X7717",129,33.419689119171
"X9038",129,33.419689119171
"X4711",128,33.160621761658
"X3198",127,32.9015544041451
"X2864",123,31.8652849740933
"X1966",120,31.0880829015544
"X1790",119,30.8290155440415
"X4909",119,30.8290155440415
"X3681",115,29.7927461139896
"X6813",114,29.5336787564767
"X3527",113,29.2746113989637
"X1581",111,28.7564766839378
"X4838",111,28.7564766839378
"X1049",108,27.979274611399
"X3108",108,27.979274611399
"X5361",108,27.979274611399
"X6032",105,27.2020725388601
"X8073",105,27.2020725388601
"X3404",104,26.9430051813472
"X5224",103,26.6839378238342
"X9604",103,26.6839378238342
"X2478",101,26.1658031088083
"X7238",101,26.1658031088083
"X6025",100,25.9067357512953
"X8325",100,25.9067357512953
"X6134",99,25.6476683937824
"X6959",99,25.6476683937824
"X7981",98,25.3886010362694
"X2797",97,25.1295336787565
"X7788",97,25.1295336787565
"X617",96,24.8704663212435
"X7257",96,24.8704663212435
"X5411",95,24.6113989637306
"X6162",95,24.6113989637306
"X675",95,24.6113989637306
"X7699",94,24.3523316062176
"X2811",93,24.0932642487047
"X3456",93,24.0932642487047
"X3654",93,24.0932642487047
"X4104",93,24.0932642487047
"X5214",93,24.0932642487047
"X629",93,24.0932642487047
"X672",93,24.0932642487047
"X5391",92,23.8341968911917
"X9432",92,23.8341968911917
"X1292",90,23.3160621761658
"X3564",90,23.3160621761658
"X4022",90,23.3160621761658
"X4985",90,23.3160621761658
"X5928",90,23.3160621761658
"X8570",90,23.3160621761658
"X4505",89,23.0569948186528
"X5396",89,23.0569948186528
"X8279",89,23.0569948186528
"X8655",89,23.0569948186528
"X9475",89,23.0569948186528
"X2660",88,22.7979274611399
"X4889",88,22.7979274611399
"X6063",88,22.7979274611399
"X4163",87,22.5388601036269
"X8053",87,22.5388601036269
"X9269",87,22.5388601036269
"X1887",86,22.279792746114
"X3457",86,22.279792746114
"X570",86,22.279792746114
"X7917",86,22.279792746114
"X5455",85,22.020725388601
"X689",85,22.020725388601
"X767",85,22.020725388601
"X3216",84,21.7616580310881
"X4727",84,21.7616580310881
"X6913",83,21.5025906735751
"X731",81,20.9844559585492
"X9945",81,20.9844559585492
"X1074",80,20.7253886010363
"X2324",80,20.7253886010363
"X4602",80,20.7253886010363
"X4931",80,20.7253886010363
"X9885",80,20.7253886010363
"X238",79,20.4663212435233
"X6651",79,20.4663212435233
"X7653",79,20.4663212435233
"X8251",79,20.4663212435233
"X3167",78,20.2072538860104
"X5048",78,20.2072538860104
"X8449",78,20.2072538860104
"X937",78,20.2072538860104
"X6685",77,19.9481865284974
"X7204",77,19.9481865284974
"X8891",77,19.9481865284974
"X9065",77,19.9481865284974
"X3606",76,19.6891191709845
"X3804",76,19.6891191709845
"X3912",76,19.6891191709845
"X7583",76,19.6891191709845
"X8038",76,19.6891191709845
"X2285",75,19.4300518134715
"X4459",75,19.4300518134715
"X6037",75,19.4300518134715
"X6244",75,19.4300518134715
"X6726",75,19.4300518134715
"X8988",75,19.4300518134715
"X9073",75,19.4300518134715
"X6226",74,19.1709844559585
"X1177",73,18.9119170984456
"X3694",73,18.9119170984456
"X7877",73,18.9119170984456
"X9104",73,18.9119170984456
"X2624",72,18.6528497409326
"X7172",72,18.6528497409326
"X9229",72,18.6528497409326
"X9865",72,18.6528497409326
"X8514",70,18.1347150259067
"X9804",70,18.1347150259067
"X7716",68,17.6165803108808
