"item_id","frequency","percentage"
"X56",228,44.1860465116279
"X210",220,42.6356589147287
"X270",215,41.6666666666667
"X584",209,40.5038759689922
"X527",200,38.7596899224806
"X646",199,38.5658914728682
"X398",197,38.1782945736434
"X587",193,37.4031007751938
"X793",193,37.4031007751938
"X468",185,35.8527131782946
"X400",183,35.4651162790698
"X369",176,34.1085271317829
"X511",176,34.1085271317829
"X617",173,33.5271317829457
"X339",172,33.3333333333333
"X430",172,33.3333333333333
"X591",172,33.3333333333333
"X765",166,32.1705426356589
"X638",164,31.7829457364341
"X693",163,31.5891472868217
"X714",163,31.5891472868217
"X361",162,31.3953488372093
"X500",162,31.3953488372093
"X580",161,31.2015503875969
"X477",157,30.4263565891473
"X514",157,30.4263565891473
"X302",156,30.2325581395349
"X656",156,30.2325581395349
"X4",153,29.6511627906977
"X457",153,29.6511627906977
"X601",152,29.4573643410853
"X105",149,28.8759689922481
"X720",149,28.8759689922481
"X305",147,28.4883720930233
"X644",147,28.4883720930233
"X286",144,27.906976744186
"X575",144,27.906976744186
"X463",140,27.1317829457364
"X261",139,26.937984496124
"X657",139,26.937984496124
"X118",135,26.1627906976744
"X482",135,26.1627906976744
"X172",134,25.968992248062
"X376",134,25.968992248062
"X62",134,25.968992248062
"X469",133,25.7751937984496
"X729",131,25.3875968992248
"X256",130,25.1937984496124
"X307",128,24.8062015503876
"X620",128,24.8062015503876
"X151",126,24.4186046511628
"X365",123,23.8372093023256
"X695",121,23.4496124031008
"X300",119,23.062015503876
"X416",119,23.062015503876
"X544",115,22.2868217054264
"X21",114,22.093023255814
"X572",108,20.9302325581395
"X192",107,20.7364341085271
"X168",105,20.3488372093023
"X521",102,19.7674418604651
"X186",100,19.3798449612403
"X462",99,19.1860465116279
"X802",98,18.9922480620155
"X808",93,18.0232558139535
"X585",92,17.8294573643411
"X114",89,17.2480620155039
"X303",84,16.2790697674419
"X534",83,16.0852713178295
"X479",82,15.8914728682171
"X668",82,15.8914728682171
"X180",81,15.6976744186047
"X327",81,15.6976744186047
"X389",81,15.6976744186047
"X752",80,15.5038759689922
"X167",79,15.3100775193798
"X177",79,15.3100775193798
"X336",79,15.3100775193798
"X568",78,15.1162790697674
"X3",77,14.922480620155
"X671",77,14.922480620155
"X45",76,14.7286821705426
"X530",76,14.7286821705426
"X139",75,14.5348837209302
"X409",74,14.3410852713178
"X411",74,14.3410852713178
"X478",74,14.3410852713178
"X13",73,14.1472868217054
"X132",73,14.1472868217054
"X712",73,14.1472868217054
"X196",71,13.7596899224806
"X212",70,13.5658914728682
"X280",70,13.5658914728682
"X199",67,12.984496124031
"X342",66,12.7906976744186
"X40",66,12.7906976744186
"X798",64,12.4031007751938
"X293",63,12.2093023255814
"X53",63,12.2093023255814
"X100",62,12.015503875969
"X501",62,12.015503875969
"X76",62,12.015503875969
"X419",60,11.6279069767442
"X41",59,11.4341085271318
"X518",58,11.2403100775194
"X29",57,11.046511627907
"X236",56,10.8527131782946
"X357",55,10.6589147286822
"X437",54,10.4651162790698
"X119",53,10.2713178294574
"X788",52,10.077519379845
"X27",50,9.68992248062015
"X811",50,9.68992248062015
"X588",48,9.30232558139535
"X431",47,9.10852713178295
"X550",47,9.10852713178295
"X684",47,9.10852713178295
"X589",46,8.91472868217054
"X813",46,8.91472868217054
