"model","pirt_accuracy","theta","n_subset_items","n_all_items","avg_observed","avg_predicted"
"cloudyu/google-gemma-7b-it-dpo-v1",0.197775569461794,-0.75089630626644,30,627,0.466666666666667,0.184263454024363
"Mihaiii/Metis-0.4",0.358759703927733,0.22552911518131,30,627,0.533333333333333,0.349987159736497
"juhwanlee/gemma-7B-alpaca-case-1-3",0.100662101319398,-1.55548461913034,123,627,0.186991869918699,0.0795935268398065
"MaziyarPanahi/UNA-34Beagles-32K-bf16-v1-GPTQ",0.106626613871741,-1.56160126416164,133,627,0.233082706766917,0.0725807427076548
"YouKnwMe/Mistral-7b-instruct-v0.2-private-edw2",0.431118319653188,0.650598582871666,30,627,0.5,0.427656928680987
"RatanRohith/NeuralMathChat-7B-V0.2",0.397473731422458,0.449792696683606,30,627,0.5,0.392321657624591
"222gate/Blurdus-7b-v0.1",0.546596024685785,1.36607697525475,30,627,0.633333333333333,0.542237365959778
"teilomillet/MiniMerlin-3B",0.199757136606592,-0.751180058982441,30,627,0.5,0.184669555531546
"mlabonne/Gemmalpaca-2B",0.164016572663243,-0.989808105677159,30,627,0.433333333333333,0.150483067101932
"wang7776/Llama-2-7b-chat-hf-30-attention-sparsity",0.243895015564187,-0.488796768657587,30,627,0.533333333333333,0.22935037648031
"JCX-kcuf/Llama-2-7b-chat-hf-gpt-3.5-80k-base_lora",0.263338351978589,-0.357194152951894,30,627,0.466666666666667,0.253120848727931
"johnsnowlabs/PhigRange-2.7B-slerp",0.10968284065634,-1.52175860344392,94,627,0.234042553191489,0.0877507337552065
"macadeliccc/laser-dolphin-mixtral-2x7b-dpo",0.387064376862576,0.388246662024616,30,627,0.5,0.381389219920997
"MaziyarPanahi/TheTop-5x7B-Instruct-S5-v0.1",0.533143754568497,1.25611282356975,30,627,0.633333333333333,0.528109102369259
"yeontaek/llama-2-13B-ensemble-v1",0.283824685431216,-0.239752988428296,30,627,0.566666666666667,0.269611520545013
"jeiku/Eros_Prodigadigm_7B",0.45879387740574,0.793826636330276,30,627,0.466666666666667,0.45839825985494
"occultml/CatMarcoro14-7B-slerp",0.431677326706907,0.661053043274026,30,627,0.5,0.428244026541425
"pharaouk/fusedyi",0.227026927881478,-0.572218879063507,30,627,0.566666666666667,0.209959604324434
"berkeley-nest/Starling-LM-7B-alpha",0.243788872463707,-0.48364707977706,30,627,0.5,0.230913941431733
"Kukedlc/NeuralLLaMa-3-8b-ORPO-v0.3",0.341876193098384,0.108732131009768,30,627,0.566666666666667,0.330580189401486
"ammarali32/multi_verse_model",0.614685171983682,2.7643598751311,500,627,0.584,0.735492935698968
"KnutJaegersberg/Deacon-20B",0.323723014411549,0.000280807552155276,30,627,0.533333333333333,0.313189832556183
"perlthoughts/openchat-3.5-1210-32k",0.231866007631456,-0.540069096898531,30,627,0.466666666666667,0.220066979539235
"vicgalle/Configurable-Hermes-2-Pro-Llama-3-8B",0.368630310181165,0.267606653000742,30,627,0.6,0.357003692602329
"uukuguy/speechless-code-mistral-7b-v2.0",0.271469476084055,-0.296067931345589,30,627,0.433333333333333,0.263335613910724
"jeiku/Elly_7B",0.319628364893945,-0.0117602248369988,30,627,0.5,0.310564463632334
"Charlie911/MultiLoRA-llama2-mmlu",0.163396344797237,-0.993846333390454,30,627,0.433333333333333,0.149831672006479
"allknowingroger/Llama3merge5",0.240863165138514,-0.50069372758354,30,627,0.533333333333333,0.226166171761889
"hyunjae/polyglot-ko-3.8b-total",0.13429882442248,-1.2815655558276,30,627,0.466666666666667,0.117596922802169
"mobiuslabsgmbh/aanaphi2-v0.1",0.269759984465965,-0.31103780427962,30,627,0.4,0.263215260067269
"stabilityai/stablelm-zephyr-3b",0.243467406063804,-0.490044044436815,30,627,0.533333333333333,0.228901279065336
"Josephgflowers/tinyllama-730M-test",0.132477356992602,-1.2178199986308,30,627,0.166666666666667,0.130759301230086
"msy127/mnsim-dpo-peftmerged-2-eos",0.208316418464856,-0.707196918449011,30,627,0.566666666666667,0.190308868303961
"SLAM-group/NewHope",0.273421350873764,-0.287135792668227,30,627,0.433333333333333,0.26538557286072
"cloudyu/Mixtral_7Bx4_MOE_24B",0.403563034289125,0.484785649890103,30,627,0.533333333333333,0.39704191373414
