"item_id","frequency","percentage"
"X164",340,65.2591170825336
"X678",329,63.147792706334
"X617",321,61.6122840690979
"X744",303,58.1573896353167
"X1229",300,57.5815738963532
"X427",295,56.6218809980806
"X327",290,55.6621880998081
"X872",288,55.278310940499
"X1168",286,54.89443378119
"X362",285,54.7024952015355
"X685",280,53.742802303263
"X501",274,52.5911708253359
"X163",267,51.2476007677543
"X544",264,50.6717850287908
"X601",262,50.2879078694818
"X1083",261,50.0959692898273
"X1099",253,48.5604606525912
"X523",249,47.7927063339731
"X687",247,47.4088291746641
"X736",246,47.2168905950096
"X55",245,47.0249520153551
"X440",231,44.3378119001919
"X640",219,42.0345489443378
"X1044",212,40.6909788867562
"X1050",210,40.3071017274472
"X1132",208,39.9232245681382
"X886",208,39.9232245681382
"X524",206,39.5393474088292
"X169",198,38.0038387715931
"X1110",195,37.4280230326296
"X1250",184,35.3166986564299
"X839",182,34.9328214971209
"X429",181,34.7408829174664
"X779",180,34.5489443378119
"X880",175,33.5892514395393
"X971",171,32.8214971209213
"X633",164,31.4779270633397
"X167",163,31.2859884836852
"X541",162,31.0940499040307
"X868",162,31.0940499040307
"X802",155,29.7504798464491
"X525",153,29.3666026871401
"X596",153,29.3666026871401
"X1039",148,28.4069097888676
"X648",148,28.4069097888676
"X860",146,28.0230326295585
"X567",145,27.831094049904
"X203",142,27.2552783109405
"X1172",141,27.063339731286
"X230",141,27.063339731286
"X526",138,26.4875239923225
"X642",137,26.2955854126679
"X497",133,25.5278310940499
"X616",131,25.1439539347409
"X815",126,24.1842610364683
"X426",124,23.8003838771593
"X1098",123,23.6084452975048
"X545",118,22.6487523992322
"X1052",116,22.2648752399232
"X1189",116,22.2648752399232
"X248",113,21.6890595009597
"X835",113,21.6890595009597
"X191",111,21.3051823416507
"X559",109,20.9213051823417
"X533",102,19.5777351247601
"X411",101,19.3857965451056
"X782",100,19.1938579654511
"X611",99,19.0019193857965
"X1165",93,17.8502879078695
"X739",91,17.4664107485605
"X911",91,17.4664107485605
"X551",90,17.274472168906
"X808",90,17.274472168906
"X607",88,16.8905950095969
"X1211",85,16.3147792706334
"X1100",83,15.9309021113244
"X277",81,15.5470249520154
"X1063",77,14.7792706333973
"X1017",76,14.5873320537428
"X1125",74,14.2034548944338
"X613",74,14.2034548944338
"X584",68,13.0518234165067
"X512",64,12.2840690978887
"X234",62,11.9001919385797
"X1020",61,11.7082533589251
"X475",61,11.7082533589251
"X151",58,11.1324376199616
"X304",58,11.1324376199616
"X334",58,11.1324376199616
"X582",56,10.7485604606526
"X679",56,10.7485604606526
"X841",54,10.3646833013436
"X352",51,9.78886756238004
"X420",51,9.78886756238004
"X5",51,9.78886756238004
"X1092",47,9.021113243762
"X397",47,9.021113243762
"X521",47,9.021113243762
"X651",46,8.82917466410749
"X713",46,8.82917466410749
"X632",45,8.63723608445298
"X955",45,8.63723608445298
"X1024",43,8.25335892514395
"X737",43,8.25335892514395
"X772",43,8.25335892514395
"X923",43,8.25335892514395
"X424",41,7.86948176583493
"X51",41,7.86948176583493
"X650",41,7.86948176583493
"X1139",39,7.48560460652591
"X120",39,7.48560460652591
"X370",39,7.48560460652591
"X422",39,7.48560460652591
"X856",39,7.48560460652591
"X1062",38,7.2936660268714
"X27",38,7.2936660268714
"X520",38,7.2936660268714
"X527",38,7.2936660268714
"X937",38,7.2936660268714
"X1018",37,7.10172744721689
"X1120",37,7.10172744721689
"X1259",37,7.10172744721689
"X211",37,7.10172744721689
"X539",37,7.10172744721689
"X62",37,7.10172744721689
"X242",36,6.90978886756238
"X1106",35,6.71785028790787
"X26",35,6.71785028790787
"X37",35,6.71785028790787
"X510",35,6.71785028790787
"X647",35,6.71785028790787
"X1144",34,6.52591170825336
"X1162",34,6.52591170825336
"X1175",34,6.52591170825336
"X1178",34,6.52591170825336
"X1216",34,6.52591170825336
"X232",34,6.52591170825336
"X44",34,6.52591170825336
"X462",34,6.52591170825336
"X689",34,6.52591170825336
"X1227",33,6.33397312859885
"X166",33,6.33397312859885
"X355",33,6.33397312859885
"X578",33,6.33397312859885
"X627",33,6.33397312859885
"X909",33,6.33397312859885
"X107",32,6.14203454894434
"X1070",32,6.14203454894434
"X273",32,6.14203454894434
"X591",32,6.14203454894434
"X825",32,6.14203454894434
"X849",32,6.14203454894434
"X1061",31,5.95009596928983
"X1112",31,5.95009596928983
"X13",31,5.95009596928983
"X144",31,5.95009596928983
"X324",31,5.95009596928983
"X386",31,5.95009596928983
"X447",31,5.95009596928983
"X498",31,5.95009596928983
"X563",31,5.95009596928983
"X749",31,5.95009596928983
"X127",30,5.75815738963532
"X400",30,5.75815738963532
"X478",30,5.75815738963532
"X537",30,5.75815738963532
"X669",30,5.75815738963532
"X748",30,5.75815738963532
"X947",30,5.75815738963532
"X1008",29,5.56621880998081
"X1186",29,5.56621880998081
"X459",29,5.56621880998081
"X472",29,5.56621880998081
"X511",29,5.56621880998081
"X587",29,5.56621880998081
"X610",29,5.56621880998081
"X660",29,5.56621880998081
"X695",29,5.56621880998081
"X759",29,5.56621880998081
"X78",29,5.56621880998081
"X781",29,5.56621880998081
"X847",29,5.56621880998081
"X108",28,5.3742802303263
"X227",28,5.3742802303263
"X40",28,5.3742802303263
"X667",28,5.3742802303263
"X81",28,5.3742802303263
"X89",28,5.3742802303263
"X1043",27,5.18234165067178
"X1176",27,5.18234165067178
"X1201",27,5.18234165067178
"X18",27,5.18234165067178
"X183",27,5.18234165067178
"X193",27,5.18234165067178
"X194",27,5.18234165067178
"X379",27,5.18234165067178
"X590",27,5.18234165067178
"X592",27,5.18234165067178
"X700",27,5.18234165067178
"X774",27,5.18234165067178
"X894",27,5.18234165067178
"X922",27,5.18234165067178
"X987",27,5.18234165067178
"X1060",26,4.99040307101727
"X1257",26,4.99040307101727
"X139",26,4.99040307101727
"X158",26,4.99040307101727
"X244",26,4.99040307101727
"X287",26,4.99040307101727
"X295",26,4.99040307101727
"X542",26,4.99040307101727
"X547",26,4.99040307101727
"X814",26,4.99040307101727
"X842",26,4.99040307101727
"X865",26,4.99040307101727
"X902",26,4.99040307101727
"X934",26,4.99040307101727
"X943",26,4.99040307101727
"X1065",25,4.79846449136276
"X11",25,4.79846449136276
"X1108",25,4.79846449136276
"X1116",25,4.79846449136276
"X1138",25,4.79846449136276
"X1188",25,4.79846449136276
"X1198",25,4.79846449136276
"X1202",25,4.79846449136276
"X1218",25,4.79846449136276
"X1237",25,4.79846449136276
"X1240",25,4.79846449136276
"X1254",25,4.79846449136276
"X16",25,4.79846449136276
"X171",25,4.79846449136276
"X177",25,4.79846449136276
"X217",25,4.79846449136276
"X219",25,4.79846449136276
"X286",25,4.79846449136276
"X3",25,4.79846449136276
"X438",25,4.79846449136276
"X50",25,4.79846449136276
"X561",25,4.79846449136276
"X571",25,4.79846449136276
"X626",25,4.79846449136276
"X661",25,4.79846449136276
"X692",25,4.79846449136276
"X715",25,4.79846449136276
"X724",25,4.79846449136276
"X750",25,4.79846449136276
"X783",25,4.79846449136276
"X799",25,4.79846449136276
"X819",25,4.79846449136276
"X831",25,4.79846449136276
"X854",25,4.79846449136276
"X879",25,4.79846449136276
"X932",25,4.79846449136276
"X940",25,4.79846449136276
"X965",25,4.79846449136276
"X1022",24,4.60652591170825
"X1028",24,4.60652591170825
"X1035",24,4.60652591170825
"X1049",24,4.60652591170825
"X1054",24,4.60652591170825
"X1079",24,4.60652591170825
"X1089",24,4.60652591170825
"X1090",24,4.60652591170825
"X1117",24,4.60652591170825
"X1167",24,4.60652591170825
"X1206",24,4.60652591170825
"X1226",24,4.60652591170825
"X1232",24,4.60652591170825
"X1239",24,4.60652591170825
"X1246",24,4.60652591170825
"X145",24,4.60652591170825
"X160",24,4.60652591170825
"X201",24,4.60652591170825
"X206",24,4.60652591170825
"X300",24,4.60652591170825
"X330",24,4.60652591170825
"X34",24,4.60652591170825
"X361",24,4.60652591170825
"X365",24,4.60652591170825
"X380",24,4.60652591170825
"X404",24,4.60652591170825
"X421",24,4.60652591170825
"X442",24,4.60652591170825
"X448",24,4.60652591170825
"X450",24,4.60652591170825
"X457",24,4.60652591170825
"X470",24,4.60652591170825
"X477",24,4.60652591170825
"X485",24,4.60652591170825
"X493",24,4.60652591170825
"X494",24,4.60652591170825
"X543",24,4.60652591170825
"X579",24,4.60652591170825
"X581",24,4.60652591170825
"X60",24,4.60652591170825
"X605",24,4.60652591170825
"X624",24,4.60652591170825
"X631",24,4.60652591170825
"X639",24,4.60652591170825
"X684",24,4.60652591170825
"X707",24,4.60652591170825
"X714",24,4.60652591170825
"X747",24,4.60652591170825
"X753",24,4.60652591170825
"X756",24,4.60652591170825
"X760",24,4.60652591170825
"X77",24,4.60652591170825
"X806",24,4.60652591170825
"X810",24,4.60652591170825
"X813",24,4.60652591170825
"X863",24,4.60652591170825
"X890",24,4.60652591170825
"X910",24,4.60652591170825
"X924",24,4.60652591170825
"X925",24,4.60652591170825
"X963",24,4.60652591170825
"X981",24,4.60652591170825
"X100",23,4.41458733205374
"X1001",23,4.41458733205374
"X1006",23,4.41458733205374
"X102",23,4.41458733205374
"X1027",23,4.41458733205374
"X1037",23,4.41458733205374
"X1066",23,4.41458733205374
"X1096",23,4.41458733205374
"X111",23,4.41458733205374
"X1114",23,4.41458733205374
"X1115",23,4.41458733205374
"X1121",23,4.41458733205374
"X1126",23,4.41458733205374
"X1129",23,4.41458733205374
"X113",23,4.41458733205374
"X1143",23,4.41458733205374
"X1145",23,4.41458733205374
"X1149",23,4.41458733205374
"X1161",23,4.41458733205374
"X1170",23,4.41458733205374
