"model","pirt_accuracy","theta","n_subset_items","n_all_items","avg_observed","avg_predicted"
"01-ai/Yi-1.5-9B-Chat",0.769384066947913,-0.44880005484606,30,1045,0.666666666666667,0.772420049222235
"jeiku/Garbage_9B",0.828061117869699,0.33348339181691,30,1045,0.6,0.834801840565355
"danyoung/billie",0.848571111309051,0.954567955840133,72,1045,0.555555555555556,0.870253660141786
"Locutusque/Hercules-4.0-Mistral-v0.2-7B",0.793539499530935,-0.158882311495114,30,1045,0.5,0.802215543852046
"jondurbin/bagel-7b-v0.1",0.823110420907125,0.235992493892386,30,1045,0.566666666666667,0.83069003925906
"jjaaaww/posi_13b",0.727794365414246,-0.756931297268251,30,1045,0.666666666666667,0.729601095426489
"zorobin/mistral-class-shishya-all-hal-7b-ep3",0.761226627276723,-0.503773287433063,30,1045,0.5,0.768947611334163
"tricktreat/Llama-2-7b-chat-hf-guanaco-freeze-embed-tokens-q-v-proj-lora",0.658928088016246,-1.09247767792854,30,1045,0.533333333333333,0.662640248253179
"saishf/West-Maid-7B",0.853131576832309,0.939272715881035,69,1045,0.63768115942029,0.868363214948528
"shadowml/Marcoro14-7B-ties",0.856705537345573,1.16865500515695,92,1045,0.619565217391304,0.879598411884705
"beberik/Nyxene-v3-11B",0.845124230138892,0.764857727985868,58,1045,0.568965517241379,0.861352401717469
"01-ai/Yi-34B-200K",0.791527188203411,-0.253074525847566,30,1045,0.733333333333333,0.79324720361829
"eren23/dpo-binarized-NeutrixOmnibe-7B",0.856720338876505,3.79514761731592,500,1045,0.74,0.963803218579721
"OpenBuddy/openbuddy-mistral-7b-v13.1",0.757839846200668,-0.536575401086927,30,1045,0.6,0.762505063329751
"lemon-mint/gemma-ko-7b-instruct-v0.71",0.753690560678601,-0.557796885068248,30,1045,0.533333333333333,0.760203582176491
"icefog72/IceCoffeeTest2",0.850813868485279,0.956393436177913,72,1045,0.583333333333333,0.870606878280696
"shahzebnaveed/NeuralHermes-2.5-Mistral-7B",0.824018628324079,0.271884701472428,30,1045,0.533333333333333,0.832610311919865
"ChaoticNeutrals/Eris_Remix_DPO_7B",0.851803304579656,2.41754946090695,500,1045,0.736,0.958044868414204
"Ritvik19/zephyr-phi-1_5-sft-qlora",0.73432569136652,-0.722116095695606,30,1045,0.666666666666667,0.736325465495579
"h2oai/h2o-danube2-1.8b-sft",0.686167516539243,-0.970508165835481,30,1045,0.4,0.694625669737447
"v1olet/v1olet_merged_dpo_7B",0.839264896686643,0.608955502907229,47,1045,0.574468085106383,0.851735287612767
"ChavyvAkvar/llama-3-lumimaid-habib-v5",0.753846749551186,-0.585777031061978,30,1045,0.633333333333333,0.757408722444325
"jondurbin/airoboros-l2-7b-2.2.1",0.675331518608953,-1.02055728635734,30,1045,0.533333333333333,0.679528509306755
"Locutusque/Hyperion-2.1-Mistral-7B",0.803022348469478,-0.0655136716897645,30,1045,0.566666666666667,0.81000823069025
"FredrikBL/test-dare",0.836544104341654,0.459048621527869,38,1045,0.657894736842105,0.843285589907675
"dddsaty/Merge_Sakura_Solar",0.82674484049063,0.261536018247382,30,1045,0.7,0.830490993411536
"ericpolewski/ASTS-PFAF",0.732452746662592,-0.734772180175478,30,1045,0.666666666666667,0.734397162820107
"chujiezheng/zephyr_0.1",0.795881038974219,-0.137630639135703,30,1045,0.5,0.804626291357694
"prince-canuma/Llama-3-6B-v0.1",0.733532433555613,-0.72804608418172,30,1045,0.666666666666667,0.735508761641001
"Ppoyaa/Lumina-2",0.838113231890438,0.553636867935094,43,1045,0.558139534883721,0.850128071183141
"jerryjalapeno/nart-100k-7b",0.667336926811724,-1.06529612253648,30,1045,0.666666666666667,0.667356737456406
"vicgalle/zephyr-7b-truthy",0.816487684257583,0.148410698010696,30,1045,0.566666666666667,0.823871556698693
"MaziyarPanahi/YamshadowInex12_Multi_verse_modelExperiment28",0.857677036621669,3.77811206970327,500,1045,0.742,0.963802758292925
"NeuralNovel/Neural-Llama-3",0.74765706774891,-0.625297656711578,30,1045,0.666666666666667,0.750050872707006
"Gille/StrangeMerges_46-7B-dare_ties",0.82530160005893,0.251286395517453,30,1045,0.633333333333333,0.830975538976928
"uukuguy/speechless-code-mistral-7b-v1.0",0.822379955911734,0.244831075373392,30,1045,0.566666666666667,0.829937984165283
"xxx777xxxASD/L3-ChaoticSoliloquy-v1.5-4x8B",0.73432109718679,-0.709907704114714,30,1045,0.566666666666667,0.739276400551916
"LLMNewbie/vic_critT_20pr",0.744939662528498,-0.638802143204329,30,1045,0.533333333333333,0.751194036790424
"paulml/DPOB-NMTOB-7B",0.856241232437751,3.76640860411832,500,1045,0.74,0.962884564949449
