"model","pirt_accuracy","theta","n_subset_items","n_all_items","avg_observed","avg_predicted","actual_accuracy","n_items","error","abs_error","squared_error"
"0-hero/Matter-0.1-7B",0.807032803037242,0.023810195756567,30,1045,0.466666666666667,0.817092885885633,0.750239234449761,1045,0.056793568587481,0.056793568587481,0.0032255094329009
"01-ai/Yi-1.5-9B-Chat",0.764630073142224,-0.491174696546913,30,1045,0.633333333333333,0.768510764959236,0.739712918660287,1045,0.024917154481937,0.024917154481937,0.000620864587476713
"01-ai/Yi-34B-200K",0.775415446713239,-0.396252340740393,30,1045,0.666666666666667,0.778629696369788,0.805741626794258,1045,-0.0303261800810189,0.0303261800810189,0.000919677198306391
"01-ai/Yi-34B-Chat",0.791868266867235,-0.234389443870436,30,1045,0.666666666666667,0.795568806774641,0.77799043062201,1045,0.013877836245225,0.013877836245225,0.00019259433884928
"222gate/Blurdus-7b-v0.1",0.859033164417421,1.21848984665991,30,1045,0.466666666666667,0.870630203759808,0.817224880382775,1045,0.041808284034646,0.041808284034646,0.00174793261392163
"222gate/Blurred-Beagle-7b-slerp",0.865087144275489,1.39700729057422,30,1045,0.6,0.872922232283632,0.822966507177033,1045,0.042120637098456,0.042120637098456,0.00177414806957983
"64bits/LexPodLM-13B",0.755456094505006,-0.580209780839919,30,1045,0.666666666666667,0.758080412569193,0.726315789473684,1045,0.0291403050313219,0.0291403050313219,0.000849157377318486
"8xqmff94/slm",0.755341061522876,-0.542933280702089,30,1045,0.5,0.762888087971828,0.674641148325359,1045,0.0806999131975169,0.0806999131975169,0.00651247599008676
"AA051610/A11P",0.786287554706803,-0.277632748755099,30,1045,0.633333333333333,0.790808369131635,0.774162679425837,1045,0.012124875280966,0.012124875280966,0.000147012600578979
"AA051615/L0223",0.783205845668405,-0.328043815429858,30,1045,0.7,0.785665131747274,0.770334928229665,1045,0.01287091743874,0.01287091743874,0.000165660515714862
"AA051615/L0225",0.781550132276327,-0.339569901130558,30,1045,0.666666666666667,0.784945702688436,0.759808612440191,1045,0.0217415198361359,0.0217415198361359,0.000472693684785092
"aaditya/Llama3-OpenBioLLM-8B",0.72087371687946,-0.789230288729157,30,1045,0.6,0.724446339053238,0.667942583732057,1045,0.0529311331474031,0.0529311331474031,0.00280170485626811
"aari1995/germeo-7b-laser",0.830480699326387,0.335108581913048,30,1045,0.633333333333333,0.836307715070024,0.733014354066986,1045,0.097466345259401,0.097466345259401,0.00949968845822476
"abacusai/Fewshot-Metamath-Mistral",0.775740691152917,-0.378922153602629,30,1045,0.6,0.780934997295368,0.722488038277512,1045,0.053252652875405,0.053252652875405,0.00283584503826838
"abacusai/MetaMath-bagel-34b-v0.2-c1500",0.77255519277761,-0.39916692704065,30,1045,0.533333333333333,0.779625789608476,0.785645933014354,1045,-0.0130907402367441,0.0130907402367441,0.00017136747994591
"abacusai/Smaug-2-72B",0.778966920182632,-0.393539838093401,30,1045,0.733333333333333,0.780315696148621,0.794258373205742,1045,-0.01529145302311,0.01529145302311,0.000233828535557979
"abacusai/Smaug-70B-v0.1",0.776189424826756,-0.413418160925594,30,1045,0.733333333333333,0.777456107333951,0.831578947368421,1045,-0.055389522541665,0.055389522541665,0.00306799920739361
"abhishek/autotrain-llama3-orpo-v2",0.740319039290288,-0.674511085085332,30,1045,0.6,0.744466400057488,0.725358851674641,1045,0.014960187615647,0.014960187615647,0.000223807213495358
"abhishekchohan/Yi-9B-Forest-DPO-v1.0",0.761255318385256,-0.507368437184883,30,1045,0.6,0.766021485431126,0.734928229665072,1045,0.026327088720184,0.026327088720184,0.000693115600480438
"aboros98/merlin1",0.729571146010293,-0.749464467157618,30,1045,0.633333333333333,0.732415613380056,0.717703349282297,1045,0.0118677967279961,0.0118677967279961,0.000140844599177035
"adamo1139/Yi-34B-200K-HESOYAM-0905",0.765609508258309,-0.484385763843173,30,1045,0.666666666666667,0.768533927221609,0.808612440191388,1045,-0.043002931933079,0.043002931933079,0.00184925215484103
"Aeala/VicUnlocked-alpaca-30b",0.764578153186816,-0.50349177675198,30,1045,0.7,0.766486867074111,0.75311004784689,1045,0.011468105339926,0.011468105339926,0.00013151744008764
"AGI-0/ThetaWave-7B-v0.1",0.840405449121859,0.552630307708798,30,1045,0.666666666666667,0.845540585549106,0.792344497607655,1045,0.048060951514204,0.048060951514204,0.00230985506045067
"AIDC-ai-business/Marcoroni-7B-v2",0.837952660392273,0.490135549357363,30,1045,0.666666666666667,0.843015300600911,0.781818181818182,1045,0.056134478574091,0.056134478574091,0.00315107968478509
"aihub-app/ZySec-8B-v2",0.676657273891979,-1.01124137005616,30,1045,0.566666666666667,0.679908227800116,0.647846889952153,1045,0.028810383939826,0.028810383939826,0.000830038222760187
"aiplanet/effi-7b",0.707103922346674,-0.881138463919989,30,1045,0.666666666666667,0.708299112169728,0.685167464114833,1045,0.021936458231841,0.021936458231841,0.000481208199757304
"ajibawa-2023/Code-290k-13B",0.715719621037837,-0.824885413175906,30,1045,0.6,0.719139905403488,0.689952153110048,1045,0.0257674679277891,0.0257674679277891,0.000663962403409638
