"model","theta_atlas","se","num_items","time_sec"
"namespace-Pt/Llama-3-8B-Instruct-80K-QLoRA",0.352751452879578,0.117604799645609,30,2.38379263877869
"mlabonne/Beyonder-4x7B-v3",1.18224920045844,0.13633269441814,30,2.267578125
"Evillain/StarDust_20B_v0.2",-1.0234088739053,0.134133683496879,30,2.29401445388794
"leveldevai/BeagleMist-7B",1.30854622162574,0.146876499481426,30,2.30525660514832
"cookinai/DonutLM-v1",0.766819914205054,0.106292162910088,30,2.30493712425232
"kwchoi/DPO_mistral_7b_ultra_0124_v1",-0.817372922103976,0.135751165270581,30,2.32314276695251
"EmbeddedLLM/Mistral-7B-Merge-14-v0.2",0.899622058068103,0.111640380665387,30,2.37503385543823
"soniox/Soniox-7B-v1.0",0.27556115037455,0.115061574819618,30,2.32559442520142
"ibivibiv/multimaster-7b-v6",1.24547582936151,0.141922640907009,30,2.36577701568604
"Isaak-Carter/J.O.S.I.E.3-Beta10-7B-slerp",0.313067845538849,0.114834358715259,30,2.3135666847229
"JaeyeonKang/CCK_Asura_v1",0.410307391579292,0.115507137990522,30,2.28499031066895
"giraffe176/WestLake_Noromaid_OpenHermes_neural-chat",0.594381660622798,0.113273474693429,30,2.39532423019409
"xDAN-AI/xDAN-L1-Chat-RL-v1",0.109623559117022,0.116256999297379,30,2.28535771369934
"Nhoodie/Meta-Llama-3-8B-Uninstruct-function-calling-json-mode-model_stock-v0.1",0.603614791881452,0.114330784227911,30,2.27064800262451
"abacusai/MM-OV-bagel-DPO-34b-c1000-250",0.746555649679458,0.106408510709785,30,2.28889679908752
"Changgil/K2S3-Mistral-7b-v1.46",-0.368048455920963,0.128962078967828,30,2.35849642753601
"Test157t/Echidna-7b-128k",0.035099860503424,0.118616965197449,30,2.31742024421692
"netcat420/MFANNv0.2",-0.672175694610824,0.133701548372273,30,2.37520837783813
"CohereForAI/c4ai-command-r-plus",-0.0348384584078362,0.131453360216549,30,2.27337551116943
"ZhangShenao/0.001_idpo_declr_4iters_iter_4",-1.15394533632624,0.13434355313714,30,2.1788215637207
"Ppoyaa/Lumina-5.5-Instruct",0.376889734594418,0.121297193440568,30,2.31299209594727
"ajibawa-2023/General-Stories-Mistral-7B",0.405856841295085,0.117290746036296,30,2.3910915851593
"BTAgent/BTAgent-v0.1",-0.683273047904699,0.137427440929144,30,2.33496069908142
"flammenai/flammen23-mistral-7B",0.929741548246,0.115200868310572,30,2.39708304405212
"perlthoughts/Chupacabra-7B",0.446511947073683,0.116125800928686,30,2.36041975021362
"jingyeom/freeze_KoSoLAR-10.7B-v0.2_1.4_dedup",-0.811326146974355,0.133459929883159,30,2.35028743743896
"Eric111/Snorkel-Mistral-PairRM-DPO-openchat-3.5-0106-laser",-0.0675085363515532,0.120548741847311,30,2.35334706306458
"indischepartij/MiniCPM-3B-Bacchus",-0.0368180460028455,0.121599779795482,30,2.33951139450073
"abhishek/autotrain-mixtral-8x7b-orpo-v1",0.135428125229314,0.118690333384805,30,2.33670663833618
"CultriX/MergeTrix-7B-v2",1.17999680362354,0.136621570565664,30,2.38997650146484
"openthaigpt/openthaigpt-1.0.0-70b-chat",-0.608607312119178,0.136841225865714,30,2.39756631851196
"LeroyDyer/SpydazWeb_AI_BASE_128k",-0.259233872953194,0.122620029125151,30,2.30995893478394
"bn22/Nous-Hermes-2-SOLAR-10.7B-MISALIGNED",0.387292008882679,0.115873171850175,30,2.33611512184143
"Danielbrdz/Barcenas-13b",-1.80119255022121,0.162899951977323,30,2.34323287010193
"chatty123/mistral_rank8_packing",-0.47615762086909,0.12988170170593,30,2.32443809509277
"StrangeSX/Saraa-8B-ORPO-AUNQA-16bit",-0.608283898171428,0.135831252663662,30,2.36309409141541
"migtissera/Synthia-70B",-1.24856289494574,0.138359188231871,30,2.42276096343994
"vikash06/doctorLLM",-1.40091917995535,0.14085583459164,30,2.34000635147095
"jeonsworld/CarbonVillain-en-10.7B-v3",0.269594727445582,0.114372586386246,30,2.37243223190308
"mlabonne/NeuralBeagle14-7B",1.16106067170197,0.13403981541297,30,2.33767771720886
"InferenceIllusionist/Excalibur-7b",0.915114577724677,0.114388841074065,30,2.35206866264343
"ibivibiv/dolphin-ultrafeedback-dpo",-0.146364730239592,0.121906021969652,30,2.34922170639038
"dillfrescott/trinity-medium",0.706235941063876,0.108208545553097,30,2.34281706809998
"TeeZee/Xwin-LM-70B-V0.1_Jannie",-0.736910928340073,0.139578141322253,30,2.34872841835022
"LeroyDyer/Mixtral_AI_base_128k",-0.246667147879174,0.122471610741839,30,2.3669855594635
"jondurbin/airoboros-34b-3.2",0.0128249850992722,0.119452990559268,30,2.34941506385803
"robinsmits/Qwen1.5-7B-Dutch-Chat-Dpo",-0.57715527507451,0.139716138569452,30,2.40155363082886
"NurtureAI/neural-chat-11b-v3-2",-0.0347746537530077,0.119599510366008,30,2.32293891906738
"allknowingroger/Lamma3merge2-15B-MoE",0.42222440134453,0.1173097397517,30,2.33107852935791
"NousResearch/Yarn-Mistral-7b-64k",-0.855713822640332,0.139016866469049,30,2.3586757183075
"BlouseJury/Mistral-7B-Discord-0.1-DPO",-0.854989969182855,0.132397762997615,30,2.34870672225952
