"model","actual_accuracy","n_items"
"dzakwan/dzakwan-MoE-4x7b-Beta",0.854141131150411,5711
"CultriX/SevereNeuralBeagleTrix-7B",0.846261600420242,5711
"mahiatlinux/MasherAI-v6.1-7B-checkpoint6",0.760112064437051,5711
"Qwen/Qwen1.5-MoE-A2.7B",0.688145683768167,5711
"bongchoi/MoMo-70B-LoRA-V1.1",0.818070390474523,5711
"liminerity/Blur-7b-v1.22",0.73769917702679,5711
"Mr-Bhaskar/fbt-mistral-7b",0.743477499562248,5711
"Kquant03/Ryu-4x7B-MoE-bf16",0.756610050779198,5711
"Eurdem/Defne_llama3_2x8B",0.800910523551042,5711
"nbeerbower/llama-3-wissenschaft-8B-v2",0.818595692523201,5711
"openaccess-ai-collective/DPOpenHermes-11B",0.783925757310454,5711
"jisukim8873/falcon-7B-case-6",0.67256172299072,5711
"elinas/chronos-mistral-7b",0.653300647872527,5711
"silvercoder45/Mistral-7b-instruct-v0.2-summ-dpo-e2",0.792855892137979,5711
"BarraHome/zephyr-dpo-v2",0.748555419366136,5711
"FelixChao/Scorpio-7B",0.848888110663632,5711
"euclaise/Ferret_7B",0.722115216249343,5711
"NickyNicky/Mistral-7B-OpenOrca-oasst_top1_2023-08-25-v2",0.735773069514971,5711
"h2m/mhm-8x7B-FrankenMoE-v1.0",0.836455962178252,5711
"mistral-community/Mistral-7B-v0.2",0.753283137804237,5711
"MaziyarPanahi/Calme-7B-Instruct-v0.9",0.85799334617405,5711
"DiscoResearch/DiscoLM-70b",0.800910523551042,5711
"wenge-research/yayi-70b-llama2",0.764314480826475,5711
"fhai50032/xLakeChat",0.746629311854316,5711
"MaziyarPanahi/TheTop-5x7B-Instruct-S5-v0.1",0.851514620907022,5711
"statking/Meta-Llama-3-8B-Instruct-ORPO-QLoRA",0.688495885133952,5711
"Noodlz/WizardLaker-7B",0.799859919453686,5711
"jan-hq/supermario-slerp-v3",0.818770793206093,5711
"nlpguy/Hermes-low-tune-2",0.778147434774996,5711
"liminerity/e.star.7b",0.824023813692873,5711
"AA051611/O0201",0.77254421292243,5711
"fhai50032/RolePlayLake-7B-Toxic",0.786202066188058,5711
"Gille/StrangeMerges_3-7B-slerp",0.838732271055857,5711
"Kquant03/Medusa-7B-bf16",0.700928033619331,5711
"NeuralNovel/Confinus-2x7B",0.854316231833304,5711
"amazingvince/where-llambo-7b",0.734722465417615,5711
"AA051610/A12P",0.735597968832078,5711
"adamo1139/Yi-34B-200K-AEZAKMI-RAW-2301",0.775871125897391,5711
"vicgalle/test-merge-2",0.66730870250394,5711
"DAMO-NLP-SG/CLEX-Mixtral-8x7B-Chat-32K",0.808790054281212,5711
"ResplendentAI/Flora_7B",0.844335492908422,5711
"CausalLM/72B-preview",0.751707231658203,5711
"PeanutJar/LLaMa-2-PeanutButter_v19_R8-7B",0.676238837331466,5711
"decem/Dionysus-Mistral-n1-v1",0.728243740150587,5711
"ichigoberry/pandafish-2-7b-32k",0.786902468919629,5711
"icefog72/IceCappuccinoRP-7b",0.728769042199265,5711
"Gille/StrangeMerges_20-7B-slerp",0.848888110663632,5711
"tiiuae/falcon-40b",0.789353878480126,5711
"ChaoticNeutrals/Prima-LelantaclesV7-experimental-7b",0.8520399229557,5711
"quantumaikr/quantum-v0.01",0.8448607949571,5711
"UCLA-AGI/zephyr-7b-sft-full-SPIN-iter3",0.799334617405008,5711
"Gryphe/Pantheon-RP-1.0-8b-Llama-3",0.765189984240939,5711
"indischepartij/OpenMia-Indo-Mistral-7b-v3-refined",0.774645421117142,5711
"yam-peleg/Experiment29-7B",0.857292943442479,5711
"Yuma42/KangalKhan-Ruby-7B-Fixed",0.791805288040623,5711
