"X","a1","d","g","u"
"X1",1.62368293978819,6.05701471407802,0.0789935688535839,1
"X3",2.6635775886352,12.6887206066731,0.0989611509157167,1
"X9",10.4923527185438,-7.1541834864258,0.365938574814905,1
"X10",2.08332547111425,2.68949634513085,0.252012967791767,1
"X13",1.27146257484976,5.50870603580725,0.0703285350042141,1
"X16",-0.040001716738171,-5.1044439326136,5.15600054670509e-07,1
"X19",0.128939417144856,-7.0508787288502,2.95730703022583e-07,1
"X20",2.65845026892249,10.4730272810423,0.0818930628693308,1
"X21",2.66357758863522,12.6887206066732,0.0989611509157175,1
"X23",-1.41285417426801,-9.37940328976625,2.70029254850028e-07,1
"X26",1.55825170237416,3.90754409304814,0.189054166276027,1
"X27",2.17305292811692,7.47760608797183,0.0444172885824885,1
"X28",2.8433653863675,-0.528986394976016,0.0909046814602044,1
"X30",3.49503611471429,-19.2056365683819,0.738136234858228,1
"X31",2.6635775886352,12.6887206066731,0.0989611509157167,1
"X33",4.68747573237965,-23.8683492432453,0.370979281823762,1
"X35",2.2178451686615,-4.09859049046001,0.0351724244193015,1
"X36",2.93248219648945,-0.83654236377027,0.245748275986697,1
"X37",7.44153164094825,9.30684947943396,0.712025889321167,1
"X39",-0.48104492555855,-1.34769736947554,0.00376540191606479,1
"X40",5.85216342408533,4.37302367949559,0.779769018512545,1
"X43",2.6635775886352,12.6887206066731,0.0989611509157165,1
"X44",1.61076368643621,8.46281045700285,0.0930595954364159,1
"X45",2.19205164878024,9.59548340799511,0.0681525731815933,1
"X52",4.34874387401741,2.66619527505421,0.669571548028382,1
"X53",1.2793091588701,3.65041975174721,0.0385750502091423,1
"X55",2.90722909284745,11.6927040549605,0.0825519775427158,1
"X61",1.06723125678951,3.14102238647784,0.0996858358877056,1
"X62",0.625925463784395,3.11719699468802,0.101709902254622,1
"X64",0.552796173382668,-3.41655587776257,8.64239690948855e-06,1
"X69",2.46784959429906,9.21733126424561,0.0772541536291182,1
"X70",1.26220546531155,4.56472394909774,0.0481346518016453,1
"X71",3.13553864198308,-2.42995956150006,0.565824400819098,1
"X73",4.35245981936497,-2.80688917067752,0.153504277734978,1
"X74",1.9715080814626,6.04833953168367,0.047806529953976,1
"X76",2.70011831118857,10.5871703446307,0.0778474910603969,1
"X79",1.84154540728356,7.09871280153444,0.0739535457984225,1
"X81",-0.736516699719466,-5.08929878196136,8.4686903941474e-07,1
"X82",2.18173422507779,-15.1016161523325,0.302696284741407,1
"X83",6.2005437810183,9.8783067452867,0.906249999775242,1
"X86",1.99195295993296,6.58229669532902,0.0480634341928918,1
"X88",2.6635775886352,12.6887206066731,0.0989611509157166,1
"X90",3.06640318845497,8.93859251386483,0.0538050286266494,1
"X93",4.49256027443512,7.74982672393681,0.876279942933391,1
"X94",1.72706771073049,6.43643592762092,0.0785167073472302,1
"X97",1.55550917831696,3.96830429402205,0.273198819251632,1
"X101",3.08205633241137,2.36845586760614,0.482880337747387,1
"X102",-0.997669866409556,-7.33495641377257,3.05965806326897e-07,1
"X103",3.91341475498839,2.33743601225921,0.545940880043786,1
"X105",1.98228994100059,9.73847078847318,0.085638751958787,1
"X106",2.6635775886352,12.6887206066731,0.0989611509157167,1
"X107",3.91094299574763,14.0313960007808,0.0770133065469377,1
"X109",7.74519951979762,8.28618494016765,0.734363744546305,1
"X110",1.94549156023945,0.437273475700109,0.0154566851174052,1
