"","M2","df","p","RMSEA","RMSEA_5","RMSEA_95","SRMSR","TLI","CFI"
"stats",36666.035064857,5992,0,0.0384313175123965,0.0380481745344838,0.0388043598726949,0.11786713113,0.933212447349539,0.935619206003609
"stats",48554.2441947944,5992,0,0.0452701650629175,0.0448907211973674,0.0456374512529636,0.169228315480033,0.941193720252635,0.943312865468756
"stats",56285.9287508595,5992,0,0.0492104798185552,0.0488323351314654,0.0495752814429494,0.167582612837213,0.929883501521386,0.932410222187282
"stats",46457.2385521113,5992,0,0.0441408681985774,0.0437609587349959,0.0445089599845705,0.146999400482716,0.931519882749091,0.933987634722097
"stats",56351.6087523956,5992,0,0.0492426018850333,0.0488644659884546,0.0496073850643499,0.138761379068999,0.909558090095696,0.912817258020176
"stats",53646.0663971787,5992,0,0.0479015758872945,0.0475230500221864,0.0482671522253544,0.122274048065071,0.903811767140127,0.907278009765708
"stats",70849.3183240312,5992,0,0.0558829485053865,0.0555061551573147,0.056244397629819,0.153706293665921,0.902831840774778,0.906333396062173
"stats",50451.1240716352,5992,0,0.0462679512672549,0.0458888813352325,0.0466345631815303,0.140486244195432,0.923700746323826,0.926450268978823
"stats",42460.897197467,5992,0,0.0419045454194094,0.0415235627619722,0.0422743836488636,0.104848284091186,0.918103576292085,0.921054798768046
"stats",56613.4069592066,5992,0,0.0493704316486085,0.0489923304742143,0.0497351416848264,0.096182437008351,0.861428636952848,0.866422199585178
"stats",37763.5594077563,5992,0,0.0391128159294893,0.0387301522068011,0.0394851745595024,0.130396495572971,0.936155255212977,0.938455966736833
"stats",33445.3249563082,5992,0,0.0363577746762943,0.0359729736825733,0.0367330953901259,0.175962521709781,0.969049018565718,0.970164369248034
"stats",30747.0242724027,5992,0,0.0345248258598099,0.03413826480983,0.0349024515408132,0.170632909195484,0.975013516626013,0.975913930441292
"stats",45733.3459026361,5992,0,0.0437442630038674,0.0433641785352278,0.0441126492095114,0.130090588622315,0.931560625984935,0.934026909733226
