"model","pirt_accuracy","theta","n_subset_items","n_all_items","avg_observed","avg_predicted"
"dzakwan/dzakwan-MoE-4x7b-Beta",0.845226055025299,1.29111801199171,30,5600,0.633333333333333,0.846367308463496
"CultriX/SevereNeuralBeagleTrix-7B",0.833709646672541,1.00007950983661,30,5600,0.7,0.834429806349413
"mahiatlinux/MasherAI-v6.1-7B-checkpoint6",0.749819852630003,-0.269085006992857,30,5600,0.666666666666667,0.750267715391026
"Qwen/Qwen1.5-MoE-A2.7B",0.687464424876378,-1.17123038937247,30,5600,0.666666666666667,0.687576441527417
"bongchoi/MoMo-70B-LoRA-V1.1",0.750879910604978,-0.256468217852697,30,5600,0.633333333333333,0.751513016048093
"liminerity/Blur-7b-v1.22",0.732531361921201,-0.519034940371024,30,5600,0.633333333333333,0.733065642146989
"Mr-Bhaskar/fbt-mistral-7b",0.740965186632584,-0.398301553335568,30,5600,0.7,0.741185824980695
"Kquant03/Ryu-4x7B-MoE-bf16",0.700330794485738,-0.98126668678213,30,5600,0.8,0.699793976502717
"Eurdem/Defne_llama3_2x8B",0.744434461677996,-0.352846499164899,30,5600,0.766666666666667,0.744314719101755
"nbeerbower/llama-3-wissenschaft-8B-v2",0.819374372397288,0.749880100663496,30,5600,0.666666666666667,0.820196855552031
"openaccess-ai-collective/DPOpenHermes-11B",0.785038109354657,0.248911391866323,30,5600,0.633333333333333,0.785855190733587
"jisukim8873/falcon-7B-case-6",0.685986986074307,-1.19295326918171,30,5600,0.633333333333333,0.686270578458908
"elinas/chronos-mistral-7b",0.665826670150715,-1.53133882853816,30,5600,0.6,0.666181212359785
"silvercoder45/Mistral-7b-instruct-v0.2-summ-dpo-e2",0.777354215000169,0.136400949737857,30,5600,0.766666666666667,0.777411778097118
"BarraHome/zephyr-dpo-v2",0.726873348472802,-0.598610528729935,30,5600,0.766666666666667,0.726659021803895
"FelixChao/Scorpio-7B",0.843793265624708,1.24978640735962,30,5600,0.666666666666667,0.844747268850694
"euclaise/Ferret_7B",0.721554641103523,-0.675992361964583,30,5600,0.733333333333333,0.721491201109466
"NickyNicky/Mistral-7B-OpenOrca-oasst_top1_2023-08-25-v2",0.734247173029041,-0.496987481300898,30,5600,0.7,0.734431628180005
"h2m/mhm-8x7B-FrankenMoE-v1.0",0.819776383346814,0.750016638660932,30,5600,0.8,0.81988289887651
"mistral-community/Mistral-7B-v0.2",0.739747264735084,-0.417867099035516,30,5600,0.7,0.739961343360228
"MaziyarPanahi/Calme-7B-Instruct-v0.9",0.859758295623265,2.05374895034455,30,5600,0.833333333333333,0.859900620375275
"DiscoResearch/DiscoLM-70b",0.775189615350172,0.0922698882733084,30,5600,0.466666666666667,0.776851318843979
"wenge-research/yayi-70b-llama2",0.733803287571306,-0.5021717128313,30,5600,0.766666666666667,0.7336262855295
"fhai50032/xLakeChat",0.750866773817191,-0.253809262735744,30,5600,0.666666666666667,0.751320275291969
"MaziyarPanahi/TheTop-5x7B-Instruct-S5-v0.1",0.833517877359825,1.00008489089513,30,5600,0.733333333333333,0.834057470954222
"statking/Meta-Llama-3-8B-Instruct-ORPO-QLoRA",0.658546474577611,-1.66638192052583,30,5600,0.466666666666667,0.659579938534043
"Noodlz/WizardLaker-7B",0.802156917142544,0.493924212362568,30,5600,0.733333333333333,0.802527600717818
"jan-hq/supermario-slerp-v3",0.802787917742439,0.499488678673553,30,5600,0.633333333333333,0.803700599525612
"nlpguy/Hermes-low-tune-2",0.779149585523697,0.165351784450976,30,5600,0.7,0.779575884907128
"liminerity/e.star.7b",0.802913807481352,0.499953037728884,30,5600,0.633333333333333,0.803827167306206
"AA051611/O0201",0.715496181193155,-0.759551423741697,30,5600,0.8,0.715041043928486
"fhai50032/RolePlayLake-7B-Toxic",0.768676041022802,0.00581095275764316,30,5600,0.7,0.769045929933158
"Gille/StrangeMerges_3-7B-slerp",0.832684664336294,0.995093655171394,30,5600,0.5,0.83447650274385
"Kquant03/Medusa-7B-bf16",0.716073583434639,-0.750656833464628,30,5600,0.733333333333333,0.715980622483659
"NeuralNovel/Confinus-2x7B",0.843655834955615,1.25038823510435,30,5600,0.666666666666667,0.84460909798051
"amazingvince/where-llambo-7b",0.731205389519083,-0.536848705311165,30,5600,0.666666666666667,0.731552994848629
"AA051610/A12P",0.694514404684363,-1.05979573800145,30,5600,0.633333333333333,0.694843925714979
"adamo1139/Yi-34B-200K-AEZAKMI-RAW-2301",0.719598810203225,-0.704399284986556,30,5600,0.766666666666667,0.719345302897318
"vicgalle/test-merge-2",0.696119806478141,-1.03129295705555,30,5600,0.666666666666667,0.696278440983409
"DAMO-NLP-SG/CLEX-Mixtral-8x7B-Chat-32K",0.767925111968274,-0.00324413297081958,30,5600,0.566666666666667,0.769009089232017
"ResplendentAI/Flora_7B",0.843727553857843,1.2499941372911,30,5600,0.666666666666667,0.844681203160488
"CausalLM/72B-preview",0.732963613827539,-0.513288341823384,30,5600,0.766666666666667,0.732782089305964
"PeanutJar/LLaMa-2-PeanutButter_v19_R8-7B",0.664039069093088,-1.56750961689797,30,5600,0.633333333333333,0.664204450075636
"decem/Dionysus-Mistral-n1-v1",0.733562828806301,-0.507290820456948,30,5600,0.8,0.733204998440805
"ichigoberry/pandafish-2-7b-32k",0.768982699546509,0.0106552592540057,30,5600,0.8,0.768815640477639
"icefog72/IceCappuccinoRP-7b",0.716085021787433,-0.751839493849147,30,5600,0.633333333333333,0.716530722084313
"Gille/StrangeMerges_20-7B-slerp",0.833454351406215,1.00013513950352,30,5600,0.666666666666667,0.834352669277344
"tiiuae/falcon-40b",0.733780936709084,-0.501795805659183,30,5600,0.633333333333333,0.734321947140192
"ChaoticNeutrals/Prima-LelantaclesV7-experimental-7b",0.851353197755937,1.50300547503764,30,5600,0.7,0.852168385535592
"quantumaikr/quantum-v0.01",0.833025833846188,0.999993481878077,30,5600,0.566666666666667,0.83446044336421
"UCLA-AGI/zephyr-7b-sft-full-SPIN-iter3",0.784522737125039,0.242613190304089,30,5600,0.666666666666667,0.785157509497346
"Gryphe/Pantheon-RP-1.0-8b-Llama-3",0.697669360373481,-1.01215937809094,30,5600,0.666666666666667,0.697836340770465
"indischepartij/OpenMia-Indo-Mistral-7b-v3-refined",0.751175974082355,-0.255236575936601,30,5600,0.6,0.75199020733594
"yam-peleg/Experiment29-7B",0.862131386553232,2.29672011456643,30,5600,0.833333333333333,0.86228649276447
"Yuma42/KangalKhan-Ruby-7B-Fixed",0.785272956390287,0.249639978857514,30,5600,0.633333333333333,0.786091302654508
"Undi95/Llamix2-Xwin-MoE-4x13B",0.712805036171537,-0.790969057246403,30,5600,0.7,0.712874004050379
"MaziyarPanahi/YamshadowInex12_Multi_verse_modelExperiment28",0.862203508708055,2.31745091326854,30,5600,0.766666666666667,0.862718069796249
"yunconglong/13B_MATH_DPO",0.860279585607674,2.07908243985849,30,5600,0.666666666666667,0.861322384093892
"DopeorNope/You_can_cry_Snowman-13B",0.785637357032818,0.250901717913474,30,5600,0.6,0.786637199171235
"traversaal-ai/traversaal-2.5-Mistral-7B",0.784364781178988,0.241099383274416,30,5600,0.666666666666667,0.784998702801137
"netcat420/MFANNv0.5",0.833819636416195,1.00236419168004,30,5600,0.8,0.834001788856497
"Eric111/Mathral",0.785660018417585,0.251708878635674,30,5600,0.7,0.786121382969206
"abhishek/autotrain-llama3-70b-orpo-v1",0.750614831021613,-0.261400778969009,30,5600,0.633333333333333,0.751246508747044
"LeroyDyer/Mixtral_AI_Cyber_Matrix_2_0",0.75318018396588,-0.223616006842342,30,5600,0.833333333333333,0.75274847939119
"lamhieu/ghost-7b-v0.9.1",0.695421602420747,-1.04886096669535,30,5600,0.6,0.695935542828758
"Mihaiii/Metis-0.5",0.763863715932368,-0.0620805694607141,30,5600,0.733333333333333,0.764028152463422
"jefferylovely/Merkaba-Maven-0.1",0.860074294176715,2.07334339228363,30,5600,0.833333333333333,0.860218320895799
"liminerity/phigment6-slerp",0.679020639850836,-1.29956343756885,30,5600,0.6,0.679446244733336
"Novocoders/Mistral-NeuralDPO-v0.4",0.785111060089255,0.247566489320595,30,5600,0.766666666666667,0.785210401526001
"Test157t/Pasta-PrimaMaid-7b",0.800732454829688,0.477302198134614,30,5600,0.6,0.801813599110638
"NotAiLOL/Athena-Llama-3-8B-v0.1",0.697586564073949,-1.01041421054833,30,5600,0.7,0.697573565316717
"wandb/mistral-7b-zephyr-sft",0.767744178977924,-0.0049750358816341,30,5600,0.8,0.767570449241719
"diffnamehard/Psyfighter2-Noromaid-ties-Capybara-13B",0.707267798454584,-0.870140423229074,30,5600,0.7,0.707306942790964
"AA051610/A0121",0.728478521250984,-0.575751207494611,30,5600,0.8,0.728093306823252
"Zangs3011/mistral_7b_HalfEpoch_DolphinCoder",0.755584365297835,-0.189777948870814,30,5600,0.8,0.755345142848811
"FelixChao/Voldemort-10B",0.784382282707477,0.239491677903265,30,5600,0.833333333333333,0.784118632524573
"eduagarcia/mistral-orpo-mix-21k",0.74411869427027,-0.35170306765694,30,5600,0.633333333333333,0.744715383826483
"DreadPoor/JustToSuffer-7B-slerp",0.80380958648417,0.50618359882605,30,5600,0.733333333333333,0.804189171330584
"chargoddard/MixtralRPChat-ZLoss",0.749273770969246,-0.284719826083332,30,5600,0.6,0.750077758963694
"nbeerbower/MaidFlameSoup-7B",0.825160164745304,0.842747689535528,30,5600,0.466666666666667,0.827091009438726
"INSAIT-Institute/BgGPT-7B-Instruct-v0.2",0.733068912201323,-0.511602757321976,30,5600,0.8,0.732708421602767
"manishiitg/open-aditi-hi-v1",0.73462295169472,-0.492288731568628,30,5600,0.733333333333333,0.734629897574584
"allknowingroger/Multimerge-12B-MoE",0.860489134900837,2.13840353162986,30,5600,0.766666666666667,0.860994462377861
"Rebecca19990101/Breeze-Petro-7B-Instruct-v1",0.725507986490581,-0.617386363955503,30,5600,0.733333333333333,0.725465839200584
"maywell/Synatra-RP-Orca-2-7b-v0.1",0.645501538387598,-1.91391625139908,30,5600,0.366666666666667,0.647003342005485
"jsfs11/SnorkelWestBeagle-DARETIES-7B",0.820788853718097,0.7584269350603,30,5600,0.566666666666667,0.822157554905088
"MoxoffSpA/Volare",0.716418015449519,-0.7464319849046,30,5600,0.7,0.716506442821778
"eren23/DistilHermes-2.5-Mistral-7B",0.771081036061329,0.0435395383718317,30,5600,0.8,0.770925278625394
"ibivibiv/orthorus-125b-v2",0.788750536161452,0.299576191307185,30,5600,0.8,0.78868994658961
"chanwit/flux-base-optimized",0.736415802280301,-0.466535106416432,30,5600,0.633333333333333,0.736971004087915
"elyza/ELYZA-japanese-Llama-2-13b",0.669638434179624,-1.4726382560298,30,5600,0.566666666666667,0.670193039749712
"wang7776/Llama-2-7b-chat-hf-20-sparsity",0.606955262869705,-2.60034128740806,30,5600,0.5,0.607531323531481
"flammenai/flammen22C-mistral-7B",0.819373825079683,0.749833281152174,30,5600,0.666666666666667,0.820196305286575
"fzzhang/toten_gsm8k_merged_s",0.770852244553639,0.036127922801937,30,5600,0.633333333333333,0.771592920915687
"augmxnt/shisa-base-7b-v1",0.708605439630072,-0.852935722008844,30,5600,0.633333333333333,0.709010854924309
"yam-peleg/Experiment25-7B",0.85788943034435,1.87239733740455,30,5600,0.8,0.858201222608323
"zhengr/NeuralPipe-7B-slerp",0.786182196200372,0.256556173112769,30,5600,0.666666666666667,0.786825906413301
"allknowingroger/StarlingDolphin-7B-slerp",0.750321679910861,-0.266396258331177,30,5600,0.666666666666667,0.750772245511817
