"model","pirt_accuracy","theta","n_subset_items","n_all_items","avg_observed","avg_predicted"
"cloudyu/google-gemma-7b-it-dpo-v1",0.154676713596941,-0.547308434627807,30,627,0.333333333333333,0.145698994012198
"Mihaiii/Metis-0.4",0.309491902574492,0.499540042391349,30,627,0.433333333333333,0.303268715099174
"juhwanlee/gemma-7B-alpaca-case-1-3",0.0841483794162985,-2.08818031422382,30,627,0.3,0.0733015643115899
"MaziyarPanahi/UNA-34Beagles-32K-bf16-v1-GPTQ",0.0836068642706624,-2.40275991413134,30,627,0.366666666666667,0.0693827535974963
"YouKnwMe/Mistral-7b-instruct-v0.2-private-edw2",0.3731231718501,0.749999312368129,30,627,0.5,0.366747451842568
"RatanRohith/NeuralMathChat-7B-V0.2",0.364235867616321,0.741922366347134,30,627,0.5,0.357413549406086
"222gate/Blurdus-7b-v0.1",0.495606636739214,1.19674420534048,30,627,0.5,0.495385864716058
"teilomillet/MiniMerlin-3B",0.128797851424995,-0.908819928866618,30,627,0.566666666666667,0.10679439337265
"mlabonne/Gemmalpaca-2B",0.116631096771615,-1.01686175307202,30,627,0.466666666666667,0.0990413696412104
"wang7776/Llama-2-7b-chat-hf-30-attention-sparsity",0.186918492640495,-0.264504394805985,30,627,0.5,0.171185753577203
"JCX-kcuf/Llama-2-7b-chat-hf-gpt-3.5-80k-base_lora",0.198201074704264,-0.18272562133334,30,627,0.466666666666667,0.184710341439822
"johnsnowlabs/PhigRange-2.7B-slerp",0.0837781780796926,-2.50053184537097,30,627,0.4,0.0678876342646018
"macadeliccc/laser-dolphin-mixtral-2x7b-dpo",0.315513348749555,0.501325206605635,30,627,0.533333333333333,0.304567620881024
"MaziyarPanahi/TheTop-5x7B-Instruct-S5-v0.1",0.451745508821872,1.00045324812549,30,627,0.666666666666667,0.440945450638716
"yeontaek/llama-2-13B-ensemble-v1",0.20785538520131,-0.0833229290401545,30,627,0.433333333333333,0.196524835043922
"jeiku/Eros_Prodigadigm_7B",0.37289327328499,0.749993299899592,30,627,0.433333333333333,0.369856084337837
"occultml/CatMarcoro14-7B-slerp",0.374645052082649,0.750022481229875,30,627,0.533333333333333,0.366670766592665
"pharaouk/fusedyi",0.192719389478737,-0.22904196697599,30,627,0.5,0.177278152769126
"berkeley-nest/Starling-LM-7B-alpha",0.191832385837906,-0.241328183153351,30,627,0.533333333333333,0.17467153420497
"Kukedlc/NeuralLLaMa-3-8b-ORPO-v0.3",0.305034359789026,0.488548391207337,30,627,0.566666666666667,0.291887007684622
"ammarali32/multi_verse_model",0.618576055762198,1.80474525549517,30,627,0.833333333333333,0.607784232768674
"KnutJaegersberg/Deacon-20B",0.265321255728412,0.252668632526577,30,627,0.633333333333333,0.246828186502034
"perlthoughts/openchat-3.5-1210-32k",0.181873210263499,-0.30836892154793,30,627,0.5,0.165886939422469
"vicgalle/Configurable-Hermes-2-Pro-Llama-3-8B",0.309138494530256,0.499754306481614,30,627,0.466666666666667,0.301222505980688
"uukuguy/speechless-code-mistral-7b-v2.0",0.20083613128501,-0.153248459543957,30,627,0.466666666666667,0.187477812924123
"jeiku/Elly_7B",0.266433451681978,0.258770924385768,30,627,0.633333333333333,0.247996271699498
"Charlie911/MultiLoRA-llama2-mmlu",0.113938474519313,-1.05844463870592,30,627,0.433333333333333,0.0978884816140862
"allknowingroger/Llama3merge5",0.179508962101812,-0.321568565408901,30,627,0.466666666666667,0.165078926696543
"hyunjae/polyglot-ko-3.8b-total",0.0953667754288832,-1.86991457566648,30,627,0.466666666666667,0.0767084894370348
"mobiuslabsgmbh/aanaphi2-v0.1",0.217836037319888,-0.0218699296466876,30,627,0.533333333333333,0.201981901841825
"stabilityai/stablelm-zephyr-3b",0.182467954700249,-0.301520127443649,30,627,0.533333333333333,0.164836528638285
"Josephgflowers/tinyllama-730M-test",0.084814540467954,-1.83650183164109,30,627,0.233333333333333,0.0773512845450706
"msy127/mnsim-dpo-peftmerged-2-eos",0.167793865996699,-0.441500756763839,30,627,0.466666666666667,0.152775132294691
"SLAM-group/NewHope",0.213636060207531,-0.0476334251038821,30,627,0.466666666666667,0.200920954355313
"cloudyu/Mixtral_7Bx4_MOE_24B",0.319763317996997,0.505899325443899,30,627,0.633333333333333,0.304006030794166
"allknowingroger/FrankenLimmy-10B-passthrough",0.57441603200582,1.50000149419721,30,627,0.666666666666667,0.569780321721356
"ChaoticNeutrals/This_is_fine_7B",0.437988508063061,0.99866639013114,30,627,0.466666666666667,0.436547394565392
"gmonsoon/Delta-4B-notso-base",0.22397730029079,0.00287867693179433,30,627,0.5,0.210106812868217
"Devio/test-9k-fn",0.097482110484135,-1.39714427276009,30,627,0.3,0.0873053321165036
"FINGU-AI/Qwen-Orpo-v1",0.0871190698717404,-1.66181222677689,30,627,0.233333333333333,0.0797716194465348
"Jayant9928/orpo_med_v3",0.162156853110482,-0.491553382631867,30,627,0.466666666666667,0.146854852429267
"Walmart-the-bag/Influxient-4x13B",0.216175120079529,-0.0259199902259355,30,627,0.5,0.201912563299606
"jambroz/sixtyoneeighty-7b-dpo",0.43712093620185,0.999322936657553,30,627,0.433333333333333,0.437311268004288
"sovitrath/phi-openllm-lb-test",0.139933092047272,-0.735961535727499,30,627,0.5,0.121839277577285
"Undi95/Llama-3-LewdPlay-8B-evo",0.215790852013842,-0.0542313616931284,30,627,0.466666666666667,0.203184027156916
"HenryJJ/dolphin-2.6-mistral-7b-dpo-orca-v2",0.369397428065206,0.749985643750877,30,627,0.4,0.36785961038004
"perlthoughts/openchat-3.5-1210-32k-8x7b-MoE",0.194053023203486,-0.227997924334336,30,627,0.5,0.178678803263963
"cstr/Spaetzle-v44-7b",0.310415079812918,0.499605347327535,30,627,0.466666666666667,0.302563241277554
"hexinran09/xr_dat_test_part2",0.165306606246646,-0.482057273124205,30,627,0.466666666666667,0.1501628846175
"ajibawa-2023/Code-290k-6.7B-Instruct",0.099362426489692,-1.40428672350233,30,627,0.366666666666667,0.0859300526114521
"deepnight-research/lil-c3po",0.408750101339975,0.882355375858204,30,627,0.533333333333333,0.402489637420711
"Deathsquad10/TinyLlama-1.1B-Remix-V.2",0.0957796676988814,-1.33881953755073,30,627,0.233333333333333,0.0888674231946376
"h2oai/h2o-danube2-1.8b-base",0.115711123677625,-1.04122278118494,30,627,0.433333333333333,0.0997502086195487
"axxd/wizardllama-7b",0.117197944833495,-1.00667960109169,30,627,0.433333333333333,0.101311744406367
"uukuguy/Orca-2-7b-f16",0.0875290773265783,-2.45989673142749,30,627,0.466666666666667,0.0684769371587347
"ajibawa-2023/Scarlett-Llama-3-8B-v1.0",0.263509701407395,0.252446151074848,30,627,0.533333333333333,0.249950724928705
"MaziyarPanahi/M7Yamshadowexperiment28_Strangemerges_30Experiment26",0.628086282906461,1.94892469143234,30,627,0.633333333333333,0.627822612030739
"yunconglong/DARE_TIES_13B",0.609303343731196,1.7499055252608,30,627,0.733333333333333,0.603070680937119
"Orenguteng/Lexi-Llama-3-8B-Uncensored",0.188855987117816,-0.249536515479996,30,627,0.433333333333333,0.176570693338141
"maywell/PiVoT-10.7B-Mistral-v0.2",0.30863120187124,0.49841500547794,30,627,0.466666666666667,0.300689721228254
"Suprit/Zhongjing-LLaMA-base",0.220647480362511,-0.00601677998089449,30,627,0.533333333333333,0.204934623429304
"wandb/mistral-7b-zephyr-dpo",0.309710054331437,0.499372799251135,30,627,0.433333333333333,0.303497829255965
"Ppoyaa/LuminRP-7B",0.380068583800698,0.754614697266917,30,627,0.533333333333333,0.372366837593028
"01-ai/Yi-1.5-34B-32K",0.202895703259789,-0.138362033242842,30,627,0.433333333333333,0.191315922854084
"Ba2han/HermesStar-OrcaWind-Synth-11B",0.19624446853512,-0.213388782567115,30,627,0.566666666666667,0.177630287724489
"abhinand/gemma-2b-it-tamil-v0.1-alpha",0.136458596093204,-0.782561077949769,30,627,0.533333333333333,0.116515141960534
"ABX-AI/Infinite-Laymons-9B",0.312576598509201,0.499967732388878,30,627,0.5,0.303158337127754
"Nexusflow/Starling-LM-7B-beta",0.283041388443013,0.367003139070567,30,627,0.4,0.277164071279346
"DreadPoor/Harpy-7B-Model_Stock",0.51617194816114,1.25000000525798,30,627,0.666666666666667,0.508609399492521
"NovoCode/Tiger-DPO",0.15078365740479,-0.645582037996536,30,627,0.533333333333333,0.131560055599335
"vanillaOVO/merge_7B_state_1",0.504169380123305,1.23827301779571,30,627,0.5,0.504378896712416
"davzoku/frankencria-llama2-12.5b-v1.3-m.2",0.193805207854978,-0.232828101804256,30,627,0.5,0.178418534882866
"cloudyu/Qwen-72Bx2-MoE-120B",0.0828980425133741,-2.40220449765225,30,627,0.366666666666667,0.0686383126564248
"JaeyeonKang/CCK_Asura_v1.1.0",0.32151953837786,0.510036185529915,30,627,0.633333333333333,0.305850503455474
"codellama/CodeLlama-34b-hf",0.102696377344526,-1.21886863022323,30,627,0.333333333333333,0.0911065805611687
"AbacusResearch/haLLAwa2",0.171971934104149,-0.408986174952075,30,627,0.5,0.155488111697322
