"","M2","df","p","RMSEA","RMSEA_5","RMSEA_95","SRMSR","TLI","CFI"
"stats",74315.8811749954,5250,0,0.0530243806264579,0.0526809845827468,0.0533571507735943,0.0692367866101977,0.663143103949631,0.676099138413107
"stats",77376.8446287411,5148,0,0.0547595086060322,0.0544129818685275,0.0550950337752338,0.0627210286119711,0.673505052449014,0.686184467887887
"stats",79139.8760129086,5148,0,0.0554237909148066,0.0550773295229939,0.0557591018006082,0.0632535916425837,0.756511157772126,0.765967035140199
"stats",75144.1143234438,5148,0,0.0539065048390641,0.0535598867461596,0.0542423128081057,0.0643301255169235,0.684560817119307,0.696810882473897
"stats",68639.5759897003,5148,0,0.0513407562950331,0.0509938074567666,0.0516774720759891,0.0646955419938093,0.70396331398818,0.715459884318736
"stats",83220.9607515463,5148,0,0.0569317499176024,0.0565854192702914,0.0572665923446977,0.0685520288806152,0.732887305375921,0.743260613905012
"stats",109216.027843326,5250,0,0.0650563287297065,0.0647136744901495,0.0653856730016633,0.07972808065728,0.667255900533967,0.68005375051343
"stats",93110.8523468665,5250,0,0.0598055559255175,0.0594627278622228,0.0601362411656657,0.0686269013962358,0.689946619061609,0.701871749097701
"stats",66767.4976159296,5250,0,0.0500429791631161,0.0496991600104955,0.0503768432254458,0.0595511074886754,0.694305451925445,0.706062934543697
"stats",107153.791189021,5250,0,0.0644078788174622,0.0640652127950805,0.0647373786984743,0.0724949658236259,0.616305003609428,0.631062503470604
