"model","pirt_accuracy","theta","n_subset_items","n_all_items","avg_observed","avg_predicted","actual_accuracy","n_items","error","abs_error","squared_error"
"0-hero/Matter-0.1-7B",0.732381574074077,0.234991996827979,38,1045,0.842105263157895,0.728241057504876,0.750239234449761,1045,-0.017857660375684,0.017857660375684,0.000318896034093276
"01-ai/Yi-1.5-9B-Chat",0.665814315888307,-0.662723198543138,78,1045,0.730769230769231,0.660574932888605,0.739712918660287,1045,-0.07389860277198,0.07389860277198,0.00546100349165089
"01-ai/Yi-34B-200K",0.691203284497494,-0.295885572813481,30,1045,0.8,0.687987618029439,0.805741626794258,1045,-0.114538342296764,0.114538342296764,0.0131190318560907
"01-ai/Yi-34B-Chat",0.69732503827352,-0.250014200786477,30,1045,0.733333333333333,0.696260753690471,0.77799043062201,1045,-0.08066539234849,0.08066539234849,0.00650690552273583
"222gate/Blurdus-7b-v0.1",0.799359885843773,1.44641929289634,30,1045,0.733333333333333,0.801311409563294,0.817224880382775,1045,-0.0178649945390019,0.0178649945390019,0.000319158029878568
"222gate/Blurred-Beagle-7b-slerp",0.800891612082427,1.49418841118709,30,1045,0.733333333333333,0.802888408498656,0.822966507177033,1045,-0.022074895094606,0.022074895094606,0.000487300993437861
"64bits/LexPodLM-13B",0.664306764458862,-0.769366364440242,95,1045,0.768421052631579,0.653895335641591,0.726315789473684,1045,-0.062009025014822,0.062009025014822,0.00384511918328882
"8xqmff94/slm",0.647784254506931,-1.02960389150918,120,1045,0.75,0.634523833469993,0.674641148325359,1045,-0.026856893818428,0.026856893818428,0.000721292745574318
"AA051610/A11P",0.676707360292044,-0.491715111881889,32,1045,0.75,0.674392094279552,0.774162679425837,1045,-0.097455319133793,0.097455319133793,0.00949753922746944
"AA051615/L0223",0.690336901901233,-0.319641830372487,30,1045,0.833333333333333,0.686110406390924,0.770334928229665,1045,-0.079998026328432,0.079998026328432,0.0063996842164445
"AA051615/L0225",0.674203601358781,-0.541859338360161,47,1045,0.765957446808511,0.66988252847688,0.759808612440191,1045,-0.0856050110814101,0.0856050110814101,0.00732821792224834
"aaditya/Llama3-OpenBioLLM-8B",0.642640839593552,-1.06623308429335,126,1045,0.714285714285714,0.632817929679284,0.667942583732057,1045,-0.0253017441385049,0.0253017441385049,0.000640178256450369
"aari1995/germeo-7b-laser",0.745807751735462,0.456465848863734,30,1045,0.8,0.744206010407446,0.733014354066986,1045,0.012793397668476,0.012793397668476,0.000163671023903767
"abacusai/Fewshot-Metamath-Mistral",0.70962590174289,-0.0738535539702532,30,1045,0.733333333333333,0.708925189479133,0.722488038277512,1045,-0.012862136534622,0.012862136534622,0.000165434556235258
"abacusai/MetaMath-bagel-34b-v0.2-c1500",0.707654253195556,-0.10810771616406,30,1045,0.8,0.704924822255523,0.785645933014354,1045,-0.0779916798187981,0.0779916798187981,0.00608270212095791
"abacusai/Smaug-2-72B",0.695936388717514,-0.244533277371042,30,1045,0.7,0.695816281980101,0.794258373205742,1045,-0.098321984488228,0.098321984488228,0.00966721263370336
"abacusai/Smaug-70B-v0.1",0.698009468142374,-0.237102279451412,30,1045,0.8,0.694994969663824,0.831578947368421,1045,-0.133569479226047,0.133569479226047,0.0178408057807174
"abhishek/autotrain-llama3-orpo-v2",0.664811578251455,-0.655369618389838,75,1045,0.733333333333333,0.659513504404918,0.725358851674641,1045,-0.060547273423186,0.060547273423186,0.00366597231898205
"abhishekchohan/Yi-9B-Forest-DPO-v1.0",0.674238644197692,-0.511771373950187,33,1045,0.787878787878788,0.670532987338526,0.734928229665072,1045,-0.06068958546738,0.06068958546738,0.00368322578420242
"aboros98/merlin1",0.553169182498417,-2.28305442248319,32,1045,0.40625,0.557810262300933,0.717703349282297,1045,-0.16453416678388,0.16453416678388,0.0270714920392656
"adamo1139/Yi-34B-200K-HESOYAM-0905",0.693058157733222,-0.317029425930716,30,1045,0.733333333333333,0.691867758454401,0.808612440191388,1045,-0.115554282458166,0.115554282458166,0.0133527921944216
"Aeala/VicUnlocked-alpaca-30b",0.676109594360152,-0.538268765415227,42,1045,0.833333333333333,0.669525948261574,0.75311004784689,1045,-0.0770004534867379,0.0770004534867379,0.00592906983716329
"AGI-0/ThetaWave-7B-v0.1",0.752504820307145,0.552760856595968,30,1045,0.833333333333333,0.750115800217701,0.792344497607655,1045,-0.03983967730051,0.03983967730051,0.00158719988740877
"AIDC-ai-business/Marcoroni-7B-v2",0.757522101240034,0.62707488405024,30,1045,0.833333333333333,0.755281375168311,0.781818181818182,1045,-0.0242960805781479,0.0242960805781479,0.000590299531459856
"aihub-app/ZySec-8B-v2",0.60757049890474,-1.49728427906152,93,1045,0.612903225806452,0.607049549743123,0.647846889952153,1045,-0.040276391047413,0.040276391047413,0.00162218767580413
"aiplanet/effi-7b",0.641023198758759,-1.18015438940779,133,1045,0.736842105263158,0.627049608226868,0.685167464114833,1045,-0.044144265356074,0.044144265356074,0.00194871616382747
"ajibawa-2023/Code-290k-13B",0.651091854342014,-0.994696347565092,118,1045,0.754237288135593,0.637962230622875,0.689952153110048,1045,-0.038860298768034,0.038860298768034,0.00151012282034086
"ajibawa-2023/Code-Mistral-7B",0.768850694963381,0.834966371047579,30,1045,0.866666666666667,0.765959582499244,0.802870813397129,1045,-0.034020118433748,0.034020118433748,0.00115736845824624
"ajibawa-2023/Python-Code-33B",0.675860597890946,-0.565321029819959,54,1045,0.833333333333333,0.667279843386517,0.720574162679426,1045,-0.04471356478848,0.04471356478848,0.0019993028760936
"ajibawa-2023/SlimOrca-Llama-3-8B",0.599307777328247,-1.65382716319979,65,1045,0.615384615384615,0.598241456436753,0.642105263157895,1045,-0.0427974858296479,0.0427974858296479,0.00183162479333892
"ajibawa-2023/Uncensored-Frank-Llama-3-8B",0.666767435984742,-0.769174667556359,91,1045,0.824175824175824,0.651752589731714,0.699521531100478,1045,-0.032754095115736,0.032754095115736,0.00107283074685068
"allenai/OLMo-1.7-7B-hf",0.647876186604445,-0.987145289540023,122,1045,0.729508196721312,0.63708625677318,0.687081339712919,1045,-0.0392051531084739,0.0392051531084739,0.00153704403025888
"allenai/OLMo-7B-hf",0.607650797926475,-1.51878092190923,87,1045,0.620689655172414,0.606466684585769,0.650717703349282,1045,-0.043066905422807,0.043066905422807,0.001854758342697
"allknowingroger/Calmesmol-7B-slerp",0.790354864710266,1.24333158062264,30,1045,0.8,0.790069786819929,0.804784688995215,1045,-0.0144298242849491,0.0144298242849491,0.000208219828894507
"allknowingroger/CalmExperiment-7B-slerp",0.837956030965599,3.01490282980991,500,1045,0.716,0.949842297906515,0.840191387559809,1045,-0.00223535659421004,0.00223535659421004,4.99681910327829e-06
"allknowingroger/CeptrixBeagle-12B-MoE",0.832700506397164,2.28945619536774,500,1045,0.714,0.941600053550526,0.838277511961723,1045,-0.00557700556455898,0.00557700556455898,3.11029910671218e-05
