Model,Agents,MSE,Std,Scenario
baseline_clean,20,0.00046032178215682507,0.00021983201440889388,Combined_Mid
actuator_only_0p02,20,0.0004910834250040352,0.0002272517012897879,Combined_Mid
actuator_only_0p1,20,0.00023880977823864669,0.0001196750090457499,Combined_Mid
state_only_0p01,20,0.00022670222097076476,0.00012534024426713586,Combined_Mid
state_only_0p05,20,0.0007963284151628613,0.0004413133137859404,Combined_Mid
baseline_clean,30,0.00022253284987527877,7.919765630504116e-05,Combined_Mid
actuator_only_0p02,30,0.00022746427566744387,8.167004853021353e-05,Combined_Mid
actuator_only_0p1,30,0.00017205321637447923,3.673258834169246e-05,Combined_Mid
state_only_0p01,30,0.00019864412024617195,7.455558807123452e-05,Combined_Mid
state_only_0p05,30,0.0004109980945941061,0.0002305668022017926,Combined_Mid
baseline_clean,40,0.00020507202134467661,3.34345422743354e-05,Combined_Mid
actuator_only_0p02,40,0.00021322180691640824,3.3447020541643724e-05,Combined_Mid
actuator_only_0p1,40,0.00021196981833782047,3.7647445424227044e-05,Combined_Mid
state_only_0p01,40,0.0001090048099285923,2.2068166799726896e-05,Combined_Mid
state_only_0p05,40,0.0002636319550219923,0.00012666435213759542,Combined_Mid
baseline_clean,60,0.00033046340104192495,9.778872481547296e-05,Combined_Mid
actuator_only_0p02,60,0.00033750347211025655,9.952807158697397e-05,Combined_Mid
actuator_only_0p1,60,0.0003739966487046331,0.00011721436021616682,Combined_Mid
state_only_0p01,60,0.000139699419378303,2.8463826311053708e-05,Combined_Mid
state_only_0p05,60,0.00020860285439994186,6.936748104635626e-05,Combined_Mid
baseline_clean,80,0.0006551004480570555,0.00019695781520567834,Combined_Mid
actuator_only_0p02,80,0.0006440209108404815,0.00022860278841108084,Combined_Mid
actuator_only_0p1,80,0.0006211001891642809,0.00023694073024671525,Combined_Mid
state_only_0p01,80,0.0002243410563096404,5.305828381096944e-05,Combined_Mid
state_only_0p05,80,0.00021738435316365212,6.148371903691441e-05,Combined_Mid
baseline_clean,100,0.0020078818779438734,0.0005514693330042064,Combined_Mid
actuator_only_0p02,100,0.0020342625211924314,0.0005655697314068675,Combined_Mid
actuator_only_0p1,100,0.0014894946943968534,0.00039234705036506057,Combined_Mid
state_only_0p01,100,0.0003524111525621265,9.586526721250266e-05,Combined_Mid
state_only_0p05,100,0.0002451495674904436,6.311904144240543e-05,Combined_Mid
