Model,Agents,MSE,Std,Scenario
baseline_clean,20,0.0014761406928300858,0.00029146994347684085,State_High
actuator_only_0p02,20,0.001479376689530909,0.00028362087323330343,State_High
actuator_only_0p1,20,0.0012678024359047413,0.0004489775456022471,State_High
state_only_0p01,20,0.000713969289790839,0.00019166080164723098,State_High
state_only_0p05,20,0.003971347119659185,0.00047794534475542605,State_High
baseline_clean,30,0.001317672780714929,0.00034479235182516277,State_High
actuator_only_0p02,30,0.001354552456177771,0.00033382789115421474,State_High
actuator_only_0p1,30,0.001450250274501741,0.0003409133933018893,State_High
state_only_0p01,30,0.0008734329021535814,0.00019374772091396153,State_High
state_only_0p05,30,0.0033352174796164036,0.0003078636364080012,State_High
baseline_clean,40,0.0014273201813921332,0.0005438256775960326,State_High
actuator_only_0p02,40,0.001432877848856151,0.0005187321803532541,State_High
actuator_only_0p1,40,0.0015527091454714537,0.0005706489318981767,State_High
state_only_0p01,40,0.0010175291681662202,0.00033614548738114536,State_High
state_only_0p05,40,0.003188763279467821,0.0003984490467701107,State_High
baseline_clean,60,0.0020892401225864887,0.0007664430304430425,State_High
actuator_only_0p02,60,0.0021492436062544584,0.0007649259641766548,State_High
actuator_only_0p1,60,0.0016539536882191896,0.0007102983072400093,State_High
state_only_0p01,60,0.0011202929308637977,0.00047099083894863725,State_High
state_only_0p05,60,0.0030819387175142765,0.000402495643356815,State_High
baseline_clean,80,0.0024155862629413605,0.0009972092229872942,State_High
actuator_only_0p02,80,0.002390687121078372,0.0009906981140375137,State_High
actuator_only_0p1,80,0.002309837145730853,0.0009713996550999582,State_High
state_only_0p01,80,0.0014615303371101618,0.000629758695140481,State_High
state_only_0p05,80,0.0034360780846327543,0.00045342431985773146,State_High
baseline_clean,100,0.0029473272152245045,0.0012305486015975475,State_High
actuator_only_0p02,100,0.0029373967554420233,0.001233118586242199,State_High
actuator_only_0p1,100,0.002753833308815956,0.0011669148225337267,State_High
state_only_0p01,100,0.0018524274928495288,0.000799563538748771,State_High
state_only_0p05,100,0.003712679026648402,0.0005195337580516934,State_High
