Model,Agents,MSE,Std,Scenario
baseline,20,0.0004406464868225157,0.00019577339116949588,u0.0_z0.0
low_noise,20,0.00028719304827973247,0.00021504375035874546,u0.0_z0.0
medium_noise,20,0.0008123794104903936,0.0005259241443127394,u0.0_z0.0
high_noise,20,0.0023828460834920406,0.0004848043026868254,u0.0_z0.0
baseline,30,0.0001528388966107741,0.00011017746146535501,u0.0_z0.0
low_noise,30,0.0001269949716515839,5.749226693296805e-05,u0.0_z0.0
medium_noise,30,0.0004221515264362097,0.000306716508930549,u0.0_z0.0
high_noise,30,0.002534375758841634,0.0005488573806360364,u0.0_z0.0
baseline,60,2.2217600417206995e-05,1.380472895107232e-05,u0.0_z0.0
low_noise,60,2.838950058503542e-05,7.064844794513192e-06,u0.0_z0.0
medium_noise,60,0.0001415760925738141,9.151828271569684e-05,u0.0_z0.0
high_noise,60,0.0027769827283918858,0.0006138168391771615,u0.0_z0.0
baseline,100,0.0019111409783363342,0.0011549589689821005,u0.0_z0.0
low_noise,100,2.8820004445151426e-05,9.140744623437058e-06,u0.0_z0.0
medium_noise,100,0.00012130677350796759,6.120577018009499e-05,u0.0_z0.0
high_noise,100,0.002935123397037387,0.0006652081501670182,u0.0_z0.0
