seed,dataset,n_samples,train_steps,weight_sigma,misranking_rd,tail_probe_rd,tail_ratio,variance_rel_sd
1,digits0,256,50,1.0,0.03125,0.09375,2.230418729929683,0.1052636720225153
2,digits0,256,50,1.0,0.21875,0.0625,11.56762831389591,0.08964674258084991
3,digits0,256,50,1.0,0.03125,0.09375,14.600018529981096,0.04838033158553699
4,digits0,256,50,1.0,0.0,0.03125,9.34198178940793,0.09836148212341718
5,digits0,256,50,1.0,0.09375,0.0,45.22592103874336,0.08622514628641605
6,digits0,256,50,1.0,0.03125,0.09375,2.6688848764978266,0.13543637712716491
7,digits0,256,50,1.0,0.125,0.0,12.202896238686407,0.0702127422745861
8,digits0,256,50,1.0,0.03125,0.09375,5.568061975007834,0.08057433993442283
9,digits0,256,50,1.0,0.09375,0.0625,2.1263909615728784,0.08121351159090874
10,digits0,256,50,1.0,0.125,0.125,3.0678459117625567,0.05919246902782828
11,digits0,256,50,1.0,0.125,0.03125,8.851140167796828,0.10650894685949201
12,digits0,256,50,1.0,0.0,0.125,11.874138630869993,0.08442082138593199
13,digits0,256,50,1.0,0.09375,0.03125,2.7639726672631686,0.09553387703924636
14,digits0,256,50,1.0,0.03125,0.0625,3.650455499882123,0.09241299481849842
15,digits0,256,50,1.0,0.0625,0.03125,16.10779597694818,0.08003931743264459
16,digits0,256,50,1.0,0.0,0.09375,2.7487683807498238,0.11838457369047528
17,digits0,256,50,1.0,0.125,0.03125,18.299431435825372,0.02886420306252905
18,digits0,256,50,1.0,0.125,0.125,6.8208692538779445,0.0515941309795818
19,digits0,256,50,1.0,0.125,0.09375,5.076262681039416,0.06031269971347293
20,digits0,256,50,1.0,0.09375,0.09375,1.7135062984203246,0.07895284233955761
21,digits0,256,50,1.0,0.0625,0.125,7.41612356131655,0.09057221439103909
22,digits0,256,50,1.0,0.03125,0.03125,2.3603056468524937,0.08283735905873678
23,digits0,256,50,1.0,0.125,0.09375,1.5499998730257467,0.08302162514399163
24,digits0,256,50,1.0,0.0,0.03125,1.7790804051412203,0.09803072170162283
25,digits0,256,50,1.0,0.0625,0.15625,3.6015647897115763,0.06881903522165922
26,digits0,256,50,1.0,0.0,0.25,5.9976329080858095,0.11554667678418702
27,digits0,256,50,1.0,0.09375,0.03125,4.664905701460906,0.09008762969778104
28,digits0,256,50,1.0,0.03125,0.0625,2.437103254409782,0.07888631072663922
29,digits0,256,50,1.0,0.09375,0.0625,16.592918988232537,0.10197857309667069
30,digits0,256,50,1.0,0.0625,0.03125,10.804833435173151,0.11167398790597757
31,digits0,256,50,1.0,0.0625,0.125,5.22530836555319,0.0903298448106941
32,digits0,256,50,1.0,0.125,0.03125,5.67391103258087,0.0943574595296675
33,digits0,256,50,1.0,0.125,0.125,6.048492409375826,0.08714764731903714
34,digits0,256,50,1.0,0.15625,0.0,8.212475107354438,0.07853763444510585
35,digits0,256,50,1.0,0.0625,0.0625,8.911579284280073,0.11847466613816666
36,digits0,256,50,1.0,0.0625,0.0625,9.165262293684217,0.10376423216142866
37,digits0,256,50,1.0,0.125,0.28125,8.029840095056766,0.09048191384240477
38,digits0,256,50,1.0,0.125,0.0,7.772235466111483,0.06106211546534263
39,digits0,256,50,1.0,0.0,0.0625,11.337434320167622,0.07811427170577957
40,digits0,256,50,1.0,0.125,0.15625,5.17170395108311,0.12759946334021927
41,digits0,256,50,1.0,0.21875,0.0625,2.5598581647563283,0.0966980749564307
42,digits0,256,50,1.0,0.15625,0.09375,11.512028794887378,0.08131965620997006
43,digits0,256,50,1.0,0.0625,0.0625,17.730138188213488,0.07557316188637
44,digits0,256,50,1.0,0.09375,0.125,5.0519243317324705,0.07205410693070997
45,digits0,256,50,1.0,0.0625,0.09375,6.887552123823137,0.06858728555360045
46,digits0,256,50,1.0,0.09375,0.125,6.507441411370705,0.10079965051452978
47,digits0,256,50,1.0,0.03125,0.03125,5.2085654329210325,0.09009808746349565
48,digits0,256,50,1.0,0.125,0.125,10.635475208840493,0.06912253464478159
49,digits0,256,50,1.0,0.25,0.125,17.16004511078096,0.06994683780869207
50,digits0,256,50,1.0,0.03125,0.0625,5.065229660091196,0.0945194744047146
