seed,dataset,n_samples,train_steps,weight_sigma,misranking_rd,tail_probe_rd,tail_ratio,variance_rel_sd
1,digits0,256,50,1.0,0.0625,0.0625,2.9362894204035404,0.09871785435101864
2,digits0,256,50,1.0,0.03125,0.0,3.4636307992126247,0.10895592767007767
3,digits0,256,50,1.0,0.0,0.03125,7.801239444550203,0.1305104595792312
4,digits0,256,50,1.0,0.0625,0.03125,3.02993841669748,0.07975616061628005
5,digits0,256,50,1.0,0.0625,0.03125,23.05727205211719,0.08807838303624425
6,digits0,256,50,1.0,0.03125,0.0625,6.409223429293635,0.08337102139516511
7,digits0,256,50,1.0,0.0625,0.03125,7.194759881155477,0.04403601464574516
8,digits0,256,50,1.0,0.125,0.0625,5.17682153562953,0.11255596465158457
9,digits0,256,50,1.0,0.125,0.125,21.51747193414946,0.05667002793494202
10,digits0,256,50,1.0,0.03125,0.0625,5.9046633180775,0.07574054978123608
11,digits0,256,50,1.0,0.09375,0.03125,12.659150479539786,0.09037280362324468
12,digits0,256,50,1.0,0.03125,0.125,9.374403113170539,0.09531925757311108
13,digits0,256,50,1.0,0.0625,0.09375,9.959550739830162,0.06369162598096077
14,digits0,256,50,1.0,0.0,0.09375,16.959683210004865,0.0895848630707824
15,digits0,256,50,1.0,0.09375,0.0625,41.082308202217064,0.08363435949297437
16,digits0,256,50,1.0,0.0625,0.1875,7.140231701321072,0.11033081086441668
17,digits0,256,50,1.0,0.1875,0.03125,2.7138169328871142,0.1000921551722316
18,digits0,256,50,1.0,0.03125,0.03125,9.669961332949644,0.08754909581708463
19,digits0,256,50,1.0,0.0,0.03125,6.130032326010514,0.05767458452705627
20,digits0,256,50,1.0,0.0625,0.15625,1.8790409458566877,0.08565419507043533
21,digits0,256,50,1.0,0.03125,0.09375,4.260669175790853,0.07578926032538161
22,digits0,256,50,1.0,0.09375,0.03125,3.0908053870109415,0.06201639389389055
23,digits0,256,50,1.0,0.0625,0.0,3.446748989577538,0.09240260905128359
24,digits0,256,50,1.0,0.09375,0.0625,7.1771160252811645,0.07760197231249416
25,digits0,256,50,1.0,0.0625,0.15625,6.866785533855402,0.08954280927910853
26,digits0,256,50,1.0,0.0625,0.09375,4.216995503888858,0.1061390493325533
27,digits0,256,50,1.0,0.09375,0.03125,6.791083867750116,0.10510152986754583
28,digits0,256,50,1.0,0.0,0.09375,1.9873144575194366,0.09191752127660613
29,digits0,256,50,1.0,0.09375,0.09375,5.350183768397143,0.059857401051437546
30,digits0,256,50,1.0,0.09375,0.03125,5.362500973245424,0.0742817026746198
31,digits0,256,50,1.0,0.09375,0.1875,5.564959318326611,0.08318279450139207
32,digits0,256,50,1.0,0.09375,0.03125,25.598165893026074,0.07460565631428684
33,digits0,256,50,1.0,0.125,0.15625,1.764122133694187,0.10322950564734842
34,digits0,256,50,1.0,0.125,0.0625,4.61936740366444,0.09178356712362623
35,digits0,256,50,1.0,0.09375,0.09375,11.710498600590428,0.13530153578899862
36,digits0,256,50,1.0,0.125,0.03125,8.822880230711473,0.0663654328987631
37,digits0,256,50,1.0,0.125,0.1875,8.671928208762166,0.10716697712258733
38,digits0,256,50,1.0,0.03125,0.03125,8.02085612429843,0.08239661992249563
39,digits0,256,50,1.0,0.125,0.0,43.35424952271879,0.08865612168714199
40,digits0,256,50,1.0,0.03125,0.15625,6.115915000269526,0.07944630124699252
41,digits0,256,50,1.0,0.125,0.0625,4.978031630114262,0.08356060481920878
42,digits0,256,50,1.0,0.03125,0.21875,5.6554252749075555,0.09401977730585694
43,digits0,256,50,1.0,0.0625,0.0,20.297296750455278,0.1310492829180065
44,digits0,256,50,1.0,0.0625,0.125,5.082594682303384,0.08419747445971856
45,digits0,256,50,1.0,0.0,0.09375,4.359568403713034,0.0639834747957986
46,digits0,256,50,1.0,0.125,0.0625,8.961748902134145,0.06816441019011402
47,digits0,256,50,1.0,0.03125,0.125,2.7970273145635227,0.09262522008588195
48,digits0,256,50,1.0,0.25,0.03125,4.978776609806943,0.07968172525825183
49,digits0,256,50,1.0,0.09375,0.0625,5.299893839899517,0.07217754360299511
50,digits0,256,50,1.0,0.0625,0.0625,7.246624454736436,0.05154354783532154
