seed,instance,best_f_cma,best_f_berw,label,state_dim,action_dim,dimension,horizon,budget,eval_rollouts,noise_df,noise_std,noise_state_beta,noise_state_clip,misranking_rd,variance_rel_sd,tail_probe_rd,tail_ratio
1,1,3095.4491483810707,2984.3117546653502,berw,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.09777777777777777,0.42026823455179113,0.11555555555555556,20.22392066944685
10,10,6571.078031147146,6753.61601152259,cma,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.1511111111111111,0.7131986590859926,0.1688888888888889,4.3806839076020685
11,11,3427.0087747603484,2902.3881564747135,berw,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.14222222222222222,1.51439363345232,0.20444444444444446,28.950372518549457
12,12,95785.61130573522,83232.84159605864,berw,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.11555555555555556,1.3448665678466822,0.18666666666666665,74.27015342699316
13,13,6940.521579326,5982.1804598103645,berw,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.19555555555555554,0.40013017588675887,0.23111111111111113,2.6946379591496017
14,14,5098.31005428657,4871.116704837203,berw,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.17777777777777776,0.5264666356628109,0.14222222222222222,12.068066660854216
15,15,18382.01727110841,9831.590908157728,berw,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.22222222222222224,2.2662373451980486,0.14222222222222222,19.51048451769293
16,16,3242.0564816112133,3331.836358063868,cma,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.1511111111111111,0.5309275483258868,0.23111111111111113,4.573580934809861
17,17,4379.250125866527,4233.255398715709,berw,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.10666666666666667,0.34598515407650143,0.08888888888888888,9.80885030748832
18,18,21581.512132707896,26398.578155569237,cma,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.2577777777777778,0.6701477287286917,0.1511111111111111,13.890407200651357
19,19,27031.58092315272,16432.41787931968,berw,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.21333333333333335,0.6754338341482097,0.1688888888888889,3.739865486641609
2,2,5251.593135104751,4803.955329329938,berw,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.12444444444444444,0.436194853784426,0.08888888888888888,5.652593430291219
20,20,5046.286632194427,4976.56097165281,berw,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.1511111111111111,1.5202452497161931,0.12444444444444444,58.50737670896793
21,21,7721.216649864722,5954.519541094547,berw,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.17777777777777776,0.7849157302270614,0.13333333333333333,4.45790290007375
22,22,3866.7237560927897,3359.7575455827464,berw,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.14222222222222222,0.6865307976420916,0.21333333333333335,11.966803791635162
23,23,9483.588490541762,10038.47980102937,cma,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.2755555555555556,0.6905652209193108,0.17777777777777776,2.9741934832629338
24,24,98885.01051793135,19940.001283640868,berw,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.09777777777777777,1.1899560129152993,0.11555555555555556,7.402326652559859
25,25,9638.083101633623,8593.526675035657,berw,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.1511111111111111,0.49748064253390895,0.20444444444444446,2.7995090521002592
26,26,7231.574161030248,5597.453638221285,berw,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.20444444444444446,1.2644761566500284,0.10666666666666667,15.597840531191181
27,27,46817.053514972824,61952.595945283094,cma,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.1511111111111111,1.4775722482429516,0.22222222222222224,5.170163630559815
28,28,496903.9072685267,585053.3750914219,cma,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.2577777777777778,0.9279829086198287,0.19555555555555554,3.194575955464376
29,29,3348.7622520631294,3440.431272904787,cma,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.08888888888888888,0.6142930714748719,0.11555555555555556,3.0223738570195935
3,3,6207.711553423663,6338.3868597223645,cma,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.22222222222222224,0.6452280005964232,0.12444444444444444,4.09388685449433
30,30,5523.185390527306,4478.170361862749,berw,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.20444444444444446,1.7668974488252271,0.09777777777777777,89.8201240139063
31,31,6563.5252972942835,7280.93220337123,cma,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.09777777777777777,0.5373448052629387,0.20444444444444446,2.966446744455769
32,32,48224.39770565479,78228.09168126041,cma,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.19555555555555554,1.1535359375380487,0.1688888888888889,8.260877919483528
33,33,6379.443479251414,5159.4457193418675,berw,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.13333333333333333,0.39945272411124116,0.13333333333333333,10.048069951398894
34,34,6694.847409493648,7531.298876392366,cma,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.1511111111111111,0.7491403659168279,0.20444444444444446,4.538114050304315
35,35,4185.638924606935,4689.816073181135,cma,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.17777777777777776,0.5066566743773793,0.13333333333333333,6.295131374125835
36,36,4799.353080570026,4718.157367535277,berw,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.14222222222222222,0.6978932255551114,0.16,3.8794764490388047
37,37,7553.84809137182,13392.780844041921,cma,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.17777777777777776,2.1280249638722326,0.19555555555555554,2.833048597400353
38,38,3984.3769837429477,3294.3504881443414,berw,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.08,0.9735348197492084,0.04444444444444444,6.563180420602941
39,39,3023.0571533895436,3137.225219319877,cma,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.18666666666666665,0.3659275171790168,0.18666666666666665,3.2846565832253827
4,4,5541.7760861365705,4637.732931490952,berw,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.11555555555555556,0.7010980322107798,0.18666666666666665,7.981523321988613
40,40,11871.407772287766,9599.400552458454,berw,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.07111111111111111,1.5842850206274202,0.08888888888888888,13.040170346965828
41,41,5554.336552832604,5010.492975006802,berw,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.19555555555555554,0.5930646936965255,0.1688888888888889,10.294672009647478
42,42,3175.2901643005357,3940.0194991600974,cma,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.13333333333333333,0.9490897038252865,0.09777777777777777,15.179532635520758
43,43,13977.83522838746,14695.12296959879,cma,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.1688888888888889,0.7379172818377051,0.23111111111111113,14.968564687997192
44,44,4261.167839679206,4605.97439978351,cma,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.07111111111111111,0.48959571133887825,0.14222222222222222,5.62924711122996
45,45,3632.0303808714084,3618.024001348682,berw,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.1688888888888889,0.4639172194521804,0.14222222222222222,4.288263888569996
46,46,1162053.509237825,2854963.7268055216,cma,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.3466666666666667,0.9449680830773657,0.3111111111111111,3.7462985295547035
47,47,5501.383758332235,6778.131812514688,cma,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.23111111111111113,1.056385552520198,0.22222222222222224,6.730770839289723
48,48,12406.160455456058,13118.049769432997,cma,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.1688888888888889,0.9754921515659272,0.1511111111111111,10.53325151938109
49,49,61726.912413523896,57716.68879476795,berw,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.16,1.265535132043913,0.1511111111111111,7.376242184721303
5,5,5226.886963185034,5231.122344142339,cma,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.08888888888888888,1.2717095582306988,0.11555555555555556,5.476370968080996
50,50,7481.7711039401565,6279.185821043496,berw,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.1688888888888889,1.548440675449044,0.10666666666666667,4.628749429450637
6,6,10766.159744799728,5837.992896887721,berw,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.13333333333333333,2.2048638541024594,0.11555555555555556,12.993572040605654
7,7,3898.903420290585,3908.8920006146,cma,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.22222222222222224,0.8795624363505652,0.13333333333333333,19.196710034568287
8,8,5445.7026915120305,5367.101675480242,berw,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.22222222222222224,0.9011129456387013,0.14222222222222222,4.598544604444446
9,9,6599.266567293702,7214.109029690429,cma,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.21333333333333335,1.2495201070970643,0.13333333333333333,9.073398036826976
