seed,state_dim,action_dim,dimension,horizon,budget,eval_rollouts,noise_df,noise_std,noise_state_beta,noise_state_clip,misranking_rd,variance_rel_sd,tail_probe_rd,tail_ratio
1,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.09777777777777777,0.42026823455178686,0.11555555555555556,20.223920669446176
2,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.12444444444444444,0.4361948537844247,0.08888888888888888,5.652593430291151
3,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.22222222222222224,0.645228000596425,0.12444444444444444,4.093886854495011
4,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.11555555555555556,0.7010980322107708,0.18666666666666665,7.981523321988477
5,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.08888888888888888,1.2717095582306988,0.11555555555555556,5.476370968080996
6,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.13333333333333333,2.20486385410246,0.11555555555555556,12.993572040604734
7,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.22222222222222224,0.879562436350565,0.13333333333333333,19.196710034567708
8,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.22222222222222224,0.9011129456387026,0.14222222222222222,4.598544604444332
9,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.21333333333333335,1.2495201070970627,0.13333333333333333,9.073398036826879
10,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.1511111111111111,0.7131986590859924,0.1688888888888889,4.38068390760202
11,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.14222222222222222,1.5143936334523158,0.20444444444444446,28.950372518549727
12,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.11555555555555556,1.3448665678466867,0.18666666666666665,74.27015342698498
13,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.19555555555555554,0.40013017588675887,0.23111111111111113,2.6946379591496017
14,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.17777777777777776,0.5264666356628107,0.14222222222222222,12.068066660854361
15,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.22222222222222224,2.266237345198045,0.14222222222222222,19.510484517692433
16,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.1511111111111111,0.5309275483258905,0.23111111111111113,4.573580934809877
17,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.10666666666666667,0.3459851540765014,0.08888888888888888,9.80885030748832
18,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.2577777777777778,0.6701477287286914,0.1511111111111111,13.890407200651264
19,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.21333333333333335,0.6754338341482118,0.1688888888888889,3.739865486641602
20,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.1511111111111111,1.5202452497161945,0.12444444444444444,58.50737670896828
21,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.17777777777777776,0.7849157302270627,0.13333333333333333,4.457902900073706
22,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.14222222222222222,0.6865307976421002,0.21333333333333335,11.966803791634364
23,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.2755555555555556,0.6905652209193172,0.17777777777777776,2.9741934832626424
24,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.09777777777777777,1.1899560129152995,0.11555555555555556,7.402326652559734
25,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.1511111111111111,0.497480642533909,0.20444444444444446,2.799509052100289
26,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.20444444444444446,1.2644761566500282,0.10666666666666667,15.597840531191073
27,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.1511111111111111,1.477572248242951,0.22222222222222224,5.170163630560272
28,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.2577777777777778,0.9279829086198309,0.19555555555555554,3.1945759554643973
29,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.08888888888888888,0.6142930714748612,0.11555555555555556,3.02237385701953
30,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.20444444444444446,1.7668974488252276,0.09777777777777777,89.82012401391088
31,8,5,40,30,800,1,3.0,0.25,2.0,5.0,0.09777777777777777,0.5373448052629445,0.20444444444444446,2.9664467444556966
