seed,dim,hidden_dim,max_steps,torque_noise_std,noise_df,misranking_rd,tail_probe_rd,tail_ratio,variance_rel_sd
1,41,8,200,1.0,3.0,0.17777777777777776,0.17777777777777776,3.575575796181155,0.20681364489633794
2,41,8,200,1.0,3.0,0.21333333333333335,0.1688888888888889,3.6711847157522803,0.2706814930176822
3,41,8,200,1.0,3.0,0.1688888888888889,0.21333333333333335,4.654761266162558,0.313490619971566
4,41,8,200,1.0,3.0,0.22222222222222224,0.21333333333333335,4.275564851987481,0.15377590693374463
5,41,8,200,1.0,3.0,0.17777777777777776,0.2577777777777778,7.684956687134578,0.22557204723557459
6,41,8,200,1.0,3.0,0.26666666666666666,0.1688888888888889,4.673316420324525,0.22621731771397074
7,41,8,200,1.0,3.0,0.20444444444444446,0.3288888888888889,2.7324892170245096,0.16711578745972835
8,41,8,200,1.0,3.0,0.21333333333333335,0.13333333333333333,2.3720090974970596,0.16540708278580069
9,41,8,200,1.0,3.0,0.28444444444444444,0.1688888888888889,3.9094333587681684,0.27337104341657426
10,41,8,200,1.0,3.0,0.3022222222222222,0.28444444444444444,2.6828663241890394,0.21795771519025706
11,41,8,200,1.0,3.0,0.1511111111111111,0.2755555555555556,2.0952940654190675,0.1795384653175387
12,41,8,200,1.0,3.0,0.1688888888888889,0.23111111111111113,3.46700401562025,0.19800914269241404
13,41,8,200,1.0,3.0,0.23111111111111113,0.09777777777777777,2.9253594644474714,0.2091288080524188
14,41,8,200,1.0,3.0,0.26666666666666666,0.1511111111111111,2.361203152668585,0.22907990068524925
15,41,8,200,1.0,3.0,0.24888888888888888,0.11555555555555556,2.670239577886932,0.1870525497277169
16,41,8,200,1.0,3.0,0.22222222222222224,0.13333333333333333,4.854730886408712,0.1801917809712191
17,41,8,200,1.0,3.0,0.20444444444444446,0.17777777777777776,4.234724064877257,0.19713308781911978
18,41,8,200,1.0,3.0,0.18666666666666665,0.2755555555555556,3.585616030641886,0.27706569130102976
19,41,8,200,1.0,3.0,0.1511111111111111,0.26666666666666666,6.925740538927448,0.19102403264678586
20,41,8,200,1.0,3.0,0.20444444444444446,0.1688888888888889,2.594391177877838,0.19581472156638285
