function,function_index,dimension,instance,best_f_cma,best_f_berw,label,misranking_rd,variance_rel_sd,pred_misranking,pred_variance
101,1,40,1,1.421085472e-14,7.813127922e-11,cma,0.035555555555555556,0.005124160083969961,cma,cma
101,1,40,2,5.684341886e-14,1.479759248e-08,cma,0.02666666666666667,0.004051908196776518,cma,cma
101,1,40,3,2.842170943e-14,7.773337529e-11,cma,0.017777777777777778,0.05048774400971748,cma,berw
101,1,40,4,2.842170943e-14,1.990281049e-06,cma,0.02666666666666667,0.0591800104441651,cma,berw
101,1,40,5,3.552713679e-15,9.868311448e-06,cma,0.017777777777777778,0.016817252858337326,cma,cma
101,1,40,6,2.842170943e-14,5.867207165e-09,cma,0.008888888888888889,0.30979906240610633,cma,berw
101,1,40,7,1.136868377e-13,1.560124474e-09,cma,0.02666666666666667,0.0022470836458303636,cma,cma
101,1,40,8,7.105427358e-15,3.41723883e-07,cma,0.04444444444444444,0.005773616787735789,cma,cma
101,1,40,9,1.421085472e-14,2.869237505e-07,cma,0.05333333333333334,0.022083497057674113,cma,cma
101,1,40,10,6.217248938e-15,2.275360109e-07,cma,0.0,0.013270202785165695,cma,cma
101,1,40,11,2.842170943e-14,1.701330234e-06,cma,0.02666666666666667,0.0032342396264215226,cma,cma
101,1,40,12,5.684341886e-14,2.822813912e-05,cma,0.02666666666666667,0.0023695000421808878,cma,cma
101,1,40,13,1.421085472e-14,5.155271765e-10,cma,0.017777777777777778,0.01872451807277072,cma,cma
101,1,40,14,7.105427358e-15,1.353671664e-06,cma,0.035555555555555556,0.01642552153648203,cma,cma
101,1,40,15,2.842170943e-14,1.29602995e-11,cma,0.008888888888888889,0.005934684934685095,cma,cma
102,2,40,1,1.421085472e-14,2.147463363e-08,cma,0.07111111111111111,0.013549996859850224,cma,cma
102,2,40,2,5.684341886e-14,5.520917625e-07,cma,0.06222222222222222,0.009788405551571766,cma,cma
102,2,40,3,2.842170943e-14,5.074926435e-08,cma,0.07111111111111111,0.1280381233271314,cma,berw
102,2,40,4,2.842170943e-14,6.250957085e-08,cma,0.017777777777777778,0.09886626276406987,cma,berw
102,2,40,5,2.131628207e-14,1.184901315e-07,cma,0.02666666666666667,0.030160775470306676,cma,cma
102,2,40,6,5.684341886e-14,1.330144528e-07,cma,0.08888888888888888,2.9939844446977526,cma,berw
102,2,40,7,1.136868377e-13,1.432172212e-07,cma,0.04444444444444444,0.005292259348607676,cma,cma
102,2,40,8,7.105427358e-15,2.818853417e-07,cma,0.08,0.031660241013007386,cma,cma
102,2,40,9,1.421085472e-14,7.245266431e-08,cma,0.035555555555555556,0.05958858717418363,cma,berw
102,2,40,10,8.881784197e-16,1.69435026e-08,cma,0.07111111111111111,0.021667601978843952,cma,cma
102,2,40,11,2.842170943e-14,3.671422917e-07,cma,0.06222222222222222,0.01165063999981198,cma,cma
102,2,40,12,5.684341886e-14,1.324228833e-07,cma,0.04444444444444444,0.008619059546232103,cma,cma
102,2,40,13,2.842170943e-14,3.301231573e-07,cma,0.04444444444444444,0.05809095010047973,cma,berw
102,2,40,14,6.394884622e-14,9.987196847e-08,cma,0.08,0.028269863926012197,cma,cma
102,2,40,15,2.842170943e-14,8.47076933e-08,cma,0.09777777777777777,0.011579339484723982,cma,cma
103,3,40,1,1.152500317e-11,0.0006599895494,cma,0.0,0.00020461389488269055,cma,cma
103,3,40,2,7.412381819e-11,0.001657924737,cma,0.0,0.0,cma,cma
103,3,40,3,9.436007531e-12,1.054494638e-05,cma,0.0,1.68464191508978e-16,cma,cma
103,3,40,4,5.712763596e-12,0.002454857206,cma,0.0,1.3703166301456608e-16,cma,cma
103,3,40,5,1.268318783e-12,2.138178441e-06,cma,0.0,3.435207370902959e-05,cma,cma
103,3,40,6,3.151967576e-11,9.68608586e-06,cma,0.0,0.006398908451698376,cma,cma
103,3,40,7,3.728928277e-11,0.0001897059407,cma,0.0,1.4610157003590538e-16,cma,cma
103,3,40,8,1.243449788e-11,4.434437899e-05,cma,0.0,4.5303586733835525e-05,cma,cma
103,3,40,9,1.134026206e-11,4.001417196e-06,cma,0.0,0.0,cma,cma
103,3,40,10,2.156408385e-11,0.0001989039194,cma,0.0,5.26874568130302e-05,cma,cma
103,3,40,11,7.190692486e-12,5.651247648e-08,cma,0.0,4.678150149853467e-06,cma,cma
103,3,40,12,5.570655048e-12,3.931159983e-05,cma,0.0,4.487941988450963e-06,cma,cma
103,3,40,13,1.084288215e-11,0.00319164471,cma,0.0,0.0,cma,cma
103,3,40,14,1.239186531e-11,0.001689214976,cma,0.0,1.2793755990354964e-16,cma,cma
103,3,40,15,7.247535905e-12,5.433602715e-05,cma,0.0,0.0,cma,cma
104,4,40,1,39.74080597,38.09202717,berw,0.008888888888888889,0.01250795899128705,cma,cma
104,4,40,2,38.6303491,39.64903568,cma,0.0,0.01286393726669165,cma,cma
104,4,40,3,93.23530876,39.65426671,berw,0.0,0.011220391104576127,cma,cma
104,4,40,4,37.9133809,37.29625151,berw,0.02666666666666667,0.012288412119248592,cma,cma
104,4,40,5,38.99123219,38.46808573,berw,0.008888888888888889,0.011724362752604283,cma,cma
104,4,40,6,104.8605445,37.84279717,berw,0.008888888888888889,0.00443256054672171,cma,cma
104,4,40,7,38.67079165,39.37433268,cma,0.0,0.0143250828907697,cma,cma
104,4,40,8,37.66058955,37.73405079,cma,0.008888888888888889,0.0085987076536515,cma,cma
104,4,40,9,39.7862391,38.82065683,berw,0.017777777777777778,0.00951221141665949,cma,cma
104,4,40,10,37.41051839,37.01673926,berw,0.0,0.007908006063588288,cma,cma
104,4,40,11,38.61545477,38.09085996,berw,0.017777777777777778,0.010030500667741766,cma,cma
104,4,40,12,38.45721335,36.91930622,berw,0.008888888888888889,0.012590350117426223,cma,cma
104,4,40,13,39.69772578,38.5109291,berw,0.008888888888888889,0.010815015684409703,cma,cma
104,4,40,14,39.7623488,38.89078383,berw,0.0,0.006956163834755506,cma,cma
104,4,40,15,35.80156418,38.2912832,cma,0.008888888888888889,0.008316515856502688,cma,cma
105,5,40,1,91.77560779,40.11703403,berw,0.017777777777777778,0.0166517147588934,cma,cma
105,5,40,2,102.8538242,38.99154925,berw,0.017777777777777778,0.01607647544662007,cma,cma
105,5,40,3,40.2081906,39.71081958,berw,0.02666666666666667,0.016782614257647165,cma,cma
105,5,40,4,40.72798713,39.31340969,berw,0.02666666666666667,0.017581643578709696,cma,cma
105,5,40,5,205.0865459,35.71437172,berw,0.04444444444444444,0.015927860185345855,cma,cma
105,5,40,6,113.084575,38.95842803,berw,0.008888888888888889,0.016181319362149442,cma,cma
105,5,40,7,37.03717279,40.24426273,cma,0.008888888888888889,0.015868385835011344,cma,cma
