function,dimension,instance,noise_model,noise_sigma,misranking_rd,variance_rel_sd,misranking_trigger,variance_trigger
1,80,1,radial_additive_rel,0.5,0.242214532872,2.11918018947e-16,1,0
1,80,2,radial_additive_rel,0.5,0.242214532872,1.77167789389e-16,1,0
1,80,3,radial_additive_rel,0.5,0.173010380623,0,1,0
2,80,1,radial_additive_rel,0.5,0.138408304498,1.3728618373e-16,1,0
2,80,2,radial_additive_rel,0.5,0.152249134948,0,1,0
2,80,3,radial_additive_rel,0.5,0.076124567474,1.71107320157e-16,0,0
6,80,1,radial_additive_rel,0.5,0.166089965398,1.96262645001e-16,1,0
6,80,2,radial_additive_rel,0.5,0.117647058824,1.7574479258e-16,0,0
6,80,3,radial_additive_rel,0.5,0.152249134948,0,1,0
10,80,1,radial_additive_rel,0.5,0.0692041522491,1.13831219863e-16,0,0
10,80,2,radial_additive_rel,0.5,0.159169550173,0,1,0
10,80,3,radial_additive_rel,0.5,0.138408304498,1.39457393289e-16,1,0
15,80,1,radial_additive_rel,0.5,0.152249134948,0,1,0
15,80,2,radial_additive_rel,0.5,0.152249134948,1.31868277896e-16,1,0
15,80,3,radial_additive_rel,0.5,0.173010380623,0,1,0
20,80,1,radial_additive_rel,0.5,0.228373702422,0,1,0
20,80,2,radial_additive_rel,0.5,0.124567474048,0,1,0
20,80,3,radial_additive_rel,0.5,0.138408304498,0,1,0
1,160,1,radial_additive_rel,0.5,0.243767313019,0,1,0
1,160,2,radial_additive_rel,0.5,0.310249307479,1.84469841172e-16,1,0
1,160,3,radial_additive_rel,0.5,0.299168975069,0,1,0
2,160,1,radial_additive_rel,0.5,0.17728531856,0,1,0
2,160,2,radial_additive_rel,0.5,0.13296398892,2.20588571991e-16,1,0
2,160,3,radial_additive_rel,0.5,0.15512465374,1.95495441783e-16,1,0
6,160,1,radial_additive_rel,0.5,0.193905817175,0,1,0
6,160,2,radial_additive_rel,0.5,0.232686980609,0,1,0
6,160,3,radial_additive_rel,0.5,0.304709141274,2.17861344757e-16,1,0
10,160,1,radial_additive_rel,0.5,0.1108033241,0,0,0
10,160,2,radial_additive_rel,0.5,0.19944598338,0,1,0
10,160,3,radial_additive_rel,0.5,0.116343490305,1.41760124593e-16,0,0
15,160,1,radial_additive_rel,0.5,0.182825484765,1.62594346068e-16,1,0
15,160,2,radial_additive_rel,0.5,0.277008310249,1.35816376746e-16,1,0
15,160,3,radial_additive_rel,0.5,0.182825484765,1.6866943803e-16,1,0
20,160,1,radial_additive_rel,0.5,0.19944598338,0,1,0
20,160,2,radial_additive_rel,0.5,0.232686980609,0,1,0
20,160,3,radial_additive_rel,0.5,0.14404432133,2.20303172199e-16,1,0
1,320,1,radial_additive_rel,0.5,0.240362811791,2.04899868994e-16,1,0
1,320,2,radial_additive_rel,0.5,0.308390022676,0,1,0
1,320,3,radial_additive_rel,0.5,0.303854875283,0,1,0
2,320,1,radial_additive_rel,0.5,0.199546485261,0,1,0
2,320,2,radial_additive_rel,0.5,0.136054421769,2.05478316351e-16,1,0
2,320,3,radial_additive_rel,0.5,0.136054421769,0,1,0
6,320,1,radial_additive_rel,0.5,0.281179138322,0,1,0
6,320,2,radial_additive_rel,0.5,0.258503401361,1.13699165744e-16,1,0
6,320,3,radial_additive_rel,0.5,0.249433106576,0,1,0
10,320,1,radial_additive_rel,0.5,0.190476190476,1.11192061774e-16,1,0
10,320,2,radial_additive_rel,0.5,0.204081632653,1.43831247622e-16,1,0
10,320,3,radial_additive_rel,0.5,0.263038548753,0,1,0
15,320,1,radial_additive_rel,0.5,0.253968253968,1.80258585729e-16,1,0
15,320,2,radial_additive_rel,0.5,0.136054421769,1.32533574706e-16,1,0
15,320,3,radial_additive_rel,0.5,0.204081632653,1.36738067739e-16,1,0
20,320,1,radial_additive_rel,0.5,0.181405895692,1.1139052538e-16,1,0
20,320,2,radial_additive_rel,0.5,0.222222222222,2.21470169775e-16,1,0
20,320,3,radial_additive_rel,0.5,0.204081632653,1.11069624194e-16,1,0
