algo_a,algo_b,metric,group_by,wins_a,wins_b,ties,compared,n_non_ties,win_rate_a,p_two_sided,win_rate_b,task,lower_is_better
CMA-ES-sep,ProbeSwitch-MR-Robust(t=0.12),post_true,seed,32,17,1,50,49,0.6530612244897959,0.0443841609871498,0.3469387755102041,RL (CartPole),True
CMA-ES-sep,ProbeSwitch-MR-Robust(t=0.22),post_true,seed,25,23,2,50,48,0.5208333333333334,0.8854334972865132,0.4791666666666667,RL (CartPole),True
BERW-HeteroRobust,ProbeSwitch-MR-Robust(t=0.12),post_true,seed,25,25,0,50,50,0.5,1.0,0.5,RL (CartPole),True
BERW-HeteroRobust,ProbeSwitch-MR-Robust(t=0.22),post_true,seed,19,31,0,50,50,0.38,0.1189204525594362,0.62,RL (CartPole),True
BERW-HeteroRobust,CMA-ES-sep,post_true,seed,16,34,0,50,50,0.32,0.0153466778326301,0.68,RL (CartPole),True
CMA-ES-sep,ProbeSwitch-MR-Robust(t=0.12),post_true,seed,25,25,0,50,50,0.5,1.0,0.5,HPO (digits0),True
CMA-ES-sep,ProbeSwitch-MR-Robust(t=0.22),post_true,seed,22,28,0,50,50,0.44,0.4798876616983278,0.56,HPO (digits0),True
BERW-HeteroRobust,ProbeSwitch-MR-Robust(t=0.12),post_true,seed,21,29,0,50,50,0.42,0.3222363203575469,0.58,HPO (digits0),True
BERW-HeteroRobust,ProbeSwitch-MR-Robust(t=0.22),post_true,seed,17,33,0,50,50,0.34,0.0328391375642684,0.66,HPO (digits0),True
BERW-HeteroRobust,CMA-ES-sep,post_true,seed,16,34,0,50,50,0.32,0.0153466778326301,0.68,HPO (digits0),True
CMA-ES-sep,ProbeSwitch-MR-Robust(t=0.12),post_mean,seed,23,27,0,50,50,0.46,0.6718110337653656,0.54,LQR (state-dependent),True
CMA-ES-sep,ProbeSwitch-MR-Robust(t=0.22),post_mean,seed,27,23,0,50,50,0.54,0.6718110337653656,0.46,LQR (state-dependent),True
BERW-HeteroRobust,ProbeSwitch-MR-Robust(t=0.12),post_mean,seed,31,19,0,50,50,0.62,0.1189204525594362,0.38,LQR (state-dependent),True
BERW-HeteroRobust,ProbeSwitch-MR-Robust(t=0.22),post_mean,seed,35,15,0,50,50,0.7,0.0066004479668109,0.3,LQR (state-dependent),True
BERW-HeteroRobust,CMA-ES-sep,post_mean,seed,27,23,0,50,50,0.54,0.6718110337653656,0.46,LQR (state-dependent),True
