# GPU: NVIDIA A100 80GB PCIe
# CC: cc80
# Model: Llama3.2-1B-INT8
# alg_count: 4, config_count: 4
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol, dtype: int8, outdtype: int32, warmup=10, repeat=50, verify=False
# M_list: [256, 1024, 4096, 16384, 32768]
# NK_list: [(3072, 2048), (2048, 2048), (16384, 2048), (2048, 8192), (3072, 2752), (2048, 2752), (16384, 2752), (2048, 10944), (3072, 3072), (2048, 3072), (16384, 3072), (2048, 12288), (3072, 3296), (2048, 3296), (16384, 3296), (2048, 13120)]
M,N,K,alg_count,config_count,tops_1,lat_us_1,alg_id_1,split_k_1,workspace_1,tops_2,lat_us_2,alg_id_2,split_k_2,workspace_2,tops_3,lat_us_3,alg_id_3,split_k_3,workspace_3
256,3072,2048,4,4,227.292496,14.172,21,1,0,150.657471,21.381,23,1,0,51.670959,62.341,20,1,0
256,2048,2048,4,4,172.179977,12.472,21,1,0,96.821426,22.180,23,1,0,49.367981,43.500,20,1,0
256,16384,2048,4,4,273.958435,62.710,21,1,0,160.701294,106.906,23,1,0,60.284645,284.979,20,1,0
256,2048,8192,4,4,197.100754,43.581,21,1,0,103.639832,82.883,23,1,0,53.065590,161.874,20,1,0
256,3072,2752,4,4,238.817627,18.125,21,1,0,129.585297,33.403,23,1,0,49.312550,87.777,20,1,0
256,2048,2752,4,4,186.625702,15.462,21,1,0,86.549377,33.341,23,1,0,48.654144,59.310,20,1,0
256,16384,2752,4,4,285.371948,80.896,21,1,0,142.469574,162.038,23,1,0,58.718506,393.155,20,1,0
256,2048,10944,4,4,180.810852,63.468,21,1,0,89.768150,127.836,23,1,0,52.211407,219.791,20,1,0
256,3072,3072,4,4,239.522415,20.173,21,1,0,141.359848,34.181,23,1,0,48.525215,99.574,20,1,0
256,2048,3072,4,4,196.854065,16.364,21,1,0,97.814926,32.932,23,1,0,50.283375,64.061,20,1,0
256,16384,3072,4,4,283.526642,90.890,21,1,0,161.588699,159.478,23,1,0,60.593819,425.288,20,1,0
256,2048,12288,4,4,191.520721,67.277,21,1,0,103.819412,124.109,23,1,0,52.811684,243.978,20,1,0
256,3072,3296,4,4,231.382828,22.405,21,1,0,123.660385,41.923,23,1,0,48.801384,106.230,20,1,0
256,2048,3296,4,4,190.899536,18.104,21,1,0,86.099594,40.141,23,1,0,49.677711,69.571,20,1,0
256,16384,3296,4,4,299.742828,92.242,21,1,0,134.305771,205.865,23,1,0,59.272144,466.473,20,1,0
256,2048,13120,4,4,184.039459,74.752,21,1,0,91.406174,150.508,23,1,0,52.198616,263.557,20,1,0
1024,3072,2048,4,4,310.229553,41.533,21,1,0,165.564636,77.824,23,1,0,61.832489,208.384,20,1,0
1024,2048,2048,4,4,232.242737,36.987,21,1,0,141.317520,60.785,23,1,0,60.523865,141.926,20,1,0
1024,16384,2048,4,4,365.955170,187.781,21,1,0,179.224609,383.427,23,1,0,67.651428,1015.787,0,1,0
1024,2048,8192,4,4,274.541260,125.153,21,1,0,151.802536,226.345,23,1,0,64.052284,536.433,20,1,0
1024,3072,2752,4,4,318.064117,54.436,21,1,0,138.592529,124.928,23,1,0,59.788857,289.587,20,1,0
1024,2048,2752,4,4,264.605469,43.622,21,1,0,123.328140,93.594,23,1,0,60.363029,191.222,20,1,0
1024,16384,2752,4,4,351.816223,262.472,21,1,0,147.909622,624.312,23,1,0,68.571907,1346.642,0,1,0
1024,2048,10944,4,4,302.433014,151.777,21,1,0,132.945679,345.272,23,1,0,62.773590,731.238,20,1,0
1024,3072,3072,4,4,322.088196,60.006,21,1,0,155.446945,124.334,23,1,0,61.228729,315.658,20,1,0
1024,2048,3072,4,4,236.077148,54.579,21,1,0,139.965652,92.058,23,1,0,62.285480,206.868,20,1,0
1024,16384,3072,4,4,351.208191,293.499,21,1,0,166.292160,619.868,23,1,0,67.755699,1521.336,0,1,0
1024,2048,12288,4,4,286.724640,179.753,21,1,0,148.435913,347.218,23,1,0,62.310150,827.146,20,1,0
1024,3072,3296,4,4,306.270782,67.707,21,1,0,133.262863,155.607,23,1,0,60.482128,342.856,20,1,0
1024,2048,3296,4,4,284.578766,48.579,21,1,0,123.879761,111.596,23,1,0,61.860409,223.478,20,1,0
1024,16384,3296,4,4,328.217743,336.957,21,1,0,139.672729,791.818,23,1,0,68.302933,1619.190,0,1,0
1024,2048,13120,4,4,315.743347,174.285,21,1,0,128.698914,427.581,23,1,0,60.332672,912.097,20,1,0
4096,3072,2048,4,4,364.880707,141.251,21,1,0,171.091324,301.240,23,1,0,64.296951,801.587,0,1,0
4096,2048,2048,4,4,347.858521,98.775,21,1,0,174.708069,196.669,23,1,0,68.467255,501.842,0,1,0
4096,16384,2048,4,4,347.606262,790.774,21,1,0,179.167206,1534.198,23,1,0,73.037704,3763.507,0,1,0
4096,2048,8192,4,4,388.631378,353.649,21,1,0,179.757492,764.580,23,1,0,70.374962,1952.952,0,1,0
4096,3072,2752,4,4,373.994385,185.180,21,1,0,151.345230,457.605,23,1,0,64.948196,1066.332,0,1,0
4096,2048,2752,4,4,364.618896,126.628,21,1,0,152.254898,303.247,23,1,0,68.831512,670.781,0,1,0
4096,16384,2752,4,4,348.350647,1060.332,21,1,0,160.405426,2302.710,23,1,0,72.722351,5079.143,0,1,0
4096,2048,10944,4,4,361.796814,507.494,21,1,0,153.592117,1195.438,23,1,0,71.163536,2580.111,0,1,0
4096,3072,3072,4,4,373.121857,207.196,21,1,0,172.557770,448.020,23,1,0,64.938477,1190.502,0,1,0
4096,2048,3072,4,4,367.867615,140.104,21,1,0,176.416565,292.147,23,1,0,68.417000,753.316,0,1,0
4096,16384,3072,4,4,346.368317,1190.400,21,1,0,180.225769,2287.780,23,1,0,72.165764,5713.469,0,1,0
4096,2048,12288,4,4,379.503479,543.232,21,1,0,170.621536,1208.279,23,1,0,70.359474,2930.073,0,1,0
4096,3072,3296,4,4,366.228821,226.488,21,1,0,142.785995,580.915,23,1,0,64.723289,1281.557,0,1,0
4096,2048,3296,4,4,358.910461,154.071,21,1,0,147.941666,373.780,23,1,0,67.971085,813.547,0,1,0
4096,16384,3296,4,4,339.382294,1303.491,21,1,0,155.951355,2836.664,23,1,0,71.377670,6197.760,0,1,0
4096,2048,13120,4,4,360.075836,611.308,21,1,0,151.004593,1457.685,23,1,0,70.341988,3129.241,0,1,0
16384,3072,2048,4,4,367.719788,560.640,21,1,0,165.108414,1248.625,23,1,0,72.798294,2831.913,0,1,0
16384,2048,2048,4,4,369.766174,371.692,21,1,0,174.200134,788.972,23,1,0,73.427284,1871.770,0,1,0
16384,16384,2048,4,4,343.114288,3204.506,21,1,0,188.281952,5839.708,23,1,0,73.364777,14986.915,0,1,0
16384,2048,8192,4,4,375.423706,1464.361,21,1,0,197.435638,2784.481,23,1,0,75.446671,7286.681,0,1,0
16384,3072,2752,4,4,371.784363,745.124,21,1,0,158.121124,1751.982,23,1,0,73.569069,3765.514,0,1,0
16384,2048,2752,4,4,372.065582,496.374,21,1,0,154.670502,1194.045,23,1,0,74.284393,2486.169,0,1,0
16384,16384,2752,4,4,336.632507,4388.966,21,1,0,166.829773,8856.146,23,1,0,72.674736,20329.881,0,1,0
16384,2048,10944,4,4,361.665466,2030.715,21,1,0,171.577774,4280.504,23,1,0,74.830933,9814.650,0,1,0
16384,3072,3072,4,4,368.567993,839.025,21,1,0,178.717621,1730.314,23,1,0,73.032616,4234.240,0,1,0
16384,2048,3072,4,4,375.875824,548.475,21,1,0,173.911224,1185.423,23,1,0,73.455948,2806.559,0,1,0
16384,16384,3072,4,4,343.639893,4799.406,21,1,0,185.941330,8869.827,23,1,0,72.136864,22863.033,0,1,0
16384,2048,12288,4,4,370.106018,2228.101,21,1,0,190.899643,4319.724,23,1,0,74.053200,11135.693,0,1,0
16384,3072,3296,4,4,359.491791,922.931,21,1,0,154.649841,2145.403,23,1,0,72.510757,4575.683,0,1,0
16384,2048,3296,4,4,358.529175,616.940,21,1,0,149.676163,1477.796,23,1,0,73.047279,3028.050,0,1,0
16384,16384,3296,4,4,340.170624,5201.879,21,1,0,160.299118,11038.903,23,1,0,71.240952,24838.615,0,1,0
16384,2048,13120,4,4,359.029388,2452.357,21,1,0,168.856781,5214.291,23,1,0,73.401360,11995.259,0,1,0
32768,3072,2048,4,4,355.562500,1159.619,21,1,0,182.896149,2254.377,23,1,0,74.799500,5512.294,0,1,0
32768,2048,2048,4,4,357.190033,769.556,21,1,0,177.262344,1550.684,23,1,0,74.398010,3694.694,0,1,0
32768,16384,2048,4,4,343.276642,6405.980,21,1,0,189.244980,11619.982,23,1,0,73.200516,30041.090,0,1,0
32768,2048,8192,4,4,362.380890,3034.133,21,1,0,200.779709,5476.209,23,1,0,75.351990,14591.673,0,1,0
32768,3072,2752,4,4,355.080963,1560.351,21,1,0,164.818207,3361.587,23,1,0,74.997749,7387.565,0,1,0
32768,2048,2752,4,4,364.825378,1012.449,21,1,0,161.433456,2288.046,23,1,0,74.811600,4937.298,0,1,0
32768,16384,2752,4,4,349.762604,8448.409,21,1,0,167.089615,17684.746,23,1,0,72.561249,40723.355,0,1,0
32768,2048,10944,4,4,358.090149,4101.980,21,1,0,172.238678,8528.159,23,1,0,74.485794,19720.254,0,1,0
32768,3072,3072,4,4,348.010834,1777.172,21,1,0,184.444962,3353.170,23,1,0,74.396591,8313.221,0,1,0
32768,2048,3072,4,4,359.672333,1146.368,21,1,0,180.387238,2285.732,23,1,0,74.317673,5548.033,0,1,0
32768,16384,3072,4,4,351.287872,9389.834,21,1,0,186.180344,17716.881,23,1,0,72.121201,45735.996,0,1,0
32768,2048,12288,4,4,370.881622,4446.884,21,1,0,190.529755,8656.220,23,1,0,73.804466,22346.445,0,1,0
32768,3072,3296,4,4,342.650177,1936.589,21,1,0,159.513397,4159.979,23,1,0,73.925430,8976.240,0,1,0
32768,2048,3296,4,4,348.679047,1268.736,21,1,0,156.867569,2820.096,23,1,0,73.630180,6008.156,0,1,0
32768,16384,3296,4,4,342.973206,10318.745,21,1,0,160.479233,22053.027,23,1,0,71.399399,49566.984,0,1,0
32768,2048,13120,4,4,362.773926,4854.088,21,1,0,170.083649,10353.356,23,1,0,73.430824,23980.891,0,1,0
