# GPU: NVIDIA A100 80GB PCIe
# CC: cc80
# Model: Qwen2.5-14B-FP8
# alg_count: 0, config_count: 0
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol, dtype: fp8e4m3, outdtype: bf16, warmup=10, repeat=50, verify=False
# M_list: [256, 1024, 4096, 16384, 32768]
# NK_list: [(7168, 5120), (5120, 5120), (27648, 5120), (5120, 13824), (7168, 6848), (5120, 6848), (27648, 6848), (5120, 18432), (7168, 7680), (5120, 7680), (27648, 7680), (5120, 20736), (7168, 8192), (5120, 8192), (27648, 8192), (5120, 22144)]
M,N,K,alg_count,config_count,tops_1,lat_us_1,alg_id_1,split_k_1,workspace_1,tops_2,lat_us_2,alg_id_2,split_k_2,workspace_2,tops_3,lat_us_3,alg_id_3,split_k_3,workspace_3
256,7168,5120,0,0,,,,,,,,,,,,,,,
256,5120,5120,0,0,,,,,,,,,,,,,,,
256,27648,5120,0,0,,,,,,,,,,,,,,,
256,5120,13824,0,0,,,,,,,,,,,,,,,
256,7168,6848,0,0,,,,,,,,,,,,,,,
256,5120,6848,0,0,,,,,,,,,,,,,,,
256,27648,6848,0,0,,,,,,,,,,,,,,,
256,5120,18432,0,0,,,,,,,,,,,,,,,
256,7168,7680,0,0,,,,,,,,,,,,,,,
256,5120,7680,0,0,,,,,,,,,,,,,,,
256,27648,7680,0,0,,,,,,,,,,,,,,,
256,5120,20736,0,0,,,,,,,,,,,,,,,
256,7168,8192,0,0,,,,,,,,,,,,,,,
256,5120,8192,0,0,,,,,,,,,,,,,,,
256,27648,8192,0,0,,,,,,,,,,,,,,,
256,5120,22144,0,0,,,,,,,,,,,,,,,
1024,7168,5120,0,0,,,,,,,,,,,,,,,
1024,5120,5120,0,0,,,,,,,,,,,,,,,
1024,27648,5120,0,0,,,,,,,,,,,,,,,
1024,5120,13824,0,0,,,,,,,,,,,,,,,
1024,7168,6848,0,0,,,,,,,,,,,,,,,
1024,5120,6848,0,0,,,,,,,,,,,,,,,
1024,27648,6848,0,0,,,,,,,,,,,,,,,
1024,5120,18432,0,0,,,,,,,,,,,,,,,
1024,7168,7680,0,0,,,,,,,,,,,,,,,
1024,5120,7680,0,0,,,,,,,,,,,,,,,
1024,27648,7680,0,0,,,,,,,,,,,,,,,
1024,5120,20736,0,0,,,,,,,,,,,,,,,
1024,7168,8192,0,0,,,,,,,,,,,,,,,
1024,5120,8192,0,0,,,,,,,,,,,,,,,
1024,27648,8192,0,0,,,,,,,,,,,,,,,
1024,5120,22144,0,0,,,,,,,,,,,,,,,
4096,7168,5120,0,0,,,,,,,,,,,,,,,
4096,5120,5120,0,0,,,,,,,,,,,,,,,
4096,27648,5120,0,0,,,,,,,,,,,,,,,
4096,5120,13824,0,0,,,,,,,,,,,,,,,
4096,7168,6848,0,0,,,,,,,,,,,,,,,
4096,5120,6848,0,0,,,,,,,,,,,,,,,
4096,27648,6848,0,0,,,,,,,,,,,,,,,
4096,5120,18432,0,0,,,,,,,,,,,,,,,
4096,7168,7680,0,0,,,,,,,,,,,,,,,
4096,5120,7680,0,0,,,,,,,,,,,,,,,
4096,27648,7680,0,0,,,,,,,,,,,,,,,
4096,5120,20736,0,0,,,,,,,,,,,,,,,
4096,7168,8192,0,0,,,,,,,,,,,,,,,
4096,5120,8192,0,0,,,,,,,,,,,,,,,
4096,27648,8192,0,0,,,,,,,,,,,,,,,
4096,5120,22144,0,0,,,,,,,,,,,,,,,
16384,7168,5120,0,0,,,,,,,,,,,,,,,
16384,5120,5120,0,0,,,,,,,,,,,,,,,
16384,27648,5120,0,0,,,,,,,,,,,,,,,
16384,5120,13824,0,0,,,,,,,,,,,,,,,
16384,7168,6848,0,0,,,,,,,,,,,,,,,
16384,5120,6848,0,0,,,,,,,,,,,,,,,
16384,27648,6848,0,0,,,,,,,,,,,,,,,
16384,5120,18432,0,0,,,,,,,,,,,,,,,
16384,7168,7680,0,0,,,,,,,,,,,,,,,
16384,5120,7680,0,0,,,,,,,,,,,,,,,
16384,27648,7680,0,0,,,,,,,,,,,,,,,
16384,5120,20736,0,0,,,,,,,,,,,,,,,
16384,7168,8192,0,0,,,,,,,,,,,,,,,
16384,5120,8192,0,0,,,,,,,,,,,,,,,
16384,27648,8192,0,0,,,,,,,,,,,,,,,
16384,5120,22144,0,0,,,,,,,,,,,,,,,
32768,7168,5120,0,0,,,,,,,,,,,,,,,
32768,5120,5120,0,0,,,,,,,,,,,,,,,
32768,27648,5120,0,0,,,,,,,,,,,,,,,
32768,5120,13824,0,0,,,,,,,,,,,,,,,
32768,7168,6848,0,0,,,,,,,,,,,,,,,
32768,5120,6848,0,0,,,,,,,,,,,,,,,
32768,27648,6848,0,0,,,,,,,,,,,,,,,
32768,5120,18432,0,0,,,,,,,,,,,,,,,
32768,7168,7680,0,0,,,,,,,,,,,,,,,
32768,5120,7680,0,0,,,,,,,,,,,,,,,
32768,27648,7680,0,0,,,,,,,,,,,,,,,
32768,5120,20736,0,0,,,,,,,,,,,,,,,
32768,7168,8192,0,0,,,,,,,,,,,,,,,
32768,5120,8192,0,0,,,,,,,,,,,,,,,
32768,27648,8192,0,0,,,,,,,,,,,,,,,
32768,5120,22144,0,0,,,,,,,,,,,,,,,
