# GPU: NVIDIA B200
# CC: cc100
# Model: BitNet-2B-FP8
# alg_count: 8, config_count: 8
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol, dtype: fp8e4m3, outdtype: bf16, warmup=25, repeat=50, verify=False
# M_list: [256, 1024, 4096, 16384, 32768]
# NK_list: [(3840, 2560), (2560, 2560), (13824, 2560), (2560, 6912), (3840, 3424), (2560, 3424), (13824, 3424), (2560, 9216), (3840, 3840), (2560, 3840), (13824, 3840), (2560, 10368), (3840, 4096), (2560, 4096), (13824, 4096), (2560, 11072)]
M,N,K,alg_count,config_count,tops_1,lat_us_1,alg_id_1,split_k_1,workspace_1,tops_2,lat_us_2,alg_id_2,split_k_2,workspace_2,tops_3,lat_us_3,alg_id_3,split_k_3,workspace_3
256,3840,2560,8,8,793.734375,6.341,66,1,0,791.497620,6.359,66,1,0,718.530823,7.005,66,1,0
256,2560,2560,8,8,405.387787,8.277,66,1,0,402.339050,8.340,66,1,0,386.842743,8.674,66,1,0
256,13824,2560,8,8,1254.889038,14.439,66,1,0,1251.339355,14.480,66,1,0,1098.411255,16.496,66,1,0
256,2560,6912,8,8,627.583618,14.436,66,1,0,627.305542,14.442,66,1,0,626.805481,14.454,66,1,0
256,3840,3424,8,8,649.973877,10.357,66,1,0,604.965027,11.128,66,1,0,582.292297,11.561,66,1,0
256,2560,3424,8,8,433.423126,10.355,66,1,0,433.289154,10.358,66,1,0,432.968170,10.365,66,1,0
256,13824,3424,8,8,1375.070801,17.624,66,1,0,1308.817261,18.516,66,1,0,1307.190674,18.540,66,1,0
256,2560,9216,8,8,834.189392,14.481,66,1,0,819.413391,14.742,66,1,0,750.024536,16.106,66,1,0
256,3840,3840,8,8,729.393433,10.351,66,1,0,728.852539,10.358,66,1,0,728.087830,10.369,66,1,0
256,2560,3840,8,8,496.296875,10.141,66,1,0,486.683563,10.342,66,1,0,486.021881,10.356,66,1,0
256,13824,3840,8,8,1381.186035,19.678,66,1,0,1331.556396,20.412,66,1,0,1314.615112,20.675,66,1,0
256,2560,10368,8,8,782.865601,17.359,66,1,0,744.153076,18.262,66,1,0,729.904907,18.618,66,1,0
256,3840,4096,8,8,777.779114,10.354,66,1,0,775.478394,10.385,66,1,0,743.934692,10.825,66,1,0
256,2560,4096,8,8,519.097046,10.342,66,1,0,519.032776,10.344,66,1,0,518.904358,10.346,66,1,0
256,13824,4096,8,8,1411.167847,20.544,66,1,0,1348.650757,21.496,66,1,0,1278.245972,22.680,66,1,0
