# GPU: NVIDIA B200
# CC: cc100
# Model: Llama3.2-1B-FP8
# alg_count: 8, config_count: 8
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol, dtype: fp8e4m3, outdtype: bf16, warmup=25, repeat=50, verify=False
# M_list: [256, 1024, 4096, 16384, 32768]
# NK_list: [(3072, 2048), (2048, 2048), (16384, 2048), (2048, 8192), (3072, 2752), (2048, 2752), (16384, 2752), (2048, 10944), (3072, 3072), (2048, 3072), (16384, 3072), (2048, 12288), (3072, 3296), (2048, 3296), (16384, 3296), (2048, 13120)]
M,N,K,alg_count,config_count,tops_1,lat_us_1,alg_id_1,split_k_1,workspace_1,tops_2,lat_us_2,alg_id_2,split_k_2,workspace_2,tops_3,lat_us_3,alg_id_3,split_k_3,workspace_3
256,3072,2048,8,8,523.197998,6.157,66,1,0,523.089294,6.158,66,1,0,516.169067,6.241,66,1,0
256,2048,2048,8,8,259.930542,8.262,66,1,0,258.887665,8.295,66,1,0,258.827759,8.297,66,1,0
256,16384,2048,8,8,1333.708130,12.881,66,1,0,1296.914917,13.247,66,1,0,1188.293335,14.458,66,1,0
256,2048,8192,8,8,592.808350,14.490,66,1,0,550.275635,15.610,66,1,0,521.456665,16.473,66,1,0
256,3072,2752,8,8,517.349915,8.367,66,1,0,462.607056,9.357,66,1,0,461.943512,9.370,66,1,0
256,2048,2752,8,8,348.525665,8.280,66,1,0,346.570099,8.326,66,1,0,331.340149,8.709,66,1,0
256,16384,2752,8,8,1397.668091,16.517,66,1,0,1396.856079,16.527,66,1,0,1396.261353,16.534,66,1,0
256,2048,10944,8,8,652.711914,17.581,66,1,0,585.414124,19.603,66,2,4194320,563.768250,20.355,66,3,6291472
256,3072,3072,8,8,521.787781,9.260,66,1,0,466.956177,10.348,66,1,0,466.898407,10.349,66,1,0
256,2048,3072,8,8,387.583923,8.311,66,1,0,334.718689,9.624,66,1,0,311.516052,10.340,66,1,0
256,16384,3072,8,8,1550.216309,16.623,66,1,0,1389.561279,18.545,66,1,0,1388.650757,18.557,66,1,0
256,2048,12288,8,8,652.640686,19.743,66,1,0,524.397278,24.571,66,3,6291472,521.882446,24.689,66,3,6291472
256,3072,3296,8,8,500.912079,10.349,66,1,0,500.046326,10.367,66,1,0,499.737732,10.374,66,1,0
256,2048,3296,8,8,367.984070,9.392,66,1,0,348.532715,9.916,66,1,0,334.148010,10.343,66,1,0
256,16384,3296,8,8,1309.170898,21.119,66,1,0,1291.674072,21.405,66,1,0,1219.997437,22.663,66,1,0
256,2048,13120,8,8,741.285828,18.559,66,1,0,595.930481,23.085,66,4,8388624,575.446594,23.907,66,3,6291472
1024,3072,2048,8,8,1371.247803,9.396,66,1,0,1247.840698,10.326,66,1,0,1247.685913,10.327,66,1,0
1024,2048,2048,8,8,829.938965,10.350,66,1,0,827.482971,10.381,66,1,0,807.033386,10.644,66,1,0
1024,16384,2048,8,8,2228.789795,30.833,66,1,0,2075.745850,33.106,66,1,0,2022.798340,33.972,66,1,0
1024,2048,8192,8,8,1346.283447,25.522,66,1,0,1289.005737,26.656,66,1,0,1283.581787,26.769,66,1,0
1024,3072,2752,8,8,1265.472046,13.682,66,1,0,1199.222534,14.438,66,1,0,1198.372437,14.448,66,1,0
1024,2048,2752,8,8,1018.092468,11.338,66,1,0,927.657043,12.443,66,1,0,921.260010,12.529,66,1,0
1024,16384,2752,8,8,1945.236816,47.471,66,1,0,1800.872070,51.276,66,1,0,1750.149292,52.762,66,1,0
1024,2048,10944,8,8,1840.267822,24.943,66,1,0,1715.933716,26.751,66,1,0,1690.215454,27.158,66,1,0
1024,3072,3072,8,8,1334.172241,14.486,66,1,0,1318.848389,14.655,66,1,0,1255.831787,15.390,66,1,0
1024,2048,3072,8,8,1037.284668,12.422,66,1,0,925.596924,13.921,66,1,0,892.049194,14.444,66,1,0
1024,16384,3072,8,8,2111.420410,48.820,66,1,0,2088.179443,49.363,66,1,0,2013.265869,51.200,66,1,0
1024,2048,12288,8,8,1555.276001,33.139,66,1,0,1475.568726,34.929,66,1,0,1394.204468,36.967,66,1,0
1024,3072,3296,8,8,1256.242065,16.507,66,1,0,1243.991333,16.669,66,1,0,1238.002319,16.750,66,1,0
1024,2048,3296,8,8,999.938293,13.825,66,1,0,972.608704,14.214,66,1,0,956.924866,14.447,66,1,0
1024,16384,3296,8,8,1998.188477,55.348,66,1,0,1821.611084,60.713,66,1,0,1787.709229,61.864,66,1,0
1024,2048,13120,8,8,1770.003418,31.090,66,1,0,1636.342041,33.629,66,1,0,1488.062622,36.980,66,1,0
4096,3072,2048,8,8,2529.148926,20.378,66,1,0,2471.781494,20.851,66,1,0,2452.436035,21.016,66,1,0
4096,2048,2048,8,8,2082.024658,16.503,66,1,0,1890.257324,18.177,66,1,0,1847.710938,18.596,66,1,0
