# GPU: NVIDIA GB10
# CC: cc121
# Model: Qwen2.5-14B-FP8
# alg_count: 8, config_count: 8
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol, dtype: fp8e4m3, outdtype: bf16, warmup=10, repeat=50, verify=False
# M_list: [256, 1024, 4096, 16384, 32768]
# NK_list: [(7168, 5120), (5120, 5120), (27648, 5120), (5120, 13824), (7168, 6848), (5120, 6848), (27648, 6848), (5120, 18432), (7168, 7680), (5120, 7680), (27648, 7680), (5120, 20736), (7168, 8192), (5120, 8192), (27648, 8192), (5120, 22144)]
M,N,K,alg_count,config_count,tops_1,lat_us_1,alg_id_1,split_k_1,workspace_1,tops_2,lat_us_2,alg_id_2,split_k_2,workspace_2,tops_3,lat_us_3,alg_id_3,split_k_3,workspace_3
256,7168,5120,8,8,90.716797,207.133,35,1,0,79.276497,237.025,35,1,0,72.910538,257.720,35,1,0
256,5120,5120,8,8,103.956291,129.110,35,1,0,99.578445,134.786,35,1,0,86.833199,154.570,35,1,0
256,27648,5120,8,8,91.663788,790.689,35,1,0,83.775810,865.137,35,1,0,77.391289,936.508,35,1,0
256,5120,13824,7,8,87.194565,415.608,35,1,0,84.024498,431.288,35,1,0,79.451729,456.111,35,1,0
256,7168,6848,8,8,92.958427,270.360,35,1,0,84.811333,296.332,35,1,0,74.978798,335.192,35,1,0
256,5120,6848,8,8,85.256813,210.559,35,1,0,85.105240,210.934,35,1,0,78.668488,228.193,35,1,0
256,27648,6848,8,8,92.411011,1048.996,35,1,0,89.873093,1078.618,35,1,0,85.530876,1133.377,35,1,0
256,5120,18432,7,8,84.884796,569.223,35,1,0,77.471123,623.695,35,1,0,72.777061,663.923,35,1,0
256,7168,7680,8,8,89.279045,315.704,35,1,0,79.282707,355.509,35,1,0,77.585815,363.284,35,1,0
256,5120,7680,8,8,80.261261,250.839,35,1,0,74.441536,270.449,35,1,0,72.554596,277.483,35,1,0
256,27648,7680,8,8,92.370422,1176.961,35,1,0,83.972916,1294.660,35,1,0,81.719917,1330.353,35,1,0
256,5120,20736,8,8,89.871094,604.846,35,1,0,85.736038,634.018,35,1,0,81.422882,667.603,35,1,0
256,7168,8192,8,8,86.110649,349.141,35,1,0,82.682899,363.615,35,1,0,73.122917,411.154,35,1,0
256,5120,8192,8,8,85.247055,251.913,35,1,0,83.968376,255.749,35,1,0,83.878532,256.023,35,1,0
256,27648,8192,8,8,92.163620,1258.242,35,1,0,82.414413,1407.085,35,1,0,82.270493,1409.547,35,1,0
256,5120,22144,8,8,87.460625,663.718,35,1,0,86.391075,671.935,35,1,0,79.122482,733.662,35,1,0
1024,7168,5120,8,8,179.924515,417.741,35,1,0,155.946915,481.971,35,1,0,119.854134,627.112,35,1,0
1024,5120,5120,8,8,179.009293,299.912,35,1,0,147.141449,364.867,35,1,0,118.583328,452.737,35,1,0
1024,27648,5120,8,8,180.142990,1609.334,35,1,0,148.357391,1954.134,35,1,0,125.729958,2305.817,35,2,113260191
1024,5120,13824,8,8,168.263611,861.477,35,1,0,161.661591,896.658,35,1,0,145.122894,998.844,35,1,0
1024,7168,6848,8,8,172.301025,583.450,35,1,0,143.006561,702.968,35,1,0,129.124039,778.547,35,2,29363871
1024,5120,6848,8,8,182.552719,393.347,35,1,0,146.537338,490.022,35,1,0,128.746735,557.734,35,2,20974239
1024,27648,6848,8,8,180.995926,2142.341,35,1,0,150.669128,2573.553,35,1,0,137.924835,2811.350,35,2,113260191
1024,5120,18432,8,8,153.941544,1255.500,35,1,0,153.510437,1259.025,35,1,0,132.525406,1458.389,35,1,0
1024,7168,7680,8,8,171.668045,656.749,35,1,0,145.367554,775.571,35,1,0,135.327469,833.112,35,2,29363871
1024,5120,7680,8,8,175.381607,459.174,35,1,0,142.345795,565.740,35,1,0,124.144608,648.684,35,2,20974239
1024,27648,7680,8,8,182.895889,2377.667,35,1,0,149.844833,2902.105,35,1,0,143.188644,3037.011,35,2,113260191
1024,5120,20736,8,8,149.841751,1451.082,35,1,0,148.409073,1465.090,35,1,0,126.215393,1722.712,35,1,0
1024,7168,8192,8,8,173.733719,692.203,35,1,0,148.976517,807.235,35,1,0,117.726517,1021.512,35,1,0
1024,5120,8192,8,8,178.416977,481.453,35,1,0,136.527908,629.171,35,1,0,130.088211,660.316,35,2,20974239
1024,27648,8192,8,8,182.201248,2545.847,35,1,0,153.131027,3029.147,35,1,0,147.381821,3147.311,35,2,113260191
1024,5120,22144,8,8,146.394394,1586.104,35,1,0,143.761429,1615.153,35,1,0,124.571632,1863.961,35,1,0
4096,7168,5120,8,8,178.112473,1687.965,35,1,0,149.605042,2009.609,35,1,0,119.303886,2520.016,35,1,0
4096,5120,5120,8,8,181.293869,1184.532,35,1,0,148.617249,1444.976,35,1,0,117.453873,1828.363,35,1,0
4096,27648,5120,8,8,180.345917,6430.094,35,1,0,151.119324,7673.679,35,1,0,117.315941,9884.771,35,1,0
4096,5120,13824,8,8,174.565536,3321.507,35,1,0,145.341095,3989.378,35,1,0,144.061081,4024.825,35,1,0
4096,7168,6848,8,8,172.533585,2330.655,35,1,0,149.926605,2682.088,35,1,0,117.725632,3415.708,35,1,0
4096,5120,6848,8,8,178.669739,1607.580,35,1,0,149.919724,1915.865,35,1,0,117.393433,2446.695,35,1,0
4096,27648,6848,8,8,179.711273,8630.622,35,1,0,151.424225,10242.879,35,1,0,116.752510,13284.683,35,1,0
4096,5120,18432,8,8,150.345932,5142.102,35,1,0,129.768051,5957.507,35,1,0,127.580803,6059.643,35,1,0
4096,7168,7680,8,8,179.177078,2516.904,35,1,0,146.015564,3088.517,35,1,0,117.299507,3844.616,35,1,0
4096,5120,7680,8,8,178.952316,1800.047,35,1,0,149.169876,2159.434,35,1,0,117.486229,2741.790,35,1,0
4096,27648,7680,8,8,182.771576,9517.135,35,1,0,150.336395,11570.464,35,1,0,116.775307,14895.801,35,1,0
4096,5120,20736,8,8,145.683243,5970.013,35,1,0,129.231415,6730.027,35,1,0,120.388832,7224.349,35,1,0
4096,7168,8192,8,8,179.994293,2672.509,35,1,0,149.667206,3214.040,35,1,0,114.445419,4203.194,35,1,0
4096,5120,8192,8,8,170.666336,2013.270,35,1,0,150.883560,2277.235,35,1,0,116.711861,2943.980,35,1,0
4096,27648,8192,8,8,180.348221,10288.019,35,1,0,151.363541,12258.077,35,1,0,116.441902,15934.349,35,1,0
4096,5120,22144,8,8,141.424423,6567.371,35,1,0,124.643829,7451.525,35,1,0,118.289803,7851.790,35,1,0
16384,7168,5120,8,8,181.023941,6643.270,35,1,0,150.434906,7994.094,35,1,0,118.240715,10170.700,35,1,0
16384,5120,5120,8,8,176.926376,4855.090,35,1,0,150.949524,5690.601,35,1,0,117.754448,7294.786,35,1,0
16384,27648,5120,4,8,180.637024,25678.926,35,1,0,150.944153,30730.336,35,1,0,116.099945,39953.203,35,1,0
16384,5120,13824,8,8,175.184143,13239.111,35,1,0,156.769470,14794.223,35,1,0,150.063446,15455.345,35,1,0
16384,7168,6848,8,8,183.360001,8772.171,35,1,0,150.307098,10701.193,35,1,0,116.450447,13812.443,35,1,0
16384,5120,6848,8,8,181.284302,6337.580,35,1,0,151.409149,7588.074,35,1,0,114.745361,10012.638,35,1,0
16384,27648,6848,4,8,182.437195,34006.664,35,1,0,150.630814,41187.324,35,1,0,115.398102,53762.410,35,1,0
16384,5120,18432,8,8,153.522263,20142.854,35,1,0,133.608261,23145.100,35,1,0,129.173355,23939.740,35,1,0
16384,7168,7680,8,8,184.159515,9795.238,35,1,0,151.512619,11905.849,35,1,0,117.036430,15413.032,35,1,0
16384,5120,7680,8,8,182.198730,7071.895,35,1,0,149.712036,8606.457,35,1,0,116.396408,11069.845,35,1,0
16384,27648,7680,4,8,181.737503,38285.148,35,1,0,150.316376,46288.016,35,1,0,115.824844,60072.148,35,1,0
16384,5120,20736,8,8,147.643814,23562.947,35,1,0,131.956757,26364.119,35,1,0,119.305931,29159.686,35,1,0
16384,7168,8192,8,8,182.984772,10515.330,35,1,0,151.135727,12731.241,35,1,0,117.425789,16386.055,35,1,0
16384,5120,8192,8,8,181.507980,7572.061,35,1,0,153.310318,8964.756,35,1,0,116.578941,11789.347,35,1,0
16384,27648,8192,4,8,182.440826,40680.059,35,1,0,149.972992,49486.934,35,1,0,114.242828,64964.285,35,1,0
16384,5120,22144,8,8,144.002563,25799.170,35,1,0,126.963341,29261.570,35,1,0,114.893967,32335.438,35,1,0
32768,7168,5120,4,8,180.583771,13318.925,35,1,0,151.898178,15834.171,35,1,0,116.819572,20588.859,35,1,0
32768,5120,5120,4,8,179.578186,9566.791,35,1,0,152.246765,11284.227,35,1,0,116.196815,14785.146,35,1,0
32768,27648,5120,4,8,180.481796,51402.023,35,1,0,148.660980,62404.602,35,1,0,114.643448,80921.586,35,1,0
32768,5120,13824,7,8,177.540695,26126.770,35,1,0,158.269958,29307.930,35,1,0,149.957596,30932.510,35,1,0
