# GPU: NVIDIA GB10
# CC: cc121
# Model: Qwen2.5-7B-INT8
# alg_count: 1, config_count: 1
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol, dtype: int8, outdtype: int32, warmup=10, repeat=50, verify=False
# M_list: [256, 1024, 4096, 16384, 32768]
# NK_list: [(4608, 3584), (3584, 3584), (37888, 3584), (3584, 18944), (4608, 4800), (3584, 4800), (37888, 4800), (3584, 25280), (4608, 5376), (3584, 5376), (37888, 5376), (3584, 28416), (4608, 5760), (3584, 5760), (37888, 5760), (3584, 30336)]
M,N,K,alg_count,config_count,tops_1,lat_us_1,alg_id_1,split_k_1,workspace_1,tops_2,lat_us_2,alg_id_2,split_k_2,workspace_2,tops_3,lat_us_3,alg_id_3,split_k_3,workspace_3
256,4608,3584,1,1,136.149231,62.106,21,1,0,,,,,,,,,,
256,3584,3584,1,1,60.436306,108.820,21,2,7340032,,,,,,,,,,
256,37888,3584,1,1,77.141083,901.268,21,1,0,,,,,,,,,,
256,3584,18944,1,1,60.793819,571.808,21,4,14680064,,,,,,,,,,
256,4608,4800,1,1,44.984783,251.743,21,2,9437184,,,,,,,,,,
256,3584,4800,1,1,47.553684,185.223,21,3,11010048,,,,,,,,,,
256,37888,4800,1,1,79.189919,1175.826,21,1,0,,,,,,,,,,
256,3584,25280,1,1,64.303024,721.412,21,5,18350080,,,,,,,,,,
256,4608,5376,1,1,52.915398,239.695,21,2,9437184,,,,,,,,,,
256,3584,5376,1,1,44.943821,219.496,21,4,14680064,,,,,,,,,,
256,37888,5376,1,1,79.148735,1317.610,21,1,0,,,,,,,,,,
256,3584,28416,1,1,64.290977,811.056,21,5,18350080,,,,,,,,,,
256,4608,5760,1,1,57.704720,235.501,21,2,9437184,,,,,,,,,,
256,3584,5760,1,1,45.319778,233.224,21,4,14680064,,,,,,,,,,
256,37888,5760,1,1,82.076439,1361.368,21,1,0,,,,,,,,,,
256,3584,30336,1,1,62.785763,886.615,21,5,18350080,,,,,,,,,,
1024,4608,3584,1,1,157.784637,214.361,21,1,0,,,,,,,,,,
1024,3584,3584,1,1,152.730972,172.242,21,1,0,,,,,,,,,,
1024,37888,3584,1,1,148.951996,1867.039,21,1,0,,,,,,,,,,
1024,3584,18944,1,1,117.270699,1185.714,21,1,0,,,,,,,,,,
1024,4608,4800,1,1,153.653015,294.810,21,1,0,,,,,,,,,,
1024,3584,4800,1,1,151.768539,232.144,21,1,0,,,,,,,,,,
1024,37888,4800,1,1,154.791809,2406.162,21,1,0,,,,,,,,,,
1024,3584,25280,1,1,117.975449,1572.836,21,1,0,,,,,,,,,,
1024,4608,5376,1,1,154.747787,327.852,21,1,0,,,,,,,,,,
1024,3584,5376,1,1,128.478409,307.133,21,1,0,,,,,,,,,,
1024,37888,5376,1,1,150.346344,2774.585,21,1,0,,,,,,,,,,
1024,3584,28416,1,1,118.324593,1762.730,21,1,0,,,,,,,,,,
1024,4608,5760,1,1,150.683945,360.743,21,1,0,,,,,,,,,,
1024,3584,5760,1,1,149.256424,283.261,21,1,0,,,,,,,,,,
1024,37888,5760,1,1,149.781281,2983.985,21,1,0,,,,,,,,,,
1024,3584,30336,1,1,121.238159,1836.610,21,1,0,,,,,,,,,,
4096,4608,3584,1,1,139.057373,972.918,21,1,0,,,,,,,,,,
4096,3584,3584,1,1,135.032669,779.268,21,1,0,,,,,,,,,,
4096,37888,3584,1,1,146.042908,7616.916,21,1,0,,,,,,,,,,
4096,3584,18944,1,1,111.104118,5006.100,21,1,0,,,,,,,,,,
4096,4608,4800,1,1,149.193726,1214.488,21,1,0,,,,,,,,,,
4096,3584,4800,1,1,145.396103,969.274,21,1,0,,,,,,,,,,
4096,37888,4800,1,1,156.965759,9491.349,21,1,0,,,,,,,,,,
4096,3584,25280,1,1,135.680222,5470.393,21,1,0,,,,,,,,,,
4096,4608,5376,1,1,142.430145,1424.819,21,1,0,,,,,,,,,,
4096,3584,5376,1,1,157.286392,1003.520,21,1,0,,,,,,,,,,
4096,37888,5376,1,1,163.265823,10220.110,21,1,0,,,,,,,,,,
4096,3584,28416,1,1,135.731400,6146.679,21,1,0,,,,,,,,,,
4096,4608,5760,1,1,158.546707,1371.411,21,1,0,,,,,,,,,,
4096,3584,5760,1,1,152.931046,1105.821,21,1,0,,,,,,,,,,
4096,37888,5760,1,1,163.165009,10956.885,21,1,0,,,,,,,,,,
4096,3584,30336,1,1,141.371582,6300.197,21,1,0,,,,,,,,,,
16384,4608,3584,1,1,145.491165,3719.579,21,1,0,,,,,,,,,,
16384,3584,3584,1,1,147.103714,2861.293,21,1,0,,,,,,,,,,
16384,37888,3584,1,1,155.273468,28656.447,21,1,0,,,,,,,,,,
16384,3584,18944,1,1,132.117569,16839.494,21,1,0,,,,,,,,,,
16384,4608,4800,1,1,158.153809,4582.727,21,1,0,,,,,,,,,,
16384,3584,4800,1,1,161.392380,3492.820,21,1,0,,,,,,,,,,
16384,37888,4800,1,1,168.314972,35405.449,21,1,0,,,,,,,,,,
16384,3584,25280,1,1,129.193787,22980.178,21,1,0,,,,,,,,,,
16384,4608,5376,1,1,165.357681,4909.048,21,1,0,,,,,,,,,,
16384,3584,5376,1,1,168.273636,3751.985,21,1,0,,,,,,,,,,
16384,37888,5376,1,1,173.673569,38430.598,21,1,0,,,,,,,,,,
16384,3584,28416,1,1,119.455231,27936.738,21,1,0,,,,,,,,,,
16384,4608,5760,1,1,166.340530,5228.617,21,1,0,,,,,,,,,,
16384,3584,5760,1,1,165.606918,4084.717,21,1,0,,,,,,,,,,
16384,37888,5760,1,1,174.260696,41036.910,21,1,0,,,,,,,,,,
16384,3584,30336,1,1,136.252731,26147.553,21,1,0,,,,,,,,,,
32768,4608,3584,1,1,153.039093,7072.257,21,1,0,,,,,,,,,,
32768,3584,3584,1,1,150.736099,5584.685,21,1,0,,,,,,,,,,
32768,37888,3584,1,1,155.771973,57129.480,21,1,0,,,,,,,,,,
32768,3584,18944,1,1,145.846344,30508.725,21,1,0,,,,,,,,,,
32768,4608,4800,1,1,166.173904,8723.100,21,1,0,,,,,,,,,,
32768,3584,4800,1,1,163.903778,6878.603,21,1,0,,,,,,,,,,
32768,37888,4800,1,1,169.429657,70345.031,21,1,0,,,,,,,,,,
32768,3584,25280,1,1,135.833633,43713.711,21,1,0,,,,,,,,,,
32768,4608,5376,1,1,169.891449,9556.088,21,1,0,,,,,,,,,,
32768,3584,5376,1,1,170.495941,7406.161,21,1,0,,,,,,,,,,
32768,37888,5376,1,1,174.255203,76604.648,21,1,0,,,,,,,,,,
32768,3584,28416,1,1,126.166878,52901.199,21,1,0,,,,,,,,,,
32768,4608,5760,1,1,172.387222,10090.434,21,1,0,,,,,,,,,,
32768,3584,5760,1,1,170.421890,7938.620,21,1,0,,,,,,,,,,
32768,37888,5760,1,1,174.184265,82109.836,21,1,0,,,,,,,,,,
32768,3584,30336,1,1,133.855392,53231.703,21,1,0,,,,,,,,,,
