# GPU: NVIDIA H100 PCIe
# CC: cc90
# Model: Llama3.2-1B-INT8
# alg_count: 8, config_count: 8
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol, dtype: int8, outdtype: int32, warmup=10, repeat=50, verify=False
# M_list: [256, 1024, 4096, 16384, 32768]
# NK_list: [(3072, 2048), (2048, 2048), (16384, 2048), (2048, 8192), (3072, 2752), (2048, 2752), (16384, 2752), (2048, 10944), (3072, 3072), (2048, 3072), (16384, 3072), (2048, 12288), (3072, 3296), (2048, 3296), (16384, 3296), (2048, 13120)]
M,N,K,alg_count,config_count,tops_1,lat_us_1,alg_id_1,split_k_1,workspace_1,tops_2,lat_us_2,alg_id_2,split_k_2,workspace_2,tops_3,lat_us_3,alg_id_3,split_k_3,workspace_3
256,3072,2048,8,8,300.397797,10.723,21,1,0,297.855652,10.815,21,1,0,293.890259,10.961,21,1,0
256,2048,2048,8,8,147.104034,14.598,21,1,0,143.622116,14.952,21,1,0,140.990936,15.231,21,1,0
256,16384,2048,8,8,424.867371,40.436,39,1,131,405.326355,42.385,39,1,131,398.159973,43.148,39,1,131
256,2048,8192,8,8,498.542938,17.230,39,1,0,486.842957,17.644,39,1,0,447.750641,19.185,39,1,0
256,3072,2752,8,8,347.871368,12.443,39,1,0,315.100433,13.737,21,1,0,307.745148,14.065,39,1,0
256,2048,2752,8,8,217.630890,13.260,39,1,0,178.668457,16.151,39,1,0,174.579971,16.529,21,1,0
256,16384,2752,8,8,455.758606,50.653,39,1,131,442.926117,52.120,39,1,131,427.325989,54.023,39,1,131
256,2048,10944,8,8,436.428101,26.294,39,1,0,403.244049,28.458,39,1,0,397.407959,28.876,39,1,0
256,3072,3072,8,8,244.273056,19.780,39,1,0,241.229111,20.030,21,1,0,232.171356,20.812,39,1,0
256,2048,3072,8,8,228.199341,14.116,39,1,0,177.636932,18.134,39,1,0,171.844894,18.745,21,1,0
256,16384,3072,8,8,494.131805,52.152,39,1,131,484.616364,53.176,39,1,131,461.832367,55.799,39,1,131
256,2048,12288,8,8,566.670166,22.738,39,1,0,552.654724,23.315,39,1,0,484.645508,26.586,39,1,0
256,3072,3296,8,8,234.172180,22.138,39,1,0,221.724182,23.381,21,1,0,213.749451,24.253,21,1,0
256,2048,3296,8,8,286.770020,12.052,39,1,0,220.938004,15.643,39,1,0,213.360977,16.198,21,1,0
256,16384,3296,8,8,514.179077,53.773,39,1,131,481.319733,57.444,39,1,131,468.398529,59.028,39,1,131
256,2048,13120,8,8,471.079041,29.204,39,1,0,465.045715,29.583,39,1,0,461.461731,29.812,39,1,0
1024,3072,2048,8,8,655.680176,19.651,39,1,0,650.174683,19.818,39,1,0,628.124939,20.513,39,1,0
1024,2048,2048,8,8,423.787476,20.269,39,1,131,393.866028,21.809,39,1,0,386.338104,22.234,39,1,0
1024,16384,2048,8,8,667.600464,102.935,39,1,131,650.130005,105.701,39,1,131,630.552002,108.983,39,1,131
1024,2048,8192,8,8,796.249084,43.152,39,1,131,669.373352,51.331,39,1,0,658.446472,52.183,39,4294967295,0
1024,3072,2752,8,8,730.281067,23.709,39,1,0,708.608582,24.434,39,1,0,685.014038,25.276,39,1,0
1024,2048,2752,8,8,457.614655,25.224,39,1,0,440.653473,26.195,39,1,131,436.314758,26.455,39,1,131
1024,16384,2752,8,8,693.730103,133.109,39,1,131,661.040771,139.692,39,1,131,650.933960,141.860,39,1,131
1024,2048,10944,8,8,828.607422,55.397,39,4294967295,6554239,768.401489,59.738,39,4294967295,6554239,735.126282,62.442,39,4294967295,7340583
1024,3072,3072,8,8,653.983398,29.553,39,1,0,605.554199,31.917,39,1,0,581.129761,33.258,39,1,0
1024,2048,3072,8,8,470.972473,27.358,39,1,0,444.841980,28.965,39,1,131,443.929779,29.025,39,1,131
1024,16384,3072,8,8,746.082397,138.161,39,1,131,733.603882,140.511,39,1,131,718.129089,143.539,39,1,131
1024,2048,12288,8,8,884.611816,58.262,39,4294967295,6554239,848.074768,60.772,39,4294967295,6554239,788.256348,65.384,39,4294967295,7340583
1024,3072,3296,8,8,660.288147,31.405,39,1,0,586.900146,35.332,39,1,0,583.980713,35.509,39,1,0
1024,2048,3296,8,8,550.700256,25.103,39,1,131,524.517151,26.356,39,1,0,484.776398,28.517,39,1,0
1024,16384,3296,8,8,727.276794,152.068,39,1,131,707.742859,156.265,39,1,131,680.325195,162.563,39,1,131
1024,2048,13120,8,8,861.693542,63.862,39,4294967295,6554239,826.849365,66.553,39,4294967295,6554239,724.026611,76.004,39,4294967295,7340583
