# GPU: NVIDIA H100 PCIe
# CC: cc90
# Model: Llama3.2-3B-FP8
# alg_count: 8, config_count: 8
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol, dtype: fp8e4m3, outdtype: bf16, warmup=10, repeat=50, verify=False
# M_list: [256, 1024, 4096, 16384, 32768]
# NK_list: [(5120, 3072), (3072, 3072), (16384, 3072), (3072, 8192), (5120, 4096), (3072, 4096), (16384, 4096), (3072, 10944), (5120, 4608), (3072, 4608), (16384, 4608), (3072, 12288), (5120, 4928), (3072, 4928), (16384, 4928), (3072, 13120)]
M,N,K,alg_count,config_count,tops_1,lat_us_1,alg_id_1,split_k_1,workspace_1,tops_2,lat_us_2,alg_id_2,split_k_2,workspace_2,tops_3,lat_us_3,alg_id_3,split_k_3,workspace_3
256,5120,3072,8,8,724.112976,11.121,66,1,0,700.178772,11.501,66,1,0,654.746155,12.300,66,1,0
256,3072,3072,8,8,454.092834,10.641,66,1,0,440.475342,10.970,66,1,0,435.068665,11.106,66,1,0
256,16384,3072,8,8,610.598694,42.204,66,1,0,593.183838,43.443,66,1,4,537.867737,47.911,66,1,4
256,3072,8192,8,8,699.512146,18.420,66,1,0,697.476501,18.474,66,1,0,668.126587,19.285,66,1,0
256,5120,4096,8,8,771.082642,13.925,66,1,0,762.982300,14.073,66,1,0,694.162598,15.468,66,1,0
256,3072,4096,8,8,471.689697,13.658,66,1,0,444.351074,14.499,66,1,0,438.467194,14.693,66,1,0
256,16384,4096,8,8,646.988342,53.107,66,1,0,630.130188,54.528,66,1,4,574.869812,59.770,66,1,4
256,3072,10944,8,8,671.341980,25.640,66,1,0,669.703796,25.703,66,1,0,633.995117,27.151,66,1,0
256,5120,4608,8,8,701.988647,17.208,66,1,0,683.111450,17.683,66,1,0,624.668762,19.338,66,1,0
256,3072,4608,8,8,584.737976,12.395,66,1,0,570.193848,12.711,66,1,0,542.392883,13.363,66,1,0
256,16384,4608,8,8,657.435913,58.796,66,1,0,628.373230,61.516,66,1,4,544.258301,71.023,66,1,4
256,3072,12288,8,8,628.333984,30.760,66,1,0,626.951233,30.828,66,1,0,609.403442,31.715,66,1,0
256,5120,4928,8,8,526.668274,24.529,66,1,0,475.603516,27.162,66,1,0,473.761627,27.268,66,1,0
256,3072,4928,8,8,402.949585,19.236,66,1,0,400.325684,19.362,66,1,0,396.317047,19.558,66,1,0
256,16384,4928,8,8,686.691711,60.200,66,1,0,665.817444,62.088,66,1,4,643.509705,64.240,66,1,4
256,3072,13120,8,8,625.982117,32.966,66,1,0,624.019531,33.069,66,1,0,603.193604,34.211,66,1,0
1024,5120,3072,8,8,830.829407,38.771,66,1,4,830.747192,38.775,66,1,4,818.320923,39.364,66,1,4
1024,3072,3072,8,8,839.723877,23.016,66,1,0,814.296265,23.735,66,1,0,809.515869,23.875,66,1,0
1024,16384,3072,8,8,835.804932,123.329,66,1,4,829.468750,124.271,66,1,4,805.515808,127.967,66,1,4
1024,3072,8192,8,8,895.451477,57.557,66,1,0,865.557861,59.545,66,1,0,842.934937,61.143,66,1,0
1024,5120,4096,8,8,837.290833,51.296,66,1,4,836.185059,51.364,66,1,4,824.271240,52.106,66,1,4
1024,3072,4096,8,8,879.136230,29.313,66,1,0,859.873962,29.969,66,1,0,851.293213,30.271,66,1,0
1024,16384,4096,8,8,812.179443,169.222,66,1,4,810.876099,169.494,66,1,4,748.343323,183.658,66,1,4
1024,3072,10944,8,8,848.948914,81.105,66,1,0,828.709473,83.085,66,1,0,820.712219,83.895,66,1,0
1024,5120,4608,8,8,844.358521,57.225,66,1,4,836.046204,57.794,66,1,4,821.178162,58.840,66,1,4
1024,3072,4608,8,8,882.546814,32.849,66,1,0,863.486206,33.574,66,1,0,847.064758,34.225,66,1,0
1024,16384,4608,8,8,764.746765,202.183,66,1,4,761.010437,203.176,66,1,4,679.468750,227.558,66,1,4
1024,3072,12288,8,8,856.441589,90.268,66,1,0,833.713806,92.729,66,1,0,832.346558,92.881,66,1,0
