# GPU: NVIDIA H100 PCIe
# CC: cc90
# Model: Qwen2.5-7B-FP8
# alg_count: 8, config_count: 8
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol, dtype: fp8e4m3, outdtype: bf16, warmup=10, repeat=50, verify=False
# M_list: [256, 1024, 4096, 16384, 32768]
# NK_list: [(4608, 3584), (3584, 3584), (37888, 3584), (3584, 18944), (4608, 4800), (3584, 4800), (37888, 4800), (3584, 25280), (4608, 5376), (3584, 5376), (37888, 5376), (3584, 28416), (4608, 5760), (3584, 5760), (37888, 5760), (3584, 30336)]
M,N,K,alg_count,config_count,tops_1,lat_us_1,alg_id_1,split_k_1,workspace_1,tops_2,lat_us_2,alg_id_2,split_k_2,workspace_2,tops_3,lat_us_3,alg_id_3,split_k_3,workspace_3
256,4608,3584,8,8,690.321228,12.249,66,1,0,687.662354,12.296,66,1,0,620.867310,13.619,66,1,0
256,3584,3584,8,8,604.935852,10.872,66,1,0,555.521973,11.839,66,1,0,550.699097,11.942,66,1,0
256,37888,3584,8,8,648.397278,107.226,66,1,4,613.652649,113.297,66,1,4,593.039978,117.235,66,1,4
256,3584,18944,8,8,668.474609,52.003,66,1,0,664.784790,52.291,66,1,0,656.794373,52.927,66,1,0
256,4608,4800,8,8,405.507385,27.927,66,1,0,405.377319,27.936,66,1,0,362.492737,31.241,66,1,0
256,3584,4800,8,8,403.074005,21.852,66,1,0,402.543549,21.881,66,1,0,398.637451,22.095,66,1,0
256,37888,4800,8,8,691.669617,134.621,66,1,4,690.641846,134.822,66,1,4,687.440552,135.450,66,1,4
256,3584,25280,8,8,665.334045,69.723,66,1,0,654.017700,70.929,66,1,0,646.867676,71.713,66,1,0
256,4608,5376,8,8,761.238708,16.662,66,1,0,760.712646,16.673,66,1,0,705.797485,17.971,66,1,0
256,3584,5376,8,8,415.014893,23.770,66,1,0,384.084198,25.684,66,1,0,368.942932,26.739,66,1,0
256,37888,5376,8,8,721.321533,144.578,66,1,4,717.630249,145.322,66,1,4,715.855347,145.682,66,1,4
256,3584,28416,8,8,678.726746,76.826,66,1,0,675.093628,77.239,66,1,0,670.002808,77.826,66,1,0
256,4608,5760,8,8,720.224670,18.868,66,1,0,717.668701,18.936,66,1,0,639.337158,21.256,66,1,0
256,3584,5760,8,8,619.307495,17.067,66,1,0,570.370300,18.531,66,1,0,564.521362,18.723,66,1,0
256,37888,5760,8,8,717.429565,155.745,66,1,4,685.314209,163.044,66,1,4,681.257507,164.015,66,1,4
256,3584,30336,8,8,681.677917,81.661,66,1,0,650.439575,85.583,66,1,0,625.130310,89.048,66,2,7340048
1024,4608,3584,8,8,845.571716,40.000,66,1,4,832.950806,40.606,66,1,4,818.730530,41.311,66,1,4
