# GPU: NVIDIA GeForce RTX 4090
# CC: cc89
# Model: Llama3.2-3B-FP8
# alg_count: 8, config_count: 8
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol, dtype: fp8e4m3, outdtype: bf16, warmup=10, repeat=50, verify=False
# M_list: [256, 1024, 4096, 16384, 32768]
# NK_list: [(5120, 3072), (3072, 3072), (16384, 3072), (3072, 8192), (5120, 4096), (3072, 4096), (16384, 4096), (3072, 10944), (5120, 4608), (3072, 4608), (16384, 4608), (3072, 12288), (5120, 4928), (3072, 4928), (16384, 4928), (3072, 13120)]
M,N,K,alg_count,config_count,tops_1,lat_us_1,alg_id_1,split_k_1,workspace_1,tops_2,lat_us_2,alg_id_2,split_k_2,workspace_2,tops_3,lat_us_3,alg_id_3,split_k_3,workspace_3
256,5120,3072,8,8,212.219391,37.947,35,1,0,200.518097,40.161,35,2,5244319,198.995956,40.468,35,2,5245599
256,3072,3072,8,8,200.791153,24.064,35,1,0,200.791153,24.064,35,1,0,199.602020,24.207,35,1,0
256,16384,3072,8,8,304.229034,84.705,35,1,0,301.748474,85.402,35,1,0,300.882629,85.647,35,1,0
256,3072,8192,8,8,248.969376,51.753,35,2,3147423,230.543335,55.889,35,6,3146655,228.292496,56.440,35,6,3147423
256,5120,4096,8,8,234.266296,45.834,35,1,0,223.386459,48.067,35,2,5244319,222.642365,48.227,35,5,5244319
256,3072,4096,8,8,210.275940,30.638,35,2,3147423,210.135468,30.659,35,1,0,206.548126,31.191,35,1,0
256,16384,4096,8,8,303.665192,113.150,35,1,0,292.796082,117.350,35,1,0,291.828461,117.740,35,1,0
256,3072,10944,8,8,252.174973,68.260,35,2,3147423,251.495865,68.444,35,6,3146655,237.764984,72.397,35,6,3147423
256,5120,4608,8,8,241.147430,50.092,35,1,0,227.292496,53.146,35,2,5244319,224.951950,53.699,35,2,5245599
256,3072,4608,8,8,215.133392,33.690,35,2,3147423,214.888443,33.728,35,1,0,212.804810,34.058,35,1,0
256,16384,4608,8,8,296.254425,130.478,35,1,0,291.856628,132.444,35,1,0,289.173706,133.673,35,1,0
256,3072,12288,8,8,258.058105,74.895,35,6,3146655,249.727036,77.394,35,2,3147423,245.888092,78.602,35,6,3147423
256,5120,4928,8,8,237.226028,54.456,35,1,0,228.131638,56.627,35,2,5244319,223.523743,57.795,35,5,5244319
256,3072,4928,8,8,218.516403,35.471,35,2,3147423,214.917877,36.065,35,1,0,214.430817,36.147,35,1,0
256,16384,4928,8,8,276.621735,149.443,35,1,0,271.633514,152.187,35,1,0,269.781982,153.231,35,1,0
256,3072,13120,8,8,254.191742,81.183,35,6,3146655,249.842789,82.596,35,2,3147423,243.915756,84.603,35,6,3147423
1024,5120,3072,8,8,297.609100,108.237,35,1,0,295.873596,108.872,35,1,0,271.839630,118.497,35,1,0
1024,3072,3072,8,8,300.547272,64.307,35,1,0,299.783478,64.471,35,1,0,268.559601,71.967,35,1,0
1024,16384,3072,8,8,304.984833,337.981,35,1,0,299.932343,343.675,35,1,0,288.897064,356.803,35,1,0
1024,3072,8192,8,8,317.109680,162.529,35,1,0,315.203186,163.512,35,1,0,276.608337,186.327,35,5,12586143
1024,5120,4096,8,8,311.473663,137.892,35,1,0,311.104004,138.056,35,1,0,275.977356,155.628,35,1,0
1024,3072,4096,8,8,306.675903,84.029,35,1,0,304.233643,84.704,35,1,0,273.720093,94.147,35,1,0
1024,16384,4096,8,8,307.937683,446.321,35,1,0,297.560669,461.885,35,1,0,294.815552,466.186,35,1,0
1024,3072,10944,8,8,318.642487,216.084,35,1,0,317.139587,217.108,35,1,0,285.108246,241.500,35,1,0
1024,5120,4608,8,8,314.153931,153.805,35,1,0,313.444397,154.153,35,1,0,278.415863,173.548,35,1,0
1024,3072,4608,8,8,307.935120,94.147,35,1,0,307.801178,94.188,35,1,0,278.437744,104.120,35,1,0
1024,16384,4608,8,8,306.004700,505.283,35,1,0,299.997925,515.400,35,1,0,297.292664,520.090,35,1,0
1024,3072,12288,8,8,320.965332,240.865,35,1,0,301.363068,256.532,35,1,0,285.348358,270.930,35,5,12586143
1024,5120,4928,8,8,315.037567,164.024,35,1,0,310.234375,166.564,35,1,0,273.244110,189.112,35,1,0
1024,3072,4928,8,8,309.777283,100.086,35,1,0,309.270996,100.250,35,1,0,275.001221,112.742,35,1,0
1024,16384,4928,8,8,311.762878,530.391,35,1,0,299.482025,552.141,35,1,0,296.992401,556.769,35,1,0
1024,3072,13120,8,8,312.052063,264.520,35,1,0,295.445251,279.388,35,1,0,280.282623,294.502,35,5,12586143
4096,5120,3072,8,8,313.819641,410.583,35,1,0,311.828705,413.204,35,1,0,301.228394,427.745,35,1,0
4096,3072,3072,8,8,318.071594,243.057,35,1,0,317.563202,243.446,35,1,0,302.837830,255.283,35,1,0
4096,16384,3072,8,8,311.140503,1325.179,35,1,0,309.096039,1333.944,35,1,0,308.329102,1337.262,35,1,0
4096,3072,8192,8,8,318.383820,647.515,35,1,0,316.531342,651.305,35,1,0,313.652069,657.284,35,1,0
4096,5120,4096,8,8,316.467651,542.863,35,1,0,315.254517,544.952,35,1,0,305.496094,562.360,35,1,0
4096,3072,4096,8,8,319.870636,322.253,35,1,0,317.750305,324.403,35,1,0,304.541962,338.473,35,1,0
4096,16384,4096,8,8,305.307434,1800.663,35,1,0,305.068054,1802.076,35,1,0,303.622223,1810.657,35,1,0
4096,3072,10944,8,8,313.567932,878.326,35,1,0,309.961426,888.545,35,1,0,306.060364,899.871,35,1,0
4096,5120,4608,8,8,318.425751,606.966,35,1,0,306.481689,630.620,35,1,0,305.964996,631.685,35,1,0
4096,3072,4608,8,8,320.630829,361.675,35,1,0,313.163574,370.299,35,1,0,303.316406,382.321,35,1,0
4096,16384,4608,8,8,306.878448,2015.375,35,1,0,304.557312,2030.735,35,1,0,303.858612,2035.405,35,1,0
4096,3072,12288,8,8,316.001404,978.596,35,1,0,313.814423,985.416,35,1,0,309.505066,999.136,35,1,0
4096,5120,4928,8,8,315.697845,654.725,35,1,0,310.177124,666.378,35,1,0,302.380219,683.561,35,1,0
4096,3072,4928,8,8,320.313477,387.174,35,1,0,309.460663,400.753,35,1,0,305.341187,406.159,35,1,0
4096,16384,4928,8,8,305.057556,2168.197,35,1,0,302.087219,2189.517,35,1,0,300.767761,2199.122,35,1,0
4096,3072,13120,8,8,315.928986,1045.094,35,1,0,313.380432,1053.594,35,1,0,308.688141,1069.609,35,1,0
16384,5120,3072,8,8,311.763031,1653.166,35,1,0,310.896454,1657.774,35,1,0,309.710327,1664.123,35,1,0
16384,3072,3072,8,8,312.269806,990.290,35,1,0,307.600525,1005.322,35,1,0,306.781830,1008.005,35,1,0
16384,16384,3072,8,8,310.637634,5309.297,35,1,0,300.951233,5480.182,35,1,0,297.925079,5535.846,35,1,0
16384,3072,8192,8,8,310.756287,2653.635,35,1,0,305.137390,2702.500,35,1,0,302.871979,2722.714,35,1,0
16384,5120,4096,8,8,302.632996,2270.720,35,1,0,298.651886,2300.989,35,1,0,296.574432,2317.107,35,1,0
16384,3072,4096,8,8,304.694061,1353.216,35,1,0,304.454468,1354.281,35,1,0,303.508942,1358.500,35,1,0
16384,16384,4096,8,8,305.699463,7193.416,35,1,0,299.347595,7346.053,35,1,0,297.964478,7380.152,35,1,0
16384,3072,10944,8,8,313.816711,3510.518,35,1,0,300.490295,3666.205,35,1,0,299.343079,3680.256,35,1,0
16384,5120,4608,8,8,305.190704,2533.151,35,1,0,295.880554,2612.859,35,1,0,290.687958,2659.533,35,1,0
16384,3072,4608,8,8,305.818756,1516.769,35,1,0,301.672119,1537.618,35,1,0,296.638550,1563.709,35,1,0
16384,16384,4608,8,8,309.263763,7999.324,35,1,0,298.930328,8275.846,35,1,0,295.258698,8378.758,35,1,0
16384,3072,12288,8,8,310.499115,3983.749,35,1,0,305.612946,4047.442,35,1,0,296.591888,4170.547,35,1,0
16384,5120,4928,8,8,305.173462,2709.217,35,1,0,300.440399,2751.897,35,1,0,291.607727,2835.251,35,1,0
16384,3072,4928,8,8,304.619263,1628.488,35,1,0,303.003571,1637.171,35,1,0,293.825653,1688.310,35,1,0
16384,16384,4928,8,8,307.343811,8608.274,35,1,0,301.227814,8783.053,35,1,0,298.188660,8872.570,35,1,0
16384,3072,13120,8,8,309.339661,4269.425,35,1,0,309.081696,4272.988,35,1,0,301.433319,4381.408,35,1,0
32768,5120,3072,8,8,310.046082,3324.642,35,1,0,301.703339,3416.575,35,1,0,295.340820,3490.178,35,1,0
32768,3072,3072,8,8,297.093781,2081.751,35,1,0,296.816406,2083.697,35,1,0,294.311310,2101.432,35,1,0
32768,16384,3072,8,8,303.927643,10853.027,35,1,0,297.929443,11071.530,35,1,0,297.317322,11094.324,35,1,0
32768,3072,8192,8,8,308.619843,5344.010,35,1,0,307.373535,5365.678,35,1,0,296.760223,5557.576,35,1,0
32768,5120,4096,8,8,306.051666,4490.711,35,1,0,300.237854,4577.669,35,1,0,298.264282,4607.959,35,1,0
32768,3072,4096,8,8,306.785706,2687.979,35,1,0,303.790588,2714.481,35,1,0,298.118073,2766.131,35,1,0
32768,16384,4096,8,8,304.095612,14462.710,35,1,0,299.469055,14686.146,35,1,0,295.898926,14863.340,35,1,0
32768,3072,10944,8,8,312.484985,7050.957,35,1,0,303.170258,7267.594,35,1,0,297.537476,7405.179,35,1,0
32768,5120,4608,8,8,306.826691,5039.289,35,1,0,299.323517,5165.609,35,1,0,298.491577,5180.006,35,1,0
32768,3072,4608,8,8,305.071106,3040.973,35,1,0,301.489410,3077.100,35,1,0,291.858490,3178.639,35,1,0
32768,16384,4608,8,8,305.037201,16220.324,35,1,0,299.812866,16502.969,35,1,0,295.882507,16722.186,35,1,0
32768,3072,12288,8,8,310.695557,7962.460,35,1,0,303.342804,8155.464,35,1,0,299.152466,8269.700,35,1,0
32768,5120,4928,8,8,309.488739,5342.884,35,1,0,300.859100,5496.136,35,1,0,294.419250,5616.353,35,1,0
32768,3072,4928,8,8,303.033905,3274.015,35,1,0,300.692169,3299.512,35,1,0,300.643616,3300.045,35,1,0
32768,16384,4928,8,8,305.112000,17342.482,35,1,0,300.359039,17616.916,35,1,0,296.453674,17848.994,35,1,0
32768,3072,13120,8,8,311.047424,8491.969,35,1,0,304.586792,8672.093,35,1,0,297.175049,8888.381,35,1,0
