# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: Llama3.2-3B-INT8
# alg_count: 1, config_count: 1
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol, dtype: int8, outdtype: int32, warmup=10, repeat=50, verify=False
# M_list: [256, 1024, 4096, 16384, 32768]
# NK_list: [(5120, 3072), (3072, 3072), (16384, 3072), (3072, 8192), (5120, 4096), (3072, 4096), (16384, 4096), (3072, 10944), (5120, 4608), (3072, 4608), (16384, 4608), (3072, 12288), (5120, 4928), (3072, 4928), (16384, 4928), (3072, 13120)]
M,N,K,alg_count,config_count,tops_1,lat_us_1,alg_id_1,split_k_1,workspace_1,tops_2,lat_us_2,alg_id_2,split_k_2,workspace_2,tops_3,lat_us_3,alg_id_3,split_k_3,workspace_3
256,5120,3072,1,1,337.397797,23.868,21,1,0,,,,,,,,,,
256,3072,3072,1,1,196.270660,24.618,21,1,0,,,,,,,,,,
256,16384,3072,1,1,196.772308,130.963,21,2,33554432,,,,,,,,,,
256,3072,8192,1,1,261.663605,49.242,21,3,9437184,,,,,,,,,,
256,5120,4096,1,1,349.038116,30.763,21,1,0,,,,,,,,,,
256,3072,4096,1,1,213.382706,30.192,21,1,0,,,,,,,,,,
256,16384,4096,1,1,168.591400,203.805,21,3,50331648,,,,,,,,,,
256,3072,10944,1,1,290.315338,59.292,21,3,9437184,,,,,,,,,,
256,5120,4608,1,1,350.551056,34.459,21,1,0,,,,,,,,,,
256,3072,4608,1,1,220.856171,32.817,21,1,0,,,,,,,,,,
256,16384,4608,1,1,180.106979,214.621,21,3,50331648,,,,,,,,,,
256,3072,12288,1,1,304.391541,63.495,21,3,9437184,,,,,,,,,,
256,5120,4928,1,1,362.324310,35.654,21,1,0,,,,,,,,,,
256,3072,4928,1,1,222.396606,34.852,21,1,0,,,,,,,,,,
256,16384,4928,1,1,166.613647,248.113,21,3,50331648,,,,,,,,,,
256,3072,13120,1,1,314.296844,65.658,21,3,9437184,,,,,,,,,,
1024,5120,3072,1,1,372.047119,86.581,21,1,0,,,,,,,,,,
1024,3072,3072,1,1,291.352600,66.337,21,1,0,,,,,,,,,,
