# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: Qwen2.5-7B-FP8
# alg_count: 8, config_count: 8
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol, dtype: fp8e4m3, outdtype: bf16, warmup=10, repeat=50, verify=False
# M_list: [256, 1024, 4096, 16384, 32768]
# NK_list: [(4608, 3584), (3584, 3584), (37888, 3584), (3584, 18944), (4608, 4800), (3584, 4800), (37888, 4800), (3584, 25280), (4608, 5376), (3584, 5376), (37888, 5376), (3584, 28416), (4608, 5760), (3584, 5760), (37888, 5760), (3584, 30336)]
M,N,K,alg_count,config_count,tops_1,lat_us_1,alg_id_1,split_k_1,workspace_1,tops_2,lat_us_2,alg_id_2,split_k_2,workspace_2,tops_3,lat_us_3,alg_id_3,split_k_3,workspace_3
256,4608,3584,8,8,187.511475,45.094,35,1,0,187.492828,45.099,35,1,0,187.415695,45.117,35,1,0
256,3584,3584,8,8,178.156113,36.915,35,1,0,177.974060,36.953,35,1,0,168.523285,39.025,35,2,3671071
256,37888,3584,8,8,215.703690,322.316,35,1,0,213.101364,326.252,35,1,0,212.021652,327.914,35,1,0
256,3584,18944,7,8,209.501678,165.929,35,6,3671071,196.284470,177.102,35,4,3671071,193.090775,180.031,35,1,0
256,4608,4800,8,8,197.085388,57.460,35,4,4719903,190.511612,59.443,35,1,0,190.482910,59.452,35,1,0
256,3584,4800,8,8,184.023438,47.864,35,1,0,180.905396,48.689,35,5,3671967,178.869293,49.243,35,3,3670623
256,37888,4800,8,8,219.327698,424.541,35,1,0,213.500183,436.129,35,1,0,207.998138,447.665,35,1,0
256,3584,25280,8,8,200.671692,231.169,35,21,3671071,197.373947,235.031,35,1,0,194.446396,238.570,35,4,3670623
256,4608,5376,8,8,201.712860,62.879,35,4,4719903,193.390579,65.585,35,1,0,193.262344,65.629,35,1,0
256,3584,5376,8,8,184.962875,53.335,35,1,0,184.612869,53.436,35,5,3671967,180.477814,54.660,35,3,3670623
256,37888,5376,8,8,222.034851,469.688,35,1,0,213.231186,489.080,35,1,0,207.873764,501.685,35,1,0
256,3584,28416,8,8,200.327896,260.291,35,42,3670623,199.112289,261.880,35,1,0,198.824631,262.259,35,21,3671071
256,4608,5760,8,8,200.853821,67.659,35,4,4719903,194.952713,69.707,35,1,0,194.918701,69.719,35,1,0
256,3584,5760,8,8,184.202820,57.380,35,5,3671967,184.145309,57.398,35,1,0,184.120667,57.406,35,3,3670623
256,37888,5760,8,8,221.816650,503.733,35,1,0,212.690292,525.347,35,1,0,208.632553,535.565,35,1,0
256,3584,30336,8,8,202.832825,274.447,35,21,3671071,199.669830,278.794,35,1,0,198.903229,279.869,35,42,3670623
1024,4608,3584,8,8,230.593018,146.678,35,1,0,229.915863,147.110,35,1,0,226.079010,149.606,35,1,0
1024,3584,3584,8,8,221.234055,118.909,35,1,0,217.592941,120.899,35,1,0,214.086487,122.879,35,3,14683807
1024,37888,3584,8,8,232.875275,1194.198,35,1,0,232.444733,1196.410,35,1,0,228.623169,1216.408,35,1,0
1024,3584,18944,7,8,227.028046,612.477,35,6,14683807,221.289764,628.360,35,4,14683807,218.668808,635.891,35,1,0
1024,4608,4800,8,8,230.280075,196.710,35,1,0,221.052750,204.922,35,2,18876831,216.687073,209.050,35,1,0
1024,3584,4800,8,8,217.133301,162.260,35,1,0,212.389267,165.885,35,4,14683807,208.804428,168.733,35,1,0
1024,37888,4800,8,8,231.252579,1610.595,35,1,0,229.804398,1620.744,35,1,0,223.623795,1665.539,35,2,155208351
1024,3584,25280,8,8,224.222107,827.555,35,3,14682015,219.378983,845.824,35,1,0,214.063995,866.825,35,1,0
1024,4608,5376,8,8,231.638763,219.023,35,1,0,225.094894,225.391,35,2,18876831,223.199890,227.304,35,1,0
1024,3584,5376,8,8,218.882980,180.279,35,1,0,216.486679,182.275,35,4,14683807,209.355591,188.483,35,1,0
1024,37888,5376,8,8,232.920044,1790.952,35,1,0,231.384415,1802.838,35,1,0,229.044144,1821.259,35,2,155208351
1024,3584,28416,8,8,226.288269,921.720,35,3,14682015,220.970337,943.902,35,1,0,214.161743,973.910,35,1,0
1024,4608,5760,8,8,230.824524,235.496,35,1,0,226.041534,240.479,35,2,18876831,221.060226,245.898,35,1,0
1024,3584,5760,8,8,219.392120,192.708,35,1,0,213.025543,198.467,35,4,14683807,210.638672,200.716,35,5,14687391
1024,37888,5760,8,8,232.328827,1923.761,35,1,0,231.574265,1930.029,35,1,0,227.482986,1964.740,35,2,155208351
1024,3584,30336,8,8,226.549362,982.864,35,3,14682015,220.238739,1011.027,35,1,0,214.189163,1039.582,35,1,0
4096,4608,3584,8,8,235.405960,574.716,35,1,0,235.345718,574.863,35,1,0,234.042114,578.065,35,1,0
4096,3584,3584,8,8,232.253571,453.068,35,1,0,231.347351,454.843,35,1,0,231.283905,454.968,35,1,0
4096,37888,3584,7,8,238.753906,4659.176,35,1,0,237.460739,4684.549,35,1,0,232.924805,4775.775,35,1,0
4096,3584,18944,8,8,234.393600,2372.924,35,1,0,233.363174,2383.402,35,1,0,231.455154,2403.050,35,1,0
4096,4608,4800,8,8,231.950684,781.174,35,1,0,230.870834,784.828,35,1,0,227.543686,796.304,35,2,75506847
4096,3584,4800,8,8,231.938690,607.612,35,1,0,227.875107,618.447,35,1,0,224.084808,628.907,35,2,58727583
4096,37888,4800,4,8,240.594650,6192.228,35,1,0,234.084366,6364.444,35,1,0,215.386002,6916.962,35,1,0
4096,3584,25280,8,8,234.511124,3164.984,35,1,0,233.656418,3176.562,35,1,0,231.023300,3212.767,35,1,0
4096,4608,5376,8,8,233.686111,868.418,35,1,0,231.945450,874.935,35,1,0,231.402115,876.989,35,2,75506847
4096,3584,5376,8,8,232.451126,679.025,35,1,0,227.850632,692.735,35,1,0,227.239914,694.596,35,2,58727583
4096,37888,5376,4,8,238.360886,7000.288,35,1,0,233.873825,7134.594,35,1,0,216.242584,7716.310,35,1,0
4096,3584,28416,8,8,233.785477,3568.645,35,1,0,230.018387,3627.090,35,1,0,229.300262,3638.449,35,1,0
4096,4608,5760,8,8,233.190750,932.424,35,1,0,231.786728,938.072,35,2,75506847,231.310623,940.003,35,1,0
4096,3584,5760,8,8,232.578400,727.128,35,1,0,229.398895,737.206,35,1,0,228.605820,739.764,35,2,58727583
4096,37888,5760,4,8,238.557907,7494.114,35,1,0,235.212112,7600.714,35,1,0,216.356415,8263.125,35,1,0
4096,3584,30336,8,8,233.640091,3812.140,35,1,0,231.934113,3840.180,35,1,0,229.521530,3880.546,35,1,0
16384,4608,3584,8,8,241.028519,2245.236,35,1,0,241.009232,2245.416,35,1,0,230.589249,2346.883,35,1,0
16384,3584,3584,8,8,239.550888,1757.066,35,1,0,238.022400,1768.349,35,1,0,230.047073,1829.655,35,1,0
16384,37888,3584,7,8,240.456329,18504.758,35,1,0,239.201828,18601.807,35,1,0,228.356567,19485.256,35,1,0
16384,3584,18944,8,8,240.031799,9268.743,35,1,0,235.314377,9454.557,35,1,0,228.338226,9743.410,35,1,0
16384,4608,4800,8,8,240.261810,3016.608,35,1,0,230.218781,3148.204,35,1,0,212.686096,3407.725,35,1,0
16384,3584,4800,8,8,238.713364,2361.470,35,1,0,227.725769,2475.409,35,1,0,212.966949,2646.958,35,1,0
16384,37888,4800,4,8,240.827713,24744.939,35,1,0,228.190247,26115.346,35,1,0,213.425232,27922.037,35,1,0
16384,3584,25280,8,8,239.650833,12388.424,35,1,0,233.513779,12714.009,35,1,0,227.858994,13029.532,35,1,0
16384,4608,5376,8,8,239.943100,3383.089,35,1,0,229.989395,3529.505,35,1,0,213.747742,3797.695,35,1,0
16384,3584,5376,8,8,238.911804,2642.650,35,1,0,230.482590,2739.297,35,1,0,213.273560,2960.330,35,1,0
16384,37888,5376,4,8,240.943756,27700.984,35,1,0,229.670975,29060.613,35,1,0,213.920013,31200.350,35,1,0
