# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: Qwen2.5-7B-INT8
# alg_count: 1, config_count: 1
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol, dtype: int8, outdtype: int32, warmup=10, repeat=50, verify=False
# M_list: [256, 1024, 4096, 16384, 32768]
# NK_list: [(4608, 3584), (3584, 3584), (37888, 3584), (3584, 18944), (4608, 4800), (3584, 4800), (37888, 4800), (3584, 25280), (4608, 5376), (3584, 5376), (37888, 5376), (3584, 28416), (4608, 5760), (3584, 5760), (37888, 5760), (3584, 30336)]
M,N,K,alg_count,config_count,tops_1,lat_us_1,alg_id_1,split_k_1,workspace_1,tops_2,lat_us_2,alg_id_2,split_k_2,workspace_2,tops_3,lat_us_3,alg_id_3,split_k_3,workspace_3
256,4608,3584,1,1,317.147736,26.662,21,1,0,,,,,,,,,,
256,3584,3584,1,1,246.694168,26.659,21,1,0,,,,,,,,,,
256,37888,3584,1,1,168.946564,411.519,21,2,77594624,,,,,,,,,,
256,3584,18944,1,1,319.938263,108.653,21,3,11010048,,,,,,,,,,
256,4608,4800,1,1,324.572510,34.891,21,1,0,,,,,,,,,,
256,3584,4800,1,1,252.885986,34.830,21,1,0,,,,,,,,,,
256,37888,4800,1,1,165.186234,563.688,21,3,116391936,,,,,,,,,,
256,3584,25280,1,1,265.983185,174.406,21,3,11010048,,,,,,,,,,
256,4608,5376,1,1,325.265259,38.995,21,1,0,,,,,,,,,,
256,3584,5376,1,1,267.354706,36.899,21,1,0,,,,,,,,,,
256,37888,5376,1,1,176.931244,589.422,21,3,116391936,,,,,,,,,,
256,3584,28416,1,1,325.811371,160.042,21,3,11010048,,,,,,,,,,
256,4608,5760,1,1,331.139618,41.039,21,1,0,,,,,,,,,,
256,3584,5760,1,1,271.103333,38.988,21,1,0,,,,,,,,,,
256,37888,5760,1,1,186.713867,598.436,21,3,116391936,,,,,,,,,,
256,3584,30336,1,1,326.913971,170.280,21,3,11010048,,,,,,,,,,
1024,4608,3584,1,1,343.799927,98.380,21,1,0,,,,,,,,,,
1024,3584,3584,1,1,337.769440,77.884,21,1,0,,,,,,,,,,
1024,37888,3584,1,1,374.611847,742.366,21,1,0,,,,,,,,,,
1024,3584,18944,1,1,379.270233,366.624,21,1,0,,,,,,,,,,
1024,4608,4800,1,1,340.566345,133.009,21,1,0,,,,,,,,,,
1024,3584,4800,1,1,351.999390,100.092,21,1,0,,,,,,,,,,
1024,37888,4800,1,1,390.957916,952.671,21,1,0,,,,,,,,,,
1024,3584,25280,1,1,284.102600,653.130,21,3,44040192,,,,,,,,,,
1024,4608,5376,1,1,342.993622,147.916,21,1,0,,,,,,,,,,
1024,3584,5376,1,1,357.670227,110.325,21,1,0,,,,,,,,,,
1024,37888,5376,1,1,380.608765,1096.004,21,1,0,,,,,,,,,,
1024,3584,28416,1,1,376.175537,554.460,21,3,44040192,,,,,,,,,,
1024,4608,5760,1,1,344.682770,157.705,21,1,0,,,,,,,,,,
1024,3584,5760,1,1,358.956940,117.782,21,1,0,,,,,,,,,,
1024,37888,5760,1,1,395.559265,1129.907,21,1,0,,,,,,,,,,
1024,3584,30336,1,1,370.473846,601.034,21,3,44040192,,,,,,,,,,
4096,4608,3584,1,1,390.777252,346.211,21,1,0,,,,,,,,,,
4096,3584,3584,1,1,364.425385,288.747,21,1,0,,,,,,,,,,
4096,37888,3584,1,1,373.265381,2980.176,21,1,0,,,,,,,,,,
4096,3584,18944,1,1,399.654083,1391.699,21,1,0,,,,,,,,,,
4096,4608,4800,1,1,379.035370,478.040,21,1,0,,,,,,,,,,
4096,3584,4800,1,1,375.643921,375.165,21,1,0,,,,,,,,,,
