# GPU: NVIDIA GeForce RTX 5080
# CC: cc120
# Model: Llama3.2-1B-FP8
# alg_count: 16, config_count: 16
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: LAYOUT_SEARCH, dtype: fp8e4m3, outdtype: bf16, warmup=5, repeat=30, verify=True
# M_list: [16, 128, 1024, 4096, 16384]
# NK_list: [(3072, 2048), (2048, 2048), (16384, 2048), (2048, 8192)]
M,N,K,layout,tops,lat_us,alg_id,split_k,workspace
16,2048,2048,NN_RC_Col,21.446926,6.258,35,1,0
16,2048,2048,NN_RC_Row,21.435966,6.261,35,1,0
16,2048,2048,NT_RR_Col,21.425016,6.265,35,1,0
16,2048,2048,NT_RR_Row,21.316132,6.297,35,1,0
16,2048,2048,TN_CC_Col,21.319744,6.295,35,1,0
16,2048,2048,TN_CC_Row,21.326969,6.293,35,1,0
16,2048,2048,TT_CR_Col,21.439617,6.260,35,1,0
16,2048,2048,TT_CR_Row,21.421368,6.266,35,1,0
16,2048,8192,NN_RC_Col,40.544266,13.242,35,3,524831
16,2048,8192,NN_RC_Row,32.610893,16.463,35,7,2098591
16,2048,8192,NT_RR_Col,41.201416,13.030,35,3,524831
16,2048,8192,NT_RR_Row,32.623573,16.457,35,7,2098591
16,2048,8192,TN_CC_Col,40.797314,13.159,35,3,524831
16,2048,8192,TN_CC_Row,32.608776,16.464,35,7,2098591
16,2048,8192,TT_CR_Col,42.934105,12.505,35,3,524831
16,2048,8192,TT_CR_Row,32.610893,16.463,35,7,2098591
16,3072,2048,NN_RC_Col,32.126583,6.267,35,1,0
16,3072,2048,NN_RC_Row,24.176210,8.327,35,1,0
16,3072,2048,NT_RR_Col,31.957956,6.300,35,1,0
16,3072,2048,NT_RR_Row,24.179308,8.326,35,1,0
16,3072,2048,TN_CC_Col,32.039330,6.284,35,1,0
16,3072,2048,TN_CC_Row,24.188604,8.323,35,1,0
16,3072,2048,TT_CR_Col,32.121117,6.268,35,1,0
16,3072,2048,TT_CR_Row,24.176210,8.327,35,1,0
16,16384,2048,NN_RC_Col,64.944061,16.533,35,1,0
16,16384,2048,NN_RC_Row,43.445530,24.715,35,1,0
16,16384,2048,NT_RR_Col,64.981796,16.524,35,1,0
16,16384,2048,NT_RR_Row,43.454910,24.709,35,1,0
16,16384,2048,TN_CC_Col,64.931496,16.537,35,1,0
16,16384,2048,TN_CC_Row,43.443657,24.716,35,1,0
16,16384,2048,TT_CR_Col,65.032173,16.511,35,1,0
16,16384,2048,TT_CR_Row,43.563984,24.647,35,1,0
128,2048,2048,NN_RC_Col,128.972824,8.325,35,1,0
128,2048,2048,NN_RC_Row,128.989365,8.324,35,1,0
128,2048,2048,NT_RR_Col,128.479004,8.357,35,1,0
128,2048,2048,NT_RR_Row,128.956314,8.326,35,1,0
128,2048,2048,TN_CC_Col,116.589417,9.210,35,1,0
128,2048,2048,TN_CC_Row,128.956314,8.326,35,1,0
128,2048,2048,TT_CR_Col,128.989365,8.324,35,1,0
128,2048,2048,TT_CR_Row,129.005890,8.323,35,1,0
128,2048,8192,NN_RC_Col,160.803986,26.709,35,5,1049247
128,2048,8192,NN_RC_Row,160.810425,26.708,35,5,1049247
