# GPU: NVIDIA A100 80GB PCIe
# CC: cc80
# Model: Qwen2.5-14B-INT8
# alg_count: 5, config_count: 5
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol_sparse24, dtype: int8, outdtype: bf16, warmup=25, repeat=100, verify=False
# M_list: [64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384, 32768, 65536]
# NK_list: [(7168, 5120), (5120, 5120), (27648, 5120), (5120, 13824), (7168, 6848), (5120, 6848), (27648, 6848), (5120, 18432), (7168, 7680), (5120, 7680), (27648, 7680), (5120, 20736), (7168, 8192), (5120, 8192), (27648, 8192), (5120, 22144)]
M,N,K,alg_count,config_count,tops_1,lat_us_1,alg_id_1,split_k_1,workspace_1,tops_2,lat_us_2,alg_id_2,split_k_2,workspace_2,tops_3,lat_us_3,alg_id_3,split_k_3,workspace_3
64,7168,5120,5,5,248.108170,18.934,2,1,4587520,,,,,,,,,,
64,5120,5120,5,5,152.978531,21.934,2,1,3276800,,,,,,,,,,
64,27648,5120,5,5,268.508667,67.482,2,1,17694720,,,,,,,,,,
64,5120,13824,5,5,170.502213,53.135,2,1,8847360,,,,,,,,,,
64,7168,6848,5,5,198.057068,31.724,2,1,6193152,,,,,,,,,,
64,5120,6848,5,5,151.128281,29.696,2,1,4423680,,,,,,,,,,
64,27648,6848,5,5,273.540100,88.596,2,1,23887872,270.971924,89.436,4,1,23887872,268.695374,90.194,1,1,23887872
64,5120,18432,5,5,179.632706,67.246,2,1,11796480,,,,,,,,,,
64,7168,7680,5,5,189.985626,37.089,2,1,6881280,,,,,,,,,,
64,5120,7680,5,5,168.907211,29.798,2,1,4915200,,,,,,,,,,
64,27648,7680,5,5,283.842163,95.754,2,1,26542080,279.067200,97.393,4,1,26542080,277.346710,97.997,1,1,26542080
64,5120,20736,5,5,186.260208,72.960,2,1,13271040,,,,,,,,,,
64,7168,8192,5,5,195.890915,38.369,2,1,7340032,,,,,,,,,,
64,5120,8192,5,5,170.389343,31.508,2,1,5242880,,,,,,,,,,
64,27648,8192,5,5,288.011719,100.659,2,1,28311552,,,,,,,,,,
64,5120,22144,5,5,190.999451,75.981,2,1,14172160,,,,,,,,,,
128,7168,5120,5,5,355.897583,26.399,1,1,4587520,355.759583,26.409,3,1,4587520,,,,,
128,5120,5120,5,5,322.996552,20.777,2,1,3276800,,,,,,,,,,
128,27648,5120,5,5,497.881836,72.786,0,1,17694720,490.294250,73.912,1,1,17694720,,,,,
128,5120,13824,5,5,338.460602,53.535,2,1,8847360,,,,,,,,,,
128,7168,6848,5,5,335.932526,37.407,3,1,6193152,,,,,,,,,,
128,5120,6848,5,5,328.170715,27.351,2,1,4423680,,,,,,,,,,
128,27648,6848,5,5,516.965698,93.757,0,1,23887872,515.333435,94.054,4,1,23887872,,,,,
128,5120,18432,5,5,350.981232,68.833,2,1,11796480,,,,,,,,,,
128,7168,7680,5,5,347.451630,40.561,3,1,6881280,,,,,,,,,,
128,5120,7680,5,5,328.885925,30.607,2,1,4915200,,,,,,,,,,
128,27648,7680,5,5,536.745789,101.274,0,1,26542080,533.884766,101.816,4,1,26542080,,,,,
128,5120,20736,5,5,363.739594,74.721,2,1,13271040,,,,,,,,,,
128,7168,8192,5,5,351.871155,42.721,3,1,7340032,,,,,,,,,,
128,5120,8192,5,5,329.223236,32.614,2,1,5242880,,,,,,,,,,
128,27648,8192,5,5,539.113647,107.551,0,1,28311552,533.878052,108.605,4,1,28311552,,,,,
128,5120,22144,5,5,367.964661,78.879,2,1,14172160,,,,,,,,,,
256,7168,5120,5,5,449.206390,41.830,4,1,4587520,441.213776,42.588,0,1,4587520,,,,,
256,5120,5120,5,5,472.161377,28.426,3,1,3276800,471.991364,28.436,1,1,3276800,,,,,
256,27648,5120,5,5,718.129883,100.925,0,1,17694720,713.209229,101.622,4,1,17694720,,,,,
256,5120,13824,5,5,550.808411,65.792,3,1,8847360,,,,,,,,,,
256,7168,6848,5,5,452.076477,55.593,4,1,6193152,448.360107,56.054,0,1,6193152,,,,,
256,5120,6848,5,5,490.648743,36.588,3,1,4423680,,,,,,,,,,
256,27648,6848,5,5,741.031250,130.816,4,1,23887872,,,,,,,,,,
256,5120,18432,5,5,570.498352,84.695,3,1,11796480,,,,,,,,,,
256,7168,7680,5,5,469.631805,60.017,0,1,6881280,467.557648,60.283,4,1,6881280,,,,,
256,5120,7680,5,5,504.770233,39.885,3,1,4915200,,,,,,,,,,
256,27648,7680,5,5,755.323853,143.933,0,1,26542080,,,,,,,,,,
256,5120,20736,5,5,569.633667,95.427,3,1,13271040,,,,,,,,,,
256,7168,8192,5,5,481.313568,62.464,0,1,7340032,,,,,,,,,,
256,5120,8192,5,5,516.794495,41.554,3,1,5242880,,,,,,,,,,
256,27648,8192,5,5,804.419678,144.159,0,1,28311552,,,,,,,,,,
256,5120,22144,5,5,559.943115,103.670,3,1,14172160,,,,,,,,,,
512,7168,5120,5,5,503.638855,74.619,1,1,4587520,,,,,,,,,,
512,5120,5120,5,5,636.890137,42.148,4,1,3276800,625.492737,42.916,0,1,3276800,,,,,
512,27648,5120,5,5,782.476074,185.252,4,1,17694720,,,,,,,,,,
512,5120,13824,5,5,708.072083,102.359,4,1,8847360,,,,,,,,,,
512,7168,6848,5,5,512.384827,98.099,1,1,6193152,,,,,,,,,,
512,5120,6848,5,5,634.716858,56.566,4,1,4423680,629.701172,57.016,0,1,4423680,,,,,
512,27648,6848,5,5,779.727844,248.648,4,1,23887872,,,,,,,,,,
512,5120,18432,5,5,699.724426,138.107,4,1,11796480,,,,,,,,,,
512,7168,7680,5,5,513.288940,109.824,1,1,6881280,,,,,,,,,,
512,5120,7680,5,5,659.647705,61.041,0,1,4915200,,,,,,,,,,
512,27648,7680,5,5,794.613586,273.633,4,1,26542080,,,,,,,,,,
512,5120,20736,5,5,709.444214,153.242,4,1,13271040,,,,,,,,,,
512,7168,8192,5,5,516.222046,116.480,1,1,7340032,,,,,,,,,,
512,5120,8192,5,5,667.776428,64.317,0,1,5242880,,,,,,,,,,
512,27648,8192,5,5,802.765991,288.911,4,1,28311552,,,,,,,,,,
512,5120,22144,5,5,726.591125,159.785,4,1,14172160,,,,,,,,,,
1024,7168,5120,5,5,608.777649,123.464,4,1,4587520,,,,,,,,,,
1024,5120,5120,5,5,639.843750,83.907,4,1,3276800,,,,,,,,,,
1024,27648,5120,5,5,760.511230,381.204,4,1,17694720,,,,,,,,,,
1024,5120,13824,5,5,671.813232,215.767,4,1,8847360,,,,,,,,,,
1024,7168,6848,5,5,613.197571,163.942,1,1,6193152,,,,,,,,,,
1024,5120,6848,5,5,653.771423,109.834,1,1,4423680,,,,,,,,,,
1024,27648,6848,5,5,728.275757,532.429,4,1,23887872,725.276794,534.630,0,1,23887872,,,,,
1024,5120,18432,5,5,666.373657,290.038,4,1,11796480,,,,,,,,,,
1024,7168,7680,5,5,619.446777,182.006,4,1,6881280,,,,,,,,,,
1024,5120,7680,5,5,638.234009,126.177,4,1,4915200,625.990601,128.645,0,1,4915200,,,,,
1024,27648,7680,5,5,754.786865,576.143,0,1,26542080,750.704041,579.277,4,1,26542080,,,,,
1024,5120,20736,5,5,668.187561,325.407,4,1,13271040,,,,,,,,,,
1024,7168,8192,5,5,629.168091,191.140,4,1,7340032,,,,,,,,,,
1024,5120,8192,5,5,665.656860,129.044,4,1,5242880,,,,,,,,,,
1024,27648,8192,5,5,760.794800,609.700,4,1,28311552,759.277283,610.918,0,1,28311552,,,,,
1024,5120,22144,5,5,659.074463,352.307,4,1,14172160,647.241394,358.748,0,1,14172160,,,,,
2048,7168,5120,5,5,679.978882,221.071,4,1,4587520,670.016602,224.358,0,1,4587520,,,,,
2048,5120,5120,5,5,812.345825,132.178,4,1,3276800,,,,,,,,,,
2048,27648,5120,5,5,736.589417,787.169,4,1,17694720,726.654602,797.931,0,1,17694720,,,,,
2048,5120,13824,5,5,798.295593,363.162,4,1,8847360,,,,,,,,,,
2048,7168,6848,5,5,666.301941,301.752,4,1,6193152,,,,,,,,,,
2048,5120,6848,5,5,802.190918,179.026,4,1,4423680,,,,,,,,,,
2048,27648,6848,5,5,722.984985,1072.650,4,1,23887872,,,,,,,,,,
2048,5120,18432,5,5,785.957092,491.817,4,1,11796480,,,,,,,,,,
2048,7168,7680,5,5,693.480774,325.151,4,1,6881280,,,,,,,,,,
2048,5120,7680,5,5,817.284485,197.069,4,1,4915200,,,,,,,,,,
2048,27648,7680,5,5,729.716797,1191.875,0,1,26542080,725.137756,1199.401,4,1,26542080,,,,,
