# GPU: NVIDIA B200
# CC: cc100
# Model: Qwen2.5-7B-FP8
# alg_count: 108, config_count: 108
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol_sparse24, dtype: fp8e4m3, outdtype: bf16, warmup=25, repeat=50, verify=False
# M_list: [64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384, 32768, 65536]
# NK_list: [(4608, 3584), (3584, 3584), (37888, 3584), (3584, 18944), (4608, 4800), (3584, 4800), (37888, 4800), (3584, 25280), (4608, 5376), (3584, 5376), (37888, 5376), (3584, 28416), (4608, 5760), (3584, 5760), (37888, 5760), (3584, 30336)]
M,N,K,alg_count,config_count,tops_1,lat_us_1,alg_id_1,split_k_1,workspace_1,tops_2,lat_us_2,alg_id_2,split_k_2,workspace_2,tops_3,lat_us_3,alg_id_3,split_k_3,workspace_3
64,4608,3584,108,108,255.512833,8.273,58,-1,0,255.512833,8.273,100,-1,0,255.493073,8.274,98,1,0
64,3584,3584,108,108,198.809113,8.270,58,1,0,198.747574,8.273,55,-1,0,198.747574,8.273,54,-1,0
64,37888,3584,108,108,1404.972534,12.371,96,-1,0,1403.302734,12.386,57,-1,0,1400.769409,12.408,96,1,0
64,3584,18944,108,108,527.875122,16.463,96,1,0,527.793030,16.466,100,-1,0,527.649475,16.470,97,1,0
64,4608,4800,108,108,342.496155,8.266,55,-1,0,341.913727,8.280,97,-1,0,341.702423,8.285,100,-1,0
64,3584,4800,108,108,266.035736,8.277,58,-1,0,265.953461,8.280,99,-1,0,265.748077,8.286,100,-1,0
64,37888,4800,108,108,1005.876099,23.142,99,-1,0,1000.315735,23.271,96,-1,0,1000.040710,23.277,99,1,0
64,3584,25280,108,108,654.247925,17.726,105,4,0,,,,,,,,,,
64,4608,5376,108,108,383.121063,8.276,96,-1,0,383.032227,8.278,96,1,0,381.117065,8.320,99,1,0
64,3584,5376,108,108,298.029144,8.275,100,-1,0,297.729797,8.284,96,1,0,297.591827,8.287,55,-1,0
64,37888,5376,108,108,976.676575,26.694,15,1,0,976.676575,26.694,15,-1,0,976.629639,26.696,96,1,0
64,3584,28416,108,108,726.670959,17.939,105,4,0,,,,,,,,,,
64,4608,5760,108,108,396.594421,8.566,99,1,0,391.707214,8.673,99,-1,0,390.037933,8.710,99,2,0
64,3584,5760,108,108,309.502838,8.538,99,1,0,308.554535,8.564,99,-1,0,308.692932,8.560,99,2,0
64,37888,5760,108,108,1036.671387,26.946,99,-1,0,1034.975220,26.990,57,1,0,1032.820190,27.046,57,-1,0
64,3584,30336,108,108,751.402771,18.521,105,4,0,,,,,,,,,,
128,4608,3584,108,108,511.183807,8.271,55,-1,0,511.104736,8.272,54,1,0,510.986145,8.274,100,-1,0
128,3584,3584,108,108,397.987793,8.262,99,-1,0,397.710510,8.268,96,-1,0,397.495148,8.273,58,-1,0
128,37888,3584,108,108,2236.616699,15.542,12,1,0,2197.347656,15.820,12,-1,0,2190.965820,15.866,15,-1,0
128,3584,18944,108,108,1055.380981,16.469,96,1,0,1055.175903,16.472,96,-1,0,1055.052979,16.474,97,-1,0
128,4608,4800,108,108,682.666626,8.294,55,1,0,681.562256,8.308,55,-1,0,681.194946,8.312,97,-1,0
128,3584,4800,108,108,531.701477,8.283,58,1,0,531.701477,8.283,97,-1,0,531.619263,8.284,100,-1,0
128,37888,4800,108,108,1884.779663,24.701,15,1,0,1878.501343,24.784,15,-1,0,1865.207520,24.961,12,-1,0
128,3584,25280,108,108,1141.246094,20.324,103,2,0,1127.926514,20.564,100,-1,0,1127.680786,20.568,97,-1,0
128,4608,5376,108,108,762.586121,8.316,96,-1,0,761.706787,8.326,96,1,0,761.999573,8.323,96,2,0
128,3584,5376,108,108,595.505615,8.283,96,-1,0,594.586670,8.296,55,-1,0,593.305176,8.314,99,-1,0
128,37888,5376,108,108,1925.697876,27.078,12,1,0,1925.425049,27.082,15,-1,0,1919.166016,27.170,15,1,0
128,3584,28416,108,108,1265.876709,20.596,103,2,0,,,,,,,,,,
128,4608,5760,108,108,723.463806,9.392,55,1,0,711.536194,9.549,99,-1,0,711.488525,9.550,99,2,0
128,3584,5760,108,108,586.597717,9.009,97,-1,0,585.391785,9.028,99,-1,0,584.066711,9.048,99,1,0
128,37888,5760,108,108,1943.450195,28.747,15,1,0,1943.147339,28.751,0,-1,0,1943.147339,28.751,3,1,0
128,3584,30336,108,108,1325.177856,21.004,61,2,0,,,,,,,,,,
256,4608,3584,108,108,1021.340210,8.279,98,-1,0,1020.787903,8.284,12,-1,0,1020.630249,8.285,97,-1,0
256,3584,3584,108,108,794.990295,8.273,98,-1,0,794.805847,8.275,101,-1,0,794.805847,8.275,99,-1,0
256,37888,3584,108,108,3114.195312,22.325,66,1,0,3096.265625,22.454,66,-1,0,3092.123291,22.484,69,-1,0
256,3584,18944,108,108,2095.614746,16.588,98,1,0,,,,,,,,,,
256,4608,4800,108,108,1097.959717,10.314,97,-1,0,1097.483032,10.319,100,1,0,1097.483032,10.319,96,-1,0
256,3584,4800,108,108,1022.022949,8.618,98,1,0,1009.059326,8.729,98,-1,0,1004.933167,8.765,98,2,0
256,37888,4800,108,108,3211.556396,28.993,69,-1,0,3201.591553,29.084,69,1,0,3219.516113,28.922,69,2,0
256,3584,25280,108,108,2116.966309,21.913,98,-1,0,2103.756104,22.051,98,2,0,2073.306885,22.374,98,1,0
256,4608,5376,108,108,1229.181030,10.319,15,-1,0,1229.028687,10.320,96,1,0,1228.876221,10.321,98,1,0
256,3584,5376,108,108,982.476074,10.041,56,-1,0,975.080200,10.117,55,-1,0,979.106140,10.076,56,2,0
256,37888,5376,108,108,3371.027100,30.936,69,-1,0,3368.100830,30.963,66,1,0,3356.721924,31.068,66,-1,0
256,3584,28416,108,108,2259.348145,23.079,56,-1,0,2255.095703,23.123,59,1,0,2263.742676,23.034,56,2,0
256,4608,5760,108,108,1316.979614,10.319,101,-1,0,1316.000244,10.326,13,-1,0,1315.837036,10.328,55,1,0
256,3584,5760,108,108,1024.635254,10.316,96,1,0,1024.253906,10.319,55,1,0,1024.190552,10.320,4,-1,0
256,37888,5760,108,108,3401.482666,32.849,66,1,0,3400.290527,32.861,69,1,0,3397.114746,32.892,66,-1,0
256,3584,30336,108,108,2256.567139,24.669,56,-1,0,2256.098633,24.674,56,1,0,2249.389160,24.748,59,-1,0
512,4608,3584,108,108,1638.399902,10.322,17,1,0,1638.399902,10.322,15,-1,0,1637.790894,10.326,2,-1,0
512,3584,3584,108,108,1277.479492,10.296,14,-1,0,1274.785400,10.318,3,-1,0,1274.627197,10.319,12,1,0
512,37888,3584,108,108,3780.361572,36.782,70,-1,0,3766.794434,36.915,67,1,0,3762.880127,36.953,70,1,0
512,3584,18944,108,108,3378.611084,20.578,2,-1,0,3367.926758,20.643,8,1,0,3378.085938,20.581,2,2,0
512,4608,4800,108,108,1830.803955,12.371,13,-1,0,1830.519775,12.373,15,1,0,1830.425171,12.374,17,1,0
512,3584,4800,108,108,1702.023315,10.350,17,1,0,1700.971558,10.356,14,1,0,1700.656006,10.358,1,-1,0
512,37888,4800,108,108,3796.511475,49.052,45,-1,0,3790.033691,49.136,46,-1,0,3789.491211,49.143,45,1,0
512,3584,25280,108,108,3225.687500,28.762,2,-1,0,3223.679199,28.780,8,1,0,3221.959717,28.796,5,-1,0
512,4608,5376,108,108,2207.774414,11.490,14,1,0,,,,,,,,,,
512,3584,5376,108,108,1908.271973,10.339,14,-1,0,1907.209595,10.345,2,-1,0,1904.146729,10.362,13,1,0
512,37888,5376,108,108,4225.245605,49.364,70,-1,0,4216.935059,49.461,70,1,0,4212.193848,49.517,70,2,0
512,3584,28416,108,108,3173.975098,32.857,2,-1,0,3173.418701,32.863,2,1,0,3173.294922,32.864,5,-1,0
512,4608,5760,108,108,2197.305664,12.369,3,-1,0,2197.305664,12.369,12,1,0,2196.623779,12.373,16,-1,0
512,3584,5760,108,108,1918.683960,11.018,14,-1,0,1909.698486,11.069,2,-1,0,1908.594971,11.076,13,-1,0
512,37888,5760,108,108,4213.892578,53.032,76,-1,0,4203.392578,53.165,76,1,0,4192.138672,53.308,67,1,0
512,3584,30336,108,108,3227.794922,34.492,2,-1,0,3190.264893,34.898,5,-1,0,3185.591064,34.949,2,1,0
1024,4608,3584,108,108,2729.905273,12.390,67,1,0,2724.697510,12.413,70,-1,0,2723.995117,12.417,67,-1,0
1024,3584,3584,108,108,2126.224854,12.372,42,-1,0,2125.784912,12.375,67,1,0,2125.455078,12.377,71,-1,0
1024,37888,3584,108,108,4237.042480,65.635,46,-1,0,4233.698730,65.687,47,-1,0,4225.382324,65.816,47,1,0
1024,3584,18944,108,108,4512.439453,30.815,68,-1,0,4511.689941,30.820,68,1,0,4471.116211,31.100,70,-1,0
1024,4608,4800,108,108,3097.950684,14.622,45,-1,0,3096.730713,14.628,45,1,0,3051.866211,14.843,45,4,0
1024,3584,4800,108,108,2441.035889,14.433,70,-1,0,2439.305176,14.444,69,-1,0,2439.089111,14.445,68,1,0
1024,37888,4800,108,108,4164.500000,89.436,46,1,0,4151.546875,89.715,45,1,0,4144.687012,89.863,44,-1,0
1024,3584,25280,108,108,4392.099121,42.248,71,-1,0,4377.643066,42.387,68,-1,0,4352.668457,42.630,68,1,0
1024,4608,5376,108,108,3370.279541,15.053,68,-1,0,3365.271973,15.076,68,1,0,3290.537842,15.418,68,8,0
1024,3584,5376,108,108,2734.809082,14.429,71,-1,0,2734.445068,14.431,67,-1,0,2733.838623,14.434,42,1,0
1024,37888,5376,108,108,4626.891602,90.157,70,-1,0,4565.348633,91.373,70,1,0,4552.688965,91.627,69,-1,0
1024,3584,28416,108,108,4391.023926,47.500,68,1,0,4373.111816,47.695,68,-1,0,4347.791504,47.972,67,1,0
1024,4608,5760,108,108,3301.638672,16.464,70,1,0,3301.125244,16.467,47,-1,0,3300.740234,16.468,44,-1,0
1024,3584,5760,108,108,2915.667969,14.500,70,1,0,2894.841553,14.605,70,-1,0,2890.534912,14.627,68,-1,0
1024,37888,5760,108,108,4699.571289,95.103,71,-1,0,4631.715820,96.497,67,1,0,4628.370117,96.566,67,-1,0
1024,3584,30336,108,108,4367.476562,50.983,71,-1,0,4360.250977,51.068,68,-1,0,4359.049316,51.082,70,1,0
2048,4608,3584,108,108,3652.009521,18.523,44,1,0,3645.334229,18.557,45,-1,0,3644.831055,18.559,43,-1,0
2048,3584,3584,108,108,2841.826172,18.514,68,-1,0,2841.040771,18.519,70,1,0,2840.844727,18.520,45,1,0
2048,37888,3584,108,108,4567.796387,121.765,70,-1,0,4570.078613,121.704,70,2,0,4495.935547,123.711,43,1,0
2048,3584,18944,108,108,4387.196777,63.389,71,1,0,4341.868652,64.051,67,1,0,4341.782715,64.052,67,-1,0
2048,4608,4800,108,108,3672.818359,24.667,44,-1,0,3672.818359,24.667,42,-1,0,3671.675049,24.675,46,-1,0
2048,3584,4800,108,108,2949.857178,23.887,45,1,0,2882.890625,24.442,45,-1,0,2878.218262,24.482,43,2,0
2048,37888,4800,108,108,4394.121582,169.524,71,1,0,4380.049805,170.068,71,-1,0,4340.456055,171.620,43,1,0
2048,3584,25280,108,108,4025.201904,92.197,47,1,0,4000.927979,92.756,43,-1,0,3996.185547,92.867,43,1,0
2048,4608,5376,108,108,4374.128906,23.197,45,-1,0,4283.833984,23.686,43,-1,0,4269.184082,23.768,44,-1,0
2048,3584,5376,108,108,3488.332275,22.624,44,-1,0,3488.233154,22.625,45,1,0,3487.641602,22.628,43,-1,0
2048,37888,5376,108,108,4848.509277,172.073,67,1,0,4846.399902,172.148,67,-1,0,4831.276855,172.687,68,1,0
2048,3584,28416,108,108,4454.006348,93.657,71,1,0,4384.113281,95.150,67,1,0,4364.912109,95.569,67,-1,0
2048,4608,5760,108,108,4407.381836,24.667,45,-1,0,4407.267578,24.668,69,-1,0,4406.467285,24.672,44,-1,0
2048,3584,5760,108,108,3434.646973,24.619,70,-1,0,3434.468506,24.620,45,-1,0,3428.942139,24.660,67,-1,0
2048,37888,5760,108,108,4960.429688,180.204,70,1,0,4952.812988,180.481,69,1,0,4936.794922,181.067,69,-1,0
2048,3584,30336,108,108,4423.786133,100.668,67,1,0,4360.032715,102.140,66,-1,0,4354.493652,102.270,66,1,0
4096,4608,3584,108,108,4390.208008,30.817,46,-1,0,4390.025391,30.818,45,-1,0,4389.569824,30.821,47,-1,0
4096,3584,3584,108,108,3699.829346,28.441,45,-1,0,3680.531738,28.590,69,-1,0,3674.280518,28.639,69,1,0
4096,37888,3584,108,108,4797.552246,231.868,70,1,0,4766.398438,233.383,71,1,0,4809.180664,231.307,70,2,0
4096,3584,18944,108,108,4507.243652,123.401,69,1,0,4403.535645,126.307,67,1,0,,,,,
4096,4608,4800,108,108,4396.613770,41.212,45,-1,0,4393.747070,41.239,45,1,0,4383.271973,41.338,45,2,0
4096,3584,4800,108,108,4037.199219,34.908,45,-1,0,4034.166504,34.934,45,1,0,4023.404785,35.027,45,2,0
4096,37888,4800,108,108,4608.997559,323.241,45,2,0,4545.121094,327.784,46,1,0,4537.175293,328.358,45,1,0
4096,3584,25280,108,108,4354.025391,170.468,69,1,0,4378.848633,169.502,69,2,0,4327.574707,171.510,69,-1,0
4096,4608,5376,108,108,4807.079590,42.216,47,-1,0,4782.212402,42.436,47,1,0,4738.405762,42.828,71,1,0
4096,3584,5376,108,108,4286.224121,36.825,69,1,0,4285.926758,36.828,45,1,0,4282.205566,36.860,45,-1,0
4096,37888,5376,108,108,5210.981934,320.207,71,1,0,5247.417480,317.984,71,2,0,5189.015137,321.563,70,1,0
