# GPU: NVIDIA B200
# CC: cc100
# Model: Qwen2.5-7B-INT8
# alg_count: 108, config_count: 108
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol_sparse24, dtype: int8, outdtype: bf16, warmup=25, repeat=50, verify=False
# M_list: [64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384, 32768, 65536]
# NK_list: [(4608, 3584), (3584, 3584), (37888, 3584), (3584, 18944), (4608, 4800), (3584, 4800), (37888, 4800), (3584, 25280), (4608, 5376), (3584, 5376), (37888, 5376), (3584, 28416), (4608, 5760), (3584, 5760), (37888, 5760), (3584, 30336)]
M,N,K,alg_count,config_count,tops_1,lat_us_1,alg_id_1,split_k_1,workspace_1,tops_2,lat_us_2,alg_id_2,split_k_2,workspace_2,tops_3,lat_us_3,alg_id_3,split_k_3,workspace_3
64,4608,3584,108,108,255.572159,8.271,5,-1,0,255.493073,8.274,3,1,0,255.433777,8.276,99,-1,0
64,3584,3584,108,108,198.824493,8.269,16,-1,0,198.778351,8.271,13,-1,0,198.716827,8.274,4,1,0
64,37888,3584,108,108,1403.593018,12.383,0,1,0,1401.130859,12.405,0,-1,0,1401.130859,12.405,99,-1,0
64,3584,18944,108,108,527.957214,16.461,3,-1,0,527.731506,16.468,3,1,0,527.669983,16.470,1,-1,0
64,4608,4800,108,108,341.017578,8.302,1,1,0,340.676178,8.310,3,-1,0,340.440247,8.316,4,1,0
64,3584,4800,108,108,266.221008,8.271,2,-1,0,265.932892,8.280,97,-1,0,265.789124,8.285,97,1,0
64,37888,4800,108,108,1009.365295,23.062,99,1,0,1003.627991,23.194,3,1,0,1002.908325,23.211,3,-1,0
64,3584,25280,108,108,625.045776,18.554,105,4,0,,,,,,,,,,
64,4608,5376,108,108,382.795471,8.284,4,-1,0,382.677216,8.286,97,-1,0,382.145905,8.298,97,1,0
64,3584,5376,108,108,297.844849,8.280,97,-1,0,297.798828,8.282,4,-1,0,297.729797,8.284,97,1,0
64,37888,5376,108,108,978.318420,26.650,99,1,0,977.660889,26.668,3,-1,0,977.590576,26.669,99,-1,0
