# GPU: NVIDIA GB10
# CC: cc121
# Model: BitNet-2B-FP8
# alg_count: 4, config_count: 4
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol_sparse24, dtype: fp8e4m3, outdtype: bf16, warmup=25, repeat=50, verify=False
# M_list: [64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384, 32768]
# NK_list: [(3840, 2560), (2560, 2560), (13824, 2560), (2560, 6912), (3840, 3424), (2560, 3424), (13824, 3424), (2560, 9216), (3840, 3840), (2560, 3840), (13824, 3840), (2560, 10368), (3840, 4096), (2560, 4096), (13824, 4096), (2560, 11072)]
M,N,K,alg_count,config_count,tops_1,lat_us_1,alg_id_1,split_k_1,workspace_1,tops_2,lat_us_2,alg_id_2,split_k_2,workspace_2,tops_3,lat_us_3,alg_id_3,split_k_3,workspace_3
64,3840,2560,4,4,92.213303,13.645,2,1,0,,,,,,,,,,
64,2560,2560,4,4,68.142448,12.310,2,-1,0,68.004562,12.335,2,1,0,66.839363,12.550,2,2,0
64,13824,2560,4,4,100.418365,45.110,3,-1,1966656,99.837616,45.372,3,1,1966656,,,,,
64,2560,6912,4,4,101.202324,22.380,3,2,0,,,,,,,,,,
64,3840,3424,4,4,101.951393,16.508,2,1,0,101.065842,16.652,2,-1,0,101.506683,16.580,2,2,0
64,2560,3424,4,4,68.864670,16.292,2,1,0,68.899864,16.284,2,2,0,68.442574,16.393,2,4,0
64,13824,3424,4,4,58.067074,104.339,2,-1,0,57.634720,105.122,3,1,1966656,58.131252,104.224,2,2,0
64,2560,9216,4,4,104.416733,28.922,3,-1,655680,105.398643,28.652,3,4,655680,,,,,
64,3840,3840,4,4,112.690865,16.749,2,2,0,111.224594,16.970,2,1,0,,,,,
64,2560,3840,4,4,76.926201,16.357,2,-1,0,76.632370,16.420,2,1,0,,,,,
64,13824,3840,4,4,55.883648,121.588,2,1,0,55.112293,123.290,3,2,1966656,54.529182,124.608,2,-1,0
64,2560,10368,4,4,118.319756,28.714,3,2,0,,,,,,,,,,
64,3840,4096,4,4,110.585960,18.205,2,2,0,109.090302,18.455,3,1,0,107.911491,18.657,2,1,0
64,2560,4096,4,4,81.750748,16.418,2,1,0,81.225143,16.524,2,2,0,,,,,
64,13824,4096,4,4,54.648117,132.626,0,1,0,54.604378,132.732,0,2,0,53.609699,135.195,1,1,3932736
64,2560,11072,4,4,125.339699,28.946,3,2,0,,,,,,,,,,
128,3840,2560,4,4,130.493484,19.285,0,2,0,128.125122,19.642,0,4,0,,,,,
128,2560,2560,4,4,114.920006,14.599,2,-1,0,115.741974,14.495,2,2,0,115.793098,14.489,2,4,0
128,13824,2560,4,4,151.282181,59.886,0,-1,0,148.159760,61.148,0,1,0,,,,,
128,2560,6912,4,4,144.061554,31.444,2,1,0,144.240631,31.405,2,4,0,143.256775,31.620,2,8,0
128,3840,3424,4,4,140.243301,24.001,0,1,0,138.975876,24.220,0,2,0,,,,,
128,2560,3424,4,4,113.755630,19.726,2,1,0,,,,,,,,,,
128,13824,3424,4,4,104.977081,115.428,0,1,0,,,,,,,,,,
128,2560,9216,4,4,154.890762,38.994,1,2,0,151.132782,39.964,2,-1,0,,,,,
128,3840,3840,4,4,141.723282,26.636,0,-1,0,141.420868,26.692,0,1,0,,,,,
128,2560,3840,4,4,127.742188,19.700,2,1,0,126.196602,19.942,2,2,0,,,,,
128,13824,3840,4,4,103.176704,131.711,2,4,0,102.551338,132.515,2,8,0,,,,,
128,2560,10368,4,4,148.715958,45.690,2,1,0,146.164871,46.487,2,-1,0,146.006088,46.538,2,4,0
128,3840,4096,4,4,140.362228,28.687,0,-1,0,140.090317,28.742,0,1,0,139.469223,28.870,0,2,0
128,2560,4096,4,4,130.643326,20.547,2,1,0,130.363144,20.591,2,2,0,128.671478,20.862,2,-1,0
128,13824,4096,4,4,106.267616,136.406,1,1,3932736,,,,,,,,,,
128,2560,11072,4,4,151.218109,47.985,2,1,0,150.297989,48.278,2,-1,0,152.192444,47.677,2,4,0
256,3840,2560,4,4,143.412659,35.096,0,1,0,142.093735,35.421,0,-1,0,,,,,
256,2560,2560,4,4,163.604813,20.509,0,1,0,,,,,,,,,,
256,13824,2560,4,4,200.550797,90.348,0,2,0,,,,,,,,,,
256,2560,6912,4,4,198.329605,45.680,0,-1,0,195.160538,46.422,0,2,0,195.182083,46.417,0,4,0
256,3840,3424,4,4,146.139374,46.065,0,-1,0,,,,,,,,,,
256,2560,3424,4,4,174.215576,25.761,0,1,0,173.371384,25.886,0,-1,0,174.540833,25.713,0,2,0
256,13824,3424,4,4,173.954208,139.316,0,2,0,174.661102,138.753,0,4,0,,,,,
256,2560,9216,4,4,202.046417,59.786,0,1,0,202.148117,59.756,0,2,0,201.369553,59.987,0,4,0
256,3840,3840,4,4,146.591110,51.502,0,1,0,145.176727,52.004,0,-1,0,,,,,
256,2560,3840,4,4,176.006454,28.596,0,-1,0,173.387131,29.028,0,1,0,172.728317,29.139,0,2,0
256,13824,3840,4,4,169.140671,160.689,1,1,4719296,168.967026,160.854,0,1,0,,,,,
256,2560,10368,4,4,211.404343,64.282,0,-1,0,209.991058,64.715,0,2,0,209.603394,64.835,0,4,0
256,3840,4096,4,4,160.840988,50.068,1,-1,3932736,162.171814,49.658,1,4,3932736,,,,,
