# GPU: NVIDIA GB10
# CC: cc121
# Model: Llama3.2-3B-FP8
# alg_count: 4, config_count: 4
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol_sparse24, dtype: fp8e4m3, outdtype: bf16, warmup=25, repeat=100, verify=False
# M_list: [64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384, 32768, 65536]
# NK_list: [(5120, 3072), (3072, 3072), (16384, 3072), (3072, 8192), (5120, 4096), (3072, 4096), (16384, 4096), (3072, 10944), (5120, 4608), (3072, 4608), (16384, 4608), (3072, 12288), (5120, 4928), (3072, 4928), (16384, 4928), (3072, 13120)]
M,N,K,alg_count,config_count,tops_1,lat_us_1,alg_id_1,split_k_1,workspace_1,tops_2,lat_us_2,alg_id_2,split_k_2,workspace_2,tops_3,lat_us_3,alg_id_3,split_k_3,workspace_3
64,5120,3072,4,4,122.599838,16.421,3,1,0,121.239021,16.606,2,-1,0,120.898857,16.652,2,1,0
64,3072,3072,4,4,83.006218,14.553,2,4,0,83.507515,14.465,2,8,0,83.132347,14.531,2,16,0
64,16384,3072,4,4,60.611507,106.291,2,1,0,60.552265,106.395,2,-1,0,,,,,
64,3072,8192,4,4,120.806595,26.664,3,-1,786752,118.367523,27.214,3,1,786752,,,,,
64,5120,4096,4,4,130.992172,20.492,2,1,0,129.842545,20.674,2,-1,0,129.706039,20.696,2,4,0
64,3072,4096,4,4,97.974869,16.439,2,1,0,97.856766,16.459,2,-1,0,95.731224,16.824,3,1,0
64,16384,4096,4,4,53.510185,160.529,2,1,0,53.284054,161.210,2,-1,0,52.807007,162.667,3,2,2622144
64,3072,10944,4,4,110.375061,38.988,3,-1,786752,109.817131,39.187,3,4,786752,,,,,
64,5120,4608,4,4,134.123306,22.516,2,-1,0,133.993805,22.538,2,1,0,133.257797,22.662,2,4,0
64,3072,4608,4,4,98.067345,18.476,2,1,0,95.935593,18.887,2,-1,0,96.839638,18.711,2,2,0
64,16384,4608,4,4,54.057079,178.768,0,-1,0,52.890400,182.711,0,1,0,53.265888,181.423,1,4,5243584
64,3072,12288,4,4,90.340942,53.484,2,2,0,90.276131,53.523,2,4,0,,,,,
64,5120,4928,4,4,136.049286,23.739,2,2,0,136.262360,23.701,2,4,0,134.628296,23.989,2,8,0
64,3072,4928,4,4,104.511940,18.541,3,2,0,102.974632,18.818,3,1,786752,,,,,
64,16384,4928,4,4,45.550781,226.884,0,1,0,45.454426,227.365,0,2,0,,,,,
64,3072,13120,4,4,77.375748,66.675,2,2,0,,,,,,,,,,
128,5120,3072,4,4,175.997101,22.878,0,1,0,,,,,,,,,,
128,3072,3072,4,4,130.933350,18.452,2,-1,0,130.804031,18.470,2,1,0,128.170364,18.849,3,-1,0
128,16384,3072,4,4,111.693291,115.360,1,1,5243584,,,,,,,,,,
128,3072,8192,4,4,172.753204,37.293,1,-1,1573184,173.463196,37.140,1,2,1573184,174.169998,36.989,1,4,1573184
128,5120,4096,4,4,185.062546,29.010,0,1,0,,,,,,,,,,
128,3072,4096,4,4,141.757324,22.724,2,1,0,139.438293,23.101,2,4,0,138.830597,23.203,2,8,0
128,16384,4096,4,4,102.224510,168.060,0,-1,0,101.788635,168.780,0,1,0,100.270241,171.336,1,-1,5243584
128,3072,10944,4,4,161.915665,53.156,1,1,1573184,161.518951,53.286,1,-1,1573184,162.128433,53.086,2,2,0
128,5120,4608,4,4,183.427933,32.927,0,1,0,,,,,,,,,,
128,3072,4608,4,4,146.295914,24.771,2,1,0,147.055801,24.643,2,2,0,,,,,
128,16384,4608,4,4,102.895615,187.835,0,2,0,,,,,,,,,,
128,3072,12288,4,4,150.321503,64.287,2,-1,0,150.462296,64.227,2,4,0,150.328247,64.284,2,8,0
128,5120,4928,4,4,192.466232,33.560,0,-1,0,193.908401,33.311,0,4,0,,,,,
128,3072,4928,4,4,146.512939,26.452,1,1,0,144.148315,26.886,1,-1,1573184,143.621811,26.984,3,-1,0
128,16384,4928,4,4,86.152336,239.918,0,1,0,84.858315,243.577,0,2,0,86.846764,238.000,2,16,0
128,3072,13120,4,4,135.498840,76.148,2,4,0,133.117462,77.510,2,8,0,,,,,
256,5120,3072,4,4,187.138489,43.033,0,-1,0,186.985550,43.068,0,2,0,,,,,
256,3072,3072,4,4,196.033691,24.648,0,1,0,,,,,,,,,,
256,16384,3072,4,4,176.694489,145.844,1,2,4194880,174.128967,147.993,1,-1,4194880,178.118240,144.678,0,4,0
256,3072,8192,4,4,228.380554,56.419,0,1,0,226.953003,56.773,0,-1,0,223.244766,57.716,1,1,0
256,5120,4096,4,4,192.112854,55.891,0,-1,0,190.742294,56.293,0,1,0,,,,,
256,3072,4096,4,4,209.353180,30.773,0,1,0,206.917511,31.135,0,-1,0,,,,,
256,16384,4096,4,4,173.802841,197.694,1,2,4194880,171.610046,200.220,1,1,4194880,170.428986,201.607,1,-1,4194880
256,3072,10944,4,4,240.274567,71.641,0,1,0,241.148102,71.381,0,2,0,240.636795,71.533,0,4,0
256,5120,4608,4,4,193.322525,62.484,0,1,0,193.329453,62.482,0,2,0,,,,,
256,3072,4608,4,4,213.022964,34.023,0,1,0,211.809769,34.218,0,-1,0,211.236893,34.311,0,2,0
256,16384,4608,4,4,179.624634,215.197,0,4,0,,,,,,,,,,
256,3072,12288,4,4,218.613052,88.409,0,1,0,215.423157,89.718,0,2,0,,,,,
256,5120,4928,4,4,195.414886,66.108,0,-1,0,,,,,,,,,,
256,3072,4928,4,4,210.400146,36.840,0,-1,0,209.426895,37.011,0,2,0,,,,,
256,16384,4928,4,4,153.282043,269.693,1,2,4194880,155.046661,266.623,1,4,4194880,151.592331,272.699,0,2,0
256,3072,13120,4,4,228.380768,90.358,0,1,0,,,,,,,,,,
512,5120,3072,4,4,196.519730,81.957,0,-1,0,196.126862,82.121,0,1,0,195.726456,82.289,0,2,0
512,3072,3072,4,4,214.571350,45.037,0,1,0,213.251617,45.316,0,-1,0,,,,,
512,16384,3072,4,4,220.612823,233.620,0,2,0,216.506989,238.051,0,1,0,215.318542,239.364,0,-1,0
