# GPU: NVIDIA GB10
# CC: cc121
# Model: Qwen2.5-7B-INT8
# alg_count: 2, config_count: 2
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol_sparse24, dtype: int8, outdtype: bf16, warmup=25, repeat=100, verify=False
# M_list: [64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384, 32768, 65536]
# NK_list: [(4608, 3584), (3584, 3584), (37888, 3584), (3584, 18944), (4608, 4800), (3584, 4800), (37888, 4800), (3584, 25280), (4608, 5376), (3584, 5376), (37888, 5376), (3584, 28416), (4608, 5760), (3584, 5760), (37888, 5760), (3584, 30336)]
M,N,K,alg_count,config_count,tops_1,lat_us_1,alg_id_1,split_k_1,workspace_1,tops_2,lat_us_2,alg_id_2,split_k_2,workspace_2,tops_3,lat_us_3,alg_id_3,split_k_3,workspace_3
64,4608,3584,2,2,147.186600,14.362,0,1,2064384,,,,,,,,,,
64,3584,3584,2,2,129.810318,12.666,0,1,1605632,,,,,,,,,,
64,37888,3584,2,2,42.822674,405.888,0,1,16973824,,,,,,,,,,
64,3584,18944,2,2,40.752991,213.251,1,1,8486912,,,,,,,,,,
64,4608,4800,2,2,149.924759,18.884,0,1,2801664,,,,,,,,,,
64,3584,4800,2,2,131.896042,16.695,0,1,2179072,,,,,,,,,,
64,37888,4800,2,2,32.017773,727.046,0,1,23035904,31.808790,731.822,1,1,23035904,,,,,
64,3584,25280,2,2,31.281240,370.741,1,1,11354112,30.949135,374.720,0,1,11354112,,,,,
64,4608,5376,2,2,132.381821,23.953,0,1,3096576,,,,,,,,,,
64,3584,5376,2,2,116.218552,21.221,0,1,2408448,,,,,,,,,,
64,37888,5376,2,2,41.627274,626.315,0,1,25460736,41.157021,633.471,1,1,25460736,,,,,
64,3584,28416,2,2,39.399826,330.862,1,1,12730368,39.342072,331.348,0,1,12730368,,,,,
64,4608,5760,2,2,163.034912,20.838,0,1,3317760,,,,,,,,,,
64,3584,5760,2,2,141.821136,18.632,0,1,2580480,,,,,,,,,,
64,37888,5760,2,2,40.851067,683.803,0,1,27279360,,,,,,,,,,
64,3584,30336,2,2,40.983120,339.572,0,1,13590528,,,,,,,,,,
128,4608,3584,2,2,220.252350,19.196,1,1,2064384,,,,,,,,,,
128,3584,3584,2,2,176.661453,18.614,1,1,1605632,,,,,,,,,,
128,37888,3584,2,2,79.058273,439.706,0,1,16973824,77.634491,447.770,1,1,16973824,,,,,
128,3584,18944,2,2,78.141052,222.434,1,1,8486912,,,,,,,,,,
128,4608,4800,2,2,205.731018,27.523,1,1,2801664,,,,,,,,,,
128,3584,4800,2,2,189.836258,23.199,1,1,2179072,,,,,,,,,,
128,37888,4800,2,2,63.110783,737.699,0,1,23035904,,,,,,,,,,
128,3584,25280,2,2,58.482323,396.607,1,1,11354112,,,,,,,,,,
128,4608,5376,2,2,225.149231,28.167,1,1,3096576,,,,,,,,,,
128,3584,5376,2,2,192.452118,25.630,1,1,2408448,,,,,,,,,,
128,37888,5376,2,2,80.557213,647.286,0,1,25460736,,,,,,,,,,
128,3584,28416,2,2,71.159691,366.384,1,1,12730368,,,,,,,,,,
128,4608,5760,2,2,219.751038,30.920,1,1,3317760,,,,,,,,,,
128,3584,5760,2,2,188.547577,28.029,1,1,2580480,,,,,,,,,,
128,37888,5760,2,2,77.097672,724.641,1,1,27279360,76.600517,729.344,0,1,27279360,,,,,
