# GPU: NVIDIA H100 PCIe
# CC: cc90
# Model: BitNet-2B-FP8
# alg_count: 25, config_count: 25
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol_sparse24, dtype: fp8e4m3, outdtype: bf16, warmup=25, repeat=50, verify=False
# M_list: [64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384, 32768]
# NK_list: [(3840, 2560), (2560, 2560), (13824, 2560), (2560, 6912), (3840, 3424), (2560, 3424), (13824, 3424), (2560, 9216), (3840, 3840), (2560, 3840), (13824, 3840), (2560, 10368), (3840, 4096), (2560, 4096), (13824, 4096), (2560, 11072)]
M,N,K,alg_count,config_count,tops_1,lat_us_1,alg_id_1,split_k_1,workspace_1,tops_2,lat_us_2,alg_id_2,split_k_2,workspace_2,tops_3,lat_us_3,alg_id_3,split_k_3,workspace_3
64,3840,2560,25,25,162.701096,7.734,11,-1,1229119,162.499374,7.743,1,-1,1229119,162.445679,7.746,11,1,1229119
64,2560,2560,25,25,104.506454,8.027,11,-1,819519,103.157570,8.132,11,1,819519,102.688820,8.169,23,1,819519
64,13824,2560,25,25,421.227661,10.754,10,-1,4423999,419.579590,10.796,10,1,4423999,414.639008,10.925,3,1,4423999
64,2560,6912,25,25,192.773941,11.749,9,1,2212159,192.052109,11.793,11,1,2212159,191.864685,11.805,23,1,2212159
64,3840,3424,25,25,179.472580,9.377,22,1,1659199,176.473526,9.537,11,-1,1659199,176.272430,9.548,23,1,1659199
64,2560,3424,25,25,122.859901,9.132,23,1,1106239,120.008759,9.349,9,-1,1106239,,,,,
64,13824,3424,25,25,406.853851,14.892,23,1,5972287,,,,,,,,,,
64,2560,9216,25,25,221.821747,13.614,9,1,2949439,221.063095,13.661,11,1,2949439,219.510223,13.757,23,1,2949439
64,3840,3840,25,25,202.160675,9.336,11,1,1843519,201.621674,9.361,22,1,1843519,201.497681,9.367,22,-1,1843519
64,2560,3840,25,25,138.857269,9.062,11,1,1229119,138.077118,9.113,11,-1,1229119,136.637711,9.209,9,-1,1229119
64,13824,3840,25,25,506.624939,13.412,10,1,6635839,505.707916,13.436,10,-1,6635839,503.477600,13.496,3,1,6635839
64,2560,10368,25,25,232.968292,14.583,23,1,3318079,231.838943,14.654,22,1,3318079,230.210159,14.758,9,1,3318079
64,3840,4096,25,25,213.154083,9.445,23,1,1966399,212.291000,9.484,23,-1,1966399,211.477509,9.520,22,1,1966399
64,2560,4096,25,25,142.508286,9.418,23,1,1311039,142.237656,9.436,22,1,1311039,139.847427,9.597,11,1,1311039
64,13824,4096,25,25,502.467865,14.424,3,-1,7078207,501.688782,14.447,3,1,7078207,,,,,
64,2560,11072,25,25,239.576691,15.144,22,1,3543359,235.271362,15.421,23,1,3543359,234.891174,15.446,9,1,3543359
128,3840,2560,25,25,295.673340,8.511,12,-1,1425855,295.562256,8.515,12,1,1229119,292.593201,8.601,15,-1,1229119
128,2560,2560,25,25,203.812790,8.232,1,1,819519,202.443420,8.287,11,1,819519,202.396545,8.289,1,-1,819519
128,13824,2560,25,25,706.376038,12.826,13,1,4423999,704.197449,12.865,13,-1,4424127,,,,,
128,2560,6912,25,25,375.903595,12.051,23,1,2212159,375.644165,12.059,23,-1,2212159,371.952667,12.179,11,-1,2212159
128,3840,3424,25,25,291.388092,11.551,10,-1,1855935,290.904572,11.571,10,1,1659199,285.720886,11.780,15,-1,1659199
128,2560,3424,25,25,234.951172,9.551,2,1,1106239,234.730942,9.560,2,-1,1106239,233.231949,9.621,23,-1,1106239
128,13824,3424,25,25,641.873779,18.878,24,1,5972287,640.397461,18.922,24,-1,5972415,,,,,
128,2560,9216,25,25,431.315521,14.003,23,-1,2949439,431.138214,14.009,11,1,2949439,430.901947,14.017,23,1,2949439
128,3840,3840,25,25,360.726562,10.465,15,-1,2236863,360.329895,10.476,15,1,1843519,,,,,
128,2560,3840,25,25,266.190094,9.454,11,-1,1229119,266.154053,9.455,11,1,1229119,262.634247,9.582,1,-1,1229119
128,13824,3840,25,25,825.121033,16.470,13,-1,6635967,819.136780,16.590,13,1,6635839,,,,,
128,2560,10368,25,25,454.040588,14.965,23,-1,3318079,445.075562,15.267,23,1,3318079,443.088013,15.335,11,1,3318079
128,3840,4096,25,25,378.661194,10.634,15,-1,2359743,374.335480,10.756,15,1,1966399,,,,,
128,2560,4096,25,25,279.937531,9.589,11,1,1311039,279.713501,9.597,11,-1,1311039,278.210663,9.649,23,1,1311039
128,13824,4096,25,25,797.087524,18.186,13,-1,7078335,792.485657,18.291,13,1,7078207,,,,,
128,2560,11072,25,25,457.406250,15.864,23,-1,3543359,457.148041,15.873,23,1,3543359,447.494843,16.215,9,-1,3543359
256,3840,2560,25,25,460.116974,10.939,20,-1,1622463,449.030518,11.209,13,1,1229119,,,,,
256,2560,2560,25,25,361.503113,9.282,12,-1,2327103,359.791382,9.326,12,1,819519,,,,,
256,13824,2560,25,25,1040.177612,17.420,6,-1,4424127,1020.015564,17.764,6,1,4423999,1015.843323,17.837,19,-1,4423999
256,2560,6912,25,25,591.920349,15.306,15,1,2212159,588.279785,15.400,15,-1,3719743,578.566040,15.659,14,-1,2212159
256,3840,3424,25,25,449.394501,14.980,18,1,1659199,449.087494,14.990,21,-1,1659199,448.570435,15.007,21,1,1659199
256,2560,3424,25,25,372.264801,12.056,15,-1,2613823,371.004303,12.097,14,1,1106239,370.925781,12.099,14,-1,1106239
256,13824,3424,25,25,969.673035,24.993,19,-1,5972415,958.238159,25.291,19,1,5972287,,,,,
256,2560,9216,25,25,691.014465,17.481,12,1,2949439,688.267822,17.551,12,-1,4457023,,,,,
256,3840,3840,25,25,542.941101,13.905,20,1,1843519,539.341553,13.998,20,-1,2630207,,,,,
256,2560,3840,25,25,446.607941,11.270,12,-1,1229119,445.671539,11.293,15,-1,2736703,445.419128,11.300,12,1,1229119
256,13824,3840,25,25,1010.477295,26.897,6,-1,6635967,999.913513,27.181,6,1,6635839,,,,,
256,2560,10368,25,25,718.299927,18.919,12,1,3318079,,,,,,,,,,
256,3840,4096,25,25,548.370667,14.685,20,-1,2753087,547.368713,14.712,20,1,1966399,538.444641,14.956,13,-1,1966399
256,2560,4096,25,25,461.876892,11.624,15,-1,2818623,460.634094,11.655,12,-1,1311039,460.204498,11.666,15,1,1311039
256,13824,4096,25,25,1033.598389,28.049,6,-1,7078335,1022.446838,28.355,6,1,7078207,,,,,
256,2560,11072,25,25,675.286865,21.491,14,1,3543359,673.621826,21.544,14,-1,5050943,,,,,
512,3840,2560,25,25,662.286438,15.199,17,1,1229119,661.729126,15.212,17,-1,1229119,657.304504,15.315,16,-1,2015807
512,2560,2560,25,25,556.037781,12.069,20,1,819519,555.037048,12.091,20,-1,819519,550.289185,12.195,13,1,819519
512,13824,2560,25,25,1076.894409,33.651,8,-1,5013951,,,,,,,,,,
512,2560,6912,25,25,879.513916,20.602,13,-1,2212287,874.056152,20.730,13,1,2212159,,,,,
512,3840,3424,25,25,712.927185,18.885,17,-1,2445887,,,,,,,,,,
512,2560,3424,25,25,589.372314,15.229,21,1,1106239,589.223755,15.233,24,-1,1106367,587.348328,15.282,21,-1,1106239
512,13824,3424,25,25,1064.553589,45.530,19,1,5972287,1063.148682,45.590,19,-1,5972287,,,,,
512,2560,9216,25,25,963.887695,25.064,13,-1,2949567,960.845398,25.144,13,1,2949439,,,,,
512,3840,3840,25,25,803.356018,18.796,17,-1,3416767,798.570312,18.908,17,1,1843519,,,,,
512,2560,3840,25,25,682.340942,14.753,13,-1,1229247,681.838074,14.764,13,1,1229119,670.702332,15.009,20,1,1229119
512,13824,3840,25,25,1125.752563,48.286,19,-1,6635839,1122.627808,48.420,19,1,6635839,1122.612915,48.421,6,-1,6635839
512,2560,10368,25,25,960.538513,28.296,13,-1,3318207,960.386475,28.300,13,1,3318079,,,,,
512,3840,4096,25,25,833.001953,19.335,17,1,1966399,828.122864,19.449,17,-1,3539647,,,,,
512,2560,4096,25,25,700.334595,15.332,13,-1,1311167,700.071594,15.338,13,1,1311039,692.729492,15.500,20,-1,1311039
512,13824,4096,25,25,1162.423584,49.880,19,-1,8258111,1161.142334,49.935,19,1,7078207,,,,,
512,2560,11072,25,25,940.812195,30.851,24,-1,3543487,,,,,,,,,,
1024,3840,2560,25,25,880.736938,22.859,17,-1,2802239,878.351501,22.921,17,1,1229119,,,,,
