# GPU: NVIDIA H100 PCIe
# CC: cc90
# Model: BitNet-2B-INT8
# alg_count: 27, config_count: 27
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol_sparse24, dtype: int8, outdtype: bf16, warmup=25, repeat=50, verify=False
# M_list: [64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384, 32768]
# NK_list: [(3840, 2560), (2560, 2560), (13824, 2560), (2560, 6912), (3840, 3424), (2560, 3424), (13824, 3424), (2560, 9216), (3840, 3840), (2560, 3840), (13824, 3840), (2560, 10368), (3840, 4096), (2560, 4096), (13824, 4096), (2560, 11072)]
M,N,K,alg_count,config_count,tops_1,lat_us_1,alg_id_1,split_k_1,workspace_1,tops_2,lat_us_2,alg_id_2,split_k_2,workspace_2,tops_3,lat_us_3,alg_id_3,split_k_3,workspace_3
64,3840,2560,27,27,168.545227,7.466,18,1,1229119,166.320953,7.565,18,-1,5161535,,,,,
64,2560,2560,27,27,107.647835,7.793,18,1,819519,105.414192,7.958,26,1,819519,,,,,
64,13824,2560,27,27,411.313812,11.013,21,1,4423999,411.146545,11.018,21,-1,4423999,403.827728,11.217,18,-1,4423999
64,2560,6912,27,27,192.836975,11.745,26,1,2212159,192.208572,11.784,12,1,2212159,191.573868,11.823,7,1,2212159
64,3840,3424,27,27,182.347397,9.229,16,1,1659199,178.485840,9.429,26,1,1659199,178.111069,9.449,26,-1,1659199
64,2560,3424,27,27,127.785408,8.780,26,1,1106239,,,,,,,,,,
64,13824,3424,27,27,399.033661,15.183,12,1,5972287,,,,,,,,,,
64,2560,9216,27,27,223.397034,13.518,18,-1,4260415,219.602188,13.752,12,1,2949439,219.306183,13.770,7,1,2949439
64,3840,3840,27,27,207.509140,9.096,18,-1,1843519,207.261230,9.107,18,1,1843519,202.939728,9.300,17,1,1843519
64,2560,3840,27,27,139.448181,9.023,18,-1,1229119,138.174149,9.107,26,1,1229119,137.999573,9.118,26,-1,1229119
64,13824,3840,27,27,507.375427,13.392,21,1,6635839,506.045410,13.427,21,-1,6635839,,,,,
64,2560,10368,27,27,236.760880,14.349,5,-1,4629055,,,,,,,,,,
64,3840,4096,27,27,214.491211,9.386,18,1,1966399,212.549179,9.472,17,1,1966399,211.890610,9.501,17,-1,1966399
64,2560,4096,27,27,143.306824,9.366,26,1,1311039,142.199081,9.439,18,1,1311039,142.150879,9.442,17,1,1311039
64,13824,4096,27,27,523.125488,13.855,21,1,7078207,,,,,,,,,,
64,2560,11072,27,27,236.685898,15.329,6,1,3543359,233.844727,15.515,12,1,3543359,233.719406,15.523,18,-1,4854335
128,3840,2560,27,27,290.711212,8.657,25,1,1229119,289.789948,8.684,25,-1,1229119,,,,,
128,2560,2560,27,27,206.738174,8.115,18,-1,3441087,205.506424,8.164,18,1,819519,204.896042,8.188,16,-1,819519
128,13824,2560,27,27,698.051025,12.979,11,1,4423999,693.366760,13.066,11,-1,4423999,,,,,
128,2560,6912,27,27,377.044922,12.014,12,-1,7455423,375.464813,12.065,16,-1,2212159,375.166321,12.074,12,1,2212159
128,3840,3424,27,27,288.336823,11.674,21,1,1659199,288.068359,11.684,21,-1,1659199,287.124756,11.723,3,-1,5591615
128,2560,3424,27,27,241.555344,9.290,16,-1,3727807,240.494965,9.331,16,1,1106239,,,,,
128,13824,3424,27,27,647.271912,18.721,22,1,5972287,639.640198,18.944,22,-1,5972287,,,,,
128,2560,9216,27,27,431.394409,14.001,12,1,2949439,430.626709,14.026,12,-1,8192703,426.770905,14.152,5,1,2949439
128,3840,3840,27,27,361.633301,10.438,2,-1,5775935,360.682434,10.466,2,1,1843519,,,,,
128,2560,3840,27,27,267.767090,9.398,16,1,1229119,266.804199,9.432,16,-1,3850687,265.974030,9.462,18,-1,1229119
128,13824,3840,27,27,852.244141,15.946,11,-1,6635839,836.102661,16.253,11,1,6635839,,,,,
128,2560,10368,27,27,448.497467,15.150,12,-1,8561343,447.438965,15.186,12,1,3318079,443.106537,15.334,5,-1,3318079
128,3840,4096,27,27,372.517975,10.809,2,1,1966399,371.945374,10.826,2,-1,5898815,,,,,
128,2560,4096,27,27,280.799622,9.560,16,1,1311039,277.034607,9.690,18,1,1311039,276.231812,9.718,18,-1,1311039
128,13824,4096,27,27,808.352966,17.932,11,-1,7078207,802.481628,18.063,11,1,7078207,,,,,
128,2560,11072,27,27,458.590271,15.823,16,-1,3543359,457.535431,15.859,12,-1,8786623,456.982178,15.878,16,1,3543359
256,3840,2560,27,27,449.441132,11.199,14,1,1229119,447.090393,11.258,14,-1,1229119,,,,,
256,2560,2560,27,27,364.747467,9.199,25,1,819519,361.677734,9.277,25,-1,6062655,,,,,
256,13824,2560,27,27,1027.717163,17.631,4,1,4423999,1026.599243,17.650,4,-1,4423999,1018.840881,17.784,20,-1,4423999
256,2560,6912,27,27,580.273621,15.613,2,-1,7455295,577.339050,15.692,2,1,2212159,568.664856,15.932,25,1,2212159
256,3840,3424,27,27,453.091888,14.858,22,1,1659199,452.779816,14.868,22,-1,1659199,450.125305,14.956,10,-1,1659199
256,2560,3424,27,27,367.408142,12.215,2,-1,6349375,366.985138,12.229,2,1,1106239,366.735626,12.237,25,-1,1106239
256,13824,3424,27,27,1033.790283,23.443,20,-1,5972287,1030.218262,23.524,20,1,5972287,,,,,
256,2560,9216,27,27,690.357239,17.498,25,1,2949439,690.306824,17.499,25,-1,8192575,,,,,
256,3840,3840,27,27,540.379272,13.971,14,1,1843519,539.859985,13.985,14,-1,1843519,530.178894,14.240,11,-1,1843519
256,2560,3840,27,27,447.573822,11.245,25,-1,6472255,447.548370,11.246,25,1,1229119,440.726257,11.420,2,-1,1229119
256,13824,3840,27,27,1040.508789,26.121,4,-1,6635839,,,,,,,,,,
256,2560,10368,27,27,715.781616,18.986,25,-1,8561215,705.437317,19.264,25,1,3318079,,,,,
256,3840,4096,27,27,548.394531,14.685,14,-1,1966399,546.323059,14.740,14,1,1966399,540.758606,14.892,11,1,1966399
256,2560,4096,27,27,461.622742,11.630,2,1,1311039,461.521088,11.633,2,-1,6554175,458.769897,11.702,25,1,1311039
256,13824,4096,27,27,1074.085571,26.991,4,-1,7078207,,,,,,,,,,
256,2560,11072,27,27,638.295715,22.736,24,-1,8786495,631.962769,22.964,24,1,3543359,,,,,
512,3840,2560,27,27,653.644165,15.400,8,1,1229119,649.997498,15.487,8,-1,2802111,,,,,
512,2560,2560,27,27,551.736877,12.163,14,-1,819519,550.751648,12.185,14,1,819519,547.788086,12.251,11,1,819519
512,13824,2560,27,27,1120.783569,32.333,19,-1,4424127,,,,,,,,,,
512,2560,6912,27,27,872.735962,20.762,11,1,2212159,867.840210,20.879,11,-1,2212159,855.230530,21.187,22,-1,2212159
512,3840,3424,27,27,702.593567,19.163,23,1,1659199,699.998474,19.234,23,-1,3232191,,,,,
512,2560,3424,27,27,600.990051,14.935,10,1,1106239,600.861328,14.938,22,1,1106239,600.604004,14.945,10,-1,1106239
512,13824,3424,27,27,1071.193848,45.248,20,-1,5972415,1048.314697,46.236,20,1,5972287,,,,,
512,2560,9216,27,27,998.538086,24.195,11,-1,2949439,997.904663,24.210,11,1,2949439,,,,,
512,3840,3840,27,27,792.827454,19.045,23,-1,4989503,789.669678,19.121,23,1,1843519,,,,,
512,2560,3840,27,27,689.006531,14.610,11,1,1229119,682.785217,14.743,11,-1,1229119,,,,,
512,13824,3840,27,27,1131.345703,48.047,20,-1,6635839,1131.180176,48.054,20,1,6635839,1129.991089,48.105,4,-1,6635967
512,2560,10368,27,27,1020.285095,26.639,11,1,3318079,1017.205872,26.719,11,-1,3318079,,,,,
512,3840,4096,27,27,820.803101,19.622,23,1,1966399,819.600220,19.651,23,-1,5112383,,,,,
512,2560,4096,27,27,703.653687,15.260,11,1,1311039,698.410461,15.374,11,-1,1311039,692.329285,15.509,14,1,1311039
512,13824,4096,27,27,1189.077026,48.762,20,1,7078207,1189.045776,48.764,20,-1,7078207,1175.957764,49.306,19,1,7078207
512,2560,11072,27,27,972.694519,29.839,10,-1,3543359,957.962646,30.298,22,-1,3543359,955.862854,30.365,22,1,3543359
1024,3840,2560,27,27,857.801025,23.470,23,-1,4375103,857.263367,23.485,23,1,1229119,,,,,
1024,2560,2560,27,27,805.915039,16.654,4,-1,6849087,804.215210,16.689,4,1,819519,795.822693,16.865,20,1,819519
1024,13824,2560,27,27,1134.265625,63.898,19,1,4424127,1133.448120,63.944,19,-1,4424127,1129.683105,64.157,20,-1,4424127
1024,2560,6912,27,27,1172.418091,30.909,4,-1,8241727,1160.690063,31.222,4,1,2212159,,,,,
1024,3840,3424,27,27,863.342041,31.190,23,-1,4805183,861.874146,31.243,23,1,1659199,,,,,
1024,2560,3424,27,27,880.450928,20.389,20,-1,7135807,879.650330,20.408,20,1,1106239,869.048401,20.657,19,1,1106239
1024,13824,3424,27,27,1193.657715,81.212,20,1,5972415,,,,,,,,,,
1024,2560,9216,27,27,1216.798462,39.709,20,1,2949439,1188.936523,40.640,19,-1,2949439,1188.393921,40.659,19,1,2949439
1024,3840,3840,27,27,992.343262,30.432,23,-1,8135359,986.059753,30.626,23,1,1843519,,,,,
1024,2560,3840,27,27,965.391479,20.854,4,-1,7258687,963.823914,20.888,4,1,1229119,952.068054,21.146,20,1,1229119
1024,13824,3840,27,27,1263.119141,86.070,4,1,6635967,1258.524170,86.384,20,1,6635967,1252.031006,86.832,20,-1,6635967
1024,2560,10368,27,27,1123.088013,48.401,4,1,3318079,1098.013794,49.506,4,-1,9347647,,,,,
1024,3840,4096,27,27,1023.084106,31.485,23,-1,8258239,1017.335388,31.663,23,1,1966399,,,,,
1024,2560,4096,27,27,985.851257,21.783,4,1,1311039,985.706421,21.786,4,-1,7340607,971.775391,22.099,19,1,1311039
1024,13824,4096,27,27,1273.842651,91.035,4,1,7078335,1271.348999,91.213,20,-1,7078335,1268.980713,91.384,20,1,7078335
1024,2560,11072,27,27,1093.794556,53.071,4,-1,9572927,1085.560303,53.474,4,1,3543359,1079.154053,53.791,20,-1,3543359
2048,3840,2560,27,27,1139.673950,35.331,8,-1,7520959,1122.732422,35.864,8,1,1229247,,,,,
2048,2560,2560,27,27,1061.768433,25.282,8,-1,819647,1058.232422,25.366,8,1,819519,,,,,
2048,13824,2560,27,27,1277.849365,113.437,8,1,4424127,,,,,,,,,,
2048,2560,6912,27,27,1266.580322,57.223,8,1,2212159,1250.137573,57.976,8,-1,2212287,,,,,
2048,3840,3424,27,27,989.513428,54.426,8,-1,7951039,,,,,,,,,,
2048,2560,3424,27,27,981.228821,36.590,10,1,1106367,969.176025,37.045,8,1,1106239,968.005371,37.090,8,-1,1106239
2048,13824,3424,27,27,1197.915283,161.846,19,1,5972415,1171.949097,165.432,23,-1,5972415,1170.911865,165.578,20,-1,10691135
2048,2560,9216,27,27,1257.044678,76.876,8,1,2949439,,,,,,,,,,
2048,3840,3840,27,27,1183.434937,51.036,8,-1,8135359,1162.916504,51.937,8,1,1843647,,,,,
2048,2560,3840,27,27,1131.048340,35.600,8,-1,1229247,1111.132812,36.238,8,1,1229119,1106.501343,36.390,10,1,1229247
2048,13824,3840,27,27,1324.620361,164.147,8,1,6635967,1307.949829,166.239,19,1,6635967,,,,,
2048,2560,10368,27,27,1289.790649,84.290,8,1,3318079,,,,,,,,,,
2048,3840,4096,27,27,1215.446777,53.005,8,1,1966527,,,,,,,,,,
2048,2560,4096,27,27,1158.787598,37.064,8,-1,1311167,1150.109009,37.344,8,1,1311039,,,,,
2048,13824,4096,27,27,1353.718994,171.327,19,-1,7078335,1348.359741,172.008,8,1,7078335,1347.186768,172.157,19,1,7078335
2048,2560,11072,27,27,1226.885742,94.628,8,1,3543359,,,,,,,,,,
4096,3840,2560,27,27,1215.798950,66.237,8,1,1229247,,,,,,,,,,
4096,2560,2560,27,27,1169.779907,45.895,4,1,819647,1150.385010,46.669,19,-1,819647,1149.171753,46.718,19,1,819647
4096,13824,2560,27,27,1303.819824,222.355,8,1,4424127,,,,,,,,,,
4096,2560,6912,27,27,1418.618774,102.180,20,1,2212287,1418.139038,102.215,20,-1,2212287,,,,,
4096,3840,3424,27,27,1093.849854,98.468,20,1,1659327,1083.658203,99.395,10,-1,7950911,1074.772339,100.216,20,-1,1659327
4096,2560,3424,27,27,1148.977295,62.496,20,1,1106367,1125.804077,63.782,20,-1,1106367,,,,,
4096,13824,3424,27,27,1317.512207,294.308,20,-1,13050687,,,,,,,,,,
4096,2560,9216,27,27,1418.232300,136.278,20,1,2949567,1387.999756,139.246,19,-1,2949567,1386.495850,139.397,19,1,2949567
4096,3840,3840,27,27,1272.131958,94.956,20,1,1843647,1270.967041,95.043,20,-1,1843647,1248.387329,96.762,19,1,1843647
4096,2560,3840,27,27,1331.623657,60.476,20,1,1229247,1327.689575,60.655,20,-1,1229247,,,,,
4096,13824,3840,27,27,1371.060913,317.174,23,-1,13714239,1349.202515,322.313,19,1,6635967,,,,,
4096,2560,10368,27,27,1382.563110,157.268,19,1,3318207,1380.843628,157.464,19,-1,3318207,,,,,
4096,3840,4096,27,27,1259.708252,102.285,8,1,1966527,,,,,,,,,,
4096,2560,4096,27,27,1297.265869,66.216,4,-1,1311167,1289.141846,66.633,4,1,1311167,,,,,
4096,13824,4096,27,27,1420.878052,326.458,20,-1,14156607,,,,,,,,,,
4096,2560,11072,27,27,1341.599121,173.075,19,1,3543487,1322.131104,175.623,20,-1,3543487,,,,,
8192,3840,2560,27,27,1226.458496,131.322,8,1,1229247,1199.629272,134.259,19,1,1229247,,,,,
