# GPU: NVIDIA H100 PCIe
# CC: cc90
# Model: Llama3.2-3B-FP8
# alg_count: 25, config_count: 25
# torch: 2.9.0+cu129
# CUDA driver: 13.0, runtime: 12.9
# layout: TNCCcol_sparse24, dtype: fp8e4m3, outdtype: bf16, warmup=25, repeat=100, verify=False
# M_list: [64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384, 32768, 65536]
# NK_list: [(5120, 3072), (3072, 3072), (16384, 3072), (3072, 8192), (5120, 4096), (3072, 4096), (16384, 4096), (3072, 10944), (5120, 4608), (3072, 4608), (16384, 4608), (3072, 12288), (5120, 4928), (3072, 4928), (16384, 4928), (3072, 13120)]
M,N,K,alg_count,config_count,tops_1,lat_us_1,alg_id_1,split_k_1,workspace_1,tops_2,lat_us_2,alg_id_2,split_k_2,workspace_2,tops_3,lat_us_3,alg_id_3,split_k_3,workspace_3
64,5120,3072,25,25,236.130310,8.526,1,1,1966399,236.032883,8.530,11,-1,1966399,235.926666,8.533,11,1,1966399
64,3072,3072,25,25,141.508240,8.536,11,1,1179967,139.345642,8.669,9,-1,1179967,138.324432,8.733,9,1,1179967
64,16384,3072,25,25,398.729675,16.157,10,1,6291775,394.402313,16.335,9,1,6291903,390.455353,16.500,2,1,6291903
64,3072,8192,25,25,251.268768,12.820,11,1,3146047,248.079681,12.985,9,1,3146047,247.676849,13.006,23,1,3146047
64,5120,4096,25,25,277.722504,9.666,11,-1,2621759,275.959229,9.727,11,1,2621759,,,,,
64,3072,4096,25,25,170.783646,9.431,23,1,1573183,169.347107,9.511,22,1,1573183,,,,,
64,16384,4096,25,25,299.921173,28.641,9,1,8389055,299.911102,28.642,23,1,8389055,292.649261,29.352,22,1,8389055
64,3072,10944,25,25,284.096375,15.148,9,1,4202815,283.389954,15.185,22,1,4202815,281.704041,15.276,23,1,4202815
64,5120,4608,25,25,294.598969,10.251,11,1,2949439,293.819366,10.278,23,1,2949439,293.499512,10.289,23,-1,2949439
64,3072,4608,25,25,181.583237,9.979,11,1,1769791,180.650543,10.030,23,1,1769791,180.391541,10.044,9,1,1769791
64,16384,4608,25,25,282.201904,34.244,9,1,9437631,280.427795,34.460,23,1,9437631,276.755341,34.918,22,1,9437631
64,3072,12288,25,25,311.689667,15.502,1,-1,6292031,307.118774,15.733,11,-1,6292031,,,,,
64,5120,4928,25,25,299.428741,10.786,2,1,3154239,299.073792,10.799,2,-1,3154239,298.569458,10.817,23,1,3154239
64,3072,4928,25,25,188.916397,10.257,22,1,1892671,185.536102,10.444,23,1,1892671,185.269272,10.459,11,1,1892671
64,16384,4928,25,25,289.942719,35.644,9,1,10092991,287.097229,35.997,2,1,10092991,287.002808,36.009,23,1,10092991
64,3072,13120,25,25,301.596802,17.106,9,1,5038399,301.343079,17.120,22,1,5038399,299.501343,17.225,23,1,5038399
128,5120,3072,25,25,418.092499,9.631,12,1,1966399,417.080841,9.654,12,-1,3473983,,,,,
128,3072,3072,25,25,266.145416,9.077,11,1,1179967,266.136047,9.078,11,-1,1179967,,,,,
128,16384,3072,25,25,615.724731,20.926,12,1,6291903,611.377441,21.075,13,1,6291775,,,,,
128,3072,8192,25,25,476.118225,13.531,9,-1,3146047,474.368164,13.581,9,1,3146047,470.389191,13.696,2,-1,3146047
128,5120,4096,25,25,471.534973,11.386,15,1,2621759,466.318726,11.513,15,-1,4129343,462.743164,11.602,12,-1,2621759
128,3072,4096,25,25,328.396240,9.809,11,-1,1573183,326.850128,9.855,11,1,1573183,324.093018,9.939,2,1,1573183
128,16384,4096,25,25,513.830750,33.435,2,-1,10224319,503.305481,34.134,2,1,8389055,501.387695,34.265,23,1,8389055
128,3072,10944,25,25,534.817566,16.093,9,-1,4202815,533.819763,16.123,9,1,4202815,,,,,
128,5120,4608,25,25,500.314575,12.072,15,-1,4457023,497.807434,12.133,15,1,2949439,491.507172,12.288,12,-1,2949439
128,3072,4608,25,25,347.274475,10.435,2,1,1769791,346.392883,10.462,2,-1,1769791,346.117554,10.470,11,1,1769791
128,16384,4608,25,25,525.844543,36.755,2,-1,11272895,525.492249,36.780,2,1,9437631,515.433472,37.497,9,1,9437631
128,3072,12288,25,25,564.995117,17.104,9,-1,4718911,563.235352,17.157,9,1,4718911,,,,,
128,5120,4928,25,25,476.816833,13.547,14,1,3154239,476.074615,13.568,14,-1,4661823,,,,,
128,3072,4928,25,25,352.454834,10.996,2,-1,1892671,352.331757,11.000,2,1,1892671,346.971832,11.170,9,1,1892671
128,16384,4928,25,25,524.309265,39.422,2,-1,11928255,523.986023,39.447,2,1,10092991,515.830383,40.070,9,1,10092991
128,3072,13120,25,25,569.767517,18.109,9,-1,5038399,,,,,,,,,,
256,5120,3072,25,25,628.062195,12.822,20,-1,1966527,627.373291,12.836,20,1,1966399,625.393188,12.877,13,1,1966399
256,3072,3072,25,25,477.938019,10.110,12,-1,1179967,,,,,,,,,,
256,16384,3072,25,25,815.896729,31.585,21,1,6291903,,,,,,,,,,
256,3072,8192,25,25,784.211121,16.430,12,-1,3146047,780.759277,16.503,12,1,3146047,,,,,
256,5120,4096,25,25,704.451477,15.242,20,-1,2621887,703.520996,15.262,20,1,2621759,700.597778,15.326,13,-1,2621759
256,3072,4096,25,25,532.722778,12.093,15,-1,1573183,532.722778,12.093,15,1,1573183,528.985535,12.179,14,-1,1573183
256,16384,4096,25,25,790.352844,43.474,7,1,8389055,780.330017,44.032,13,1,8389055,,,,,
256,3072,10944,25,25,811.427246,21.214,14,-1,4202815,794.962769,21.653,14,1,4202815,,,,,
256,5120,4608,25,25,741.567200,16.289,13,-1,2949567,741.013977,16.301,13,1,2949439,738.954224,16.347,20,-1,2949439
256,3072,4608,25,25,566.500122,12.794,14,1,1769791,563.021790,12.873,14,-1,1769791,,,,,
256,16384,4608,25,25,842.259155,45.894,21,1,9437631,,,,,,,,,,
256,3072,12288,25,25,827.879944,23.346,14,-1,4718911,,,,,,,,,,
256,5120,4928,25,25,738.433777,17.494,13,1,3154239,737.974854,17.505,13,-1,3154367,,,,,
256,3072,4928,25,25,574.691650,13.487,14,1,1892671,,,,,,,,,,
256,16384,4928,25,25,818.245361,50.522,21,1,10092991,816.007324,50.660,24,1,10092991,,,,,
256,3072,13120,25,25,813.577759,25.364,14,1,5038399,,,,,,,,,,
512,5120,3072,25,25,883.243835,18.235,19,-1,1966527,868.191223,18.551,6,-1,1966399,862.434021,18.675,6,1,1966399
512,3072,3072,25,25,678.445984,14.244,20,-1,2556479,677.335205,14.267,20,1,1179967,671.685730,14.387,13,-1,1179967
512,16384,3072,25,25,946.039185,54.479,13,1,6291903,,,,,,,,,,
512,3072,8192,25,25,1006.708374,25.598,24,-1,4522559,1004.260437,25.660,24,1,3146047,1000.691223,25.752,21,-1,3146047
512,5120,4096,25,25,990.142090,21.689,19,-1,2621887,982.632202,21.854,6,-1,2621759,981.855835,21.872,6,1,2621759
512,3072,4096,25,25,772.995178,16.669,20,1,1573183,767.309204,16.792,20,-1,2949695,766.739380,16.805,13,1,1573183
512,16384,4096,25,25,1050.931396,65.389,6,1,8389055,1050.478882,65.417,24,1,8389055,,,,,
512,3072,10944,25,25,1002.188171,34.352,24,-1,5579327,,,,,,,,,,
512,5120,4608,25,25,1027.022949,23.524,19,-1,2949439,1026.925049,23.526,19,1,2949439,1025.307373,23.563,6,-1,2949567
512,3072,4608,25,25,804.919983,18.009,20,-1,3146303,798.140930,18.162,20,1,1769791,797.031433,18.187,21,-1,1769791
512,16384,4608,25,25,1065.849854,72.533,24,1,9437631,1064.694336,72.612,17,1,9437631,1052.289185,73.468,17,-1,9437631
512,3072,12288,25,25,1019.375183,37.920,13,1,4718911,1018.979492,37.935,21,1,4718911,1018.704590,37.945,13,-1,4718911
512,5120,4928,25,25,1044.114746,24.745,19,1,3154239,1043.656006,24.756,19,-1,3154367,,,,,
512,3072,4928,25,25,827.611084,18.731,24,-1,3269183,,,,,,,,,,
512,16384,4928,25,25,1049.495972,78.779,24,1,10092991,1047.249878,78.948,21,1,10092991,1042.681274,79.294,21,-1,10092991
512,3072,13120,25,25,993.949280,41.523,24,-1,6414911,,,,,,,,,,
1024,5120,3072,25,25,1007.156677,31.983,21,1,1966527,1005.285828,32.043,21,-1,2818623,,,,,
1024,3072,3072,25,25,1032.426270,18.720,6,-1,1180095,,,,,,,,,,
1024,16384,3072,25,25,1199.479248,85.937,8,1,6291903,1174.151367,87.790,6,1,6291903,,,,,
1024,3072,8192,25,25,1250.310669,41.221,19,-1,3146175,,,,,,,,,,
1024,5120,4096,25,25,1038.660034,41.351,7,1,2621887,1038.129761,41.372,7,-1,2621887,1034.146484,41.532,21,1,2621887
1024,3072,4096,25,25,1136.331055,22.678,6,-1,1573311,,,,,,,,,,
1024,16384,4096,25,25,1164.275879,118.047,16,1,8389055,1162.268921,118.251,16,-1,8389055,,,,,
1024,3072,10944,25,25,1235.113037,55.747,8,1,4202815,1231.204712,55.924,8,-1,4202815,1220.678589,56.406,19,1,4202815
1024,5120,4608,25,25,1085.935181,44.495,24,-1,4653759,,,,,,,,,,
1024,3072,4608,25,25,1174.585571,24.682,19,1,1769791,1168.751831,24.805,19,-1,1769791,1164.635132,24.893,6,-1,1769919
1024,16384,4608,25,25,1188.772827,130.066,19,1,9437631,1184.105835,130.579,19,-1,9437631,1170.336304,132.115,16,1,9437631
1024,3072,12288,25,25,1320.556885,58.543,19,1,4718911,,,,,,,,,,
1024,5120,4928,25,25,1001.151367,51.614,21,-1,4858559,987.528809,52.326,21,1,3154367,,,,,
1024,3072,4928,25,25,1182.286987,26.224,19,1,1892671,1156.186401,26.816,19,-1,1892799,,,,,
1024,16384,4928,25,25,1302.651123,126.938,19,1,10092991,1284.453613,128.737,19,-1,10092991,,,,,
1024,3072,13120,25,25,1249.157104,66.080,8,-1,5038399,1246.302368,66.231,8,1,5038399,1229.040039,67.161,19,-1,5038527
2048,5120,3072,25,25,1245.139404,51.741,19,1,1966527,,,,,,,,,,
2048,3072,3072,25,25,1156.152466,33.434,19,1,1179967,,,,,,,,,,
2048,16384,3072,25,25,1311.800903,157.157,8,1,6291903,1293.420776,159.390,19,1,6291903,,,,,
2048,3072,8192,25,25,1279.716553,80.548,8,1,3146047,,,,,,,,,,
2048,5120,4096,25,25,1304.084839,65.869,19,-1,2621887,1281.180420,67.047,19,1,2621887,,,,,
2048,3072,4096,25,25,1238.180542,41.625,19,1,1573183,,,,,,,,,,
2048,16384,4096,25,25,1335.817505,205.775,19,1,8389055,1312.869507,209.372,8,-1,8389055,,,,,
2048,3072,10944,25,25,1311.091309,105.033,19,1,4202815,1298.444214,106.056,19,-1,4202815,,,,,
2048,5120,4608,25,25,1213.644287,79.625,8,-1,4653631,1199.081665,80.592,8,1,2949567,1193.277588,80.984,16,-1,2949567
2048,3072,4608,25,25,1257.287109,46.117,19,-1,3539519,,,,,,,,,,
2048,16384,4608,25,25,1333.640137,231.875,16,1,9437631,,,,,,,,,,
2048,3072,12288,25,25,1333.410034,115.957,19,-1,4718911,1316.451538,117.451,19,1,4718911,,,,,
2048,5120,4928,25,25,1321.608398,78.198,19,-1,4858431,,,,,,,,,,
2048,3072,4928,25,25,1100.735840,56.334,19,1,1892671,1084.266479,57.189,8,-1,3662399,1081.688110,57.326,19,-1,1892671
2048,16384,4928,25,25,1364.918335,242.295,8,1,10092991,,,,,,,,,,
2048,3072,13120,25,25,1245.676392,132.529,8,1,5038399,,,,,,,,,,
4096,5120,3072,25,25,1247.338013,103.299,8,1,1966527,1242.994507,103.660,8,-1,1966527,1218.790894,105.719,16,1,1966527
4096,3072,3072,25,25,1111.922729,69.528,17,-1,1180095,1094.235596,70.652,16,1,1180095,,,,,
4096,16384,3072,25,25,1295.433716,318.285,8,1,6291903,,,,,,,,,,
4096,3072,8192,25,25,1346.004883,153.163,19,1,3146175,,,,,,,,,,
4096,5120,4096,25,25,1292.748901,132.894,8,-1,2621887,1284.567627,133.740,8,1,2621887,,,,,
4096,3072,4096,25,25,1186.411377,86.883,16,1,1573311,1174.018677,87.800,16,-1,1573311,1169.670410,88.127,17,-1,1573311
4096,16384,4096,25,25,1295.483154,424.364,19,1,8389055,1268.160278,433.507,16,1,8389055,,,,,
4096,3072,10944,25,25,1303.952271,211.215,17,1,4202943,,,,,,,,,,
4096,5120,4608,25,25,1224.455566,157.844,6,1,2949567,1195.549805,161.661,16,1,2949567,,,,,
4096,3072,4608,25,25,1197.501343,96.838,17,-1,1769919,1179.916870,98.282,16,1,1769919,1176.862915,98.537,16,-1,1769919
4096,16384,4608,25,25,1359.798950,454.828,19,1,9437631,,,,,,,,,,
4096,3072,12288,25,25,1321.389282,234.025,8,-1,4719039,,,,,,,,,,
4096,5120,4928,25,25,1334.675415,154.866,19,-1,3154367,1331.047729,155.288,19,1,3154367,,,,,
4096,3072,4928,25,25,1186.482056,104.525,16,-1,1892799,1186.362183,104.536,16,1,1892799,,,,,
4096,16384,4928,25,25,1278.436401,517.370,19,1,10092991,1275.419800,518.594,8,1,10092991,,,,,
4096,3072,13120,25,25,1313.981567,251.279,19,1,5038527,1313.866211,251.301,8,-1,5038527,1312.702759,251.524,17,1,5038527
8192,5120,3072,25,25,1306.197998,197.289,19,1,1966527,,,,,,,,,,
8192,3072,3072,25,25,1248.008179,123.892,17,1,1180095,1231.788452,125.524,17,-1,1180095,,,,,
8192,16384,3072,25,25,1221.966309,674.842,17,-1,7930431,1200.913086,686.672,19,1,6291903,,,,,
8192,3072,8192,25,25,1312.599976,314.122,6,1,3146175,,,,,,,,,,
8192,5120,4096,25,25,1313.633667,261.563,16,1,2621887,,,,,,,,,,
8192,3072,4096,25,25,1315.881592,156.669,8,1,1573311,1314.946899,156.781,8,-1,1573311,1303.134766,158.202,17,1,1573311
8192,16384,4096,25,25,1228.110718,895.287,17,1,8389055,1221.575317,900.077,17,-1,10027583,1205.431885,912.131,8,1,8389055
8192,3072,10944,25,25,1286.315552,428.223,16,1,4202943,,,,,,,,,,
8192,5120,4608,25,25,1354.407593,285.399,19,1,2949567,1331.557373,290.297,8,1,2949567,,,,,
8192,3072,4608,25,25,1334.511108,173.793,6,1,1769919,,,,,,,,,,
8192,16384,4608,25,25,1194.396362,1035.628,19,1,9437631,1179.758057,1048.478,8,1,9437631,1176.309937,1051.552,19,-1,9437631
8192,3072,12288,25,25,1293.101318,478.288,19,1,4719039,1286.609985,480.701,17,1,4719039,,,,,
8192,5120,4928,25,25,1357.653809,304.489,19,1,3154367,,,,,,,,,,
8192,3072,4928,25,25,1303.255615,190.319,8,-1,1892799,,,,,,,,,,
8192,16384,4928,25,25,1160.833008,1139.570,17,1,10092991,1157.489014,1142.862,17,-1,10092991,1145.511597,1154.812,16,1,10092991
8192,3072,13120,25,25,1265.250122,521.914,17,1,5038527,,,,,,,,,,
16384,5120,3072,25,25,1262.288086,408.303,19,1,1966527,,,,,,,,,,
16384,3072,3072,25,25,1283.544189,240.925,19,1,1180095,1257.029297,246.007,6,1,1180095,,,,,
16384,16384,3072,25,25,1143.809448,1441.907,17,1,6291903,1133.494385,1455.029,17,-1,6291903,1127.154419,1463.213,16,-1,6291903
16384,3072,8192,25,25,1313.191895,627.961,8,1,3146175,1311.157471,628.936,19,1,3146175,,,,,
16384,5120,4096,25,25,1266.762207,542.481,17,-1,2621887,1262.023071,544.518,19,1,2621887,1246.509277,551.295,17,1,2621887
16384,3072,4096,25,25,1303.153320,316.399,17,1,1573311,,,,,,,,,,
16384,16384,4096,25,25,1200.286011,1832.083,17,-1,8389055,,,,,,,,,,
16384,3072,10944,25,25,1235.917847,891.369,8,-1,4202943,1228.437012,896.797,17,1,4202943,1206.168823,913.354,19,1,4202943
16384,5120,4608,25,25,1242.365601,622.276,8,-1,2949567,1217.766846,634.846,17,1,2949567,,,,,
16384,3072,4608,25,25,1334.978271,347.464,17,1,1769919,,,,,,,,,,
16384,16384,4608,25,25,1200.086548,2061.436,8,-1,9437631,1183.084229,2091.061,17,-1,9437631,1182.942261,2091.312,17,1,9437631
16384,3072,12288,25,25,1283.919922,963.417,8,1,4719039,,,,,,,,,,
16384,5120,4928,25,25,1233.499878,670.273,17,1,3154367,1209.809692,683.398,8,-1,3154367,,,,,
16384,3072,4928,25,25,1293.935547,383.380,19,1,1892799,1283.147949,386.603,8,1,1892799,,,,,
16384,16384,4928,25,25,1188.937988,2225.263,8,-1,10092991,1185.310059,2232.074,19,-1,10092991,1179.715820,2242.659,19,1,10092991
16384,3072,13120,25,25,1241.865601,1063.483,8,1,5038527,1214.457886,1087.483,19,1,5038527,,,,,
32768,5120,3072,25,25,1166.464478,883.689,19,1,1966527,1142.959839,901.862,8,1,1966527,,,,,
32768,3072,3072,25,25,1272.334961,486.095,17,1,1180095,,,,,,,,,,
32768,16384,3072,25,25,1159.082275,2845.816,17,1,6291903,,,,,,,,,,
32768,3072,8192,25,25,1312.596313,1256.493,19,1,3146175,,,,,,,,,,
32768,5120,4096,25,25,1163.934204,1180.814,19,1,2621887,1154.780151,1190.174,19,-1,14156351,1146.088013,1199.201,8,-1,2621887
32768,3072,4096,25,25,1232.253906,669.208,17,1,1573311,1216.554688,677.844,6,1,1573311,,,,,
