# GPU: NVIDIA GeForce RTX 4090
# CC: cc89
# Model: BitNet-2B-INT8
# alg_count: 4, config_count: 4
# torch: 2.9.0+cu129
# CUDA driver: unknown, runtime: 12.9
# layout: TNCCcol_sparse24, dtype: int8, outdtype: bf16, warmup=25, repeat=50, verify=False
# M_list: [64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384, 32768]
# NK_list: [(3840, 2560), (2560, 2560), (13824, 2560), (2560, 6912), (3840, 3424), (2560, 3424), (13824, 3424), (2560, 9216), (3840, 3840), (2560, 3840), (13824, 3840), (2560, 10368), (3840, 4096), (2560, 4096), (13824, 4096), (2560, 11072)]
M,N,K,alg_count,config_count,tops_1,lat_us_1,alg_id_1,split_k_1,workspace_1,tops_2,lat_us_2,alg_id_2,split_k_2,workspace_2,tops_3,lat_us_3,alg_id_3,split_k_3,workspace_3
64,3840,2560,4,4,14.542012,86.528,2,1,1228800,,,,,,,,,,
64,2560,2560,4,4,10.960664,76.534,2,1,819200,,,,,,,,,,
64,13824,2560,4,4,72.046898,62.874,2,1,4423680,,,,,,,,,,
64,2560,6912,4,4,12.585866,179.958,2,1,2211840,,,,,,,,,,
64,3840,3424,4,4,19.500713,86.303,2,1,1658880,,,,,,,,,,
64,2560,3424,4,4,9.294876,120.709,2,1,1105920,,,,,,,,,,
64,13824,3424,4,4,36.423737,166.339,2,1,5971968,,,,,,,,,,
64,2560,9216,4,4,13.106035,230.420,2,1,2949120,,,,,,,,,,
64,3840,3840,4,4,16.471851,114.586,2,1,1843200,,,,,,,,,,
64,2560,3840,4,4,11.893147,105.800,2,1,1228800,,,,,,,,,,
64,13824,3840,4,4,44.002121,154.419,2,1,6635520,,,,,,,,,,
64,2560,10368,4,4,143.875107,23.613,2,1,3317760,,,,,,,,,,
64,3840,4096,4,4,16.821356,119.685,2,1,1966080,,,,,,,,,,
64,2560,4096,4,4,15.223229,88.166,2,1,1310720,,,,,,,,,,
64,13824,4096,4,4,45.912609,157.860,2,1,7077888,,,,,,,,,,
64,2560,11072,4,4,13.408417,270.582,2,1,3563520,,,,,,,,,,
128,3840,2560,4,4,28.550184,88.146,2,1,1228800,,,,,,,,,,
128,2560,2560,4,4,19.407724,86.446,2,1,819200,,,,,,,,,,
128,13824,2560,4,4,54.694363,165.642,0,1,4423680,,,,,,,,,,
128,2560,6912,4,4,24.981251,181.330,2,1,2211840,,,,,,,,,,
128,3840,3424,4,4,26.461439,127.201,2,1,1658880,,,,,,,,,,
128,2560,3424,4,4,18.282663,122.737,2,1,1105920,,,,,,,,,,
128,13824,3424,4,4,50.522343,239.841,0,1,5971968,,,,,,,,,,
128,2560,9216,4,4,26.047693,231.875,2,1,2949120,,,,,,,,,,
128,3840,3840,4,4,32.094723,117.617,2,1,1843200,,,,,,,,,,
